datetime,open,high,low,close,volume
2025-04-01,30.3,30.54,29.4,30.14,4260830
2025-03-31,29.74,30.625,28.8,30.5,4982200
2025-03-28,32.05,32.18,30.51,30.66,6446600
2025-03-27,32.33,32.85,31.8,31.98,6066800
2025-03-26,34.09,34.45,33.06,33.34,3343700
2025-03-25,33.68,34.525,33.61,33.71,3650900
2025-03-24,34.455,34.63,33.31,33.47,4809000
2025-03-21,33.93,34.08,33.45,33.95,4720600
2025-03-20,34.57,35.47,34.37,34.84,3102800
2025-03-19,34.44,35.77,34.15,35.31,4510700
2025-03-18,34.59,34.66,32.99,33.97,5358600
2025-03-17,33.68,35.12,33.675,34.79,5839300
2025-03-14,33.0,33.605,32.59,33.53,3837100
2025-03-13,33.0,34.1,31.96,32.31,5503500
2025-03-12,32.4,33.685,32.13,33.25,4771100
2025-03-11,31.2,32.47,31.03,31.96,7065500
2025-03-10,32.42,32.57,30.63,30.98,5773400
2025-03-07,32.25,33.38,31.835,32.84,4178800
2025-03-06,32.4,33.84,32.28,32.83,5857200
2025-03-05,32.48,32.68,31.602,32.38,4520500
2025-03-04,31.355,31.86,30.15,31.15,5231800
2025-03-03,34.5,34.51,31.3,31.33,4994500
2025-02-28,33.0,33.36,32.55,33.25,4671700
2025-02-27,33.78,34.225,33.34,33.43,3979300
2025-02-26,34.7,34.81,33.5,33.67,4311600
2025-02-25,35.1,35.1,33.88,34.37,3811400
2025-02-24,34.495,35.78,34.27,35.02,5964200
2025-02-21,36.46,36.665,33.95,34.4,7218200
2025-02-20,36.53,37.55,36.26,37.25,5987800
2025-02-19,36.46,37.0,36.14,36.18,3378700
2025-02-18,36.27,37.03,35.89,37.01,2704400
2025-02-14,37.16,37.47,36.18,36.24,3113700
2025-02-13,36.15,36.44,35.6,36.38,4389700
2025-02-12,36.54,37.18,36.13,36.33,3809000
2025-02-11,37.08,38.58,36.72,37.17,6390500
2025-02-10,37.37,37.6,36.89,36.92,5755200
2025-02-07,36.75,37.84,36.05,36.12,4661400
2025-02-06,36.63,36.87,35.32,35.93,3261000
2025-02-05,36.11,36.24,35.48,36.03,3221800
2025-02-04,34.5,36.43,34.33,36.24,5343300
2025-02-03,34.18,35.235,33.42,34.11,5864700
2025-01-31,35.5,36.24,35.16,35.32,5315100
2025-01-30,35.53,35.815,34.95,35.53,4001200
2025-01-29,34.32,35.26,34.32,35.13,5534700
2025-01-28,35.18,35.42,34.036,34.15,5684200
2025-01-27,36.27,36.6,34.91,34.97,8969900
2025-01-24,37.85,37.85,36.7,37.43,4983800
2025-01-23,37.6,37.99,36.1,37.35,11784500
2025-01-22,39.61,39.85,38.68,38.78,9452200
2025-01-21,39.99,40.62,38.566,38.61,5448900
2025-01-17,39.24,39.87,38.94,39.53,4477400
2025-01-16,38.44,39.2,38.3,38.91,4884300
2025-01-15,37.85,38.3,37.1,38.19,5156300
2025-01-14,36.6,36.91,35.85,36.88,3351200
2025-01-13,35.58,36.52,35.4,36.47,4230000
2025-01-10,36.25,36.56,35.54,35.91,2943700
2025-01-08,35.78,36.03,34.75,36.0,3775300
2025-01-07,36.89,37.3,35.755,36.24,3381500
2025-01-06,36.0,37.075,35.92,36.49,5983900
2025-01-03,37.95,37.95,35.375,35.71,7491800
2025-01-02,38.165,39.04,37.9,37.99,2700400
2024-12-31,37.24,38.18,37.24,37.78,2458900
2024-12-30,37.25,37.73,36.65,37.15,2570500
2024-12-27,37.97,38.13,37.38,37.68,1924400
2024-12-26,38.54,38.58,38.07,38.35,1903900
2024-12-24,39.0,39.21,38.23,38.61,1056600
2024-12-23,37.84,38.75,37.59,38.58,2851900
2024-12-20,36.4,38.3,36.28,37.84,8586900
2024-12-19,37.75,38.15,36.52,36.62,4074500
2024-12-18,38.46,39.31,36.92,37.31,4525400
2024-12-17,38.0,38.87,37.53,38.44,4423200
2024-12-16,38.86,39.19,38.26,38.46,3518300
2024-12-13,39.0,39.5,38.51,39.12,3602300
2024-12-12,39.4,39.89,39.045,39.62,3985100
2024-12-11,39.75,40.3,39.16,39.54,6509500
