datetime,open,high,low,close,volume
2025-04-01,23.178,23.178,23.178,23.178,3
2025-03-31,23.4406,23.4406,23.4406,23.4406,0
2025-03-28,22.082,22.082,22.082,22.082,0
2025-03-27,22.5292,22.5292,22.5292,22.5292,0
2025-03-26,22.5975,22.5975,22.5975,22.5975,0
2025-03-25,22.8151,22.8151,22.8151,22.8151,1
2025-03-24,22.818,22.818,22.818,22.818,0
2025-03-21,22.2732,22.2732,22.2732,22.2732,0
2025-03-20,22.353,22.353,22.353,22.353,0
2025-03-19,22.5403,22.5403,22.5403,22.5403,0
2025-03-18,22.1681,22.1681,22.1681,22.1681,99
2025-03-17,22.2352,22.2352,22.2352,22.2352,0
2025-03-14,21.9954,21.9954,21.9954,21.9954,0
2025-03-13,21.61,21.61,21.4739,21.4739,600
2025-03-12,21.8374,21.8374,21.8374,21.8374,0
2025-03-11,22.0652,22.0652,22.0652,22.0652,1
2025-03-10,22.0833,22.0833,22.0833,22.0833,2
2025-03-07,22.4295,22.4295,22.4295,22.4295,0
2025-03-06,22.3302,22.3302,22.3302,22.3302,0
2025-03-05,22.68,22.6856,22.68,22.6856,100
2025-03-04,22.4803,22.4803,22.4803,22.4803,0
2025-03-03,22.7429,22.7429,22.7429,22.7429,0
2025-02-28,23.16,23.3461,23.16,23.3461,100
2025-02-27,23.062,23.062,23.062,23.062,0
2025-02-26,23.5407,23.5407,23.5407,23.5407,0
2025-02-25,23.6316,23.6316,23.6316,23.6316,6
2025-02-24,23.7056,23.7056,23.7056,23.7056,1
2025-02-21,23.8589,23.8589,23.8589,23.8589,10
2025-02-20,24.5284,24.5284,24.5284,24.5284,5
2025-02-19,24.9648,24.9648,24.9648,24.9648,1
