datetime,open,high,low,close,volume
2025-04-01,16.56,16.77,16.15,16.32,2613000
2025-03-31,16.71,16.88,16.28,16.61,1688700
2025-03-28,17.16,17.22,16.92,17.07,872300
2025-03-27,17.1,17.31,16.94,17.19,1374600
2025-03-26,17.05,17.09,16.86,17.03,902700
2025-03-25,17.21,17.39,16.95,17.11,1005100
2025-03-24,17.2,17.5,17.02,17.23,1066000
2025-03-21,17.04,17.31,16.67,16.79,4036400
2025-03-20,17.1,17.43,17.1,17.18,1517300
2025-03-19,17.26,17.6,17.07,17.29,1207400
2025-03-18,16.96,17.45,16.79,17.28,1333800
2025-03-17,17.54,17.66,17.03,17.2,1633600
2025-03-14,16.91,17.7,16.7,17.5,1951200
2025-03-13,16.67,16.91,16.59,16.78,1293200
2025-03-12,17.23,17.4,16.75,16.77,1632200
2025-03-11,17.1,17.45,16.86,17.19,1557600
2025-03-10,17.35,17.68,17.07,17.19,1788600
2025-03-07,17.62,17.86,17.33,17.56,1371900
2025-03-06,17.85,18.15,17.59,17.61,1671300
2025-03-05,18.37,18.52,18.02,18.08,1560700
2025-03-04,18.16,18.54,17.85,18.26,1586200
2025-03-03,19.56,19.69,18.1,18.16,2201600
2025-02-28,19.04,19.62,19.0,19.6,1525500
2025-02-27,19.44,20.62,18.83,19.34,2926500
2025-02-26,19.08,19.65,18.93,19.0,1292100
2025-02-25,19.52,19.72,18.9,19.01,1744700
2025-02-24,19.96,19.98,19.44,19.48,1728200
2025-02-21,20.51,20.68,19.92,19.95,1995000
2025-02-20,19.62,20.43,19.61,20.29,2411700
2025-02-19,19.56,20.06,19.56,19.67,1083400
2025-02-18,20.0,20.29,19.52,19.74,2178400
2025-02-14,19.8,20.22,19.73,20.04,1206200
2025-02-13,19.24,19.83,18.82,19.77,3437700
2025-02-12,18.29,19.11,18.2,19.1,2722000
2025-02-11,18.63,18.7,18.11,18.49,1455400
2025-02-10,18.58,18.91,18.39,18.88,1582200
2025-02-07,19.06,19.15,18.52,18.55,1144100
2025-02-06,19.7,19.7,19.09,19.13,1015600
2025-02-05,18.92,19.65,18.79,19.6,1706800
2025-02-04,18.52,18.84,18.45,18.73,948100
2025-02-03,18.26,18.69,18.04,18.51,1504300
2025-01-31,18.77,19.01,18.53,18.66,1236100
2025-01-30,18.57,18.88,18.34,18.69,1592000
2025-01-29,18.58,18.81,18.03,18.37,1194700
2025-01-28,18.27,18.72,18.05,18.4,1537100
2025-01-27,18.71,19.05,18.26,18.27,1639600
2025-01-24,19.08,19.32,18.66,18.67,1724300
2025-01-23,17.82,19.17,17.5,19.08,2484400
2025-01-22,17.79,18.03,17.7,17.81,1000000
2025-01-21,17.86,18.0,17.62,17.89,1083000
2025-01-17,17.73,17.89,17.35,17.57,3180300
2025-01-16,17.53,17.68,17.21,17.52,1514700
2025-01-15,17.17,17.59,16.95,17.51,1667600
2025-01-14,18.15,18.23,16.61,16.9,2848000
2025-01-13,17.23,17.91,17.0,17.9,2060100
2025-01-10,17.23,17.72,17.08,17.26,2375400
2025-01-08,17.39,17.64,17.05,17.6,2493100
2025-01-07,17.57,17.74,17.28,17.39,2545900
2025-01-06,18.41,18.66,17.43,17.46,4542500
