datetime,open,high,low,close,volume
2025-04-01,1.85,1.94,1.77,1.795,213600
2025-03-31,1.93,1.96,1.87,1.87,120900
2025-03-28,2.0,2.0,1.955,1.98,98400
2025-03-27,2.0,2.05,1.97,2.0,148900
2025-03-26,1.98,2.03,1.95,1.99,158800
2025-03-25,2.15,2.15,1.97,1.98,373800
2025-03-24,2.15,2.15,2.05,2.12,297300
2025-03-21,2.16,2.2,2.07,2.1,177800
2025-03-20,2.19,2.25,2.16,2.16,118600
2025-03-19,2.23,2.29,2.15,2.22,166300
2025-03-18,2.25,2.334,2.15,2.24,195800
2025-03-17,2.3,2.32,2.19,2.21,195900
2025-03-14,2.33,2.358,2.27,2.29,142200
2025-03-13,2.35,2.38,2.222,2.3,164900
2025-03-12,2.25,2.34,2.21,2.32,145900
2025-03-11,2.42,2.42,2.19,2.25,261200
2025-03-10,2.5,2.55,2.38,2.395,179000
2025-03-07,2.47,2.529,2.404,2.41,218800
2025-03-06,2.53,2.53,2.45,2.49,202300
2025-03-05,2.36,2.52,2.36,2.5,351700
2025-03-04,2.36,2.399,2.31,2.35,151000
2025-03-03,2.53,2.555,2.38,2.4,232300
2025-02-28,2.51,2.59,2.51,2.54,228000
2025-02-27,2.51,2.59,2.5,2.55,175300
2025-02-26,2.58,2.59,2.52,2.52,103000
2025-02-25,2.6,2.689,2.53,2.57,131300
2025-02-24,2.65,2.7,2.57,2.6,227700
2025-02-21,2.66,2.7,2.6,2.65,161200
2025-02-20,2.68,2.739,2.61,2.66,166300
2025-02-19,2.64,2.73,2.64,2.69,191100
2025-02-18,2.72,2.73,2.63,2.64,224600
2025-02-14,2.79,2.8,2.56,2.74,373100
2025-02-13,2.45,2.715,2.41,2.68,375300
2025-02-12,2.55,2.55,2.39,2.42,168800
2025-02-11,2.6,2.6,2.5,2.54,245100
2025-02-10,2.68,2.68,2.6,2.61,181400
2025-02-07,2.69,2.742,2.6,2.69,182100
2025-02-06,2.74,2.77,2.68,2.69,133700
2025-02-05,2.79,2.81,2.69,2.7,262500
2025-02-04,2.73,2.85,2.7,2.73,163400
2025-02-03,2.72,2.75,2.63,2.7,208700
2025-01-31,2.75,2.804,2.73,2.75,539000
2025-01-30,2.63,2.71,2.6,2.7,100900
2025-01-29,2.67,2.68,2.6,2.64,89100
2025-01-28,2.66,2.73,2.61,2.64,75500
2025-01-27,2.73,2.8,2.65,2.66,83100
2025-01-24,2.72,2.84,2.7,2.73,134100
2025-01-23,2.69,2.75,2.65,2.7,99200
2025-01-22,2.7,2.74,2.64,2.71,112800
2025-01-21,2.72,2.73,2.62,2.65,135000
2025-01-17,2.65,2.715,2.65,2.68,74500
2025-01-16,2.68,2.74,2.56,2.64,224000
2025-01-15,2.69,2.79,2.62,2.68,114800
2025-01-14,2.64,2.83,2.6,2.61,174500
2025-01-13,2.67,2.72,2.6,2.61,178600
2025-01-10,2.82,2.85,2.66,2.72,73300
2025-01-08,2.92,2.92,2.75,2.8,71100
2025-01-07,3.0,3.063,2.91,2.93,119000
2025-01-06,3.0,3.094,2.96,2.98,125000
