datetime,open,high,low,close,volume
2025-04-01,3.035,3.2,2.3801,3.0,21725
2025-03-31,3.1285,3.48,3.1285,3.48,76929
2025-03-28,3.2,3.46,3.18,3.3,15148
2025-03-27,3.085,3.5,3.0,3.5,25533
2025-03-26,3.07,3.07,3.07,3.07,1221
2025-03-25,3.08,3.11,2.85,2.96,713
2025-03-24,2.935,3.14,2.5,3.14,34642
2025-03-21,2.58,2.8364,2.3824,2.8364,7574
2025-03-20,2.43,2.63,2.43,2.57,4091
2025-03-19,2.3694,2.63,2.3694,2.63,7024
2025-03-18,2.9285,3.4321,2.51,2.675,16919
2025-03-17,2.63,2.9,2.59,2.69,2767
2025-03-14,2.625,2.76,2.595,2.64,3241
2025-03-13,3.0,3.0397,2.5101,2.67,25969
2025-03-12,3.18,3.18,2.92,3.14,9557
2025-03-11,3.06,3.2,2.93,3.19,8309
2025-03-10,3.3914,3.4526,2.815,3.25,71434
2025-03-07,2.98,3.45,2.75,3.39,22376
2025-03-06,3.1425,3.1425,2.71,3.07,8255
2025-03-05,2.98,3.16,2.78,3.05,28982
2025-03-04,3.28,3.425,2.675,3.09,64807
2025-03-03,3.49,3.51,3.05,3.36,69881
2025-02-28,3.28,3.39,3.09,3.3095,34017
2025-02-27,3.39,3.56,3.34,3.41,61750
2025-02-26,3.25,3.4,3.25,3.37,3999
2025-02-25,3.33,3.5,3.33,3.45,27380
2025-02-24,3.33,3.36,3.12,3.2,17330
2025-02-21,3.5,3.5001,3.3,3.3,13269
2025-02-20,3.285,3.6101,3.285,3.5,5766
2025-02-19,3.17,3.3041,3.17,3.3035,723
2025-02-18,3.49,3.5288,3.33,3.37,8435
2025-02-14,3.44,3.595,3.25,3.33,18003
2025-02-13,3.5,3.6301,3.385,3.4,17501
2025-02-12,3.76,3.85,3.33,3.33,35278
2025-02-11,3.5,3.7,3.5,3.7,20114
2025-02-10,3.5,3.8399,3.4,3.8399,36643
2025-02-07,3.5,3.86,3.4,3.7,43483
2025-02-06,3.8,3.8106,3.3501,3.54,26436
2025-02-05,3.9033,3.98,3.81,3.96,716
2025-02-04,4.05,4.1134,3.705,4.09,11859
2025-02-03,4.22,4.22,3.75,4.1,29442
2025-01-31,4.5,4.5,4.15,4.42,165291
2025-01-30,4.49,4.5,4.185,4.5,150569
2025-01-29,4.84,4.84,4.5,4.5,8797
2025-01-28,4.06,4.5,3.9514,4.5,46558
2025-01-27,4.0,4.19,3.57,4.0,15446
2025-01-24,4.15,4.35,3.94,4.1,68060
2025-01-23,4.17,4.17,3.82,4.15,5993
2025-01-22,4.06,4.4,3.7186,4.18,31096
2025-01-21,4.27,4.36,3.945,4.18,21879
2025-01-17,3.604,4.36,3.455,4.36,47261
2025-01-16,3.7999,3.8,3.705,3.8,20202
2025-01-15,3.95,4.05,3.95,4.05,1300
2025-01-14,3.8,3.87,3.57,3.87,2105
2025-01-13,3.79,4.0,3.6001,3.84,10516
2025-01-10,3.7009,3.84,3.5601,3.8,37106
2025-01-08,3.9708,3.982,3.58,3.91,2754
2025-01-07,3.735,4.2175,3.61,3.8366,25593
2025-01-06,4.1,4.15,3.57,3.65,34660
2025-01-03,3.8256,3.8835,3.78,3.79,2662
2025-01-02,4.385,4.57,3.6501,3.95,33540
2024-12-31,3.8,4.04,3.58,3.6,128394
2024-12-30,3.7,3.7,3.5,3.65,54734
2024-12-27,3.68,3.69,3.5,3.6,54680
2024-12-26,3.45,3.67,3.42,3.67,73409
2024-12-24,3.36,3.36,3.36,3.36,258
2024-12-23,3.36,3.36,3.36,3.36,333
2024-12-20,3.45,3.4601,3.4,3.4,22500
2024-12-19,3.44,3.545,3.25,3.4,17141
2024-12-18,3.49,3.5,3.3,3.45,7536
2024-12-17,3.33,3.55,3.25,3.55,63497
2024-12-16,3.45,3.457,3.39,3.457,1938
2024-12-13,3.4,3.4,3.39,3.4,4044
2024-12-12,3.22,3.35,3.22,3.35,17189
2024-12-11,3.26,3.4,3.26,3.38,2310
2024-12-10,3.38,3.4,3.38,3.4,14175
2024-12-09,3.04,3.4,3.04,3.37,2083
2024-12-06,3.27,3.375,3.2166,3.2166,2515
2024-12-05,3.1508,3.2033,3.15,3.1792,1292
2024-12-04,3.28,3.3293,3.14,3.3,1659
2024-12-03,2.88,3.3,2.88,3.12,7231
2024-12-02,3.4,3.4,3.2,3.22,11455
2024-11-29,3.38,3.44,3.16,3.42,49743
2024-11-27,3.215,3.215,3.215,3.215,50000
2024-11-26,3.06,3.2,3.0,3.2,24186
2024-11-25,3.24,3.3,3.21,3.21,1583
2024-11-22,3.25,3.29,3.06,3.17,2327
2024-11-21,3.25,3.3,3.25,3.3,2003
2024-11-20,3.0278,3.2,2.93,3.2,21444
2024-11-19,3.08,3.3,2.92,3.16,18825
2024-11-18,3.06,3.31,2.92,3.3,8179
2024-11-15,3.31,3.31,3.09,3.09,3654
2024-11-14,3.28,3.32,3.06,3.31,10886
2024-11-13,3.3,3.365,3.08,3.32,6582
2024-11-12,3.35,3.3999,3.07126,3.3,5931
2024-11-11,3.4128,3.4455,3.1386,3.4,6957
2024-11-08,2.9954,3.45,2.9954,3.43,5814
2024-11-07,3.3775,3.425,3.16,3.425,4752
2024-11-06,3.2509,3.3,3.1324,3.2599,2506
2024-11-05,3.08,3.45,3.08,3.45,2757
2024-11-04,3.25,3.25,3.25,3.25,138
2024-11-01,3.45,3.45,3.3,3.44,11252
2024-10-31,3.235,3.53,2.9901,3.53,146000
2024-10-30,3.4001,3.41,2.8201,3.37,141202
2024-10-29,3.41,3.45,3.11,3.4,75953
2024-10-28,3.5,3.6,3.48,3.5,163266
2024-10-25,3.38,3.5,3.38,3.48,18266
2024-10-24,3.4,3.4,3.4,3.4,1501
2024-10-23,3.15,3.4,3.11,3.4,21669
2024-10-22,3.12,3.49,3.12,3.48,4238
2024-10-21,3.17,3.17,3.1,3.145,2000
2024-10-18,3.6,3.6,3.09,3.11,147468
2024-10-17,3.5,3.64,3.35,3.62,147207
2024-10-16,2.69,3.25,2.5,3.25,56383
2024-10-15,2.71,2.72,2.71,2.71,2716
2024-10-14,2.49,2.49,2.49,2.49,375
2024-10-11,2.5,2.65,2.3,2.49,21297
2024-10-10,2.545,2.7,2.49,2.5,38838
2024-10-09,2.5,2.68,2.49,2.68,29371
2024-10-08,2.45,2.65,2.45,2.64,25764
2024-10-04,2.46,2.6,2.46,2.6,31057
2024-10-03,2.5,2.5,2.44,2.44,12988
2024-10-02,2.18,2.57,2.18,2.57,206
