datetime,open,high,low,close,volume
2025-04-01,4.26,4.475,3.805,3.83,270900
2025-03-31,4.45,4.755,4.14,4.37,174900
2025-03-28,5.05,5.14,4.57,4.61,143800
2025-03-27,5.01,5.23,4.89,4.96,130300
2025-03-26,4.84,5.13,4.755,5.04,149100
2025-03-25,5.31,5.415,4.86,4.93,123000
2025-03-24,5.1,5.445,5.08,5.4,106600
2025-03-21,5.61,5.724,5.09,5.1,179400
2025-03-20,5.25,5.72,5.17,5.6,185200
2025-03-19,4.89,5.42,4.722,5.41,181400
2025-03-18,4.5,5.05,4.36,4.9,248800
2025-03-17,4.6,4.81,4.47,4.73,98500
2025-03-14,4.51,4.67,4.49,4.61,80100
2025-03-13,4.83,4.85,4.46,4.5,104800
2025-03-12,4.48,4.905,4.48,4.84,161700
2025-03-11,4.41,4.563,4.2,4.47,87400
2025-03-10,4.53,4.57,4.31,4.4,118900
2025-03-07,4.6,4.675,4.5,4.58,77800
2025-03-06,4.4,4.67,4.23,4.62,125000
2025-03-05,4.24,4.489,4.227,4.4,120500
2025-03-04,4.1,4.33,3.92,4.25,211400
2025-03-03,4.69,5.14,4.15,4.16,267800
2025-02-28,4.36,4.75,4.08,4.71,270100
2025-02-27,4.1,4.76,4.01,4.4,327600
2025-02-26,4.21,4.33,3.52,4.18,666100
2025-02-25,3.98,4.54,3.936,4.2,399800
2025-02-24,3.97,4.02,3.751,3.83,151800
2025-02-21,4.06,4.075,3.92,3.94,164500
2025-02-20,3.98,4.09,3.95,3.98,99900
2025-02-19,4.18,4.2,3.97,4.0,150300
2025-02-18,4.46,4.63,4.11,4.13,149500
2025-02-14,4.31,4.48,4.23,4.46,82500
2025-02-13,4.12,4.33,4.04,4.29,133600
2025-02-12,4.01,4.13,3.845,4.09,130000
2025-02-11,4.33,4.335,4.0,4.03,401200
2025-02-10,4.34,4.93,4.32,4.44,244200
2025-02-07,4.37,4.54,4.28,4.3,130000
2025-02-06,4.54,4.6,4.31,4.32,82500
2025-02-05,4.5,4.638,4.451,4.52,69900
2025-02-04,4.24,4.54,4.24,4.47,82300
2025-02-03,4.01,4.35,4.01,4.26,141200
2025-01-31,4.37,4.53,4.2,4.22,149900
2025-01-30,4.41,4.58,4.36,4.41,130500
2025-01-29,4.35,4.51,4.35,4.36,64400
2025-01-28,4.8,4.825,4.302,4.43,156700
