datetime,open,high,low,close,volume
2025-04-01,17.81,17.87,17.75,17.83,31000
2025-03-31,17.67,17.98,17.66,17.76,6000
2025-03-28,17.91,17.92,17.75,17.75,32100
2025-03-27,17.82,17.94,17.78,17.78,12200
2025-03-26,17.85,18.0,17.83,17.85,4800
2025-03-25,17.75,17.825,17.62,17.62,5900
2025-03-24,18.1,18.18,17.66,17.72,6800
2025-03-21,17.76,18.205,17.75,18.07,20900
2025-03-20,17.75,18.1,17.75,17.77,14700
2025-03-19,17.77,18.35,17.75,17.8,31400
2025-03-18,17.94,18.48,17.665,17.8,37100
2025-03-17,17.43,18.01,17.4,17.8,42100
2025-03-14,17.66,18.05,17.18,17.47,32300
2025-03-13,18.65,18.67,17.83,17.83,41100
2025-03-12,19.93,20.21,19.66,19.89,82200
2025-03-11,19.89,19.94,19.47,19.7,21100
2025-03-10,20.48,20.48,19.73,19.73,20100
2025-03-07,20.5,20.5,19.79,19.8,19900
2025-03-06,19.86,20.2,19.86,19.88,14300
2025-03-05,19.62,20.0,19.38,19.76,49100
2025-03-04,19.495,19.71,18.664,19.6,7900
2025-03-03,20.0,20.0,19.7,19.77,11100
2025-02-28,19.24,19.74,19.0,19.74,40700
2025-02-27,18.79,18.95,18.79,18.9,1200
2025-02-26,18.6,18.71,18.6,18.7,12300
2025-02-25,18.75,18.88,18.56,18.56,4300
2025-02-24,18.72,18.9,18.72,18.75,2700
2025-02-21,18.765,18.83,18.72,18.73,6000
2025-02-20,19.0,19.0,18.6,18.75,14600
2025-02-19,18.569,19.11,18.53,19.11,18400
2025-02-18,18.5,18.93,18.5,18.85,21900
2025-02-14,18.34,18.54,18.34,18.53,5900
2025-02-13,18.406,18.595,18.342,18.43,6800
2025-02-12,18.39,18.62,18.39,18.45,8300
2025-02-11,18.15,18.53,18.15,18.41,43900
2025-02-10,18.21,18.31,18.15,18.15,9200
2025-02-07,18.1,18.2,18.1,18.2,2100
2025-02-06,18.3,18.3,18.205,18.25,11100
2025-02-05,18.3,18.375,18.29,18.35,25500
2025-02-04,18.2,18.3,18.2,18.29,10400
2025-02-03,18.39,18.45,18.18,18.25,14900
2025-01-31,18.52,18.52,18.175,18.25,22500
2025-01-30,18.35,18.45,18.35,18.44,6400
2025-01-29,18.38,18.44,18.33,18.33,6500
2025-01-28,18.434,18.49,18.38,18.38,4900
2025-01-27,18.951,18.951,18.57,18.58,3100
2025-01-24,18.42,18.7,18.285,18.45,13400
2025-01-23,18.47,18.48,18.1,18.38,13600
2025-01-22,18.06,18.524,18.06,18.38,14300
2025-01-21,18.29,18.29,18.02,18.06,19300
2025-01-17,18.18,18.53,18.18,18.36,13600
2025-01-16,18.0,18.49,18.0,18.49,17300
2025-01-15,17.68,18.0,17.6,18.0,20400
2025-01-14,17.5,17.66,17.48,17.55,43200
2025-01-13,17.56,17.56,17.45,17.45,27500
2025-01-10,17.65,17.7,17.41,17.44,113100
2025-01-08,17.58,17.72,17.58,17.65,15200
2025-01-07,17.56,17.74,17.47,17.52,38700
2025-01-06,17.5,17.82,17.3,17.51,49500
2025-01-03,17.535,17.93,17.39,17.51,42000
2025-01-02,17.39,18.14,17.31,17.55,37300
2024-12-31,17.35,17.69,17.0,17.5,122500
2024-12-30,21.87,21.88,21.78,21.8,13500
2024-12-27,21.87,21.914,21.8,21.8,5900
2024-12-26,21.875,21.94,21.81,21.81,4100
2024-12-24,21.94,21.98,21.81,21.86,2800
2024-12-23,22.29,22.34,21.9,21.95,7500
2024-12-20,21.87,22.5,21.65,22.49,70800
2024-12-19,21.75,21.89,21.75,21.89,1500
2024-12-18,22.27,22.27,21.64,21.64,3400
2024-12-17,21.64,21.7,21.63,21.69,2600
2024-12-16,21.8,21.8,21.62,21.62,1600
2024-12-13,21.79,21.92,21.79,21.83,5300
2024-12-12,21.69,21.69,21.675,21.675,1100
2024-12-11,21.675,21.79,21.61,21.68,2000
2024-12-10,21.655,21.75,21.52,21.75,3900
2024-12-09,21.66,21.8,21.5,21.8,8300
2024-12-06,21.5,21.66,21.5,21.66,2200
2024-12-05,21.553,21.57,21.5,21.55,3200
2024-12-04,21.575,21.66,21.575,21.66,2100
2024-12-03,21.59,21.59,21.5,21.5,3400
2024-12-02,21.595,21.61,21.5,21.5,4400
2024-11-29,21.64,21.67,21.64,21.67,1500
2024-11-27,21.5,21.5,21.5,21.5,2100
2024-11-26,21.45,21.62,21.45,21.62,2500
2024-11-25,21.5,21.66,21.45,21.45,7600
2024-11-22,21.65,21.7,21.52,21.52,1500
2024-11-21,21.41,21.52,21.35,21.46,15500
2024-11-20,21.45,21.5,21.45,21.5,1200
2024-11-19,21.45,21.58,21.45,21.5,2400
2024-11-18,21.42,21.448,21.35,21.35,7500
2024-11-15,21.4,21.49,21.29,21.49,6100
2024-11-14,21.44,21.5,21.33,21.48,3000
2024-11-13,21.5,21.5,21.0,21.44,11000
2024-11-12,21.35,21.5,21.33,21.5,6000
2024-11-11,21.42,21.42,21.31,21.31,2000
