datetime,open,high,low,close,volume
2025-04-01,19.42,19.43,19.42,19.43,637
2025-03-31,19.9287,20.0,19.24,19.24,9632
2025-03-28,19.9,20.085,19.9,19.921,1079
2025-03-27,19.97,20.15,19.93,19.93,4659
2025-03-26,20.7252,20.7252,19.93,19.93,2534
2025-03-25,19.8,19.8,19.8,19.8,0
2025-03-24,19.6,19.95,19.6,19.8,6770
2025-03-21,19.6,19.6,19.6,19.6,191
2025-03-20,19.5,19.7935,19.5,19.7,659
2025-03-19,19.5,19.5,19.5,19.5,160
2025-03-18,19.73,19.73,19.73,19.73,0
2025-03-17,19.9138,19.95,19.71,19.73,2633
2025-03-14,19.5,19.8309,19.5,19.71,852
2025-03-13,19.8115,19.8115,19.8115,19.8115,650
2025-03-12,19.5,19.8133,19.5,19.8133,431
2025-03-11,19.5,19.69,19.5,19.5,6527
2025-03-10,19.5225,19.73,19.5225,19.73,597
2025-03-07,19.5,19.9,19.5,19.9,1223
2025-03-06,19.99,19.99,19.99,19.99,0
2025-03-05,19.5,19.99,19.5,19.99,3186
2025-03-04,19.456,19.88,19.1,19.63,7271
2025-03-03,19.15,19.7299,19.15,19.7299,1064
2025-02-28,19.26,20.0,19.2,19.21,3716
2025-02-27,19.5001,19.5001,19.35,19.3501,2838
2025-02-26,19.0,19.8891,19.0,19.1,3306
2025-02-25,18.9,18.9813,18.87,18.935,1024
2025-02-24,18.9,18.925,18.895,18.925,398
2025-02-21,18.945,18.99,18.9409,18.95,1733
2025-02-20,18.9757,18.99,18.8932,18.8932,3775
2025-02-19,18.8645,18.9925,18.815,18.9565,2998
2025-02-18,18.97,18.98,18.565,18.98,6914
2025-02-14,18.6,18.745,18.2,18.525,5792
2025-02-13,18.7426,18.8556,18.45,18.45,1858
2025-02-12,18.9751,18.9751,18.5,18.5045,1667
2025-02-11,18.0509,19.3,18.0,18.15,17715
2025-02-10,17.9,17.954,17.8,17.835,1721
2025-02-07,18.2,18.5101,17.93,18.0,8471
2025-02-06,18.3115,18.3115,18.01,18.19,3043
2025-02-05,17.9244,18.3099,17.9244,18.0081,6925
2025-02-04,18.0223,18.1099,18.015,18.1099,2598
2025-02-03,18.35,18.35,17.93,18.03,5655
2025-01-31,18.0,18.4272,17.79,17.79,8433
2025-01-30,17.5,17.95,17.35,17.848,21188
2025-01-29,17.5,17.85,17.25,17.3,55618
2025-01-28,16.0,16.0,16.0,16.0,0
2025-01-27,16.0,16.0,16.0,16.0,0
2025-01-24,16.0,16.0,16.0,16.0,1134
2025-01-23,15.8,16.45,15.8,16.37,2822
2025-01-22,16.12,16.12,15.94,15.94,983
2025-01-21,16.48,16.48,16.3,16.3,783
2025-01-17,16.47,16.47,16.3,16.3,1770
2025-01-16,16.25,16.4591,16.25,16.4591,3782
2025-01-15,16.5,16.5,16.1,16.1,4002
2025-01-14,16.36,16.36,15.8792,16.2,1396
2025-01-13,15.62,15.62,15.62,15.62,0
2025-01-10,15.0,16.7,15.0,15.62,10101
2025-01-08,15.3,15.31,15.0,15.01,4127
2025-01-07,15.352,15.4999,15.23,15.3,2716
2025-01-06,15.28,15.5,14.8535,15.02,1665
2025-01-03,15.03,15.03,15.03,15.03,273
2025-01-02,15.3,15.3,15.3,15.3,264
2024-12-31,15.3184,15.6424,14.5424,15.3,5417
2024-12-30,15.7425,15.7425,15.4421,15.5,929
2024-12-27,15.36,15.36,15.36,15.36,212
2024-12-26,14.9628,15.7219,14.9628,15.21,1496
2024-12-24,14.2848,15.0,14.2848,15.0,696
2024-12-23,14.0,14.84,14.0,14.3,18482
2024-12-20,14.1634,14.4,13.13,14.0,36296
2024-12-19,14.0,14.32,14.0,14.0,1777
2024-12-18,14.75,14.97,14.15,14.15,4647
2024-12-17,14.8,14.8,14.6915,14.6915,5308
2024-12-16,14.7407,14.7407,14.7,14.7,629
2024-12-13,15.0,15.0754,14.58,14.58,1409
2024-12-12,14.8,15.585,14.8,15.0,3434
2024-12-11,14.85,15.2,14.85,14.9,3491
2024-12-10,15.0,15.85,15.0,15.0,2046
2024-12-09,14.96,14.96,14.8,14.8,564
2024-12-06,14.9932,14.9932,14.9067,14.95,1396
2024-12-05,15.1,15.1,14.9443,14.99,2651
2024-12-04,15.0,15.0,14.95,14.95,4210
2024-12-03,15.14,15.2465,14.9216,14.94,10310
2024-12-02,15.0,15.0,14.8995,14.95,9100
2024-11-29,15.42,15.42,14.8,14.8,1065
2024-11-27,16.601,16.601,15.25,15.44,6148
2024-11-26,15.82,15.8509,15.52,15.8,1983
2024-11-25,15.8,15.8,15.67,15.79,2743
2024-11-22,16.03,16.2475,15.8,16.17,2557
