datetime,open,high,low,close,volume
2025-03-26,0.155,0.155,0.155,0.155,5
2025-03-24,0.176,0.1972,0.176,0.19,12588
2025-03-21,0.174,0.174,0.174,0.174,314
2025-03-17,0.174,0.174,0.1732,0.1732,2
2025-03-14,0.1642,0.18,0.1501,0.1732,4129
2025-03-12,0.161,0.161,0.155,0.155,370
2025-03-11,0.1571,0.1571,0.155,0.155,6286
2025-03-10,0.1555,0.1555,0.1555,0.1555,200
2025-03-06,0.15,0.15,0.15,0.15,20
2025-03-05,0.15,0.15,0.15,0.15,111
2025-03-03,0.17,0.17,0.17,0.17,1320
2025-02-28,0.18,0.18,0.155,0.155,1178
2025-02-27,0.165,0.17,0.165,0.165,20357
2025-02-25,0.16,0.16,0.16,0.16,655
2025-02-24,0.1401,0.1662,0.1401,0.16,10346
2025-02-21,0.1402,0.1402,0.1401,0.1401,11746
2025-02-20,0.14,0.182,0.1325,0.1402,228357
2025-02-19,0.105,0.105,0.105,0.105,100
2025-02-18,0.13,0.13,0.13,0.13,239
2025-02-14,0.12,0.1251,0.12,0.125,907
2025-02-12,0.125,0.1351,0.125,0.1351,306
2025-02-11,0.12,0.12,0.12,0.12,286
2025-02-10,0.12,0.12,0.12,0.12,100
2025-02-07,0.135,0.1351,0.135,0.1351,283
2025-02-06,0.135,0.1351,0.125,0.1351,16607
2025-02-05,0.1,0.125,0.1,0.125,990
2025-02-04,0.1396,0.1396,0.1301,0.1392,1277
2025-01-27,0.1223,0.1223,0.1201,0.1201,57
2025-01-24,0.12,0.135,0.12,0.135,305
2025-01-23,0.13,0.13,0.13,0.13,100
2025-01-22,0.1596,0.16,0.1251,0.1352,3365
2025-01-15,0.1108,0.1108,0.1011,0.1011,31
2025-01-08,0.1201,0.1201,0.1108,0.1108,8029
2025-01-07,0.12,0.1201,0.12,0.1201,1165
2025-01-06,0.13,0.13,0.129,0.129,5038
2025-01-03,0.1301,0.1301,0.1301,0.1301,583
2025-01-02,0.1201,0.13,0.1201,0.13,5965
2024-12-31,0.13,0.13,0.13,0.13,200
2024-12-30,0.13,0.13,0.13,0.13,387
2024-12-27,0.14,0.14,0.14,0.14,916
2024-12-26,0.1321,0.1321,0.1321,0.1321,100
2024-12-24,0.1201,0.1201,0.1201,0.1201,111
2024-12-23,0.1235,0.143,0.1209,0.1209,15147
2024-12-20,0.1249,0.1249,0.1209,0.1209,1600
2024-12-19,0.1249,0.1249,0.1249,0.1249,200
2024-12-18,0.13,0.13,0.122,0.122,772
2024-12-17,0.13,0.13,0.13,0.13,400
2024-12-16,0.15,0.164,0.15,0.154,3261
2024-12-13,0.1503,0.1503,0.1503,0.1503,5015
2024-12-12,0.13,0.13,0.13,0.13,2355
2024-12-11,0.13,0.13,0.13,0.13,335
2024-12-10,0.13,0.13,0.13,0.13,288
2024-12-09,0.1458,0.2035,0.13,0.13,11009
2024-12-06,0.126,0.1398,0.126,0.1388,16605
2024-12-04,0.12,0.12,0.12,0.12,215
2024-12-03,0.1183,0.12,0.1183,0.12,80624
2024-12-02,0.112,0.12,0.1048,0.1048,285077
2024-11-29,0.12,0.12,0.12,0.12,562
2024-11-27,0.137,0.137,0.12,0.12,672
2024-11-25,0.14,0.14,0.12,0.137,150
2024-11-22,0.12,0.2147,0.12,0.1294,76771
2024-11-20,0.1011,0.1011,0.1011,0.1011,1
2024-11-19,0.08,0.08,0.08,0.08,1652
2024-11-18,0.1011,0.111,0.1011,0.111,1668
2024-11-14,0.111,0.111,0.111,0.111,427
2024-11-08,0.1011,0.1111,0.1011,0.1111,2643
2024-11-07,0.1011,0.1011,0.1011,0.1011,874
2024-11-06,0.119,0.119,0.1056,0.1072,23886
2024-11-05,0.1012,0.1191,0.1012,0.1191,6093
2024-11-04,0.1199,0.15,0.1011,0.121,73408
2024-11-01,0.1045,0.1749,0.101,0.1222,242711
2024-10-31,0.1398,0.1398,0.101,0.1044,31492
2024-10-30,0.17,0.5,0.1281,0.1313,1418167
2024-10-29,0.1355,0.1355,0.1355,0.1355,500
2024-10-28,0.1518,0.17,0.1106,0.12,11744
2024-10-11,0.16,0.16,0.16,0.16,70
2024-10-08,0.16,0.16,0.16,0.16,1101
2024-10-07,0.17,0.17,0.162,0.162,549
2024-10-01,0.1649,0.1649,0.1649,0.1649,87
2024-09-20,0.17,0.17,0.17,0.17,4
2024-09-19,0.17,0.17,0.17,0.17,1100
2024-09-18,0.17,0.17,0.17,0.17,200
2024-09-17,0.17,0.17,0.16,0.16,1322
2024-09-16,0.17,0.17,0.17,0.17,1800
2024-09-12,0.17,0.17,0.17,0.17,864
2024-09-11,0.176,0.176,0.17,0.1701,40920
2024-08-28,0.0,0.17,0.17,0.17,0
2024-08-19,0.0,0.17,0.17,0.17,26
