datetime,open,high,low,close,volume
2025-04-01,345.07001,345.07001,341.23001,343.85999,903750
2025-03-31,342.81,346.95001,341.0,345.23999,1770700
2025-03-28,340.64999,343.57999,339.51999,340.76001,1362700
2025-03-27,338.5,341.89001,335.25,341.0,1330600
2025-03-26,338.84,340.10999,336.10001,336.73001,1351200
2025-03-25,338.17999,338.81,333.20001,337.35999,1427000
2025-03-24,334.20999,339.51999,332.07999,337.67001,1226400
2025-03-21,333.17001,335.07001,330.06,331.79001,2675700
2025-03-20,326.92999,335.66,326.34,334.44,1497400
2025-03-19,329.59,330.39999,323.82001,326.64001,974000
2025-03-18,329.14001,333.0,328.45999,329.66,1422500
2025-03-17,323.25,329.64001,322.0,329.14001,1172000
2025-03-14,323.54999,325.76999,321.76001,325.23999,1265300
2025-03-13,327.10999,327.10999,322.41,322.85001,1151000
2025-03-12,325.75,327.63,320.67001,325.07999,1185100
2025-03-11,322.82001,327.88,321.88,325.75,1635500
2025-03-10,323.01999,324.39999,318.23999,321.85001,3180700
2025-03-07,338.57999,339.48001,321.19,324.0,4131400
2025-03-06,339.82001,342.01001,334.70001,339.85001,1491900
2025-03-05,335.60999,342.04001,335.60999,340.79001,1216800
2025-03-04,343.72,345.42999,336.48001,337.26999,1914700
2025-03-03,336.87,343.20999,336.38,341.79999,1360400
2025-02-28,334.81,338.42999,332.78,337.73999,1745000
2025-02-27,328.60001,334.69,326.92999,333.17001,1462500
2025-02-26,331.51999,333.03,327.60001,328.32999,991800
2025-02-25,329.91,332.69,329.12,331.82999,1712700
2025-02-24,325.44,331.09,325.37,328.48999,1465500
2025-02-21,324.67001,327.26999,323.84,325.56,952400
2025-02-20,326.0,327.39999,322.67001,325.13,876400
2025-02-19,327.26001,327.98999,325.35999,327.32999,709600
2025-02-18,322.23999,326.39999,320.04001,326.29999,1318500
2025-02-14,328.85001,329.60001,319.5,321.5,2079500
2025-02-13,325.0,328.92001,324.01001,328.56,1210900
2025-02-12,320.38,325.10001,319.69,324.60999,1099500
2025-02-11,323.97,324.17001,320.76999,322.0,1537900
2025-02-10,322.07001,324.79001,319.81,324.29001,1573100
2025-02-07,319.67999,323.54999,318.89001,322.32999,1722100
2025-02-06,316.95001,320.72,315.66,319.98999,1852500
2025-02-05,314.60001,316.34,311.62,316.29999,1481100
2025-02-04,309.0,313.0,308.51999,312.20999,1680500
2025-02-03,299.75,309.53,299.37,309.0,2216500
2025-01-31,298.20001,307.73999,296.82999,301.82001,2411700
2025-01-30,297.07001,299.44,294.60001,299.03,1641600
2025-01-29,292.0,296.0,291.47,294.10001,1593800
2025-01-28,296.0,297.48999,293.19,293.41,1781700
2025-01-27,289.51999,297.70001,289.51999,296.0,1630400
2025-01-24,286.79999,289.92999,286.78,289.51001,2030400
2025-01-23,292.45001,294.35999,287.5,288.0,1565300
2025-01-22,297.14999,297.66,293.39999,293.5,1504700
2025-01-21,296.88,299.01001,293.85999,296.76999,1626500
2025-01-17,295.79001,296.92999,293.91,294.82001,1261500
2025-01-16,290.76001,296.01999,290.76001,295.79001,1230500
2025-01-15,292.0,292.0,287.76001,290.19,1869200
2025-01-14,286.0,289.75,284.87,289.10999,1284600
2025-01-13,285.22,288.31,285.22,285.81,1918400
2025-01-10,285.98999,290.34,283.62,287.01001,3074500
2025-01-08,282.13,286.09,280.17001,285.5,1853500
2025-01-07,278.32001,282.19,277.23001,279.76999,2776800
2025-01-06,281.70999,282.0,276.26001,276.42001,1678100
2025-01-03,277.42001,281.75,276.81,280.39999,3729000
2025-01-02,285.39001,286.26999,275.56,275.89001,2560700
2024-12-31,285.70001,285.98001,282.57001,283.85001,1354100
2024-12-30,284.07999,285.39001,281.82999,284.45999,1709800
2024-12-27,287.84,289.0,285.20001,286.54001,7622800
2024-12-26,286.54999,289.12,286.17999,288.35999,1173300
2024-12-24,285.22,288.5,283.57001,288.35001,1045800
2024-12-23,281.67001,284.98001,280.82001,284.51001,1935200
2024-12-20,279.51999,286.44,276.98999,283.10001,2774900
2024-12-19,278.76999,282.14999,276.89999,279.09,2244000
2024-12-18,282.91,285.82999,278.22,278.48999,2028200
2024-12-17,284.42999,284.82999,279.70999,282.91,2370800
2024-12-16,285.70001,289.0,284.29999,286.0,2981700
2024-12-13,282.28,285.69,281.48001,284.59,2827200
2024-12-12,284.95999,286.20001,281.07999,281.19,5646000
2024-12-11,284.82001,285.92999,281.5,283.57999,4921500
2024-12-10,283.75,288.41,282.60001,283.73999,13426500
2024-12-09,293.0,299.04999,283.04999,291.85001,2811500
2024-12-06,301.35001,303.42999,296.39001,296.70999,887800
2024-12-05,306.51001,307.67001,303.5,303.57999,869200
2024-12-04,308.38,310.94,306.76999,307.26001,850500
2024-12-03,308.85001,310.20999,302.89001,309.81,1183100
2024-12-02,312.51001,313.01001,306.54999,307.95999,592000
2024-11-29,313.85001,316.72,311.92001,312.23999,811900
2024-11-27,313.48999,315.73001,311.62,315.16,1383200
2024-11-26,308.23001,314.44,307.10001,312.95999,1538500
2024-11-25,302.32001,306.48999,300.76999,306.39001,2181300
2024-11-22,303.17999,308.0,301.92999,304.29001,626000
2024-11-21,297.14001,303.67001,294.82999,302.44,1032700
2024-11-20,294.01001,296.73999,291.12,295.88,772800
2024-11-19,292.17001,293.76999,289.79999,292.48999,692000
2024-11-18,291.73001,295.60999,290.29001,293.59,728100
2024-11-15,294.63,296.94,292.44,294.57999,948400
2024-11-14,297.5,299.42001,294.20999,294.70999,634300
2024-11-13,295.13,299.70999,295.09,298.32001,966100
2024-11-12,294.57999,296.12,292.76999,295.26999,764600
2024-11-11,295.35001,297.01001,292.14001,292.72,731000
2024-11-08,293.42999,297.07001,292.20001,294.76999,787800
2024-11-07,292.39999,292.67001,289.12,290.56,862300
2024-11-06,292.0,293.88,284.56,290.67999,1284300
2024-11-05,281.09,283.19,279.60001,283.14001,787600
2024-11-04,282.45999,282.94,279.70999,281.64999,654200
2024-11-01,281.75,283.10999,280.01001,280.39999,738400
2024-10-31,283.66,285.82999,281.19,281.20001,868200
2024-10-30,285.25,286.67001,283.51999,284.48001,556600
2024-10-29,286.22,287.78,285.10001,285.12,791800
2024-10-28,286.54999,287.53,283.60001,285.98999,1008200
2024-10-25,283.0,287.48999,277.44,282.97,1478000
2024-10-24,290.0,290.0,286.70999,287.54999,938100
2024-10-23,286.72,289.76001,286.20999,288.92999,612300
2024-10-22,288.64999,289.95001,284.5,287.22,609400
2024-10-21,288.17001,289.92999,286.10999,289.62,577000
2024-10-18,292.0,292.0,288.23001,289.25,738600
2024-10-17,291.51001,292.84,288.45001,290.76001,908300
2024-10-16,285.84,290.20001,285.5,289.51999,1004900
2024-10-15,290.70001,292.97,286.73001,287.57001,932000
2024-10-14,288.63,290.47,287.39999,289.70999,735900
2024-10-11,287.34,288.45999,284.78,287.91,749300
2024-10-10,296.81,297.76001,283.62,285.70001,1504500
2024-10-09,291.45001,295.54001,291.34,294.94,1081400
2024-10-08,289.14999,294.32001,288.67001,293.16,1219900
2024-10-07,288.97,290.35001,284.39001,286.89999,1376000
2024-10-04,286.07001,290.04999,284.95001,289.62,828500
2024-10-03,286.84,287.39001,284.79001,286.06,947000
2024-10-02,285.22,286.29001,284.04001,285.91,1336100
2024-10-01,281.64999,286.45001,281.12,286.29999,1083100
2024-09-30,280.14999,281.92999,278.19,281.37,851900
2024-09-27,277.5,280.66,277.5,279.45001,740400
2024-09-26,280.22,281.20999,277.35001,277.98999,1210900
2024-09-25,280.95999,282.41,278.89999,280.75,896900
2024-09-24,282.03,282.67999,278.20001,279.32999,759100
2024-09-23,278.22,282.76001,276.70001,282.03,1459300
2024-09-20,279.60999,281.13,274.25,276.06,2482800
2024-09-19,291.16,292.01999,281.82001,282.20001,1530800
2024-09-18,296.98999,297.10999,290.17001,291.17999,685200
2024-09-17,299.01999,300.94,294.48001,295.94,556300
2024-09-16,299.0,301.04001,298.64001,299.54999,541500
2024-09-13,296.60001,298.17001,294.41,297.39001,400600
2024-09-12,293.98001,297.17001,293.10001,296.60001,410500
2024-09-11,297.78,297.87,289.39999,294.64999,582000
2024-09-10,299.25,300.66,297.28,298.82001,742300
2024-09-09,295.70001,299.89999,294.85001,298.94,839600
2024-09-06,295.01001,296.75,293.59,294.19,671500
2024-09-05,298.22,298.22,293.16,295.54999,527300
2024-09-04,295.31,298.23999,294.85999,297.75,714500
2024-09-03,292.89999,296.10001,292.57001,294.48999,751200
2024-08-30,291.84,293.13,288.94,292.57001,1405000
2024-08-29,291.62,293.70999,290.01001,291.47,375000
2024-08-28,290.73999,294.0,290.17001,290.87,608900
2024-08-27,287.57001,291.0,287.22,290.06,817100
2024-08-26,288.44,289.09,286.35001,286.78,652100
