datetime,open,high,low,close,volume
2025-04-01,26.22,26.34,26.15,26.2,47693
2025-03-31,26.35,26.3927,26.11,26.17,257163
2025-03-28,26.97,27.0,26.77,26.83,42686
2025-03-27,27.07,27.1199,26.905,26.97,28253
2025-03-26,27.19,27.19,26.99,27.03,55665
2025-03-25,27.15,27.15,27.0,27.15,39801
2025-03-24,27.16,27.2075,27.02,27.075,58405
2025-03-21,27.15,27.27,27.06,27.115,58132
2025-03-20,27.18,27.24,27.09,27.15,61121
2025-03-19,27.13,27.22,27.02,27.11,60219
2025-03-18,27.1,27.1883,27.02,27.1,40593
2025-03-17,27.14,27.15,27.03,27.08,31909
2025-03-14,27.01,27.1576,26.97,27.09,28126
2025-03-13,26.98,27.09,26.93,27.02,21179
2025-03-12,26.99,27.02,26.78,26.965,25430
2025-03-11,26.89,26.9517,26.81,26.94,23546
2025-03-10,27.0105,27.02,26.88,26.99,35640
2025-03-07,27.05,27.1274,26.92,26.995,23784
2025-03-06,27.05,27.08,26.91,26.97,35416
2025-03-05,27.05,27.2,26.99,27.04,50883
2025-03-04,27.18,27.18,26.9754,27.09,41612
2025-03-03,27.29,27.32,27.14,27.14,31922
2025-02-28,27.26,27.29,27.07,27.2,39687
2025-02-27,27.33,27.33,27.11,27.13,27853
2025-02-26,27.37,27.37,27.26,27.32,23732
2025-02-25,27.19,27.405,27.133,27.31,48250
2025-02-24,27.18,27.23,27.11,27.13,32627
2025-02-21,27.05,27.26,26.9707,27.12,55176
2025-02-20,27.03,27.05,26.8619,26.99,17544
2025-02-19,26.91,26.99,26.83,26.98,21889
2025-02-18,26.99,27.03,26.8401,26.92,29948
2025-02-14,26.88,27.07,26.7657,26.93,17922
2025-02-13,26.84,26.8899,26.65,26.745,25522
2025-02-12,26.7,26.709,26.61,26.65,61753
2025-02-11,26.79,26.8599,26.7245,26.81,13302
2025-02-10,26.81,26.93,26.73,26.77,28144
2025-02-07,26.7,26.84,26.6925,26.73,75499
2025-02-06,26.84,26.85,26.7,26.7599,18733
2025-02-05,26.72,26.81,26.67,26.78,33164
2025-02-04,26.52,26.6499,26.52,26.55,23159
2025-02-03,26.63,26.6799,26.51,26.53,16318
2025-01-31,26.67,26.7699,26.58,26.58,64344
2025-01-30,26.75,26.77,26.67,26.67,27995
2025-01-29,26.82,26.84,26.63,26.66,25481
2025-01-28,26.97,26.9999,26.75,26.75,32420
2025-01-27,26.7267,27.01,26.71,26.93,41775
2025-01-24,26.7,26.77,26.65,26.69,18131
2025-01-23,26.79,26.9,26.63,26.64,47861
2025-01-22,26.95,27.0,26.76,26.76,18911
2025-01-21,26.786,26.92,26.74,26.91,24521
2025-01-17,26.85,26.9,26.6452,26.72,25876
2025-01-16,26.87,26.92,26.5579,26.69,63545
2025-01-15,26.68,27.1578,26.45,26.78,45166
2025-01-14,26.15,26.35,26.1106,26.34,76815
2025-01-13,26.3,26.3,26.06,26.06,117227
2025-01-10,26.4,26.5385,26.16,26.3,109606
2025-01-08,26.86,26.87,26.39,26.59,106321
2025-01-07,26.96,26.98,26.65,26.83,55253
2025-01-06,26.99,27.06,26.81,26.94,21160
2025-01-03,26.92,27.005,26.9,26.99,19187
2025-01-02,26.715,26.87,26.7,26.87,39723
2024-12-31,26.74,26.81,26.47,26.62,226169
2024-12-30,27.01,27.3,26.94,27.2,48243
2024-12-27,27.11,27.13,26.9544,26.98,48070
2024-12-26,27.1,27.15,27.0,27.13,22172
2024-12-24,27.12,27.2,26.9077,27.16,28657
2024-12-23,27.15,27.2099,27.0101,27.06,37430
2024-12-20,27.07,27.17,26.9083,27.08,45237
2024-12-19,26.88,27.0299,26.4945,26.99,70030
2024-12-18,27.01,27.09,26.85,26.93,48891
2024-12-17,26.94,27.05,26.8656,27.0,43663
2024-12-16,26.96,26.9828,26.84,26.88,33325
2024-12-13,26.83,26.98,26.8,26.84,52782
2024-12-12,27.03,27.049,26.82,26.83,31460
2024-12-11,27.11,27.17,26.98,26.98,29023
2024-12-10,27.01,27.09,26.89,27.0,24276
2024-12-09,27.25,27.31,26.93,26.94,74628
2024-12-06,27.37,27.37,27.23,27.25,29914
2024-12-05,27.24,27.36,27.1708,27.28,34267
2024-12-04,27.19,27.3099,27.14,27.16,34904
2024-12-03,27.15,27.18,27.0408,27.14,33156
2024-12-02,27.25,27.25,27.08,27.11,50346
2024-11-29,27.15,27.31,26.9934,27.27,71576
2024-11-27,26.99,27.14,26.9,27.0,30135
