datetime,open,high,low,close,volume
2025-04-01,4.95,5.13,4.7,4.745,2385800
2025-03-31,5.07,5.12,4.78,5.0,3598900
2025-03-28,5.57,5.57,5.3,5.32,1339600
2025-03-27,5.575,5.63,5.45,5.57,1624700
2025-03-26,5.86,5.921,5.56,5.59,1426700
2025-03-25,6.01,6.036,5.84,5.89,1589700
2025-03-24,5.84,6.16,5.82,6.05,2299700
2025-03-21,5.65,5.87,5.6,5.81,2037600
2025-03-20,5.74,5.868,5.64,5.78,1706600
2025-03-19,5.6,5.88,5.55,5.81,1743800
2025-03-18,5.87,5.89,5.48,5.61,2530000
2025-03-17,5.92,6.01,5.45,5.97,5880000
2025-03-14,5.39,6.05,5.355,5.92,12203900
2025-03-13,5.46,5.62,5.14,5.2,2931700
2025-03-12,5.41,5.61,5.39,5.55,3033600
2025-03-11,5.38,5.45,5.15,5.26,3241000
2025-03-10,5.49,5.568,5.225,5.455,2295200
2025-03-07,5.53,5.644,5.46,5.57,2392200
2025-03-06,5.58,5.66,5.405,5.59,2997300
2025-03-05,5.94,6.09,5.71,5.72,3508400
2025-03-04,5.82,6.07,5.5,5.96,2811700
2025-03-03,6.71,6.71,5.93,5.99,2646500
2025-02-28,6.245,6.675,6.2,6.65,3370900
2025-02-27,6.005,6.78,5.96,6.42,4447500
2025-02-26,5.92,6.09,5.89,5.94,1932200
2025-02-25,6.2,6.23,5.8,5.91,2369900
2025-02-24,6.4,6.459,6.03,6.11,2025200
2025-02-21,6.72,6.77,6.33,6.43,1639100
2025-02-20,6.8,6.84,6.51,6.63,1694200
2025-02-19,6.45,7.1,6.41,6.78,3628300
2025-02-18,6.45,6.69,6.37,6.48,2525000
2025-02-14,6.22,6.53,6.17,6.37,2431100
2025-02-13,6.25,6.33,6.072,6.23,2066600
2025-02-12,6.22,6.29,6.06,6.22,2011000
2025-02-11,6.515,6.515,6.16,6.29,2581000
2025-02-10,6.7,6.761,6.48,6.61,1565700
2025-02-07,6.87,7.05,6.64,6.66,1443600
2025-02-06,7.0,7.17,6.87,6.91,1518600
2025-02-05,6.7,7.045,6.69,6.99,1751900
2025-02-04,6.44,6.64,6.34,6.64,1359200
2025-02-03,6.36,6.53,6.145,6.44,2051500
2025-01-31,7.01,7.04,6.615,6.64,2033300
2025-01-30,7.0,7.135,6.901,7.0,1575600
2025-01-29,6.9,7.175,6.845,6.95,2931800
2025-01-28,7.0,7.05,6.825,6.93,1469300
2025-01-27,6.85,7.12,6.77,7.0,2144700
2025-01-24,7.12,7.42,6.9,6.98,2355300
2025-01-23,6.86,7.16,6.72,7.06,1570600
2025-01-22,6.81,7.01,6.78,6.94,1715300
2025-01-21,6.96,7.005,6.733,6.83,1321500
2025-01-17,6.8,6.99,6.73,6.86,1697000
2025-01-16,6.63,6.834,6.455,6.71,1609100
2025-01-15,6.5,6.67,6.409,6.58,2206200
2025-01-14,6.78,6.82,6.19,6.23,3743900
2025-01-13,6.67,6.82,6.58,6.78,1855100
2025-01-10,7.23,7.255,6.7,6.87,3895800
2025-01-08,7.54,7.83,7.3,7.45,2751100
2025-01-07,7.25,7.515,7.125,7.31,2242600
2025-01-06,7.36,7.57,7.22,7.25,2795300
2025-01-03,7.18,7.38,7.13,7.26,2727800
2025-01-02,7.31,7.41,6.95,7.11,2405700
2024-12-31,7.4,7.53,7.05,7.21,2652600
2024-12-30,7.46,7.61,7.17,7.32,2103700
2024-12-27,7.9,8.03,7.48,7.67,1913900
2024-12-26,7.47,8.05,7.375,8.0,2184200
2024-12-24,7.76,7.8,7.5,7.55,1339700
2024-12-23,8.22,8.25,7.69,7.76,2884100
2024-12-20,8.31,8.75,8.18,8.25,4899400
2024-12-19,8.1,8.47,7.87,8.18,2844400
2024-12-18,8.38,8.58,7.705,7.9,4739900
2024-12-17,8.85,8.882,8.32,8.4,2838500
2024-12-16,9.06,9.59,8.95,9.0,2674700
2024-12-13,8.64,9.165,8.46,9.03,3012900
