datetime,open,high,low,close,volume
2025-03-05,5.84,5.85,5.84,5.84,93050357
2025-03-04,5.84,5.85,5.84,5.84,23235656
2025-03-03,5.84,5.846,5.83,5.84,23700774
2025-02-28,5.84,5.87,5.83,5.84,14457597
2025-02-27,5.83,5.84,5.83,5.83,12881846
2025-02-26,5.83,5.84,5.82,5.83,12201214
2025-02-25,5.84,5.84,5.82,5.82,8628500
2025-02-24,5.83,5.84,5.82,5.83,11372000
2025-02-21,5.84,5.84,5.82,5.82,46278500
2025-02-20,5.83,5.84,5.82,5.83,15468600
2025-02-19,5.82,5.84,5.82,5.84,18182000
2025-02-18,5.83,5.84,5.82,5.83,14715600
2025-02-14,5.83,5.83,5.82,5.83,22350400
2025-02-13,5.82,5.83,5.79,5.82,29887700
2025-02-12,5.8,5.81,5.79,5.79,41866700
2025-02-11,5.74,5.75,5.72,5.73,8287700
2025-02-10,5.74,5.76,5.73,5.75,15518700
2025-02-07,5.75,5.76,5.73,5.73,9020600
2025-02-06,5.74,5.77,5.73,5.76,11424700
2025-02-05,5.75,5.75,5.72,5.73,6979200
2025-02-04,5.71,5.76,5.71,5.75,7902200
2025-02-03,5.72,5.74,5.68,5.71,18685700
2025-01-31,5.75,5.76,5.72,5.74,17349700
2025-01-30,5.75,5.76,5.74,5.74,9303000
2025-01-29,5.73,5.76,5.72,5.75,9580100
2025-01-28,5.74,5.75,5.71,5.72,13807200
2025-01-27,5.74,5.75,5.73,5.73,9753000
2025-01-24,5.73,5.76,5.73,5.75,20607300
2025-01-23,5.73,5.74,5.73,5.73,10099000
2025-01-22,5.72,5.75,5.71,5.73,18821300
2025-01-21,5.72,5.73,5.71,5.72,11081800
2025-01-17,5.71,5.73,5.7,5.72,9152000
2025-01-16,5.72,5.73,5.7,5.7,16284000
2025-01-15,5.71,5.72,5.7,5.71,6111300
2025-01-14,5.7,5.72,5.69,5.7,23615200
2025-01-13,5.67,5.71,5.67,5.7,17499500
2025-01-10,5.7,5.71,5.66,5.66,42414100
2025-01-08,5.72,5.73,5.7,5.7,108077500
2025-01-07,5.2,5.3,5.19,5.27,8831600
2025-01-06,5.25,5.29,5.21,5.22,5481500
2025-01-03,5.19,5.29,5.17,5.27,11647800
2025-01-02,5.13,5.18,5.11,5.16,7554200
2024-12-31,5.18,5.2,5.12,5.13,12132400
2024-12-30,5.11,5.18,5.11,5.14,6821400
2024-12-27,5.15,5.21,5.08,5.13,6041000
2024-12-26,5.22,5.29,5.18,5.19,5292200
2024-12-24,5.17,5.27,5.12,5.26,11202400
2024-12-23,4.87,5.06,4.86,4.97,13282900
2024-12-20,4.88,4.94,4.81,4.85,42375600
2024-12-19,4.95,5.06,4.87,4.88,19325600
2024-12-18,5.04,5.08,4.93,4.97,15867300
2024-12-17,5.07,5.09,5.03,5.06,12747400
2024-12-16,5.13,5.14,5.08,5.09,13203100
2024-12-13,5.19,5.22,5.13,5.14,9560400
2024-12-12,5.12,5.23,5.11,5.21,8039400
2024-12-11,5.13,5.14,5.1,5.12,6318100
2024-12-10,5.13,5.18,5.11,5.12,8731800
2024-12-09,5.22,5.27,5.12,5.12,9238000
2024-12-06,5.15,5.27,5.11,5.25,8461700
2024-12-05,5.12,5.16,5.1,5.11,8390800
2024-12-04,5.11,5.16,5.1,5.14,7522600
2024-12-03,5.15,5.17,5.09,5.11,12077800
2024-12-02,5.25,5.29,4.97,5.16,25931400
2024-11-29,5.25,5.28,5.25,5.25,3800300
2024-11-27,5.26,5.29,5.23,5.23,5439000
2024-11-26,5.31,5.32,5.22,5.23,5881100
2024-11-25,5.29,5.36,5.29,5.32,8690900
2024-11-22,5.24,5.31,5.23,5.29,7373400
2024-11-21,5.19,5.3,5.19,5.28,5363300
2024-11-20,5.17,5.22,5.17,5.21,8214800
2024-11-19,5.16,5.21,5.15,5.19,8702100
2024-11-18,5.22,5.22,5.19,5.2,10442000
2024-11-15,5.25,5.26,5.21,5.22,13648900
2024-11-14,5.26,5.28,5.2,5.22,18806300
2024-11-13,5.29,5.32,5.21,5.25,13192800
2024-11-12,5.34,5.36,5.3,5.3,11138000
2024-11-11,5.33,5.39,5.33,5.37,11903100
2024-11-08,5.37,5.42,5.33,5.36,15598100
2024-11-07,5.43,5.45,5.37,5.38,9100900
2024-11-06,5.44,5.47,5.34,5.44,17864000
2024-11-05,5.43,5.46,5.42,5.45,10712000
2024-11-04,5.44,5.46,5.4,5.43,12092700
2024-11-01,5.38,5.47,5.36,5.44,12524900
2024-10-31,5.35,5.4,5.3,5.39,12957600
2024-10-30,5.42,5.43,5.34,5.35,18147600
2024-10-29,5.47,5.48,5.43,5.43,13142700
2024-10-28,5.47,5.49,5.45,5.48,11035100
2024-10-25,5.49,5.51,5.45,5.46,24507800
2024-10-24,5.52,5.53,5.49,5.5,23404400
2024-10-23,5.53,5.54,5.47,5.54,29574200
2024-10-22,5.53,5.54,5.52,5.54,15362300
2024-10-21,5.54,5.54,5.51,5.52,25300900
2024-10-18,5.52,5.54,5.52,5.53,17753600
2024-10-17,5.54,5.55,5.52,5.53,29648700
2024-10-16,5.54,5.55,5.53,5.53,32710700
2024-10-15,5.53,5.56,5.52,5.53,37262100
2024-10-14,5.54,5.55,5.5,5.54,29961600
2024-10-11,5.53,5.56,5.53,5.56,40228400
2024-10-10,5.54,5.56,5.53,5.53,58481600
2024-10-09,5.56,5.58,5.52,5.55,415270000
2024-10-08,4.07,4.35,4.01,4.24,27120000
2024-10-07,4.27,4.4,3.98,4.17,87785900
2024-10-04,2.98,3.2,2.96,3.08,32480200
2024-10-03,2.77,2.84,2.77,2.8,10370000
2024-10-02,2.83,2.93,2.8,2.88,11507500
2024-10-01,2.86,2.87,2.77,2.84,7797300
2024-09-30,2.94,2.95,2.81,2.85,8291900
2024-09-27,2.91,2.96,2.83,2.88,13300500
2024-09-26,2.68,2.84,2.68,2.82,11215900
2024-09-25,2.62,2.68,2.57,2.59,9164900
2024-09-24,2.61,2.67,2.56,2.58,13601200
2024-09-23,2.54,2.56,2.48,2.5,9216000
2024-09-20,2.44,2.61,2.42,2.51,21165200
2024-09-19,2.62,2.62,2.46,2.5,12080300
2024-09-18,2.45,2.62,2.44,2.47,11065900
2024-09-17,2.46,2.53,2.45,2.47,10296200
2024-09-16,2.46,2.49,2.42,2.45,6040300
2024-09-13,2.48,2.49,2.38,2.44,8178400
2024-09-12,2.56,2.6,2.43,2.46,9311400
2024-09-11,2.68,2.68,2.49,2.61,15121800
2024-09-10,2.25,2.29,2.21,2.26,9067100
2024-09-09,2.28,2.31,2.24,2.26,10292900
2024-09-06,2.33,2.33,2.19,2.26,13609500
2024-09-05,2.44,2.48,2.38,2.39,8485100
2024-09-04,2.44,2.5,2.38,2.45,8616600
2024-09-03,2.57,2.59,2.4,2.45,18259100
2024-08-30,2.73,2.75,2.67,2.71,6028400
2024-08-29,2.64,2.75,2.62,2.67,6672200
2024-08-28,2.69,2.72,2.6,2.63,5744600
2024-08-27,2.75,2.79,2.67,2.71,11419000
2024-08-26,2.84,2.89,2.75,2.76,7765300
2024-08-23,2.69,2.82,2.68,2.78,7725500
2024-08-22,2.8,2.83,2.66,2.68,13913400
2024-08-21,2.75,2.89,2.72,2.88,17209100
2024-08-20,2.67,2.71,2.66,2.67,9743600
2024-08-19,2.68,2.7,2.62,2.65,8151700
2024-08-16,2.67,2.71,2.62,2.68,13648100
2024-08-15,2.65,2.77,2.6,2.68,9704000
2024-08-14,2.68,2.71,2.52,2.57,14502900
2024-08-13,2.68,2.71,2.62,2.71,9358300
2024-08-12,2.77,2.8,2.64,2.67,10641500
2024-08-09,2.84,2.88,2.76,2.79,8159000
2024-08-08,2.74,2.84,2.71,2.78,9434300
2024-08-07,2.96,2.99,2.63,2.68,22730400
2024-08-06,2.56,2.66,2.5,2.64,14816500
2024-08-05,2.62,2.72,2.5,2.54,22669700
2024-08-02,2.91,2.97,2.75,2.86,21260300
2024-08-01,3.17,3.21,3.0,3.04,13711800
2024-07-31,3.14,3.33,3.14,3.18,14791700
2024-07-30,3.21,3.24,3.12,3.16,11416400
2024-07-29,3.4,3.4,3.22,3.24,8354800
2024-07-26,3.41,3.47,3.32,3.42,6090500
2024-07-25,3.32,3.43,3.25,3.31,7164700
2024-07-24,3.36,3.4,3.28,3.29,7990700
2024-07-23,3.45,3.49,3.39,3.45,7483900
2024-07-22,3.56,3.58,3.48,3.54,6816300
2024-07-19,3.6,3.64,3.45,3.51,7295700
2024-07-18,3.65,3.77,3.6,3.62,7544500
2024-07-17,3.72,3.78,3.59,3.68,8965300
2024-07-16,3.59,3.75,3.56,3.71,9008700
2024-07-15,3.54,3.62,3.41,3.59,10751600
2024-07-12,3.61,3.74,3.55,3.68,8830600
2024-07-11,3.5,3.64,3.42,3.53,8330000
2024-07-10,3.26,3.4,3.26,3.38,5978900
2024-07-09,3.37,3.4,3.21,3.27,6242700
2024-07-08,3.4,3.49,3.37,3.39,6844100
2024-07-05,3.43,3.47,3.32,3.37,4965600
2024-07-03,3.29,3.54,3.29,3.46,8563200
2024-07-02,3.31,3.4,3.2,3.22,11637100
2024-07-01,3.32,3.39,3.25,3.26,6710900
2024-06-28,3.43,3.43,3.26,3.36,60431000
2024-06-27,3.43,3.47,3.29,3.41,12352100
2024-06-26,3.36,3.64,3.35,3.58,14622100
2024-06-25,3.3,3.31,3.1,3.19,9511800
2024-06-24,3.28,3.45,3.21,3.32,20986200
2024-06-21,3.32,3.34,3.18,3.25,23421800
2024-06-20,3.32,3.35,3.23,3.3,7944200
2024-06-18,3.36,3.48,3.35,3.36,8964100
2024-06-17,3.43,3.52,3.29,3.38,11965700
2024-06-14,3.56,3.62,3.44,3.46,15044200
2024-06-13,3.8,3.86,3.6,3.62,8600400
2024-06-12,4.06,4.16,3.76,3.86,10706800
2024-06-11,3.95,3.98,3.83,3.89,8120100
2024-06-10,4.07,4.09,3.92,4.01,8069300
2024-06-07,4.16,4.26,4.08,4.14,5573500
2024-06-06,4.28,4.33,4.16,4.28,4837500
2024-06-05,4.2,4.31,4.18,4.31,4339700
2024-06-04,4.24,4.27,4.18,4.19,4753800
2024-06-03,4.54,4.57,4.28,4.29,5367500
2024-05-31,4.5,4.58,4.33,4.43,9755900
2024-05-30,4.45,4.62,4.44,4.51,8476700
2024-05-29,4.5,4.64,4.35,4.36,8799300
2024-05-28,4.74,4.77,4.55,4.57,8322900
2024-05-24,4.64,4.8,4.61,4.7,6453600
2024-05-23,4.71,4.72,4.5,4.55,7093100
2024-05-22,4.69,4.8,4.64,4.7,6303300
2024-05-21,4.79,4.95,4.74,4.74,4319800
2024-05-20,4.85,4.96,4.73,4.81,6550100
2024-05-17,4.76,4.88,4.7,4.85,7807400
2024-05-16,4.63,4.86,4.57,4.75,8832600
2024-05-15,4.92,4.92,4.53,4.62,11660500
2024-05-14,4.77,4.97,4.74,4.88,8527000
2024-05-13,4.72,4.83,4.64,4.66,7685500
2024-05-10,4.77,4.79,4.56,4.65,5206000
2024-05-09,4.62,4.83,4.59,4.76,7819600
2024-05-08,4.62,4.72,4.53,4.57,10055500
2024-05-07,4.75,4.91,4.7,4.74,10126100
2024-05-06,4.76,4.87,4.7,4.76,6778400
2024-05-03,4.84,4.88,4.67,4.68,9518600
2024-05-02,4.56,4.77,4.44,4.73,12800500
2024-05-01,4.36,4.68,4.32,4.55,12330600
2024-04-30,4.35,4.46,4.24,4.4,24103100
2024-04-29,4.1,4.54,4.1,4.52,19545900
2024-04-26,3.97,4.11,3.88,3.88,7581000
2024-04-25,3.8,3.98,3.79,3.97,7605700
