datetime,open,high,low,close,volume
2025-04-01,209.0,212.0,208.935,210.7,14557
2025-03-31,211.0,211.77,208.19,209.16,22900
2025-03-28,211.47,211.47,207.89,211.08,16400
2025-03-27,213.0,213.0,210.98,212.39999,14500
2025-03-26,209.69,212.89999,209.69,211.37,12900
2025-03-25,212.61,213.02,209.33,209.78999,10000
2025-03-24,214.36,214.36,211.09,214.14,13000
2025-03-21,212.41,214.44,212.0,212.17999,15400
2025-03-20,217.02,218.39999,214.64999,214.64999,9500
2025-03-19,217.08,220.2,213.66,219.2,11300
2025-03-18,212.53999,216.67,211.78999,215.77,11300
2025-03-17,211.7,212.32001,208.97,210.39,9200
2025-03-14,212.11,212.57001,211.16,212.36,8400
2025-03-13,209.02,211.39999,209.00999,211.0,70600
2025-03-12,216.09,216.09,206.71001,211.59,20900
2025-03-11,218.0,220.85001,215.5,216.06,16600
2025-03-10,216.89999,219.21001,216.82001,217.50999,9700
2025-03-07,217.89999,217.89999,214.53999,217.39999,10400
2025-03-06,212.19,216.96001,208.00999,216.96001,16800
2025-03-05,210.16,213.07001,209.42,212.74001,15400
2025-03-04,211.81,213.98,210.14,211.7,11100
2025-03-03,215.0,215.50999,212.34,214.12,13800
2025-02-28,215.25,216.5,213.5,214.34,28900
2025-02-27,212.42,216.38,210.02,216.07001,27400
2025-02-26,210.00999,215.21001,208.06,213.92999,31300
2025-02-25,205.66,209.37,205.66,208.60001,6600
2025-02-24,202.77,207.97,202.77,204.52,7900
2025-02-21,207.07001,207.07001,202.59,202.78,15400
2025-02-20,203.0,207.03999,202.49001,204.83,15000
2025-02-19,202.0,206.0,199.78,204.25,12900
2025-02-18,199.64999,203.8,196.49001,202.02,19100
2025-02-14,205.23,207.63,203.0,204.81,17800
2025-02-13,200.10001,205.02,199.0,204.39,15000
2025-02-12,196.05,200.67999,196.0,199.02,13400
2025-02-11,190.28999,199.10001,190.28999,197.53999,20900
2025-02-10,194.98,195.02,189.48,192.16,17100
2025-02-07,197.00999,198.42999,193.67999,198.07001,17700
2025-02-06,194.63,197.92,193.82001,196.47,17200
2025-02-05,189.21001,195.78,189.21001,194.52,12400
2025-02-04,190.0,191.8,190.0,190.73,7200
2025-02-03,186.45,190.74001,186.45,189.59,14200
2025-01-31,192.21001,192.47,188.87,189.95,11400
2025-01-30,187.42999,192.89999,187.42999,191.64999,15800
2025-01-29,190.75999,192.23,185.75,185.75,5600
2025-01-28,194.85001,196.38,189.91,191.03999,10500
2025-01-27,192.39999,196.44,192.39999,194.87,10200
2025-01-24,190.8,192.39999,189.39999,192.12,8300
2025-01-23,190.50999,192.75,190.50999,192.75,5100
2025-01-22,196.05,196.05,190.48,190.48,7800
2025-01-21,194.0,196.39,193.24001,195.22,6200
2025-01-17,190.60001,195.2,190.60001,192.06,16200
2025-01-16,189.06,190.88,189.06,190.83,6100
2025-01-15,191.27,196.0,188.03999,191.25999,7900
2025-01-14,185.57001,190.17999,184.75999,188.44,8400
2025-01-13,184.96001,186.7,184.96001,185.64,9800
2025-01-10,185.11,188.69,185.0,186.88,16900
2025-01-08,189.2,189.39999,185.44,188.75,16500
2025-01-07,190.02,191.60001,188.0,189.44,14300
2025-01-06,198.45,199.81,190.91,191.35001,13100
2025-01-03,199.0,200.78,198.0,199.46001,16600
2025-01-02,201.57001,201.57001,196.22,196.22,10100
2024-12-31,200.2,201.0,196.23,200.06,32900
2024-12-30,197.53999,200.58,196.0,199.96001,12400
2024-12-27,200.5,201.14999,197.86,198.17999,15700
2024-12-26,202.75,202.75,199.98,202.3,9100
2024-12-24,200.45,201.0,197.19,201.0,4800
2024-12-23,202.39,207.89999,197.0,199.49001,13900
2024-12-20,198.7,202.89,198.7,202.89,18200
2024-12-19,205.0,205.77,200.03999,200.95,17800
2024-12-18,214.47,216.89999,200.16,201.3,17300
2024-12-17,211.52,215.0,211.0,213.34,10800
2024-12-16,212.77,215.0,211.71001,212.34,7300
2024-12-13,211.0,216.39999,209.7,212.77,11500
2024-12-12,212.28,216.45,210.8,210.85001,12900
2024-12-11,215.12,217.57001,212.75999,213.89999,53900
2024-12-10,213.86,217.64999,213.27,214.03999,16500
2024-12-09,219.39999,219.39999,213.92999,215.96001,16000
2024-12-06,222.2,222.2,217.45,219.39999,11800
2024-12-05,217.83,220.39,217.5,220.39,12500
2024-12-04,225.14999,227.5,220.00999,221.72,14200
2024-12-03,226.61,226.61,219.17999,221.35001,8500
2024-12-02,222.81,229.35001,220.92999,225.36,16700
2024-11-29,226.92,229.3,223.61,223.61,6800
2024-11-27,223.0,226.52,223.0,224.66,10400
2024-11-26,221.83,222.64999,218.49001,218.49001,4500
2024-11-25,225.0,225.88,223.67999,223.89,9700
2024-11-22,221.47,226.08,220.75,222.09,11700
2024-11-21,218.66,223.63,218.66,219.23,7900
2024-11-20,219.25,219.99001,215.58,218.66,8400
2024-11-19,217.10001,221.07001,217.10001,221.07001,4300
2024-11-18,216.0,223.0,216.0,217.52,6700
2024-11-15,216.89999,218.0,216.0,217.14999,7600
2024-11-14,223.95,223.95,215.27,217.74001,7400
2024-11-13,225.2,225.34,221.62,221.62,7200
2024-11-12,223.67,228.5,222.71001,223.55,7700
2024-11-11,230.0,233.77,224.84,225.0,12900
2024-11-08,225.64,233.17,223.10001,230.19,10800
2024-11-07,233.0,242.25999,229.05,232.22,32200
2024-11-06,236.38,238.23,230.0,232.25999,24800
2024-11-05,225.0,230.0,222.0,230.0,12100
2024-11-04,232.99001,232.99001,218.03999,221.64,16100
2024-11-01,229.97,231.02,224.67999,226.24001,9100
2024-10-31,231.59,231.86,227.03,227.03,10800
2024-10-30,230.32001,232.10001,227.7,230.0,11100
2024-10-29,227.17999,227.69,227.02,227.69,6500
2024-10-28,227.71001,228.14999,227.2,228.14999,4600
2024-10-25,228.60001,228.60001,225.31,225.31,5000
2024-10-24,227.10001,227.95,225.55,226.7,6300
2024-10-23,227.03999,227.71001,225.0,226.61,12900
2024-10-22,229.47,230.87,228.71001,229.28,3700
2024-10-21,235.00999,235.00999,228.97,228.97,7600
2024-10-18,232.05,236.89999,229.53999,234.8,14700
2024-10-17,229.23,230.16,227.64999,229.77,15400
2024-10-16,235.5,238.5,232.97,232.97,15000
2024-10-15,230.28,234.50999,230.28,233.8,9500
2024-10-14,227.21001,230.45,227.00999,230.45,11000
2024-10-11,226.25999,229.5,226.25999,228.42,6200
2024-10-10,229.11,229.11,225.10001,227.66,10900
2024-10-09,229.42999,230.87,228.05,230.87,9200
2024-10-08,229.55,229.55,227.31,228.31,5900
2024-10-07,229.2,235.78,227.31,227.81,17000
2024-10-04,231.00999,232.16,230.21001,230.73,10100
2024-10-03,235.0,235.0,229.11,229.25,10000
2024-10-02,237.47,237.47,235.00999,235.64999,9300
2024-10-01,242.89999,242.89999,238.24001,238.53,12700
2024-09-30,246.27,246.27,240.74001,242.36,12800
2024-09-27,239.0,251.63,237.02,245.58,39900
2024-09-26,239.81,239.81,237.0,237.34,10400
2024-09-25,239.86,239.89,238.7,238.7,5100
