datetime,open,high,low,close,volume
2025-04-01,0.32,0.426,0.3,0.35,16100
2025-03-31,0.36,0.426,0.344,0.426,1700
2025-03-28,0.451,0.466,0.352,0.466,8000
2025-03-27,0.501,0.549,0.42,0.472,1800
2025-03-26,0.417,0.572,0.412,0.508,10400
2025-03-25,0.419,0.499,0.409,0.499,900
2025-03-24,0.424,0.499,0.424,0.499,400
2025-03-21,0.45,0.45,0.45,0.45,0
2025-03-20,0.45,0.45,0.45,0.45,44
2025-03-19,0.4,0.455,0.398,0.45,2700
2025-03-18,0.36,0.408,0.35,0.408,1800
2025-03-17,0.392,0.42,0.38,0.39,3700
2025-03-14,0.367,0.4,0.329,0.387,4600
2025-03-13,0.39,0.39,0.31,0.368,600
2025-03-12,0.438,0.438,0.389,0.399,500
2025-03-11,0.38,0.464,0.32,0.399,2500
2025-03-10,0.35,0.469,0.315,0.44,3900
2025-03-07,0.472,0.472,0.472,0.472,300
2025-03-06,0.4,0.44,0.36,0.44,5600
2025-03-05,0.43,0.43,0.42,0.42,900
2025-03-04,0.351,0.4,0.351,0.38,6700
2025-03-03,0.638,0.64,0.3,0.44,25500
2025-02-28,0.66,0.94,0.41,0.55,48400
2025-02-27,0.6,0.95,0.6,0.65,81200
2025-02-26,0.77,0.931,0.588,0.79,181800
2025-02-25,0.556,0.91,0.44,0.756,241800
2025-02-24,0.635,0.95,0.516,0.738,9200
2025-02-21,0.598,0.598,0.598,0.598,495
2025-02-20,0.65,0.65,0.5,0.598,3300
2025-02-19,0.65,0.65,0.53,0.649,1500
2025-02-18,0.61,0.845,0.54,0.59,22300
2025-02-14,0.76,0.84,0.64,0.75,42700
2025-02-13,0.781,0.92,0.71,0.75,81800
2025-02-12,0.819,0.823,0.533,0.7,6300
2025-02-11,0.707,0.846,0.707,0.846,300
2025-02-10,0.696,0.857,0.578,0.83,4600
2025-02-07,0.81,0.922,0.708,0.788,3600
2025-02-06,0.859,0.946,0.75,0.858,4300
2025-02-05,0.9,0.952,0.753,0.846,6300
2025-02-04,1.26,1.26,0.727,0.8,12800
2025-02-03,0.81,0.893,0.81,0.81,1900
2025-01-31,0.52,1.35,0.52,0.75,42200
2025-01-30,0.491,0.52,0.491,0.52,2300
2025-01-29,0.528,0.528,0.528,0.528,1200
2025-01-28,0.58,0.643,0.406,0.616,2600
2025-01-27,0.58,0.665,0.58,0.665,600
2025-01-24,0.683,0.689,0.58,0.58,3700
2025-01-23,0.609,0.69,0.6,0.6,1300
2025-01-22,0.69,0.69,0.69,0.69,0
2025-01-21,0.7,0.7,0.612,0.69,13900
2025-01-17,0.675,0.88,0.61,0.7,1800
2025-01-16,0.76,0.76,0.54,0.76,2900
