datetime,open,high,low,close,volume
2025-04-01,8.15,8.97,7.72,8.345,11500
2025-03-31,7.25,7.53,7.19,7.53,2100
2025-03-28,7.28,7.28,7.02,7.11,1400
2025-03-27,7.8,7.8,7.095,7.15,5500
2025-03-26,8.14,8.14,7.3,7.61,17200
2025-03-25,7.81,9.0,7.52,7.69,16100
2025-03-24,8.15,8.3,7.43,7.96,8000
2025-03-21,7.3,9.65,7.1,7.7,65700
2025-03-20,6.8,10.06,6.8,7.63,107000
2025-03-19,6.3,7.89,6.2,7.23,21300
2025-03-18,6.13,7.0,5.8,6.66,8400
2025-03-17,5.3,6.47,5.3,5.95,15500
2025-03-14,5.35,5.89,5.3,5.6,9500
2025-03-13,5.15,5.39,4.71,5.12,12600
2025-03-12,5.73,5.73,5.0,5.1,18500
2025-03-11,5.67,6.05,5.1,5.33,14400
2025-03-10,6.11,6.11,5.43,5.43,8000
2025-03-07,6.98,6.98,6.08,6.08,10800
2025-03-06,6.51,6.85,6.22,6.85,6900
2025-03-05,6.699,6.699,6.415,6.67,5900
2025-03-04,6.33,6.537,6.12,6.4,20400
2025-03-03,6.38,6.95,6.26,6.26,5600
2025-02-28,7.03,7.03,6.3,6.3,8800
2025-02-27,7.158,7.35,6.16,6.16,14100
2025-02-26,8.236,8.236,7.07,7.07,4100
2025-02-25,8.5,8.95,8.05,8.05,2800
2025-02-24,9.02,9.42,8.19,8.7,10200
2025-02-21,9.85,9.99,8.88,9.02,10700
2025-02-20,9.0,9.4,8.95,8.95,4200
2025-02-19,8.75,9.1,8.75,9.0,3000
2025-02-18,9.45,9.45,9.4,9.4,5800
2025-02-14,9.67,9.95,9.3,9.95,7400
2025-02-13,8.76,10.34,8.7,10.34,12200
2025-02-12,9.03,9.175,8.52,9.0,6800
2025-02-11,8.62,9.38,8.19,9.23,6900
2025-02-10,8.49,9.23,8.49,8.89,4800
2025-02-07,8.4,8.78,8.4,8.78,9000
2025-02-06,8.85,9.1,8.6,8.85,12800
2025-02-05,8.55,8.9,8.55,8.9,7200
2025-02-04,8.96,9.81,8.56,8.56,20200
2025-02-03,10.44,10.44,8.93,8.93,9000
2025-01-31,11.53,11.74,10.99,11.63,13100
2025-01-30,12.04,12.05,11.32,11.81,8100
2025-01-29,11.702,12.0,11.702,11.96,10700
2025-01-28,12.0,12.1,11.39,11.91,11300
2025-01-27,11.48,12.0,11.19,11.97,7100
2025-01-24,12.0,12.99,11.49,12.0,22400
2025-01-23,12.4,13.19,11.6,13.18,12700
2025-01-22,11.5,12.3,11.217,11.9,26400
2025-01-21,9.54,11.95,9.0,11.5,31600
2025-01-17,7.9,9.5,7.34,9.5,40000
2025-01-16,8.477,8.6,7.3,7.62,6300
2025-01-15,8.26,8.6,8.25,8.49,3000
2025-01-14,8.99,8.99,8.21,8.21,3100
2025-01-13,8.89,9.0,8.483,8.89,8600
2025-01-10,7.23,10.49,7.1,8.78,42600
2025-01-08,7.4,7.57,6.49,6.98,9400
2025-01-07,7.7,8.38,7.35,7.67,26200
2025-01-06,8.43,8.65,7.3,7.72,26900
2025-01-03,8.2,8.94,7.75,8.044,51100
2025-01-02,7.02,7.5,6.69,7.5,12400
2024-12-31,7.295,7.32,6.49,6.78,28800
2024-12-30,6.9,7.934,6.701,7.25,30900
2024-12-27,6.85,7.0,6.6,6.62,6000
2024-12-26,7.0,7.485,6.367,6.92,47800
2024-12-24,7.0,7.01,6.97,7.01,1300
2024-12-23,6.6,7.26,6.39,7.0,11700
2024-12-20,6.0,8.4,6.0,7.19,28800
2024-12-19,6.8,6.8,6.122,6.15,3700
2024-12-18,7.61,7.67,5.82,7.01,20100
2024-12-17,9.26,9.26,6.743,7.35,73300
2024-12-16,10.15,18.7,9.23,10.605,144800
2024-12-13,12.7,13.31,8.8,10.5,43000
2024-12-12,11.5,11.63,9.51,9.51,9000
2024-12-11,11.3,13.39,10.52,10.52,7500
2024-12-10,11.49,12.17,11.08,11.2,13300
2024-12-09,11.27,12.01,11.21,11.9,15200
