datetime,open,high,low,close,volume
2025-04-01,9.6,10.2,9.41,10.2,2700
2025-03-31,9.71,10.1,9.62,10.1,7200
2025-03-28,10.07,10.4,9.12,9.71,31900
2025-03-27,10.3,10.43,9.77,9.77,4200
2025-03-26,9.0,10.79,9.0,10.1,93200
2025-03-25,9.75,9.82,8.88,9.38,20900
2025-03-24,9.59,10.0,9.59,9.84,5800
2025-03-21,9.85,10.4,9.74,9.99,8100
2025-03-20,9.9,10.87,9.75,10.14,18900
2025-03-19,10.35,10.35,10.35,10.35,900
2025-03-18,10.11,10.11,10.0,10.0,1600
2025-03-17,10.35,10.35,10.35,10.35,1700
2025-03-14,10.0,10.38,10.0,10.1,3500
2025-03-13,10.43,10.43,9.99,9.99,1400
2025-03-12,10.1,10.2,10.1,10.17,23700
2025-03-11,10.34,10.34,10.0,10.0,1200
2025-03-10,10.54,10.54,10.11,10.11,2400
2025-03-07,10.56,10.56,10.56,10.56,700
2025-03-06,10.35,10.66,10.33,10.66,1800
2025-03-05,10.32,10.62,10.32,10.62,900
2025-03-04,10.35,10.55,10.25,10.27,2400
2025-03-03,10.82,10.82,10.82,10.82,800
2025-02-28,10.52,10.86,10.52,10.85,1200
2025-02-27,11.09,11.09,10.85,10.85,500
2025-02-26,10.83,10.99,10.83,10.99,1600
2025-02-25,11.12,11.12,10.57,10.98,1200
2025-02-24,11.44,11.44,10.8,10.89,5400
2025-02-21,11.29,11.36,11.29,11.36,800
2025-02-20,11.13,11.13,11.13,11.13,0
2025-02-19,11.0,11.26,11.0,11.13,1600
2025-02-18,11.16,11.29,11.15,11.15,1700
2025-02-14,11.25,11.29,11.25,11.29,2000
2025-02-13,12.08,12.3,10.6,11.12,24400
2025-02-12,12.09,12.15,12.08,12.14,3800
2025-02-11,13.05,13.05,12.53,12.53,1300
2025-02-10,12.47,12.69,12.4,12.69,1800
2025-02-07,12.4,12.5,12.4,12.4,3600
2025-02-06,12.83,13.36,12.75,13.0,3000
2025-02-05,13.15,13.15,12.75,12.83,1300
2025-02-04,12.64,12.81,12.45,12.49,2700
2025-02-03,12.98,13.11,12.0,12.27,7500
2025-01-31,13.2,13.8,13.0,13.31,10900
2025-01-30,13.04,13.55,13.04,13.53,5200
2025-01-29,13.77,13.77,13.46,13.46,3100
2025-01-28,13.11,13.5,12.99,13.15,4600
2025-01-27,13.03,13.48,13.03,13.48,1400
2025-01-24,13.6,14.03,13.6,13.75,3300
2025-01-23,12.98,14.2,12.98,14.2,1800
2025-01-22,14.2,14.2,13.6,13.6,2500
2025-01-21,13.62,14.43,13.62,13.86,4400
2025-01-17,14.1,14.1,13.25,13.91,2900
2025-01-16,14.6,14.6,13.9,14.3,2800
2025-01-15,13.9,13.9,13.9,13.9,1100
2025-01-14,14.4,14.4,13.94,14.07,1000
2025-01-13,14.53,14.53,14.11,14.15,2400
2025-01-10,14.0,15.0,14.0,14.99,1600
2025-01-08,15.51,15.51,14.33,14.33,900
2025-01-07,16.54,17.76,15.05,15.56,21900
2025-01-06,15.12,16.56,15.12,16.21,26500
2025-01-03,12.5,15.15,12.5,14.73,25000
2025-01-02,10.99,12.95,10.8,12.76,7900
2024-12-31,10.97,11.0,10.01,11.0,3000
2024-12-30,11.17,11.45,11.17,11.19,800
2024-12-27,10.8,11.95,10.77,11.49,1700
2024-12-26,11.0,11.68,10.43,11.01,4700
2024-12-24,10.99,11.0,10.99,11.0,800
2024-12-23,10.8,10.88,10.28,10.88,9600
2024-12-20,11.83,11.83,11.03,11.29,1900
2024-12-19,10.67,11.34,10.67,11.1,1900
2024-12-18,11.31,12.05,10.74,10.74,3900
2024-12-17,11.5,11.79,11.35,11.79,2100
2024-12-16,12.97,13.1,12.0,12.01,5800
2024-12-13,13.65,13.65,13.15,13.48,2000
2024-12-12,12.68,14.1,12.68,14.1,3200
2024-12-11,13.83,13.83,12.85,12.85,4000
2024-12-10,14.99,14.99,13.74,13.79,2700
2024-12-09,15.28,15.51,14.01,14.85,34100
2024-12-06,12.3,15.38,12.1,15.28,117200
2024-12-05,12.19,12.43,11.62,12.3,31100
2024-12-04,10.7,12.36,9.75,12.36,54300
2024-12-03,10.0,10.7,9.99,10.7,52000
2024-12-02,9.83,9.99,9.75,9.99,7900
2024-11-29,9.81,9.98,9.77,9.82,8200
2024-11-27,9.91,10.0,9.84,10.0,5700
2024-11-26,9.9,10.13,9.83,10.06,10200
2024-11-25,9.95,10.13,9.85,10.01,4900
2024-11-22,9.93,10.1,9.8,10.1,3800
2024-11-21,10.16,10.16,9.85,10.09,3500
2024-11-20,10.27,10.27,9.79,10.1,10900
2024-11-19,10.08,10.16,10.08,10.16,600
2024-11-18,10.25,10.25,10.25,10.25,508
2024-11-15,10.16,10.31,10.16,10.25,700
2024-11-14,9.8,10.44,9.8,10.39,4600
2024-11-13,10.37,10.59,10.25,10.38,2600
2024-11-12,10.45,10.62,10.29,10.38,3000
2024-11-11,10.8,10.8,10.06,10.36,1900
2024-11-08,10.4,10.6,10.35,10.35,900
2024-11-07,10.5,10.7,10.4,10.55,14000
2024-11-06,10.75,11.36,10.38,10.45,6500
2024-11-05,10.65,10.88,10.53,10.85,1800
2024-11-04,10.47,10.77,10.39,10.53,10900
2024-11-01,10.7,10.7,10.47,10.47,1200
2024-10-31,10.75,10.9,10.55,10.9,6300
2024-10-30,10.98,11.0,10.75,10.78,6400
2024-10-29,11.3,11.3,10.97,11.1,4200
2024-10-28,11.25,11.43,11.2,11.2,2400
2024-10-25,11.69,11.69,11.31,11.37,7500
2024-10-24,11.89,11.89,11.89,11.89,500
2024-10-23,11.71,11.95,11.52,11.95,10600
2024-10-22,11.53,11.9,11.53,11.75,6400
2024-10-21,11.74,11.74,11.66,11.66,1700
2024-10-18,11.97,11.97,11.97,11.97,700
2024-10-17,11.64,11.8,11.64,11.8,2400
2024-10-16,11.69,11.69,11.69,11.69,300
2024-10-15,11.6,11.99,11.6,11.69,6800
2024-10-14,11.76,12.0,11.63,11.96,7000
2024-10-11,12.1,12.1,11.39,11.8,2400
2024-10-10,11.7,11.85,11.6,11.85,5600
2024-10-09,11.69,11.98,11.65,11.85,8900
2024-10-08,12.1,12.1,11.68,11.7,6000
2024-10-07,11.8,12.1,11.78,11.9,7500
2024-10-04,11.99,12.1,11.71,11.71,2000
2024-10-03,11.78,11.78,11.78,11.78,700
2024-10-02,11.0,11.99,11.0,11.51,2400
2024-10-01,11.75,11.75,11.75,11.75,500
2024-09-30,11.46,12.0,11.46,11.99,15800
2024-09-27,11.72,11.91,11.65,11.68,8600
2024-09-26,11.45,12.0,11.45,11.71,13000
2024-09-25,11.6,12.05,11.37,11.37,15800
2024-09-24,11.79,11.79,11.61,11.61,2400
2024-09-23,12.3,12.44,11.76,11.78,6500
2024-09-20,11.62,12.44,11.62,12.44,16500
2024-09-19,11.8,12.1,11.55,12.07,5900
2024-09-18,11.86,12.27,11.5,11.5,12700
2024-09-17,12.02,12.67,11.79,11.79,16600
2024-09-16,11.8,11.9,11.59,11.8,5900
2024-09-13,12.13,12.13,11.52,11.52,2300
2024-09-12,12.15,12.2,11.64,11.66,1600
2024-09-11,11.64,12.19,11.3,11.8,13600
2024-09-10,11.8,12.0,11.8,12.0,1000
2024-09-09,11.98,12.88,11.5,11.5,15300
2024-09-06,11.6,12.43,11.59,11.59,9400
2024-09-05,11.45,12.61,11.45,12.43,10900
2024-09-04,12.33,12.96,12.25,12.3,10300
2024-09-03,12.5,12.5,12.3,12.3,4600
2024-08-30,12.43,13.24,12.43,13.24,400
2024-08-29,13.25,13.25,13.25,13.25,0
2024-08-28,13.25,13.25,13.25,13.25,500
2024-08-27,13.5,13.5,12.69,12.69,2400
2024-08-26,13.88,13.88,13.88,13.88,700
2024-08-23,12.86,12.86,12.86,12.86,222
2024-08-22,12.82,12.86,12.82,12.86,800
2024-08-21,12.52,12.52,12.52,12.52,182
2024-08-20,12.88,13.1,11.95,12.52,12000
2024-08-19,11.55,12.07,11.55,12.07,3000
2024-08-16,11.55,11.55,11.55,11.55,600
2024-08-15,11.58,11.92,11.24,11.55,10700
2024-08-14,11.5,11.6,11.21,11.59,5300
2024-08-13,11.43,12.12,11.0,11.8,10300
2024-08-12,12.73,12.73,11.99,11.99,4400
2024-08-09,12.3,12.35,11.52,12.26,21000
2024-08-08,12.76,12.76,12.76,12.76,200
2024-08-07,12.91,12.91,12.91,12.91,500
2024-08-06,12.68,13.24,12.68,13.0,1700
2024-08-05,13.2,13.2,11.31,12.22,5700
2024-08-02,13.52,13.52,13.26,13.31,8300
2024-08-01,13.75,13.75,13.57,13.57,900
2024-07-31,13.42,13.42,13.42,13.42,300
2024-07-30,13.36,13.36,13.32,13.32,500
2024-07-29,13.83,13.83,13.77,13.77,900
2024-07-26,13.37,13.42,13.34,13.38,900
2024-07-25,13.26,13.26,13.26,13.26,400
2024-07-24,13.78,13.78,13.78,13.78,0
2024-07-23,13.26,13.78,13.26,13.78,800
2024-07-22,13.5,13.5,13.5,13.5,0
2024-07-19,13.45,13.5,13.45,13.5,600
2024-07-18,13.5,13.8,13.48,13.5,2400
2024-07-17,13.54,13.54,13.54,13.54,700
2024-07-16,13.45,13.45,13.29,13.3,900
2024-07-15,13.49,13.5,13.07,13.07,2300
2024-07-12,13.07,13.49,13.07,13.49,900
2024-07-11,13.2,13.2,13.2,13.2,200
2024-07-10,13.39,13.39,13.2,13.2,9700
2024-07-09,13.38,13.38,13.38,13.38,72
2024-07-08,13.38,13.38,13.38,13.38,189
2024-07-05,13.38,13.38,13.38,13.38,179
2024-07-03,13.55,13.55,13.25,13.38,1600
2024-07-02,13.43,13.43,13.24,13.24,1400
2024-07-01,13.34,13.49,13.05,13.05,700
2024-06-28,13.33,13.44,12.98,13.11,8500
2024-06-27,13.61,13.75,13.35,13.49,3500
2024-06-26,13.75,13.75,13.75,13.75,600
2024-06-25,13.75,13.85,13.5,13.75,5900
2024-06-24,14.35,14.35,13.6,13.6,1300
2024-06-21,14.13,14.13,13.95,14.0,3800
2024-06-20,14.35,14.48,13.6,13.8,2300
2024-06-18,14.77,14.93,14.71,14.71,1200
2024-06-17,14.73,15.4,14.27,14.28,16600
2024-06-14,14.69,15.0,14.43,15.0,1200
2024-06-13,15.44,15.44,15.44,15.44,600
2024-06-12,15.21,15.44,14.6,15.44,1100
2024-06-11,14.51,14.89,14.51,14.89,1000
2024-06-10,14.5,14.51,14.24,14.51,1600
2024-06-07,14.87,14.87,14.87,14.87,179
2024-06-06,14.87,14.87,14.87,14.87,77
2024-06-05,14.87,14.87,14.87,14.87,1200
2024-06-04,14.35,14.87,14.35,14.87,700
2024-06-03,15.4,15.4,14.9,14.9,600
2024-05-31,15.22,15.63,14.11,14.74,1500
2024-05-30,15.5,15.5,15.42,15.42,600
2024-05-29,15.1,15.1,15.1,15.1,300
2024-05-28,15.62,15.62,14.26,15.1,1900
2024-05-24,16.01,16.04,15.53,15.59,2100
2024-05-23,16.09,16.09,15.06,15.06,2400
2024-05-22,15.54,16.0,15.54,15.65,1300
2024-05-21,15.5,16.25,15.5,16.25,4500
2024-05-20,14.56,15.5,14.56,15.5,18500
2024-05-17,14.42,15.24,14.42,14.58,800
2024-05-16,15.7,15.7,15.0,15.18,2800
2024-05-15,15.0,15.85,14.55,15.85,10000
2024-05-14,13.38,14.9,13.38,14.69,18100
2024-05-13,13.42,13.44,13.42,13.44,1600
2024-05-10,14.0,14.0,13.39,13.84,800
2024-05-09,13.96,14.0,13.96,14.0,1800
2024-05-08,13.52,13.52,13.52,13.52,1200
2024-05-07,13.52,13.52,13.52,13.52,3000
2024-05-06,13.84,13.84,13.49,13.49,1600
2024-05-03,13.55,13.55,13.55,13.55,500
2024-05-02,13.45,13.45,13.45,13.45,700
2024-05-01,13.61,13.62,13.59,13.59,1400
2024-04-30,13.66,13.8,13.6,13.6,1200
2024-04-29,13.63,13.63,13.63,13.63,400
2024-04-26,13.63,13.63,13.63,13.63,300
2024-04-25,13.63,13.63,13.63,13.63,300
2024-04-24,13.63,13.63,13.63,13.63,300
2024-04-23,13.63,13.63,13.63,13.63,300
2024-04-22,13.82,13.82,13.63,13.63,1300
2024-04-19,14.0,14.0,14.0,14.0,3100
2024-04-18,13.93,14.0,13.81,14.0,1000
2024-04-17,14.0,14.0,13.9,13.9,1400
2024-04-16,13.82,13.82,13.74,13.74,600
2024-04-15,13.72,14.0,13.6,14.0,10700
2024-04-12,13.8,13.8,13.62,13.71,3100
2024-04-11,13.78,13.78,13.78,13.78,200
2024-04-10,13.65,13.89,13.65,13.78,1400
2024-04-09,13.62,13.66,13.62,13.66,1700
2024-04-08,14.0,14.0,13.62,13.64,2600
2024-04-05,14.0,14.0,13.97,13.97,600
2024-04-04,13.97,13.97,13.97,13.97,500
2024-04-03,13.84,13.97,13.63,13.76,2100
2024-04-02,13.68,13.88,13.68,13.88,1500
