datetime,open,high,low,close,volume
2025-04-01,1.42,1.44,1.38,1.44,4511
2025-03-31,1.6,1.67,1.34,1.46,47300
2025-03-28,1.76,1.81,1.58,1.58,20100
2025-03-27,1.65,1.69,1.65,1.65,6500
2025-03-26,1.85,1.85,1.65,1.65,9700
2025-03-25,1.86,1.88,1.63,1.68,50700
2025-03-24,1.85,1.89,1.82,1.84,6700
2025-03-21,1.99,2.3,1.79,1.79,86500
2025-03-20,2.01,2.15,1.99,2.01,7800
2025-03-19,1.99,2.06,1.98,1.99,8500
2025-03-18,2.0,2.05,2.0,2.05,4400
2025-03-17,1.95,2.05,1.95,2.04,9000
2025-03-14,1.97,1.99,1.95,1.95,1700
2025-03-13,1.89,1.98,1.89,1.97,5000
2025-03-12,1.91,2.0,1.89,1.89,18800
2025-03-11,1.99,2.04,1.81,1.87,16700
2025-03-10,2.0,2.09,2.0,2.0,8900
2025-03-07,2.16,2.16,2.02,2.02,10300
2025-03-06,2.02,2.1,2.02,2.1,4700
2025-03-05,2.14,2.16,2.0,2.02,8300
2025-03-04,2.1,2.1,2.0,2.06,12700
2025-03-03,2.15,2.15,1.99,1.99,7000
2025-02-28,1.94,2.15,1.94,1.99,4800
2025-02-27,2.08,2.13,2.08,2.08,7500
2025-02-26,2.03,2.17,2.03,2.14,3300
2025-02-25,2.11,2.18,2.11,2.17,30100
2025-02-24,2.0,2.14,2.0,2.08,12700
2025-02-21,1.9,2.3,1.9,2.11,21400
2025-02-20,1.99,2.07,1.99,2.01,6400
2025-02-19,1.9,2.0,1.9,1.94,7000
2025-02-18,1.97,1.98,1.89,1.93,27800
2025-02-14,1.85,2.01,1.85,1.95,7400
2025-02-13,1.95,2.08,1.89,1.99,13500
2025-02-12,2.01,2.06,1.95,1.95,3800
2025-02-11,1.93,2.09,1.93,1.99,15300
2025-02-10,2.22,2.22,2.0,2.02,4300
2025-02-07,2.12,2.12,2.0,2.08,6000
2025-02-06,2.07,2.08,2.0,2.04,5900
2025-02-05,2.05,2.06,2.02,2.04,4400
2025-02-04,2.0,2.04,2.0,2.02,2900
2025-02-03,2.0,2.1,1.97,2.03,8400
2025-01-31,2.09,2.12,2.0,2.0,8200
2025-01-30,2.05,2.06,2.05,2.05,3600
2025-01-29,2.01,2.07,2.01,2.04,2800
2025-01-28,2.07,2.13,2.07,2.08,1100
2025-01-27,2.13,2.13,2.01,2.02,8500
2025-01-24,2.15,2.37,2.14,2.15,4900
2025-01-23,2.15,2.34,2.15,2.18,18900
2025-01-22,2.29,2.32,2.16,2.19,11100
2025-01-21,2.2,2.24,2.04,2.24,24300
2025-01-17,2.15,2.15,2.06,2.06,3700
2025-01-16,1.98,2.05,1.97,2.04,4400
2025-01-15,2.05,2.05,1.98,2.0,3800
2025-01-14,1.99,2.07,1.98,2.02,2900
2025-01-13,2.05,2.09,1.96,2.02,8200
2025-01-10,2.1,2.18,2.0,2.09,7800
2025-01-08,2.07,2.28,2.04,2.07,71900
2025-01-07,2.06,2.09,2.04,2.07,3400
2025-01-06,2.01,2.12,1.99,2.09,5800
2025-01-03,1.99,1.99,1.91,1.97,5700
2025-01-02,1.89,1.99,1.86,1.95,6400
2024-12-31,1.87,1.93,1.85,1.85,9600
2024-12-30,2.15,2.15,1.8,1.9,30900
2024-12-27,2.22,2.22,2.0,2.11,6000
2024-12-26,2.08,2.12,2.02,2.02,6800
2024-12-24,2.0,2.04,1.99,2.04,4800
2024-12-23,1.88,1.98,1.85,1.94,42700
2024-12-20,1.91,2.0,1.9,1.95,12100
2024-12-19,1.98,1.98,1.89,1.98,20500
2024-12-18,2.0,2.03,1.95,1.95,18700
2024-12-17,1.98,2.01,1.97,2.0,32300
2024-12-16,2.17,2.2,2.0,2.01,18400
2024-12-13,2.11,2.2,2.1,2.19,2500
2024-12-12,2.14,2.22,2.1,2.1,3200
2024-12-11,2.11,2.3,2.11,2.2,8400
2024-12-10,2.22,2.29,2.11,2.21,4300
2024-12-09,2.11,2.29,2.11,2.22,24700
2024-12-06,2.11,2.2,2.11,2.19,1900
2024-12-05,2.15,2.24,2.15,2.17,3900
2024-12-04,2.15,2.22,2.15,2.15,8200
2024-12-03,2.24,2.24,2.14,2.14,3900
2024-12-02,2.2,2.28,2.15,2.2,5000
2024-11-29,2.33,2.37,2.3,2.3,1700
2024-11-27,2.4,2.4,2.3,2.3,6400
