datetime,open,high,low,close,volume
2025-04-01,100.15,102.74,100.15,101.97,316824
2025-03-31,99.37,101.19,97.5,100.64,477300
2025-03-28,102.72,102.84,99.11,102.1,444500
2025-03-27,100.48,103.11,100.48,102.89,290700
2025-03-26,102.2,103.12,100.53,101.28,200300
2025-03-25,102.82,104.24,100.68,101.97,324100
2025-03-24,100.28,103.5,100.28,103.29,326100
2025-03-21,97.71,100.16,96.27,98.81,872000
2025-03-20,97.57,100.49,97.43,98.74,282800
2025-03-19,95.93,100.07,95.86,99.45,281400
2025-03-18,96.18,97.39,95.63,95.88,347500
2025-03-17,96.32,98.1,95.7,97.35,409200
2025-03-14,94.53,98.05,93.12,97.32,713700
2025-03-13,95.02,95.56,91.5,93.51,507500
2025-03-12,95.91,97.19,93.99,95.27,703100
2025-03-11,89.96,95.47,89.92,93.66,457600
2025-03-10,89.33,90.88,88.4,89.88,515800
2025-03-07,93.97,93.97,86.26,90.82,737500
2025-03-06,97.85,99.16,93.71,93.97,333600
2025-03-05,99.19,100.35,98.17,99.94,318700
2025-03-04,97.9,99.8,96.12,98.29,365400
2025-03-03,102.33,105.0,98.95,99.85,443700
2025-02-28,100.81,103.24,100.33,102.31,526900
2025-02-27,102.82,104.59,99.99,100.07,559600
2025-02-26,99.05,103.59,99.05,101.96,446100
2025-02-25,97.72,99.62,96.2,98.01,381100
2025-02-24,97.61,99.48,94.68,97.95,559300
2025-02-21,106.07,106.54,97.6,97.67,531000
2025-02-20,105.71,105.83,103.26,105.27,379400
2025-02-19,105.0,107.26,104.95,106.51,390200
2025-02-18,103.95,105.91,102.56,105.91,372800
2025-02-14,104.25,105.41,102.56,103.47,401300
2025-02-13,106.04,106.79,102.56,103.32,435300
2025-02-12,104.81,106.0,103.96,105.0,423100
2025-02-11,106.5,106.81,105.33,106.33,397000
2025-02-10,107.56,108.17,105.76,107.87,380300
2025-02-07,109.32,109.89,106.37,107.11,437900
2025-02-06,110.34,110.34,107.93,109.17,363700
2025-02-05,108.14,110.67,107.17,110.11,444500
2025-02-04,105.29,107.83,104.0,107.6,482500
2025-02-03,104.02,105.23,101.84,104.75,646000
2025-01-31,109.9,112.44,105.56,107.13,920500
2025-01-30,100.43,103.15,100.43,102.42,765200
2025-01-29,98.33,100.24,98.02,99.86,349500
2025-01-28,97.49,99.6,97.04,98.03,323700
2025-01-27,98.1,99.76,96.79,97.2,331100
2025-01-24,99.78,100.36,98.94,99.62,214000
2025-01-23,99.32,100.54,99.26,100.35,283000
2025-01-22,99.58,100.2,99.0,99.61,257200
2025-01-21,99.34,100.05,97.84,99.1,385000
2025-01-17,98.98,99.17,97.68,98.17,225100
2025-01-16,97.42,98.64,97.1,97.34,311800
2025-01-15,97.6,98.5,96.23,97.45,385900
2025-01-14,94.83,97.0,94.83,95.71,406900
2025-01-13,91.25,94.58,89.62,94.3,290000
2025-01-10,93.05,93.43,91.27,91.66,251500
2025-01-08,93.31,94.59,92.08,94.41,312400
2025-01-07,94.89,95.14,92.66,93.54,505600
