datetime,open,high,low,close,volume
2025-04-01,1.21,1.29,1.21,1.27,87100
2025-03-31,1.31,1.32,1.2,1.28,191900
2025-03-28,1.083,1.2,1.083,1.17,92500
2025-03-27,1.05,1.11,1.05,1.11,81100
2025-03-26,1.09,1.09,1.025,1.03,51000
2025-03-25,1.04,1.08,1.025,1.04,70000
2025-03-24,1.05,1.07,1.04,1.06,38800
2025-03-21,1.04,1.05,1.02,1.05,81200
2025-03-20,1.06,1.06,1.02,1.02,51400
2025-03-19,1.07,1.07,1.03,1.03,55200
2025-03-18,1.04,1.04,1.02,1.03,13700
2025-03-17,1.02,1.04,1.02,1.02,36500
2025-03-14,1.02,1.02,1.0,1.02,25000
2025-03-13,1.05,1.05,1.0,1.01,72700
2025-03-12,1.1,1.1,1.0,1.01,91200
2025-03-11,1.08,1.11,1.02,1.08,68500
2025-03-10,1.1,1.11,1.055,1.07,134500
2025-03-07,1.08,1.08,1.02,1.05,32300
2025-03-06,1.09,1.1,1.03,1.08,47800
2025-03-05,0.945,1.14,0.94,1.09,318800
2025-03-04,1.03,1.08,1.01,1.08,60400
2025-03-03,1.01,1.05,1.0,1.0,99700
2025-02-28,0.999,1.05,0.98,1.01,94600
2025-02-27,1.04,1.13,0.98,1.01,231500
2025-02-26,1.13,1.28,1.04,1.04,415800
2025-02-25,1.2,1.25,0.97,1.16,1719300
2025-02-24,1.49,2.27,1.15,1.6,76489300
2025-02-21,0.948,0.948,0.92,0.936,12000
2025-02-20,0.9,0.97,0.9,0.93,30900
2025-02-19,0.912,0.95,0.912,0.933,33800
2025-02-18,0.925,0.97,0.925,0.952,28400
2025-02-14,0.906,0.987,0.906,0.95,43400
2025-02-13,0.902,0.95,0.902,0.92,73400
2025-02-12,1.0,1.01,0.901,0.93,86700
2025-02-11,0.97,1.056,0.97,1.0,44900
2025-02-10,1.27,1.29,0.9,1.04,395300
2025-02-07,1.28,1.305,1.27,1.27,58900
2025-02-06,1.37,1.37,1.28,1.31,35900
2025-02-05,1.39,1.39,1.28,1.28,101700
2025-02-04,1.4,1.4,1.32,1.37,91900
2025-02-03,1.41,1.41,1.33,1.39,151500
2025-01-31,1.43,1.44,1.37,1.4,124700
2025-01-30,1.44,1.55,1.38,1.43,305000
2025-01-29,1.41,1.417,1.33,1.33,131400
2025-01-28,1.52,1.52,1.4,1.46,133200
2025-01-27,1.52,1.58,1.45,1.52,147400
2025-01-24,1.87,2.1,1.6,1.64,673400
2025-01-23,1.46,1.93,1.38,1.68,1224800
2025-01-22,1.5,1.52,1.4,1.46,135300
2025-01-21,1.52,1.66,1.47,1.5,836000
2025-01-17,1.32,1.46,1.28,1.33,268500
2025-01-16,1.38,1.39,1.26,1.28,303500
