datetime,open,high,low,close,volume
2025-04-01,24.52,25.52,24.52,25.35,202649
2025-03-31,25.91,25.98,24.91,24.93,315000
2025-03-28,26.92,26.92,25.66,25.92,113600
2025-03-27,27.06,27.06,26.3,26.88,113100
2025-03-26,27.03,27.49,26.71,26.84,95500
2025-03-25,28.18,28.4,27.21,27.24,95300
2025-03-24,27.85,28.61,27.85,28.33,100500
2025-03-21,27.65,27.99,27.39,27.63,79200
2025-03-20,28.06,28.47,27.73,27.92,126400
2025-03-19,27.53,28.36,27.53,28.29,89000
2025-03-18,27.27,27.82,27.27,27.73,94100
2025-03-17,27.23,27.8,26.84,27.52,120700
2025-03-14,26.41,27.28,26.33,27.21,162900
2025-03-13,26.19,26.48,25.88,26.13,100500
2025-03-12,25.51,26.2,25.46,26.03,172000
2025-03-11,26.0,26.41,25.21,25.49,126500
2025-03-10,27.03,27.08,26.3,26.31,108100
2025-03-07,26.6,27.56,26.42,27.46,104200
2025-03-06,27.88,28.31,26.47,26.68,209700
2025-03-05,27.78,28.13,27.46,28.1,104500
2025-03-04,27.65,28.12,26.94,27.47,147800
2025-03-03,29.12,29.66,28.07,28.23,187700
2025-02-28,29.31,29.92,28.88,29.09,363900
2025-02-27,29.07,30.01,29.07,29.49,121900
2025-02-26,29.66,30.2,29.1,29.29,86800
2025-02-25,29.36,29.59,28.95,29.3,96300
2025-02-24,28.76,29.54,28.57,29.45,83100
2025-02-21,29.27,29.27,28.44,28.79,70300
2025-02-20,29.22,29.22,28.53,29.09,89600
2025-02-19,29.02,29.03,28.49,29.02,62200
2025-02-18,29.51,29.51,29.01,29.04,45000
2025-02-14,29.75,29.83,29.09,29.25,71700
2025-02-13,29.42,29.7,29.16,29.59,77100
2025-02-12,29.11,29.31,28.65,29.25,58100
2025-02-11,28.24,29.32,28.24,29.3,107500
2025-02-10,28.66,29.23,28.54,29.12,116600
2025-02-07,28.71,29.34,28.26,28.56,146800
2025-02-06,28.69,28.91,27.95,28.37,144100
2025-02-05,27.34,29.32,27.34,28.82,317100
2025-02-04,26.53,27.08,26.32,26.67,101300
2025-02-03,26.07,26.48,25.24,26.2,146400
2025-01-31,27.41,28.2,26.9,27.15,190600
2025-01-30,27.69,27.97,26.3,27.26,194700
2025-01-29,27.93,27.93,27.38,27.59,117500
2025-01-28,27.62,27.9,27.34,27.71,55200
2025-01-27,28.01,28.03,27.45,27.86,106700
2025-01-24,28.79,28.83,28.08,28.16,111800
2025-01-23,28.51,28.81,27.95,28.56,136900
2025-01-22,28.0,28.59,27.78,28.35,105500
2025-01-21,27.06,28.43,26.62,28.09,165100
2025-01-17,26.82,26.85,26.34,26.5,114400
2025-01-16,26.35,26.82,26.32,26.47,119200
