datetime,open,high,low,close,volume
2025-04-01,5.32,5.56,5.24,5.4,402600
2025-03-31,5.6,5.7,5.29,5.34,450100
2025-03-28,6.05,6.05,5.68,5.7,163100
2025-03-27,6.15,6.2,6.04,6.06,175100
2025-03-26,6.26,6.26,5.89,6.11,208300
2025-03-25,6.37,6.48,6.11,6.25,217800
2025-03-24,6.52,6.52,6.204,6.37,151000
2025-03-21,6.31,6.44,6.245,6.41,856300
2025-03-20,6.21,6.44,6.18,6.37,184300
2025-03-19,6.53,6.645,6.23,6.31,183900
2025-03-18,6.35,6.615,6.19,6.49,368500
2025-03-17,6.39,6.5,6.288,6.48,166900
2025-03-14,6.68,6.82,6.26,6.45,211000
2025-03-13,7.18,7.29,6.54,6.64,218200
2025-03-12,6.62,7.26,6.44,7.14,527600
2025-03-11,5.83,6.5,5.73,6.47,364600
2025-03-10,6.1,6.374,5.75,5.82,306900
2025-03-07,6.39,6.46,6.17,6.19,228600
2025-03-06,6.14,6.88,6.14,6.42,305600
2025-03-05,6.19,6.43,6.11,6.23,267200
2025-03-04,6.01,6.39,5.84,6.21,235000
2025-03-03,6.44,6.44,6.07,6.1,314000
2025-02-28,6.26,6.44,6.2,6.44,292200
2025-02-27,6.34,6.48,6.25,6.31,152100
2025-02-26,6.42,6.45,6.24,6.35,168100
2025-02-25,6.56,6.56,6.31,6.39,161700
2025-02-24,6.82,6.82,6.51,6.53,192500
2025-02-21,6.94,7.02,6.8,6.81,206900
2025-02-20,7.0,7.038,6.77,6.82,171400
2025-02-19,6.98,7.08,6.8,7.0,179400
2025-02-18,7.09,7.3,6.98,6.99,156500
2025-02-14,7.03,7.22,6.985,7.06,204500
2025-02-13,7.05,7.05,6.85,7.02,179700
2025-02-12,6.71,7.05,6.71,6.99,350300
2025-02-11,6.92,7.0,6.64,6.84,229200
2025-02-10,7.19,7.26,6.99,7.0,282000
2025-02-07,7.43,7.49,7.03,7.11,252100
2025-02-06,7.64,7.685,7.42,7.45,141700
2025-02-05,7.57,7.8,7.54,7.61,224700
2025-02-04,7.47,7.71,7.33,7.52,264600
2025-02-03,7.64,7.71,7.4,7.43,247900
2025-01-31,7.58,7.95,7.51,7.86,457200
2025-01-30,7.55,7.765,7.42,7.49,213500
2025-01-29,7.49,7.63,7.4,7.46,276600
2025-01-28,7.56,7.72,7.34,7.49,229500
2025-01-27,7.4,7.7,7.35,7.54,249100
2025-01-24,7.52,7.575,7.3,7.41,380300
2025-01-23,7.46,7.7,7.46,7.55,276400
2025-01-22,7.54,7.68,7.44,7.5,261900
2025-01-21,7.55,7.74,7.485,7.57,235700
2025-01-17,7.85,7.9,7.45,7.5,237400
2025-01-16,7.85,7.954,7.58,7.75,302800
2025-01-15,7.62,7.87,7.29,7.79,566700
2025-01-14,7.52,7.62,7.3,7.37,741400
2025-01-13,7.33,7.51,7.16,7.46,375000
2025-01-10,8.14,8.14,7.38,7.45,255400
2025-01-08,8.58,8.58,8.17,8.35,201100
2025-01-07,8.5,8.76,8.47,8.67,254100
2025-01-06,8.97,8.97,8.42,8.47,235500
2025-01-03,9.01,9.15,8.84,8.88,177500
2025-01-02,9.09,9.18,8.91,8.97,252700
2024-12-31,8.96,9.07,8.7,8.94,526200
2024-12-30,9.08,9.135,8.759,8.88,184900
2024-12-27,9.37,9.39,8.95,9.15,244400
2024-12-26,9.41,9.51,9.01,9.42,237800
2024-12-24,9.44,9.63,9.315,9.54,314200
2024-12-23,9.55,9.55,9.233,9.52,575500
2024-12-20,9.35,9.81,9.26,9.56,830200
2024-12-19,9.44,9.76,9.29,9.45,283900
2024-12-18,9.58,9.8,9.17,9.36,575800
2024-12-17,9.6,9.89,9.42,9.55,295200
2024-12-16,9.53,9.99,9.49,9.67,204900
2024-12-13,9.75,9.78,9.4,9.52,195700
2024-12-12,10.41,10.695,9.585,9.81,522000
2024-12-11,10.27,11.01,10.175,10.5,786900
2024-12-10,10.05,10.39,9.81,10.16,150500
2024-12-09,10.44,10.695,10.0,10.05,184500
2024-12-06,9.8,10.37,9.74,10.35,148300
2024-12-05,10.07,10.435,9.7,9.75,1292700
2024-12-04,10.23,10.6,10.09,10.14,201700
2024-12-03,10.35,10.35,9.99,10.23,397300
2024-12-02,10.39,10.915,10.37,10.37,219600
2024-11-29,10.5,10.59,10.325,10.39,139500
2024-11-27,10.4,10.64,10.2,10.5,162700
2024-11-26,9.98,10.32,9.74,10.3,229900
2024-11-25,9.86,10.106,9.77,10.0,621200
2024-11-22,9.4,9.75,9.31,9.65,175800
2024-11-21,9.61,9.83,9.2,9.34,214400
2024-11-20,9.72,9.785,9.2,9.58,265900
2024-11-19,9.03,9.79,8.68,9.75,545000
2024-11-18,9.4,9.4,8.61,9.16,355000
2024-11-15,10.17,10.17,9.11,9.37,284400
2024-11-14,11.53,11.75,10.07,10.09,279000
2024-11-13,11.28,11.495,10.53,10.61,207700
2024-11-12,11.8,11.87,11.1,11.16,230100
2024-11-11,12.07,12.1,11.66,11.85,152400
2024-11-08,11.78,11.86,11.4,11.82,148100
2024-11-07,12.0,12.095,11.73,11.77,178900
2024-11-06,12.01,12.47,11.65,11.87,356400
2024-11-05,11.49,11.64,11.19,11.51,135500
2024-11-04,11.28,11.66,11.01,11.54,172100
2024-11-01,11.37,11.39,11.03,11.32,341400
2024-10-31,12.02,12.15,11.13,11.18,175200
2024-10-30,11.85,12.515,11.85,12.06,217000
2024-10-29,12.07,12.236,11.5,11.99,189400
2024-10-28,11.66,12.1,11.66,12.1,181400
2024-10-25,11.7,12.18,11.45,11.47,162900
2024-10-24,11.34,12.18,11.27,11.68,349000
2024-10-23,11.65,11.84,11.24,11.27,268800
2024-10-22,11.15,11.79,11.07,11.75,213000
2024-10-21,11.35,11.38,11.05,11.26,141000
2024-10-18,11.85,11.95,11.36,11.46,126700
2024-10-17,11.53,11.82,11.39,11.76,172800
2024-10-16,11.66,11.871,11.4,11.56,208200
2024-10-15,11.08,11.6,10.99,11.49,151800
2024-10-14,11.57,11.75,11.015,11.07,151500
2024-10-11,10.49,11.7,10.49,11.62,355100
2024-10-10,10.82,10.92,10.48,10.5,250800
2024-10-09,11.21,11.29,10.715,10.99,217300
2024-10-08,11.65,11.73,11.2,11.21,168200
2024-10-07,11.85,11.85,11.5,11.67,231600
2024-10-04,11.52,11.91,11.2,11.87,241100
2024-10-03,11.47,11.75,11.27,11.31,264400
2024-10-02,11.35,11.85,10.96,11.63,402400
2024-10-01,10.94,11.53,10.62,11.43,502800
2024-09-30,11.05,11.6,10.845,11.01,621000
2024-09-27,11.4,11.51,11.01,11.14,347100
2024-09-26,10.73,11.64,10.71,11.12,688300
2024-09-25,10.9,12.19,10.38,10.6,1290600
2024-09-24,12.42,12.72,12.08,12.5,729400
2024-09-23,12.76,12.88,12.2,12.23,353600
2024-09-20,12.34,12.92,12.03,12.65,1626600
2024-09-19,12.0,12.46,11.69,12.35,393900
2024-09-18,11.59,12.01,11.31,11.61,275000
2024-09-17,11.31,11.52,11.15,11.5,255800
2024-09-16,11.2,11.41,11.04,11.23,268300
2024-09-13,10.79,11.27,10.755,11.14,217400
2024-09-12,10.61,10.78,10.265,10.62,304500
2024-09-11,11.24,11.24,10.58,10.63,204400
2024-09-10,11.24,11.57,11.09,11.33,184700
2024-09-09,11.09,11.43,10.975,11.18,322000
2024-09-06,11.54,11.62,10.99,11.12,244400
2024-09-05,11.47,11.55,11.27,11.48,217200
2024-09-04,11.38,11.64,11.15,11.5,218800
2024-09-03,12.06,12.42,11.34,11.46,364600
2024-08-30,12.11,12.57,11.83,12.23,708400
2024-08-29,12.09,12.25,11.92,12.02,308600
2024-08-28,12.03,12.21,11.828,12.06,270700
2024-08-27,12.33,12.52,11.97,12.14,214600
2024-08-26,12.4,12.63,12.1,12.36,219200
2024-08-23,11.83,12.349,11.7,12.3,245900
2024-08-22,11.92,12.12,11.55,11.74,251300
2024-08-21,11.91,12.325,11.69,11.93,260200
2024-08-20,11.6,12.04,11.47,11.86,258800
2024-08-19,11.14,11.7,10.72,11.68,270300
2024-08-16,11.06,11.41,10.92,11.18,255200
2024-08-15,10.17,11.28,9.995,11.07,462600
2024-08-14,10.49,10.49,9.56,9.98,448400
2024-08-13,10.23,10.68,10.08,10.49,493400
2024-08-12,9.56,9.86,9.47,9.76,227000
2024-08-09,9.94,10.068,9.36,9.46,277500
2024-08-08,9.9,10.02,9.58,9.95,183800
2024-08-07,10.28,10.43,9.6,9.65,301400
2024-08-06,10.03,10.3,9.71,10.07,184100
2024-08-05,9.25,9.97,9.21,9.89,348800
2024-08-02,10.75,10.84,9.895,10.45,372600
2024-08-01,11.64,11.72,11.0,11.19,281000
2024-07-31,11.55,12.18,11.28,11.68,296200
2024-07-30,11.71,11.87,11.395,11.43,187000
2024-07-29,12.65,12.7,11.49,11.62,261700
2024-07-26,12.07,12.3,11.77,11.93,262300
2024-07-25,11.54,12.27,11.54,11.95,355400
2024-07-24,11.53,11.89,11.37,11.47,222900
2024-07-23,11.74,11.96,11.64,11.66,245900
2024-07-22,11.14,11.83,10.98,11.77,353000
2024-07-19,11.13,11.43,10.93,11.2,488600
2024-07-18,11.25,11.505,10.88,11.05,439400
2024-07-17,11.62,11.86,11.27,11.33,357900
2024-07-16,11.99,12.25,11.82,11.84,293400
2024-07-15,11.6,11.9,11.41,11.83,357300
2024-07-12,11.37,11.9,11.295,11.46,328300
2024-07-11,10.54,11.42,10.535,11.25,429800
