datetime,open,high,low,close,volume
2025-04-01,119.28,122.79,118.65,121.79,444400
2025-03-31,118.39,120.28,115.35,119.19,428600
2025-03-28,124.22,124.22,119.46,120.93,320500
2025-03-27,125.83,126.61,123.01,123.59,253800
2025-03-26,131.5,132.00999,124.35,126.0,316900
2025-03-25,130.0,131.39999,128.34,131.2,319700
2025-03-24,127.1,129.37,126.3,128.69,285100
2025-03-21,123.83,125.15,122.47,125.01,734000
2025-03-20,124.54,125.35,123.5,125.1,215100
2025-03-19,125.29,127.49,123.92,125.73,325800
2025-03-18,125.5,125.55,121.14,124.79,409200
2025-03-17,128.67,129.16,124.3,125.74,392400
2025-03-14,126.76,129.86,124.5,129.45,487600
2025-03-13,121.81,124.05,120.43,123.99,409300
2025-03-12,125.32,126.55,120.84,121.53,486100
2025-03-11,123.37,126.23,121.77,124.0,557800
2025-03-10,130.03999,130.49001,121.62,123.35,718200
2025-03-07,134.89,134.89,128.91,132.33,668300
2025-03-06,134.81,136.23,131.10001,135.07001,705300
2025-03-05,110.07,138.21001,110.07,135.69,2984500
2025-03-04,140.25,143.56,135.17,141.89999,997500
2025-03-03,149.85001,150.83,141.67,142.63,528800
2025-02-28,150.63,153.23,147.23,149.62,452100
2025-02-27,155.87,157.0,151.60001,151.86,255800
2025-02-26,152.36,157.82001,150.0,153.64999,379600
2025-02-25,152.00999,153.67999,145.97,151.69,478200
2025-02-24,154.78999,156.48,149.02,152.89999,335000
2025-02-21,160.02,160.25,153.16,154.78999,341400
2025-02-20,158.63,159.42,154.41,158.13,284000
2025-02-19,157.06,161.61,156.2,158.84,468100
2025-02-18,158.24001,160.05,153.97,155.3,523200
2025-02-14,160.98,161.33,156.39999,156.99001,484800
2025-02-13,168.25,168.60001,159.37,161.34,625200
2025-02-12,175.27,178.8,162.95,167.7,703200
2025-02-11,181.0,181.02,176.98,179.35001,248600
2025-02-10,177.47,182.64999,175.86,182.14999,253300
2025-02-07,179.08,180.3,176.06,176.92999,244400
2025-02-06,187.67999,188.2,176.35001,179.07001,397700
2025-02-05,188.53999,188.53999,183.39,185.96001,342400
2025-02-04,174.78999,188.78999,174.78999,186.12,550900
2025-02-03,174.83,181.85001,172.98,172.98,449200
2025-01-31,174.0,182.60001,171.53,180.14999,400000
2025-01-30,172.25,173.89,170.5,171.98,228600
2025-01-29,175.14,177.16,169.0,171.28,274600
2025-01-28,179.69,179.69,172.99001,175.03999,233600
2025-01-27,176.0,178.92999,170.17,176.55,387400
2025-01-24,181.57001,182.03999,179.23,180.36,319200
2025-01-23,177.63,182.64,176.5,181.57001,375500
2025-01-22,178.38,180.0,175.85001,177.88,384700
2025-01-21,171.0,177.63,171.0,177.52,445000
2025-01-17,167.96001,170.88,164.89999,168.74001,317400
2025-01-16,168.0,168.61,163.17,165.39,288500
2025-01-15,168.39999,171.0,166.27,167.53,365300
2025-01-14,163.73,168.97,163.0,164.66,283500
2025-01-13,161.28,162.34,157.25,162.11,423200
2025-01-10,160.86,167.25,160.14999,165.03,332100
2025-01-08,161.41,164.0,158.03999,163.41,321500
2025-01-07,164.45,168.0,161.55,163.03999,335700
2025-01-06,163.23,164.0,160.52,163.73,333900
2025-01-03,157.36,161.56,157.17999,161.00999,340500
2025-01-02,157.87,161.71001,155.28,156.45,317600
2024-12-31,156.74001,157.46001,153.71001,153.89,266200
2024-12-30,155.27,155.95,152.75999,155.17999,342500
2024-12-27,161.00999,161.49001,154.62,157.66,345700
2024-12-26,158.11,162.21001,158.0,161.5,269400
2024-12-24,161.2,161.85001,158.71001,160.12,164300
2024-12-23,164.60001,164.81,159.32001,161.2,397700
2024-12-20,158.17999,165.62,158.17999,164.03,1373200
2024-12-19,156.92999,161.85001,156.07001,161.84,526600
2024-12-18,163.86,165.25,155.32001,156.06,805600
2024-12-17,168.61,168.61,159.62,164.03999,732700
2024-12-16,159.55,172.08,159.22,168.8,1118800
2024-12-13,153.45,156.60001,151.42,156.5,611500
2024-12-12,154.25999,156.73,152.19,153.88,487700
2024-12-11,154.84,155.97,150.5,154.35001,777900
2024-12-10,159.58,160.24001,153.0,153.72,959900
2024-12-09,163.67,164.88,159.73,160.42,752700
2024-12-06,166.00999,167.3,161.0,163.33,808100
2024-12-05,175.0,180.83,162.27,165.62,2547900
2024-12-04,194.03,199.2,192.28999,196.89,695800
2024-12-03,203.2,203.2,192.8,193.10001,548300
2024-12-02,197.0,203.57001,192.5,203.19,473800
2024-11-29,194.0,196.0,192.60001,194.5,199700
2024-11-27,197.36,199.56,190.5,190.87,259900
2024-11-26,196.17,203.69,193.0,196.5,437900
2024-11-25,199.16,201.62,192.3,193.11,375800
2024-11-22,196.28999,199.74001,195.63,195.91,323200
2024-11-21,198.14,204.52,193.0,194.25999,537400
2024-11-20,204.00999,205.05,191.12,198.34,719100
2024-11-19,192.39999,197.69,189.25999,194.89,860500
2024-11-18,199.48,200.94,195.58,197.07001,265400
2024-11-15,203.82001,204.5,197.61,200.06,344700
2024-11-14,216.14,219.98,203.03999,204.25,430700
2024-11-13,217.44,227.64999,217.17999,217.56,382600
2024-11-12,228.57001,231.94,213.53999,218.03,432200
2024-11-11,232.0,236.60001,228.23,235.17,351400
2024-11-08,225.27,231.5,222.0,227.87,320600
2024-11-07,213.00999,224.99001,213.00999,223.69,267700
2024-11-06,227.55,232.0,203.21001,216.32001,788000
2024-11-05,216.27,220.25999,215.21001,219.67,234900
2024-11-04,213.57001,219.28,213.0,215.48,146000
2024-11-01,217.13,219.89,215.60001,216.0,168700
2024-10-31,215.78,217.32001,211.46001,214.96001,220600
2024-10-30,219.31,221.19,216.24001,216.60001,198700
2024-10-29,220.2,221.69,218.0,220.85001,139200
2024-10-28,222.06,222.58,217.97,220.8,150200
2024-10-25,216.69,221.11,215.91,220.89999,182500
2024-10-24,214.67999,218.83,214.41,215.66,142300
2024-10-23,215.67999,217.14,212.14,214.67999,154700
2024-10-22,219.52,220.0,214.67999,216.48,207400
2024-10-21,217.69,227.17999,217.69,220.50999,227500
2024-10-18,216.0,218.99001,215.12,216.97,170600
2024-10-17,221.32001,221.34,215.10001,215.63,239700
2024-10-16,215.74001,221.52,215.2,220.23,257300
2024-10-15,215.44,217.35001,209.52,214.11,298000
2024-10-14,218.0,219.0,214.3,215.17,276700
2024-10-11,205.8,217.5,205.8,215.39,314800
2024-10-10,207.12,212.11,203.96001,206.67,300300
2024-10-09,207.47,209.0,205.19,208.32001,187000
2024-10-08,206.53999,209.32001,205.59,207.82001,218900
2024-10-07,208.17999,209.0,203.55,205.28,219800
2024-10-04,203.16,208.64999,201.0,207.95,225400
2024-10-03,203.66,204.42999,199.5,201.11,348800
2024-10-02,215.67,217.25999,203.72,204.0,512600
2024-10-01,200.62,219.25,200.46001,211.09,739300
2024-09-30,198.0,200.78,196.61,200.5,268800
2024-09-27,196.55,200.83,196.36,199.23,297500
2024-09-26,200.0,200.0,194.36,194.7,255400
2024-09-25,197.97,201.00999,194.73,196.75,269100
2024-09-24,203.8,203.8,197.33,197.82001,361400
2024-09-23,190.3,205.28,190.03999,204.5,702300
2024-09-20,180.10001,184.28999,177.62,182.75999,687800
2024-09-19,178.27,180.94,175.25,179.69,295500
2024-09-18,174.47,180.64999,171.27,174.44,374500
2024-09-17,171.77,176.82001,171.77,174.96001,474200
2024-09-16,187.19,188.17999,171.23,173.52,1139000
2024-09-13,187.0,192.38,185.5,192.11,208700
2024-09-12,183.28,186.53,181.91,185.5,169800
2024-09-11,180.74001,184.24001,175.96001,183.99001,177500
2024-09-10,180.39999,184.61,178.62,180.71001,274900
2024-09-09,180.27,182.3,178.69,180.92,277100
2024-09-06,183.28999,186.42,175.85001,179.47,421500
2024-09-05,191.00999,206.8,181.99001,183.73,754400
2024-09-04,191.72,197.42999,190.64999,194.03999,524700
2024-09-03,203.94,207.89,191.75,192.25999,375400
2024-08-30,203.96001,206.25999,198.87,203.75999,362200
2024-08-29,198.35001,205.78,197.56,203.61,471900
2024-08-28,199.39999,211.44,190.99001,193.86,985100
2024-08-27,176.10001,178.86,174.71001,177.75999,157100
2024-08-26,186.5,188.62,176.49001,177.39,299100
2024-08-23,185.00999,186.74001,183.03999,185.62,185800
2024-08-22,189.42,189.42,183.5,184.00999,172300
2024-08-21,187.48,190.0,187.2,188.25999,123600
2024-08-20,189.39,189.73,184.56,187.24001,151000
2024-08-19,190.44,191.66,185.37,189.8,191200
2024-08-16,187.19,191.77,186.42999,190.44,221600
2024-08-15,186.42,188.0,181.85001,186.83,234100
2024-08-14,182.44,186.82001,181.64,184.07001,255700
2024-08-13,179.0,182.56,176.03,181.52,213700
2024-08-12,177.42999,178.91,174.61,178.05,121700
2024-08-09,176.48,178.25,174.83,176.02,199700
2024-08-08,169.32001,178.48,168.39,176.42999,257900
2024-08-07,171.69,172.81,165.25,167.02,163300
2024-08-06,164.32001,171.94,163.5,169.62,269000
2024-08-05,156.36,166.47,152.88,164.14,330800
2024-08-02,169.09,170.73,164.13,166.5,268200
2024-08-01,179.59,180.64,172.49001,174.34,205700
2024-07-31,175.88,180.46001,172.64999,178.53999,231200
2024-07-30,175.14999,178.75,170.89,173.52,172800
