datetime,open,high,low,close,volume
2025-04-01,33.85,34.5,32.84,33.02,3045400
2025-03-31,35.24,35.37,33.85,34.57,2651900
2025-03-28,35.98,36.4,34.97,35.11,1191500
2025-03-27,36.47,37.06,36.03,36.4,1705900
2025-03-26,36.74,36.84,35.77,36.1,1624200
2025-03-25,37.29,37.57,36.52,36.74,3293000
2025-03-24,35.1,37.94,34.8,37.22,4338800
2025-03-21,33.39,35.09,33.09,34.77,3460900
2025-03-20,33.52,34.61,33.045,33.91,2383400
2025-03-19,32.24,33.81,32.04,33.75,2457500
2025-03-18,31.81,32.65,31.5,32.19,1942100
2025-03-17,32.98,33.44,32.33,33.01,1810800
2025-03-14,32.59,33.45,32.42,32.97,1577600
2025-03-13,32.37,32.82,31.85,32.31,3401100
2025-03-12,32.39,33.19,32.39,32.59,2931800
2025-03-11,31.38,32.655,31.34,32.34,3342000
2025-03-10,31.25,31.69,30.545,31.4,3430100
2025-03-07,32.12,32.64,31.22,31.57,3266200
2025-03-06,32.5,33.45,31.69,32.23,5744600
2025-03-05,33.77,35.2,33.57,34.97,2390700
2025-03-04,32.72,33.92,31.69,33.54,2988900
2025-03-03,34.54,35.0,32.32,33.01,3283400
2025-02-28,33.8,34.985,33.45,34.9,2514500
2025-02-27,33.45,35.02,33.36,34.25,4057800
2025-02-26,34.73,35.005,33.04,33.45,8933700
2025-02-25,34.18,35.46,32.5,34.35,6773700
2025-02-24,36.78,37.5,35.53,36.25,1752400
2025-02-21,37.94,38.05,36.385,36.85,2508900
2025-02-20,39.4,39.47,35.36,36.805,7245700
2025-02-19,35.41,36.59,35.41,36.29,4166200
2025-02-18,35.0,36.07,33.86,35.49,4000800
2025-02-14,31.63,34.99,31.63,34.9,3374700
2025-02-13,32.29,32.64,31.22,31.56,1726200
2025-02-12,30.5,32.01,30.5,31.95,1285300
2025-02-11,31.56,32.106,31.02,31.12,1645100
2025-02-10,31.92,32.99,31.68,31.76,1681700
2025-02-07,32.55,32.85,31.76,31.85,1527200
2025-02-06,33.83,33.94,32.59,32.7,1742800
2025-02-05,33.14,34.2,32.66,33.54,2374900
2025-02-04,31.18,33.16,30.84,32.98,3109800
2025-02-03,33.73,33.8,31.0,31.03,5112400
2025-01-31,35.83,36.5,34.0,34.21,3032000
2025-01-30,36.42,36.99,35.415,35.97,2246500
2025-01-29,36.23,36.885,35.8,36.46,3128700
2025-01-28,36.71,36.75,35.74,36.31,2763100
2025-01-27,37.5,37.755,36.25,36.67,1568000
