datetime,open,high,low,close,volume
2025-04-01,23.01,24.21,22.72,24.01,27860
2025-03-31,23.9,23.9,23.45,23.46,6100
2025-03-28,24.0,24.33,23.71,23.82,6800
2025-03-27,24.45,24.45,23.83,24.24,5000
2025-03-26,24.58,24.62,24.31,24.32,7600
2025-03-25,24.39,24.78,24.2,24.44,8900
2025-03-24,23.39,24.45,23.39,24.24,13600
2025-03-21,23.57,23.57,22.9,23.03,12800
2025-03-20,23.8,23.99,23.45,23.56,38700
2025-03-19,23.07,24.16,23.07,23.78,17300
2025-03-18,22.777,23.57,22.777,23.24,21700
2025-03-17,22.56,22.84,22.51,22.6,10100
2025-03-14,22.02,22.65,22.02,22.4,10900
2025-03-13,22.05,22.28,21.76,21.76,7000
2025-03-12,22.22,22.51,21.84,22.25,11000
2025-03-11,22.34,23.01,21.62,22.385,23900
2025-03-10,23.09,23.15,21.77,22.43,21100
2025-03-07,23.45,23.81,22.92,23.19,22700
2025-03-06,24.1,24.82,23.49,23.62,17000
2025-03-05,24.52,24.89,24.269,24.815,7300
2025-03-04,23.56,24.29,23.35,23.96,45100
2025-03-03,24.95,25.26,23.7,23.87,14000
2025-02-28,24.47,25.19,24.47,25.03,18500
2025-02-27,25.16,25.17,24.54,24.66,11800
2025-02-26,25.14,25.46,24.77,24.96,20600
2025-02-25,25.09,25.825,25.09,25.24,8700
2025-02-24,24.57,25.55,24.3,24.94,15500
2025-02-21,25.15,25.35,24.45,24.59,12100
2025-02-20,25.21,25.46,24.885,25.37,16000
2025-02-19,25.19,25.425,24.95,25.2,17400
2025-02-18,25.03,25.47,24.68,25.36,11800
2025-02-14,24.85,25.6,24.85,24.95,23300
2025-02-13,23.91,24.86,23.682,24.52,9300
2025-02-12,23.82,24.36,23.59,23.75,17700
2025-02-11,23.53,24.39,23.53,24.03,17600
2025-02-10,22.8,23.34,22.53,23.06,16700
2025-02-07,22.3,22.71,22.3,22.69,10900
2025-02-06,22.37,22.66,22.111,22.38,11700
2025-02-05,22.04,22.59,22.01,22.36,6700
2025-02-04,21.88,21.96,21.39,21.82,13600
2025-02-03,21.68,21.68,20.34,21.53,37700
2025-01-31,22.39,22.39,21.69,21.94,9700
2025-01-30,21.646,22.0,21.45,21.73,34600
2025-01-29,21.8,22.04,21.45,21.55,25700
2025-01-28,22.16,22.216,21.52,21.95,19500
2025-01-27,21.7,22.37,21.46,22.07,13900
2025-01-24,21.38,21.718,21.25,21.56,22200
2025-01-23,21.29,21.8,21.07,21.57,21400
2025-01-22,22.0,22.08,21.387,21.63,34000
2025-01-21,21.56,21.9,21.41,21.58,12400
2025-01-17,21.92,22.04,21.44,21.55,10300
2025-01-16,22.3,22.3,21.64,21.78,16600
2025-01-15,22.47,22.667,22.06,22.25,17400
2025-01-14,21.55,22.28,21.55,21.95,40400
2025-01-13,21.77,22.14,21.77,21.97,12400
2025-01-10,21.74,22.455,21.74,22.12,24300
2025-01-08,22.26,22.58,22.26,22.54,4400
2025-01-07,22.7,22.7,21.87,22.35,14300
2025-01-06,24.29,24.46,22.58,22.58,23900
2025-01-03,23.875,24.5,23.669,24.23,14500
2025-01-02,23.5,23.968,23.5,23.69,13900
2024-12-31,22.65,23.61,21.72,23.42,16300
2024-12-30,22.2,22.58,21.78,22.07,12000
2024-12-27,21.53,22.64,21.53,22.45,14700
2024-12-26,22.98,23.053,22.659,22.773,2200
2024-12-24,22.35,22.873,22.33,22.49,14200
2024-12-23,22.88,22.94,22.239,22.49,17800
2024-12-20,22.31,23.08,22.19,22.65,13100
2024-12-19,23.11,23.11,22.324,22.38,18000
2024-12-18,22.91,23.65,22.73,22.8,16500
2024-12-17,23.4,23.52,22.73,22.85,30000
2024-12-16,24.11,24.2,23.31,23.5,13200
2024-12-13,23.96,24.507,23.68,23.68,30600
2024-12-12,24.98,25.238,24.12,24.29,23600
2024-12-11,24.63,25.4,24.63,24.84,21200
2024-12-10,24.5,24.84,24.19,24.8,9900
2024-12-09,24.98,25.03,24.58,24.8,32400
2024-12-06,25.87,25.899,24.5,24.75,57200
2024-12-05,25.71,25.9,25.56,25.675,6800
2024-12-04,26.0,26.32,25.433,25.433,8700
2024-12-03,26.28,26.28,25.55,25.77,8800
2024-12-02,26.3,26.3,25.68,26.05,13600
2024-11-29,26.29,26.75,26.133,26.435,21800
2024-11-27,25.85,26.485,25.56,26.08,21600
