datetime,open,high,low,close,volume
2025-04-01,49.48,49.48,49.47,49.47,200
2025-03-31,49.76,49.76,49.74,49.74,500
2025-03-28,49.91,49.91,49.88,49.88,3700
2025-03-27,49.88,49.88,49.84,49.86,2300
2025-03-26,49.71,49.72,49.68,49.7,2700
2025-03-25,49.69,49.69,49.65,49.675,6700
2025-03-24,49.64,49.656,49.64,49.64,1400
2025-03-21,49.67,49.67,49.64,49.64,13400
2025-03-20,49.64,49.64,49.62,49.63,6100
2025-03-19,49.74,49.74,49.73,49.73,25200
2025-03-18,49.71,49.71,49.71,49.71,3700
2025-03-17,49.81,49.81,49.762,49.765,5100
2025-03-14,49.6,49.684,49.6,49.675,7100
2025-03-13,49.71,49.71,49.635,49.635,2300
2025-03-12,49.68,49.68,49.6,49.615,7900
2025-03-11,49.65,49.684,49.56,49.645,20200
2025-03-10,50.01,50.01,49.97,49.99,14100
2025-03-07,50.01,50.02,49.99,50.0,4700
2025-03-06,50.06,50.07,50.045,50.045,20600
2025-03-05,50.08,50.08,50.04,50.047,5300
2025-03-04,50.13,50.13,50.09,50.105,2200
2025-03-03,50.12,50.12,50.085,50.095,9100
2025-02-28,50.44,50.45,50.414,50.415,2800
2025-02-27,50.27,50.27,50.22,50.26,9700
2025-02-26,50.29,50.31,50.26,50.29,14200
2025-02-25,50.27,50.29,50.23,50.275,24600
2025-02-24,50.26,50.26,50.255,50.255,300
2025-02-21,50.27,50.27,50.25,50.25,1700
2025-02-20,50.38,50.38,50.33,50.355,1400
2025-02-19,50.345,50.37,50.345,50.345,1300
2025-02-18,50.32,50.33,50.27,50.315,20700
2025-02-14,50.56,50.56,50.54,50.55,8100
2025-02-13,50.51,50.52,50.51,50.515,11200
2025-02-12,50.495,50.51,50.495,50.5,7100
2025-02-11,50.49,50.5,50.49,50.495,19900
2025-02-10,50.47,50.47,50.44,50.465,4900
2025-02-07,50.48,50.48,50.47,50.47,8600
2025-02-06,50.426,50.45,50.426,50.435,13500
2025-02-05,50.44,50.44,50.423,50.43,1500
2025-02-04,50.42,50.42,50.41,50.41,1000
2025-02-03,50.18,50.2,50.18,50.19,11700
2025-01-31,50.192,50.22,50.17,50.17,11100
2025-01-30,50.18,50.19,50.15,50.17,6000
