datetime,open,high,low,close,volume
2025-04-01,0.41,0.6674,0.39,0.6,10820
2025-03-31,0.52,0.6199,0.5,0.6199,684
2025-03-28,0.63,0.63,0.5002,0.5002,1941
2025-03-27,0.7104,0.7104,0.675,0.7,2109
2025-03-26,0.7251,0.7251,0.69,0.69,1286
2025-03-25,0.6627,0.69,0.6627,0.69,510
2025-03-24,0.5,0.69,0.5,0.67,11656
2025-03-21,0.7,0.7,0.6,0.6,1704
2025-03-20,0.6812,0.71,0.6501,0.6501,3281
2025-03-19,0.6739,0.72,0.6,0.675,1780
2025-03-18,0.73,0.73,0.73,0.73,98
2025-03-17,0.69,0.7,0.68,0.68,10970
2025-03-14,0.7,0.7,0.65,0.67,3082
2025-03-13,0.74,0.75,0.6,0.6,2849
2025-03-12,0.7026,0.7026,0.7022,0.7022,1540
2025-03-11,0.6981,0.6981,0.6449,0.6449,4015
2025-03-10,0.69,0.753,0.69,0.753,2053
2025-03-07,0.66,0.7101,0.65,0.7101,2464
2025-03-06,0.7114,0.77,0.7111,0.7111,4671
2025-03-05,0.72,0.8479,0.72,0.8399,10183
2025-03-04,0.7,0.85,0.66,0.66,18585
2025-03-03,0.88,0.9606,0.7,0.7,31330
2025-02-28,1.05,1.19,0.85,0.85,23718
2025-02-27,1.05,1.15,0.95,0.985,43667
2025-02-26,0.95,1.05,0.7485,0.9999,350226
2025-02-25,0.75,1.0,0.64,0.9899,25055
2025-02-24,0.68,0.726,0.655,0.66,14262
2025-02-21,0.9119,0.9119,0.69,0.79,6060
2025-02-20,0.86,0.86,0.695,0.83,72321
2025-02-19,0.95,0.97,0.92,0.9214,22394
2025-02-18,1.05,1.05,0.96,1.0201,6193
2025-02-14,1.25,1.25,1.0101,1.0501,24084
2025-02-13,0.97,1.25,0.91,1.15,116103
2025-02-12,0.84,1.05,0.84,0.92,19136
2025-02-11,1.01,1.0999,0.88,0.88,43536
2025-02-10,0.75,1.37,0.6661,1.03,155792
2025-02-07,0.55,0.755,0.5,0.7422,27389
2025-02-06,0.58823,0.5952,0.5606,0.561,20324
2025-02-05,0.57,0.57,0.57,0.57,2000
2025-02-04,0.6,0.65,0.6,0.6234,9712
2025-02-03,0.5011,0.64,0.5011,0.55,6650
2025-01-31,0.5908,0.6416,0.5,0.5,20340
2025-01-30,0.59153,0.62,0.59153,0.6,1154
2025-01-29,0.6331,0.6641,0.5661,0.6519,13868
2025-01-28,0.6,0.6573,0.557,0.56,10096
2025-01-27,0.54,0.72,0.54,0.61,29397
2025-01-24,0.6,0.7,0.5651,0.5658,15202
2025-01-23,0.60201,0.63,0.585,0.615,8062
2025-01-22,0.67,0.7397,0.5211,0.64,70795
2025-01-21,0.5004,0.7476,0.5004,0.66,73496
2025-01-17,0.53,0.6804,0.5002,0.5002,81706
2025-01-16,0.55,0.75,0.49,0.55,86496
2025-01-15,0.5447,0.545,0.47,0.47,1612
2025-01-14,0.502,0.502,0.5,0.5,1400
2025-01-13,0.4,0.5,0.4,0.4444,852
2025-01-10,0.5968,0.67,0.5,0.5136,10180
2025-01-08,0.59,0.59,0.47714,0.5,4296
2025-01-07,0.52,0.7,0.35,0.59,24798
2025-01-06,0.5,0.515,0.47375,0.5,22776
2025-01-03,0.34,0.45,0.34,0.4426,4545
2025-01-02,0.4,0.4,0.35,0.35,7503
2024-12-31,0.417,0.425,0.4,0.4,6187
2024-12-30,0.649,0.649,0.42145,0.425,27996
2024-12-27,0.5364,0.55,0.49,0.49,14113
2024-12-26,0.55,0.55,0.51,0.51,10200
2024-12-24,0.5,0.5,0.5,0.5,100
2024-12-23,0.5,0.5,0.5,0.5,163
2024-12-20,0.53,0.5372,0.48,0.5,5022
2024-12-19,0.53,0.55,0.53,0.53,14822
2024-12-18,0.6,0.65,0.53,0.5396,56300
2024-12-17,0.49,0.55,0.4754,0.55,21834
2024-12-16,0.5,0.5,0.36,0.4501,6841
2024-12-13,0.36,0.36,0.34,0.357,2547
2024-12-12,0.5,0.54,0.33,0.35,7359
2024-12-11,0.43,0.545,0.43,0.482,9528
2024-12-10,0.5,0.5,0.3859,0.3885,1785
2024-12-09,0.5202,0.55,0.52,0.537,21549
2024-12-06,0.35,0.54,0.35,0.4646,32692
2024-12-05,0.2703,0.36,0.2703,0.3484,11504
2024-12-04,0.365,0.3666,0.2596,0.2596,2570
2024-12-03,0.35,0.38,0.35,0.37,8198
2024-12-02,0.3248,0.39,0.3248,0.35,20627
2024-11-29,0.3255,0.3255,0.3255,0.3255,105
2024-11-27,0.252,0.37,0.252,0.2521,750
2024-11-26,0.329,0.329,0.2301,0.245,1200
2024-11-25,0.23,0.3499,0.2299,0.25,47550
2024-11-22,0.19,0.23,0.1833,0.211,14129
2024-11-21,0.17,0.1845,0.17,0.1845,2442
2024-11-20,0.1999,0.1999,0.1998,0.1999,600
2024-11-19,0.23,0.23,0.18,0.1999,3300
2024-11-18,0.17,0.1701,0.17,0.17,1903
2024-11-15,0.1993,0.1994,0.1787,0.18,2105
2024-11-14,0.1888,0.1998,0.17,0.1995,12612
2024-11-13,0.1843,0.1921,0.177,0.1793,4306
2024-11-12,0.21,0.21,0.2085,0.2099,1132
2024-11-11,0.18,0.2154,0.15,0.2154,17496
2024-11-08,0.1791,0.2386,0.175,0.18243,8588
2024-11-07,0.15,0.182,0.1499,0.1516,9446
2024-11-06,0.18,0.18,0.155,0.1705,5490
2024-11-05,0.1775,0.1874,0.1775,0.187,1532
2024-11-04,0.151,0.182,0.15,0.17245,7741
2024-11-01,0.22,0.22,0.18,0.182,1400
2024-10-31,0.17,0.22526,0.17,0.22526,2300
2024-10-30,0.1851,0.2184,0.1825,0.1987,5867
2024-10-29,0.19,0.19,0.19,0.19,100
2024-10-28,0.19,0.21985,0.19,0.21985,2334
2024-10-24,0.1871,0.1871,0.1802,0.1802,5087
2024-10-22,0.1592,0.1697,0.1592,0.1697,4
2024-10-21,0.18,0.18,0.1602,0.16608,9751
2024-10-18,0.2,0.2098,0.19,0.2,7120
2024-10-17,0.249,0.249,0.2001,0.2001,30022
2024-10-16,0.2198,0.2297,0.21,0.21,9550
2024-10-15,0.2328,0.2328,0.2328,0.2328,125
2024-10-14,0.2401,0.2401,0.2204,0.2302,2395
2024-10-11,0.26,0.26,0.2382,0.25,3647
2024-10-10,0.24,0.2525,0.2303,0.2525,8389
2024-10-09,0.2797,0.2799,0.2412,0.2438,7769
2024-10-08,0.24,0.2543,0.24,0.2543,300
2024-10-07,0.25,0.25,0.24,0.24,3534
2024-10-04,0.26,0.27,0.2475,0.27,19105
2024-10-03,0.2701,0.2701,0.25,0.25,15080
2024-10-02,0.2401,0.2898,0.2401,0.2898,4877
2024-10-01,0.255,0.2608,0.2401,0.2401,3482
2024-09-30,0.3,0.3,0.2672,0.2672,3137
2024-09-27,0.296,0.3306,0.27,0.3306,5500
2024-09-26,0.286,0.286,0.286,0.286,299
2024-09-25,0.299,0.299,0.299,0.299,301
2024-09-24,0.25,0.279,0.25,0.279,1029
2024-09-23,0.2902,0.2902,0.2439,0.244,4148
2024-09-20,0.2651,0.2793,0.265,0.265,1150
2024-09-19,0.27,0.27,0.27,0.27,520
2024-09-18,0.2401,0.2479,0.24,0.2416,5777
2024-09-17,0.29,0.29,0.2421,0.27,5813
2024-09-16,0.2417,0.29,0.2417,0.29,629
2024-09-12,0.2451,0.26,0.2451,0.26,1329
2024-09-11,0.3198,0.3198,0.3197,0.3197,340
2024-09-10,0.245,0.3184,0.245,0.3184,3970
2024-09-09,0.2847,0.2848,0.2626,0.2847,1188
2024-09-06,0.2701,0.2867,0.2507,0.2507,4393
2024-09-05,0.26,0.2601,0.26,0.2601,1597
2024-09-04,0.315,0.315,0.2702,0.2702,2811
2024-09-03,0.3153,0.3153,0.31,0.31,7042
2024-08-30,0.375,0.4999,0.315,0.315,8934
2024-08-29,0.3548,0.3749,0.3548,0.3749,1476
2024-08-28,0.35,0.3548,0.35,0.3547,1904
2024-08-27,0.35,0.3501,0.35,0.3501,752
2024-08-26,0.35,0.3749,0.35,0.3625,1499
2024-08-23,0.3917,0.3917,0.35,0.35,6200
2024-08-21,0.383,0.3832,0.383,0.3832,2
2024-08-20,0.4,0.4288,0.3888,0.4288,3727
2024-08-19,0.373,0.3731,0.373,0.373,5514
2024-08-16,0.462,0.462,0.373,0.373,5873
2024-08-15,0.3706,0.479,0.3706,0.42,8406
2024-08-14,0.3707,0.3707,0.3707,0.3707,125
2024-08-13,0.3706,0.3707,0.3706,0.3707,1982
2024-08-12,0.3893,0.4134,0.38,0.4,3781
2024-08-08,0.5048,0.5048,0.3986,0.3986,8197
2024-08-07,0.4395,0.479,0.4,0.4788,3878
2024-08-06,0.479,0.479,0.4645,0.4698,962
2024-08-05,0.4789,0.479,0.42,0.479,5483
2024-08-02,0.3811,0.5049,0.3811,0.5049,10001
2024-08-01,0.5198,0.5198,0.37,0.37,3624
2024-07-31,0.4888,0.53,0.4888,0.53,1462
2024-07-30,0.5,0.5,0.4691,0.475,6683
2024-07-29,0.5364,0.5364,0.4276,0.4317,8556
2024-07-26,0.42,0.455,0.42,0.455,347
2024-07-25,0.3812,0.505,0.3812,0.4504,48154
2024-07-24,0.4681,0.5,0.39,0.44,10893
2024-07-23,0.35,0.4701,0.35,0.45,8657
2024-07-22,0.41,0.42,0.4,0.41,1400
2024-07-18,0.4999,0.4999,0.44,0.44,7745
2024-07-17,0.4605,0.4605,0.4203,0.4401,41330
2024-07-16,0.4999,0.4999,0.4539,0.49,1571
2024-07-15,0.4,0.5,0.386,0.5,2506
2024-07-12,0.4,0.5,0.386,0.5,7495
2024-07-11,0.3999,0.4925,0.3751,0.46,16174
2024-07-10,0.4,0.4001,0.4,0.4,2607
2024-07-08,0.41,0.41,0.41,0.41,1035
2024-07-05,0.3503,0.3914,0.3503,0.3913,906
2024-07-03,0.405,0.405,0.38,0.38,8000
2024-07-01,0.39,0.3902,0.39,0.3902,125
2024-06-28,0.4042,0.4042,0.4041,0.4041,813
2024-06-27,0.46,0.46,0.4199,0.4199,1723
2024-06-26,0.4268,0.48,0.3801,0.41,5402
2024-06-25,0.44,0.44,0.44,0.44,2056
2024-06-24,0.4267,0.4268,0.4267,0.4268,1204
2024-06-21,0.4268,0.4268,0.4267,0.4267,900
2024-06-20,0.4267,0.4267,0.4262,0.4262,1865
2024-06-18,0.47,0.47,0.41,0.41,612
2024-06-17,0.45,0.45,0.45,0.45,305
2024-06-14,0.41,0.41,0.41,0.41,626
2024-06-13,0.4359,0.46,0.4359,0.46,2515
2024-06-12,0.4289,0.4308,0.4194,0.4308,6645
2024-06-11,0.382,0.4288,0.382,0.41,4529
2024-06-10,0.455,0.455,0.42,0.4499,1200
2024-06-07,0.42,0.42,0.42,0.42,2500
2024-06-06,0.4552,0.4903,0.45,0.45,3960
2024-06-05,0.5,0.5,0.3291,0.402,22689
2024-06-04,0.5499,0.5499,0.5499,0.5499,752
2024-06-03,0.52,0.6,0.5,0.5,2386
2024-05-31,0.52,0.55,0.52,0.5398,4310
2024-05-29,0.5,0.5,0.49,0.49,1
2024-05-28,0.5598,0.5598,0.5198,0.52,5483
2024-05-24,0.6199,0.6199,0.58,0.58,575
2024-05-23,0.55,0.5914,0.55,0.575,4804
2024-05-22,0.4801,0.6099,0.4801,0.6099,2098
2024-05-21,0.48,0.5863,0.48,0.4801,1313
2024-05-20,0.45,0.4848,0.4101,0.46,4020
2024-05-17,0.4399,0.4599,0.4399,0.4599,2905
2024-05-16,0.44,0.46,0.44,0.4598,1844
2024-05-15,0.4501,0.4501,0.4101,0.44,8816
2024-05-14,0.45,0.45,0.45,0.45,1644
2024-05-13,0.48,0.48,0.48,0.48,1784
2024-05-10,0.5,0.5,0.45,0.4501,2357
2024-05-09,0.48,0.54,0.48,0.5299,3764
2024-05-08,0.48,0.48,0.48,0.48,866
2024-05-06,0.48,0.48,0.48,0.48,96
2024-05-03,0.4404,0.4603,0.4404,0.4603,2025
2024-05-02,0.4401,0.4401,0.4401,0.4401,6900
2024-05-01,0.46,0.46,0.46,0.46,3702
2024-04-30,0.47,0.47,0.4501,0.46,3297
2024-04-29,0.469,0.469,0.469,0.469,1001
2024-04-26,0.4351,0.4351,0.4351,0.4351,259
2024-04-25,0.43,0.43,0.43,0.43,3526
2024-04-24,0.43,0.43,0.43,0.43,2320
2024-04-23,0.49,0.49,0.45,0.4501,9159
2024-04-22,0.49,0.4901,0.4899,0.49,765
2024-04-19,0.4503,0.4503,0.4501,0.4501,5165
2024-04-18,0.5401,0.5401,0.4501,0.475,6307
2024-04-17,0.54,0.5465,0.54,0.5402,3365
2024-04-16,0.52,0.5274,0.5,0.5001,4671
2024-04-15,0.52,0.5965,0.52,0.52,7048
2024-04-12,0.5651,0.5651,0.52,0.52,15915
2024-04-11,0.6,0.6068,0.56,0.6067,6770
2024-04-10,0.56,0.615,0.56,0.615,6182
2024-04-09,0.56,0.5702,0.56,0.56,5998
2024-04-08,0.56,0.6201,0.56,0.6,16950
2024-04-05,0.6301,0.6899,0.6301,0.6899,3360
2024-04-04,0.6977,0.6978,0.6206,0.6206,1674
2024-04-03,0.67,0.7181,0.6,0.698,13337
2024-04-02,0.66,0.66,0.66,0.66,0
