datetime,open,high,low,close,volume
2025-04-01,25.83,26.19,25.61,26.09,483682
2025-03-31,25.8,26.19,25.71,26.09,430500
2025-03-28,26.5,26.64,25.98,26.15,292400
2025-03-27,26.71,26.93,26.5,26.62,292400
2025-03-26,26.78,27.11,26.58,26.72,276400
2025-03-25,26.92,27.05,26.65,26.66,370100
2025-03-24,26.52,27.03,26.31,26.92,486300
2025-03-21,26.2,26.39,25.86,26.12,1801800
2025-03-20,26.11,26.64,26.11,26.25,401500
2025-03-19,26.44,26.66,26.07,26.33,456200
2025-03-18,26.02,26.44,25.85,26.32,653300
2025-03-17,26.3,26.5,26.07,26.15,488400
2025-03-14,25.94,26.4,25.81,26.28,743600
2025-03-13,26.15,26.28,25.74,25.75,451800
2025-03-12,26.14,26.19,25.68,26.05,647100
2025-03-11,25.83,26.33,25.67,25.88,969600
2025-03-10,25.99,26.3,25.68,25.76,945300
2025-03-07,26.59,26.68,26.07,26.48,797700
2025-03-06,26.87,26.88,26.43,26.67,514000
2025-03-05,27.04,27.42,26.61,27.07,589000
2025-03-04,27.8,27.84,26.91,26.97,822200
2025-03-03,28.61,28.74,27.8,28.11,413100
2025-02-28,28.22,28.6,28.1,28.49,433100
2025-02-27,28.11,28.29,27.91,28.12,640000
2025-02-26,28.29,28.56,27.88,28.24,426800
2025-02-25,28.06,28.41,28.01,28.27,405000
2025-02-24,28.29,28.29,27.82,27.9,373500
2025-02-21,28.88,28.88,28.03,28.06,314400
2025-02-20,28.9,29.05,28.21,28.61,553600
2025-02-19,29.22,29.34,29.03,29.21,391700
2025-02-18,29.21,29.47,29.06,29.47,372200
2025-02-14,29.64,29.88,29.24,29.38,174300
2025-02-13,29.71,29.71,29.19,29.58,398600
2025-02-12,29.72,29.78,29.39,29.51,344200
2025-02-11,29.53,30.18,29.5,30.18,431200
2025-02-10,30.11,30.11,29.6,29.65,188500
2025-02-07,30.46,30.46,29.56,30.05,300100
2025-02-06,30.14,30.5,29.91,30.48,272900
2025-02-05,30.0,30.07,29.55,30.07,350000
2025-02-04,28.9,29.95,28.83,29.9,395600
2025-02-03,28.79,29.13,28.32,28.94,410900
2025-01-31,29.13,29.69,29.01,29.41,599100
2025-01-30,28.9,29.72,28.12,29.13,432900
2025-01-29,28.58,29.01,28.14,28.57,621600
2025-01-28,28.5,28.9,28.39,28.83,611600
