datetime,open,high,low,close,volume
2025-04-01,10.53,10.53,10.53,10.53,0
2025-03-31,10.53,10.53,10.53,10.53,49000
2025-03-28,10.52,10.53,10.52,10.53,26000
2025-03-27,10.51,10.525,10.51,10.525,4700
2025-03-26,10.51,10.51,10.51,10.51,0
2025-03-25,10.55,10.55,10.51,10.51,76200
2025-03-24,10.51,10.51,10.51,10.51,0
2025-03-21,10.51,10.51,10.51,10.51,0
2025-03-20,10.51,10.51,10.51,10.51,400
2025-03-19,10.51,10.51,10.51,10.51,12
2025-03-18,10.51,10.51,10.51,10.51,0
2025-03-17,10.51,10.51,10.51,10.51,2100
2025-03-14,10.51,10.51,10.51,10.51,0
2025-03-13,10.51,10.51,10.51,10.51,0
2025-03-12,10.51,10.51,10.51,10.51,0
2025-03-11,10.51,10.51,10.51,10.51,0
2025-03-10,10.51,10.51,10.51,10.51,0
2025-03-07,10.51,10.51,10.51,10.51,3000
2025-03-06,10.5,10.5,10.5,10.5,1400
2025-03-05,10.49,10.49,10.49,10.49,250000
2025-03-04,10.48,10.48,10.48,10.48,300
2025-03-03,10.46,10.46,10.46,10.46,0
2025-02-28,10.46,10.46,10.46,10.46,0
2025-02-27,10.46,10.46,10.46,10.46,0
2025-02-26,10.46,10.46,10.46,10.46,0
2025-02-25,10.46,10.46,10.46,10.46,0
2025-02-24,10.46,10.46,10.46,10.46,800
2025-02-21,10.43,10.43,10.41,10.42,15000
2025-02-20,10.48,10.48,10.48,10.48,16
2025-02-19,10.48,10.48,10.48,10.48,0
2025-02-18,10.48,10.48,10.48,10.48,0
2025-02-14,10.48,10.48,10.48,10.48,100
2025-02-13,10.43,10.43,10.43,10.43,0
2025-02-12,10.43,10.43,10.43,10.43,0
2025-02-11,10.43,10.43,10.43,10.43,0
2025-02-10,10.43,10.43,10.43,10.43,0
2025-02-07,10.43,10.43,10.43,10.43,700
2025-02-06,10.473,10.473,10.473,10.473,0
2025-02-05,10.473,10.473,10.473,10.473,0
2025-02-04,10.473,10.473,10.473,10.473,0
2025-02-03,10.46,10.473,10.46,10.473,600
2025-01-31,10.43,10.43,10.43,10.43,0
2025-01-30,10.43,10.43,10.43,10.43,0
2025-01-29,10.43,10.43,10.43,10.43,0
2025-01-28,10.46,10.46,10.415,10.43,13600
2025-01-27,10.49,10.49,10.49,10.49,2300
2025-01-24,10.45,10.46,10.45,10.46,2000
2025-01-23,10.41,10.41,10.41,10.41,14200
2025-01-22,10.41,10.41,10.41,10.41,6900
2025-01-21,10.4,10.4,10.395,10.395,4400
2025-01-17,10.4,10.4,10.4,10.4,0
2025-01-16,10.4,10.4,10.4,10.4,0
2025-01-15,10.4,10.4,10.4,10.4,0
2025-01-14,10.4,10.4,10.4,10.4,0
2025-01-13,10.4,10.4,10.4,10.4,0
2025-01-10,10.4,10.4,10.4,10.4,100
2025-01-08,10.38,10.38,10.38,10.38,0
2025-01-07,10.38,10.38,10.38,10.38,4000
2025-01-06,10.38,10.38,10.375,10.38,4700
2025-01-03,10.392,10.392,10.375,10.375,1500
2025-01-02,10.38,10.38,10.38,10.38,75000
2024-12-31,10.38,10.38,10.38,10.38,400
2024-12-30,10.37,10.37,10.37,10.37,0
2024-12-27,10.37,10.37,10.37,10.37,0
2024-12-26,10.37,10.37,10.37,10.37,94600
2024-12-24,10.37,10.37,10.37,10.37,0
2024-12-23,10.37,10.37,10.35,10.37,59800
2024-12-20,10.38,10.38,10.38,10.38,500
2024-12-19,10.36,10.36,10.36,10.36,0
2024-12-18,10.38,10.38,10.34,10.36,7000
2024-12-17,10.36,10.36,10.36,10.36,0
2024-12-16,10.36,10.36,10.35,10.36,5000
2024-12-13,10.35,10.35,10.35,10.35,0
2024-12-12,10.35,10.35,10.35,10.35,0
2024-12-11,10.35,10.35,10.35,10.35,0
2024-12-10,10.35,10.35,10.35,10.35,74500
2024-12-09,10.4,10.4,10.35,10.35,200
2024-12-06,10.36,10.36,10.36,10.36,500
2024-12-05,10.36,10.36,10.36,10.36,300000
2024-12-04,10.36,10.36,10.36,10.36,0
2024-12-03,10.36,10.36,10.36,10.36,0
2024-12-02,10.36,10.36,10.36,10.36,0
2024-11-29,10.36,10.36,10.36,10.36,0
2024-11-27,10.36,10.36,10.36,10.36,800
2024-11-26,10.35,10.36,10.35,10.36,25700
2024-11-25,10.34,10.34,10.34,10.34,800
2024-11-22,10.32,10.32,10.32,10.32,7400
2024-11-21,10.34,10.34,10.32,10.32,135100
2024-11-20,10.33,10.342,10.33,10.342,1200
2024-11-19,10.33,10.33,10.32,10.32,7200
2024-11-18,10.32,10.32,10.32,10.32,500
2024-11-15,10.32,10.32,10.32,10.32,200
2024-11-14,10.37,10.37,10.37,10.37,0
2024-11-13,10.37,10.37,10.37,10.37,0
2024-11-12,10.37,10.37,10.37,10.37,400
2024-11-11,10.36,10.36,10.36,10.36,0
2024-11-08,10.36,10.36,10.36,10.36,500
2024-11-07,10.37,10.38,10.37,10.38,1100
2024-11-06,10.34,10.461,10.3,10.36,10100
2024-11-05,10.33,10.33,10.33,10.33,0
2024-11-04,10.33,10.33,10.33,10.33,1000
2024-11-01,10.34,10.34,10.34,10.34,0
2024-10-31,10.34,10.34,10.34,10.34,0
2024-10-30,10.34,10.34,10.34,10.34,0
2024-10-29,10.34,10.34,10.34,10.34,0
2024-10-28,10.34,10.34,10.34,10.34,1000
2024-10-25,10.3,10.3,10.3,10.3,0
2024-10-24,10.3,10.3,10.3,10.3,0
2024-10-23,10.3,10.3,10.3,10.3,0
2024-10-22,10.3,10.3,10.3,10.3,500
2024-10-21,10.26,10.26,10.26,10.26,0
2024-10-18,10.26,10.26,10.26,10.26,0
2024-10-17,10.255,10.26,10.255,10.26,8700
2024-10-16,10.25,10.25,10.25,10.25,0
2024-10-15,10.25,10.25,10.25,10.25,0
2024-10-14,10.25,10.25,10.25,10.25,2100
2024-10-11,10.25,10.25,10.25,10.25,0
2024-10-10,10.25,10.25,10.25,10.25,700
2024-10-09,10.24,10.24,10.24,10.24,0
2024-10-08,10.24,10.24,10.24,10.24,0
2024-10-07,10.24,10.24,10.24,10.24,0
2024-10-04,10.24,10.24,10.24,10.24,0
2024-10-03,10.24,10.24,10.24,10.24,1500
2024-10-02,10.28,10.28,10.24,10.24,10200
2024-10-01,10.23,10.25,10.23,10.25,102500
2024-09-30,10.24,10.24,10.24,10.24,2400
2024-09-27,10.24,10.24,10.24,10.24,5000
2024-09-26,10.24,10.24,10.24,10.24,5000
2024-09-25,10.24,10.24,10.24,10.24,6100
2024-09-24,10.24,10.24,10.24,10.24,6100
2024-09-23,10.22,10.3,10.22,10.24,115200
2024-09-20,10.2,10.2,10.2,10.2,0
2024-09-19,10.2,10.2,10.2,10.2,0
2024-09-18,10.21,10.21,10.19,10.2,4300
2024-09-17,10.21,10.21,10.21,10.21,0
2024-09-16,10.21,10.21,10.21,10.21,200
2024-09-13,10.22,10.22,10.22,10.22,132100
2024-09-12,10.2,10.2,10.2,10.2,0
2024-09-11,10.2,10.2,10.2,10.2,55100
2024-09-10,10.21,10.21,10.21,10.21,0
2024-09-09,10.2,10.21,10.2,10.21,75200
2024-09-06,10.2,10.2,10.2,10.2,400
2024-09-05,10.19,10.19,10.19,10.19,0
2024-09-04,10.19,10.19,10.19,10.19,0
2024-09-03,10.19,10.19,10.19,10.19,100
2024-08-30,10.19,10.19,10.19,10.19,0
2024-08-29,10.19,10.19,10.19,10.19,0
2024-08-28,10.2,10.2,10.19,10.19,40400
2024-08-27,10.19,10.19,10.19,10.19,0
2024-08-26,10.19,10.19,10.19,10.19,0
2024-08-23,10.19,10.19,10.19,10.19,100
2024-08-22,10.19,10.19,10.19,10.19,0
2024-08-21,10.2,10.2,10.19,10.19,4800
2024-08-20,10.2,10.2,10.2,10.2,0
2024-08-19,10.18,10.2,10.18,10.2,700
2024-08-16,10.18,10.19,10.18,10.19,700
2024-08-15,10.19,10.19,10.18,10.18,26700
2024-08-14,10.19,10.19,10.18,10.18,600
2024-08-13,10.19,10.19,10.18,10.18,50700
2024-08-12,10.18,10.18,10.17,10.18,8700
2024-08-09,10.17,10.17,10.17,10.17,0
2024-08-08,10.17,10.18,10.16,10.17,8300
2024-08-07,10.17,10.17,10.16,10.16,2000
2024-08-06,10.16,10.16,10.16,10.16,100
2024-08-05,10.16,10.16,10.16,10.16,40200
2024-08-02,10.16,10.16,10.16,10.16,0
2024-08-01,10.16,10.16,10.16,10.16,2300
2024-07-31,10.16,10.16,10.16,10.16,900
2024-07-30,10.15,10.15,10.15,10.15,0
2024-07-29,10.15,10.15,10.15,10.15,0
2024-07-26,10.16,10.16,10.15,10.15,4000
2024-07-25,10.15,10.156,10.15,10.156,4500
2024-07-24,10.134,10.134,10.134,10.134,0
2024-07-23,10.15,10.15,10.134,10.134,23200
2024-07-22,10.14,10.14,10.14,10.14,0
2024-07-19,10.14,10.14,10.14,10.14,600
2024-07-18,10.14,10.14,10.14,10.14,42200
2024-07-17,10.135,10.135,10.135,10.135,0
2024-07-16,10.13,10.135,10.13,10.135,18900
2024-07-15,10.13,10.13,10.13,10.13,600
2024-07-12,10.12,10.12,10.12,10.12,0
2024-07-11,10.12,10.12,10.12,10.12,171200
2024-07-10,10.13,10.13,10.13,10.13,1000
2024-07-09,10.13,10.13,10.12,10.13,39200
2024-07-08,10.13,10.13,10.13,10.13,400
2024-07-05,10.14,10.14,10.13,10.13,51800
2024-07-03,10.13,10.13,10.13,10.13,100
2024-07-02,10.13,10.135,10.12,10.13,71400
2024-07-01,10.13,10.14,10.13,10.13,26500
2024-06-28,10.15,10.15,10.14,10.14,31800
2024-06-27,10.153,10.153,10.14,10.15,6100
2024-06-26,10.15,10.15,10.15,10.15,0
2024-06-25,10.15,10.15,10.15,10.15,0
2024-06-24,10.15,10.15,10.15,10.15,0
2024-06-21,10.15,10.15,10.15,10.15,2000
2024-06-20,10.14,10.14,10.14,10.14,2100
2024-06-18,10.14,10.15,10.13,10.13,900
2024-06-17,10.14,10.14,10.14,10.14,500
2024-06-14,10.14,10.14,10.14,10.14,0
2024-06-13,10.14,10.14,10.14,10.14,0
2024-06-12,10.145,10.145,10.14,10.14,3100
2024-06-11,10.14,10.14,10.14,10.14,0
2024-06-10,10.14,10.14,10.14,10.14,0
2024-06-07,10.14,10.14,10.14,10.14,0
2024-06-06,10.09,10.14,10.09,10.14,600
2024-06-05,10.1,10.1,10.1,10.1,2000
2024-06-04,10.135,10.135,10.135,10.135,0
2024-06-03,10.135,10.135,10.135,10.135,0
2024-05-31,10.135,10.135,10.135,10.135,0
2024-05-30,10.13,10.135,10.13,10.135,41000
2024-05-29,10.12,10.13,10.12,10.13,3800
2024-05-28,10.13,10.14,10.13,10.13,8800
2024-05-24,10.13,10.13,10.13,10.13,1600
2024-05-23,10.12,10.13,10.11,10.13,265500
2024-05-22,10.11,10.13,10.11,10.13,79100
2024-05-21,10.108,10.115,10.1,10.11,61900
2024-05-20,10.11,10.11,10.1,10.11,1894600
2024-05-17,10.1,10.11,10.1,10.11,400
2024-05-16,10.1,10.11,10.09,10.11,7300
2024-05-15,10.11,10.11,10.1,10.11,39200
2024-05-14,10.13,10.13,10.13,10.13,0
2024-05-13,10.2,10.2,10.13,10.13,1400
