datetime,open,high,low,close,volume
2025-02-14,4.0,4.0004,3.36,3.36,4450
2025-02-13,6.62,8.24,5.94,7.1,7233
2025-02-12,6.18,8.63,6.18,6.87,19883
2025-02-11,11.4,11.5,6.28,6.28,40162
2025-02-10,12.7,13.71,10.0,11.3,18802
2025-02-07,12.4,12.4,10.8,11.75,8601
2025-02-06,11.11,12.5,11.11,12.5,4600
2025-02-05,11.73,11.73,11.59,11.59,500
2025-02-04,11.7,11.7,11.69,11.69,700
2025-02-03,11.31,11.31,11.31,11.31,0
2025-01-31,11.31,11.31,11.31,11.31,0
2025-01-30,11.4,11.62,11.31,11.31,1900
2025-01-29,11.55,11.55,11.21,11.49,1900
2025-01-28,12.28,12.85,11.41,11.55,8000
2025-01-27,11.9,11.9,11.61,11.8,4400
2025-01-24,11.8,12.5,11.718,11.8,44400
2025-01-23,11.89,12.45,11.26,11.9,109400
2025-01-22,11.89,11.89,11.89,11.89,0
2025-01-21,11.89,11.89,11.89,11.89,0
2025-01-17,11.89,11.89,11.89,11.89,0
2025-01-16,11.89,11.89,11.89,11.89,0
2025-01-15,11.89,11.89,11.89,11.89,0
2025-01-14,11.89,11.89,11.89,11.89,0
2025-01-13,11.89,11.89,11.89,11.89,0
2025-01-10,11.89,11.89,11.89,11.89,0
2025-01-08,11.89,11.89,11.89,11.89,0
2025-01-07,11.89,11.89,11.89,11.89,0
2025-01-06,11.89,11.89,11.89,11.89,0
2025-01-03,11.89,11.89,11.89,11.89,0
2025-01-02,11.89,11.89,11.89,11.89,0
2024-12-31,11.89,11.89,11.89,11.89,0
2024-12-30,11.89,11.89,11.89,11.89,0
2024-12-27,11.89,11.89,11.89,11.89,0
2024-12-26,11.89,11.89,11.89,11.89,0
2024-12-24,11.89,11.89,11.89,11.89,0
2024-12-23,11.89,11.89,11.89,11.89,0
2024-12-20,11.89,11.89,11.89,11.89,0
2024-12-19,11.89,11.89,11.89,11.89,0
2024-12-18,11.89,11.89,11.89,11.89,0
2024-12-17,11.89,11.89,11.89,11.89,0
2024-12-16,11.89,11.89,11.89,11.89,0
2024-12-13,11.89,11.89,11.89,11.89,0
2024-12-12,11.89,11.89,11.89,11.89,0
2024-12-11,11.89,11.89,11.89,11.89,0
2024-12-10,11.89,11.89,11.89,11.89,0
2024-12-09,11.89,11.89,11.89,11.89,0
2024-12-06,11.89,11.89,11.89,11.89,0
2024-12-05,11.89,11.89,11.89,11.89,0
2024-12-04,11.89,11.89,11.89,11.89,0
2024-12-03,11.89,11.89,11.89,11.89,0
2024-12-02,11.89,11.89,11.89,11.89,0
2024-11-29,11.89,11.89,11.89,11.89,200
2024-11-27,11.74,11.74,11.74,11.74,0
2024-11-26,11.74,11.74,11.74,11.74,0
2024-11-25,11.74,11.74,11.74,11.74,0
2024-11-22,11.74,11.74,11.74,11.74,0
2024-11-21,11.74,11.74,11.74,11.74,0
2024-11-20,11.74,11.74,11.74,11.74,0
2024-11-19,11.74,11.74,11.74,11.74,0
2024-11-18,11.74,11.74,11.74,11.74,0
2024-11-15,11.5,11.74,11.5,11.74,800
2024-11-14,11.49,11.5,11.49,11.5,300
2024-11-13,10.95,10.95,10.95,10.95,0
2024-11-12,10.95,10.95,10.95,10.95,0
2024-11-11,10.95,10.95,10.95,10.95,0
2024-11-08,10.95,10.95,10.95,10.95,0
2024-11-07,10.95,10.95,10.95,10.95,0
2024-11-06,10.95,10.95,10.95,10.95,0
