datetime,open,high,low,close,volume
2025-04-01,0.22,0.22,0.2,0.2132,22301
2025-03-31,0.21,0.2163,0.201,0.2157,22713
2025-03-28,0.23,0.23,0.2201,0.23,6903
2025-03-27,0.2301,0.2463,0.23,0.2301,4672
2025-03-26,0.23,0.2443,0.23,0.2443,3564
2025-03-25,0.2301,0.2444,0.2301,0.2372,348
2025-03-24,0.2625,0.2625,0.2445,0.2504,25639
2025-03-21,0.2659,0.2659,0.2444,0.2444,633
2025-03-20,0.2506,0.2506,0.2444,0.2444,2449
2025-03-19,0.242,0.2663,0.242,0.2444,11776
2025-03-18,0.2983,0.2983,0.24,0.254,11394
2025-03-17,0.2845,0.29,0.2303,0.28,36652
2025-03-14,0.2499,0.2725,0.21,0.26,51379
2025-03-13,0.241,0.3318,0.2301,0.25,232808
2025-03-12,0.2664,0.2664,0.2006,0.2333,27724
2025-03-11,0.2712,0.29,0.2388,0.2439,7132
2025-03-10,0.2863,0.2863,0.22,0.2325,35558
2025-03-07,0.2863,0.2886,0.26,0.26,7750
2025-03-06,0.29,0.29,0.265,0.2663,26149
2025-03-05,0.28,0.3125,0.28,0.2909,2218
2025-03-04,0.25,0.2699,0.24,0.2699,33940
2025-03-03,0.32,0.32,0.26,0.28,36341
2025-02-28,0.28,0.32,0.28,0.299,72060
2025-02-27,0.3186,0.3375,0.3,0.3375,40062
2025-02-26,0.3056,0.365,0.3056,0.365,38123
2025-02-25,0.33,0.335,0.3,0.335,18913
2025-02-24,0.31,0.3166,0.31,0.31,12076
2025-02-21,0.33,0.3625,0.3,0.3389,72833
2025-02-20,0.3405,0.365,0.33,0.357,26342
2025-02-19,0.3538,0.365,0.32,0.365,11176
2025-02-18,0.33,0.3548,0.3225,0.351,57375
2025-02-14,0.305,0.3548,0.3,0.3384,155794
2025-02-13,0.31,0.31,0.2899,0.31,39697
2025-02-12,0.3,0.3175,0.29,0.3175,94844
2025-02-11,0.332,0.359,0.3075,0.31,112556
2025-02-10,0.3677,0.3689,0.32,0.332,68751
2025-02-07,0.33,0.3689,0.33,0.35,48422
2025-02-06,0.3693,0.3693,0.335,0.3591,33603
2025-02-05,0.42,0.42,0.3501,0.38,138504
2025-02-04,0.3767,0.424,0.36,0.424,20754
2025-02-03,0.3662,0.4,0.35,0.352,34690
2025-01-31,0.425,0.425,0.365,0.399,23576
2025-01-30,0.415,0.415,0.365,0.3999,47185
2025-01-29,0.38,0.43,0.364,0.39,29715
2025-01-28,0.36,0.36,0.35,0.35,24116
2025-01-27,0.35,0.3689,0.34,0.36885,2100
2025-01-24,0.39185,0.41,0.3808,0.392,20011
2025-01-23,0.331,0.385,0.331,0.385,12458
2025-01-22,0.4098,0.4098,0.331,0.3908,29644
2025-01-21,0.43,0.43,0.373,0.4106,71906
2025-01-17,0.3992,0.43,0.362,0.4034,129101
2025-01-16,0.403,0.435,0.403,0.43,35461
2025-01-15,0.34275,0.4495,0.34275,0.406,209830
2025-01-14,0.3439,0.345,0.3001,0.335,69703
2025-01-13,0.375,0.39,0.3118,0.3201,130981
2025-01-10,0.41,0.4487,0.3602,0.3901,152406
2025-01-08,0.4701,0.4701,0.42,0.455,40986
2025-01-07,0.524,0.567,0.4751,0.484,59961
2025-01-06,0.5082,0.5901,0.4825,0.524,149981
2025-01-03,0.4445,0.5,0.4317,0.47,287255
2025-01-02,0.4595,0.487,0.4083,0.41,140243
2024-12-31,0.4599,0.4599,0.41,0.41,126736
2024-12-30,0.433,0.459,0.4031,0.4308,37312
2024-12-27,0.46,0.46,0.402,0.43295,47374
