datetime,open,high,low,close,volume
2025-04-01,65.2,65.7,64.18,65.0,29800
2025-03-31,66.76,66.76,65.01,66.22,18200
2025-03-28,66.89,66.98,64.69,66.7,17200
2025-03-27,65.0,67.4,65.0,66.85,56400
2025-03-26,66.58,66.58,64.3,65.21,21900
2025-03-25,67.09,67.09,64.1,64.5,28900
2025-03-24,67.4,67.9,65.1,66.945,27800
2025-03-21,67.81,67.82,66.63,67.28,17500
2025-03-20,67.06,67.98,65.01,67.73,30600
2025-03-19,68.5,68.6,67.05,67.69,35800
2025-03-18,68.03,68.692,67.4,68.38,43600
2025-03-17,65.61,67.85,65.52,67.81,25100
2025-03-14,69.01,69.39,66.28,67.445,68500
2025-03-13,70.11,70.99,69.09,69.485,41800
2025-03-12,69.4,70.185,68.95,69.48,51800
2025-03-11,67.0,69.29,65.073,68.61,131600
2025-03-10,63.99,67.79,63.05,66.95,169100
2025-03-07,61.5,63.99,61.5,63.19,77200
2025-03-06,60.37,61.8,60.29,61.06,31900
2025-03-05,59.31,61.4,59.3,60.36,29900
2025-03-04,57.88,60.67,56.49,59.8,47200
2025-03-03,58.0,60.2,57.0,57.17,112000
2025-02-28,57.705,58.245,54.28,57.2,70600
2025-02-27,59.0,59.0,56.81,58.26,119600
2025-02-26,56.0,57.0,54.465,55.5,27200
2025-02-25,56.0,56.05,55.3,56.05,11900
2025-02-24,57.25,57.25,55.965,56.52,11600
2025-02-21,57.19,57.58,57.0,57.0,8500
2025-02-20,56.99,58.54,56.74,57.25,35500
2025-02-19,56.98,57.0,56.14,56.82,14300
2025-02-18,56.25,57.0,55.9,56.06,8700
2025-02-14,56.8,56.8,56.0,56.0,10400
2025-02-13,54.57,57.14,53.0,56.57,41200
2025-02-12,56.38,57.96,52.99,54.88,58800
2025-02-11,53.26,58.03,53.0,57.08,25800
2025-02-10,57.53,57.841,53.16,53.8,31400
2025-02-07,58.0,61.39,57.11,57.53,45600
2025-02-06,57.78,60.1,56.8,59.04,48800
2025-02-05,57.805,58.84,57.22,58.07,11800
2025-02-04,57.19,58.24,56.65,58.06,17200
2025-02-03,57.16,59.5,56.3,57.72,43200
2025-01-31,60.11,60.18,57.98,58.04,34200
2025-01-30,57.28,60.255,57.26,59.6,11300
2025-01-29,59.96,59.96,56.76,57.4,43400
2025-01-28,57.0,59.5,57.0,59.14,24800
2025-01-27,59.3,59.6,56.4,57.33,22200
2025-01-24,58.88,60.22,58.5,59.42,26900
2025-01-23,58.9,59.04,56.88,58.2,23600
2025-01-22,60.91,60.91,57.69,58.91,37100
2025-01-21,58.24,61.66,55.286,58.22,94600
2025-01-17,54.28,56.33,53.4,56.21,42800
2025-01-16,54.89,55.05,52.03,53.04,51100
2025-01-15,54.54,55.8,54.0,54.9,64600
2025-01-14,55.99,57.1,53.0,54.36,42300
2025-01-13,54.23,56.31,53.6,55.56,40000
2025-01-10,55.89,56.54,54.78,55.47,38700
2025-01-08,58.4,59.22,55.66,55.94,21900
2025-01-07,58.9,60.49,57.04,58.76,43300
2025-01-06,62.1,62.1,58.09,58.72,48800
2025-01-03,64.34,65.37,61.02,62.09,66800
2025-01-02,62.93,68.2,62.93,64.76,43400
2024-12-31,61.41,63.975,61.41,63.1,17700
2024-12-30,61.43,63.373,61.0,61.97,59700
2024-12-27,62.68,63.0,60.9,62.0,26400
2024-12-26,62.2,63.38,60.81,62.95,55900
2024-12-24,63.0,63.0,61.468,62.0,35200
2024-12-23,63.97,64.52,61.99,62.82,21900
2024-12-20,63.9,65.9,62.375,64.12,57500
2024-12-19,63.4,65.0,61.71,63.44,64500
2024-12-18,63.1,64.48,61.392,62.96,36400
2024-12-17,61.7,63.06,61.02,63.06,42400
2024-12-16,63.29,63.29,60.0,63.1,29800
2024-12-13,63.76,63.76,61.5,62.34,28700
2024-12-12,64.32,65.425,62.0,63.37,47700
2024-12-11,65.11,65.898,63.98,64.15,23600
2024-12-10,65.81,66.849,63.02,64.7,54800
2024-12-09,73.84,74.5,65.3,65.7,63900
2024-12-06,70.34,76.87,67.15,74.37,142800
2024-12-05,69.4,74.0,63.5,65.015,107400
2024-12-04,65.5,68.57,64.33,66.99,32400
2024-12-03,64.2,67.08,63.55,65.0,60200
2024-12-02,63.38,65.5,62.63,64.0,52900
2024-11-29,67.01,68.557,63.26,63.26,30000
2024-11-27,63.0,70.0,62.531,67.44,86200
2024-11-26,73.25,73.46,63.38,64.02,115300
2024-11-25,80.5,80.5,74.265,75.34,102300
2024-11-22,82.0,82.07,78.0,80.23,72900
2024-11-21,82.89,82.89,81.1,82.45,81000
2024-11-20,82.76,83.5,81.51,82.53,59500
2024-11-19,82.3,83.95,80.0,82.34,142500
2024-11-18,82.97,84.5,80.255,82.76,93700
2024-11-15,83.6,84.1,81.0,82.81,64000
2024-11-14,82.55,86.53,81.09,83.66,122200
2024-11-13,81.2,83.1,79.23,82.23,85700
2024-11-12,78.31,82.18,78.2,81.15,105800
2024-11-11,79.54,80.89,77.62,78.64,84400
2024-11-08,82.1,83.6,79.71,81.08,127100
2024-11-07,80.45,83.5,79.03,82.39,166300
2024-11-06,70.02,82.25,69.5,81.08,213700
2024-11-05,69.71,70.3,69.0,70.1,55300
2024-11-04,69.9,70.9,62.33,69.71,165500
2024-11-01,66.12,70.0,65.75,69.9,134200
2024-10-31,60.55,67.0,57.58,66.61,122200
2024-10-30,68.0,69.32,55.5,60.55,136100
2024-10-29,67.05,70.365,66.6,69.78,90000
2024-10-28,66.52,68.12,66.5,67.79,79100
2024-10-25,66.5,67.3,64.875,66.9,77900
2024-10-24,64.81,67.5,63.53,66.6,120500
2024-10-23,59.87,64.98,59.8,64.98,103400
2024-10-22,57.75,60.05,57.58,59.95,132000
2024-10-21,56.85,57.82,56.68,57.6,28300
2024-10-18,55.63,57.35,55.63,56.95,36400
2024-10-17,56.0,56.1,55.8,56.0,11500
2024-10-16,55.8,56.37,55.61,55.98,25200
2024-10-15,55.605,55.85,53.79,55.45,42100
2024-10-14,55.0,56.5,54.53,55.8,29700
2024-10-11,55.1,55.749,53.84,55.32,35000
2024-10-10,55.1,55.7,54.61,55.4,39300
2024-10-09,53.85,55.3,52.51,55.0,75000
2024-10-08,51.39,54.39,51.21,53.92,120700
2024-10-07,51.0,51.433,50.72,50.9,27100
2024-10-04,50.98,51.15,50.49,50.99,50200
2024-10-03,48.005,51.09,48.005,50.9,44100
2024-10-02,47.19,48.79,47.125,48.71,38800
2024-10-01,47.0,47.45,46.5,47.26,13400
2024-09-30,46.27,47.0,45.96,46.88,36100
2024-09-27,46.73,47.215,43.8,46.55,19700
2024-09-26,46.24,47.135,43.7,46.85,91800
2024-09-25,47.1,47.25,45.692,46.47,31000
2024-09-24,47.54,47.9,47.32,47.49,10900
2024-09-23,48.13,48.43,47.81,48.22,13900
2024-09-20,48.5,48.5,47.7,48.44,27800
2024-09-19,48.4,48.8,48.2,48.55,65000
2024-09-18,48.27,48.64,48.12,48.31,24800
2024-09-17,48.65,48.7,48.22,48.52,14500
2024-09-16,48.38,48.779,48.03,48.77,8700
2024-09-13,48.56,48.82,48.49,48.82,22900
2024-09-12,48.67,48.98,48.5,48.7,30200
2024-09-11,48.5,48.84,48.19,48.69,14900
2024-09-10,48.15,48.98,46.9,48.9,25900
2024-09-09,48.52,49.15,48.39,48.87,56900
2024-09-06,48.7,48.7,45.22,48.2,92900
2024-09-05,48.45,48.8,48.25,48.8,27500
2024-09-04,48.4,48.5,47.34,48.41,12500
2024-09-03,48.65,48.65,48.09,48.39,16400
2024-08-30,48.19,49.014,47.71,48.68,19300
2024-08-29,48.89,48.99,47.72,48.46,21400
2024-08-28,48.76,49.0,48.63,48.87,9400
2024-08-27,48.655,49.1,48.655,48.95,10400
2024-08-26,48.98,49.25,48.729,49.0,18400
2024-08-23,49.2,49.759,48.56,48.91,21300
2024-08-22,48.81,49.05,48.01,48.9,17600
2024-08-21,49.59,49.59,49.0,49.21,20100
2024-08-20,49.6,49.85,49.05,49.59,17700
2024-08-19,49.8,49.95,49.15,49.9,25100
2024-08-16,49.05,49.95,49.05,49.95,18700
2024-08-15,49.7,49.99,48.99,49.9,28100
2024-08-14,49.32,50.01,49.32,49.9,32100
2024-08-13,49.04,50.36,49.0,50.36,33300
2024-08-12,47.34,49.6,47.34,48.55,16200
2024-08-09,49.07,49.5,48.92,49.48,19000
2024-08-08,46.75,49.24,46.75,49.24,17500
2024-08-07,46.65,47.45,46.6,46.75,10200
2024-08-06,45.81,46.5,45.0,46.1,15200
2024-08-05,46.97,46.97,44.97,46.04,31900
2024-08-02,47.5,48.075,47.1,47.63,12500
2024-08-01,49.29,49.29,47.776,48.54,12500
2024-07-31,49.46,49.83,48.5,49.5,16800
2024-07-30,49.335,49.335,47.62,48.76,25800
2024-07-29,49.2,49.59,49.0,49.57,11700
2024-07-26,48.5,49.49,48.5,49.14,4600
2024-07-25,47.81,48.63,47.335,48.35,14600
2024-07-24,49.6,49.694,47.82,48.12,46700
2024-07-23,50.2,50.2,47.0,50.1,73600
2024-07-22,50.1,50.58,49.0,49.93,44100
2024-07-19,48.72,50.66,48.72,50.33,68100
2024-07-18,48.61,49.2,48.09,48.65,40400
2024-07-17,48.44,48.68,47.2,48.16,47700
2024-07-16,49.1,49.15,47.71,48.55,42200
2024-07-15,49.08,49.49,48.7,49.0,28500
2024-07-12,48.76,49.3,48.76,49.16,18600
2024-07-11,49.8,49.98,48.25,48.95,30000
2024-07-10,49.1,50.1,49.0,49.8,35000
2024-07-09,48.47,49.8,47.42,49.2,71600
2024-07-08,45.7,49.1,45.7,48.6,135500
2024-07-05,45.53,45.765,44.91,45.5,74400
2024-07-03,45.6,46.24,45.14,45.75,24500
2024-07-02,45.88,46.29,45.25,45.5,33800
2024-07-01,45.9,45.98,45.26,45.82,15800
2024-06-28,46.25,46.35,45.51,45.68,13000
2024-06-27,47.48,47.69,46.295,46.5,28700
2024-06-26,48.38,48.38,47.27,47.7,50800
2024-06-25,48.5,48.85,48.0,48.5,159200
2024-06-24,48.19,49.07,47.295,48.63,143600
2024-06-21,48.65,48.7,45.01,48.5,314700
2024-06-20,49.47,49.5,48.15,48.92,74000
2024-06-18,49.39,49.7,48.83,49.65,55100
2024-06-17,49.55,49.6,48.5,49.6,52300
2024-06-14,49.51,50.05,49.08,49.96,69300
2024-06-13,49.8,50.15,49.0,50.1,102200
2024-06-12,48.36,50.0,48.0,49.975,109900
2024-06-11,48.53,48.95,48.02,48.8,28700
2024-06-10,47.61,49.1,47.6,49.04,80000
2024-06-07,47.78,48.6,47.23,48.47,90500
2024-06-06,47.75,48.7,47.75,48.7,44000
2024-06-05,48.5,48.8,47.245,48.69,52800
2024-06-04,48.5,48.8,47.815,48.76,49700
2024-06-03,48.95,48.98,47.02,48.85,55000
2024-05-31,48.93,48.95,47.67,48.95,19500
2024-05-30,47.09,49.16,46.1,48.75,108300
2024-05-29,44.81,47.79,44.135,47.79,71500
2024-05-28,45.1,45.65,44.1,45.55,103000
2024-05-24,45.0,45.7,44.5,45.57,55300
2024-05-23,44.9,45.6,44.38,45.57,59500
2024-05-22,44.39,45.6,44.3,45.03,34800
2024-05-21,44.223,45.45,44.223,45.42,47800
2024-05-20,44.31,45.4,44.0,45.16,76200
2024-05-17,42.05,44.97,41.88,44.97,105600
2024-05-16,42.42,42.65,41.0,42.384,30400
2024-05-15,42.0,42.56,40.09,42.45,36500
2024-05-14,41.37,42.07,40.0,42.0,27300
2024-05-13,41.39,42.1,41.39,41.685,19600
2024-05-10,41.88,42.6,40.0,42.05,50200
2024-05-09,42.5,42.8,42.0,42.5,22100
2024-05-08,43.1,43.25,42.0,42.8,31400
2024-05-07,43.2,43.34,42.25,43.2,24000
2024-05-06,41.705,43.35,41.705,43.3,35600
2024-05-03,41.05,43.45,40.88,43.2,57300
2024-05-02,40.01,41.535,39.19,41.1,30700
2024-05-01,40.44,41.15,40.44,41.02,15300
2024-04-30,40.11,40.6,39.08,40.6,19000
2024-04-29,40.1,40.98,38.8,40.93,31900
2024-04-26,38.11,40.22,38.11,39.75,46600
2024-04-25,36.01,38.49,36.01,38.0,15800
2024-04-24,36.53,37.29,35.0,37.27,32700
2024-04-23,33.85,37.33,33.85,37.0,38800
2024-04-22,33.23,35.055,32.5,34.48,9400
2024-04-19,34.6,35.1,32.56,33.43,20900
2024-04-18,32.25,34.66,32.25,34.6,24300
2024-04-17,35.6,35.6,31.005,32.33,27600
2024-04-16,36.0,36.56,34.5,35.88,32800
2024-04-15,37.58,37.58,35.8,36.6,17000
2024-04-12,38.78,39.02,35.01,36.9,39500
2024-04-11,39.32,39.99,38.66,39.9,22000
2024-04-10,39.05,39.96,38.85,39.8,17700
2024-04-09,38.51,40.22,38.22,40.03,31700
2024-04-08,39.87,40.22,38.7,39.98,26100
2024-04-05,38.99,39.87,38.01,39.62,33900
2024-04-04,40.22,40.22,38.16,38.99,34200
2024-04-03,35.287,40.33,35.287,40.33,26900
