datetime,open,high,low,close,volume
2025-04-01,3.24,3.3126,3.2,3.2,231800
2025-03-31,3.25,3.28,3.25,3.26,88900
2025-03-28,3.31,3.31,3.265,3.28,174100
2025-03-27,3.33,3.34,3.3,3.31,125600
2025-03-26,3.34,3.41,3.33,3.33,89100
2025-03-25,3.405,3.415,3.34,3.34,95800
2025-03-24,3.33,3.41,3.33,3.39,114500
2025-03-21,3.3,3.33,3.3,3.32,238700
2025-03-20,3.28,3.375,3.28,3.33,250200
2025-03-19,3.34,3.36,3.26,3.3,369200
2025-03-18,3.25,3.29,3.24,3.27,125000
2025-03-17,3.25,3.31,3.25,3.25,159800
2025-03-14,3.25,3.3,3.25,3.25,161000
2025-03-13,3.27,3.29,3.21,3.23,132400
2025-03-12,3.27,3.33,3.23,3.26,331000
2025-03-11,3.26,3.33,3.21,3.25,222100
2025-03-10,3.41,3.419,3.255,3.26,351400
2025-03-07,3.4,3.46,3.36,3.43,434000
2025-03-06,3.45,3.49,3.4,3.42,205800
2025-03-05,3.5,3.53,3.45,3.46,314400
2025-03-04,3.6,3.63,3.46,3.5,261100
2025-03-03,3.65,3.78,3.62,3.62,517100
2025-02-28,3.61,3.7,3.6,3.67,208000
2025-02-27,3.6,3.63,3.57,3.6,142100
2025-02-26,3.6,3.62,3.56,3.61,245200
2025-02-25,3.6,3.645,3.565,3.6,253500
2025-02-24,3.62,3.655,3.58,3.6,209500
2025-02-21,3.63,3.63,3.56,3.56,206200
2025-02-20,3.75,3.75,3.57,3.62,224200
2025-02-19,3.71,3.7404,3.66,3.7,179700
2025-02-18,3.8,3.81,3.73,3.73,99100
2025-02-14,3.73,3.825,3.69,3.79,234900
2025-02-13,3.59,3.83,3.58,3.79,261300
2025-02-12,3.51,3.61,3.51,3.57,131300
2025-02-11,3.48,3.62,3.44,3.56,158400
2025-02-10,3.59,3.59,3.51,3.52,105500
2025-02-07,3.58,3.61,3.45,3.55,137900
2025-02-06,3.5,3.63,3.41,3.58,201900
2025-02-05,3.52,3.55,3.46,3.52,222100
2025-02-04,3.33,3.53,3.3,3.48,145000
2025-02-03,3.32,3.39,3.26,3.35,168300
2025-01-31,3.45,3.45,3.32,3.37,143600
2025-01-30,3.45,3.46,3.32,3.37,78100
2025-01-29,3.41,3.4352,3.38,3.39,321000
2025-01-28,3.39,3.42,3.33,3.39,58400
2025-01-27,3.32,3.435,3.32,3.37,179700
2025-01-24,3.38,3.4399,3.32,3.4,135800
2025-01-23,3.33,3.425,3.3,3.38,223700
2025-01-22,3.36,3.38,3.3015,3.32,119900
2025-01-21,3.35,3.43,3.34,3.36,184500
2025-01-17,3.38,3.38,3.32,3.33,289000
2025-01-16,3.31,3.43,3.31,3.37,302800
2025-01-15,3.27,3.35,3.261,3.32,339300
2025-01-14,3.23,3.27,3.19,3.22,158600
2025-01-13,3.16,3.2,3.15,3.18,102800
2025-01-10,3.24,3.24,3.15,3.17,217900
2025-01-08,3.3,3.34,3.24,3.28,159200
2025-01-07,3.39,3.39,3.275,3.34,102700
2025-01-06,3.4,3.48,3.34,3.34,222400
2025-01-03,3.3,3.39,3.21,3.37,289900
2025-01-02,3.24,3.32,3.23,3.3,379900
2024-12-31,3.17,3.25,3.165,3.22,405200
2024-12-30,3.18,3.21,3.16,3.19,122700
2024-12-27,3.19,3.21,3.155,3.19,119800
2024-12-26,3.17,3.23,3.13,3.2,156100
2024-12-24,3.14,3.17,3.1,3.16,45300
2024-12-23,3.23,3.25,3.125,3.14,210800
2024-12-20,3.1,3.25,3.09,3.23,413200
2024-12-19,3.2,3.28,3.09,3.13,215300
2024-12-18,3.23,3.25,3.13,3.16,234100
2024-12-17,3.36,3.36,3.215,3.22,232800
2024-12-16,3.34,3.36,3.3,3.35,193600
2024-12-13,3.35,3.39,3.32,3.34,196200
2024-12-12,3.41,3.4516,3.36,3.36,138800
2024-12-11,3.47,3.49,3.41,3.41,108100
2024-12-10,3.46,3.5,3.43,3.43,154800
2024-12-09,3.45,3.58,3.4365,3.48,184600
2024-12-06,3.44,3.47,3.39,3.45,188600
2024-12-05,3.45,3.53,3.425,3.45,161400
2024-12-04,3.55,3.6099,3.43,3.44,115400
2024-12-03,3.52,3.57,3.47,3.51,182200
2024-12-02,3.56,3.605,3.515,3.55,496800
2024-11-29,3.48,3.56,3.48,3.53,132600
2024-11-27,3.48,3.51,3.46,3.46,124000
2024-11-26,3.52,3.54,3.46,3.5,115000
2024-11-25,3.57,3.63,3.54,3.55,217000
2024-11-22,3.64,3.65,3.53,3.55,346800
2024-11-21,3.56,3.69,3.56,3.6,583000
2024-11-20,3.58,3.6,3.5,3.56,283100
2024-11-19,3.43,3.59,3.42,3.58,549500
2024-11-18,3.48,3.51,3.42,3.45,181800
2024-11-15,3.53,3.58,3.415,3.45,230500
2024-11-14,3.62,3.635,3.4907,3.54,233900
2024-11-13,3.64,3.68,3.5979,3.6,287700
2024-11-12,3.55,3.68,3.545,3.6,471500
2024-11-11,3.27,3.62,3.27,3.55,619500
2024-11-08,3.1,3.23,3.06,3.22,284800
2024-11-07,3.14,3.225,3.11,3.12,237600
2024-11-06,2.9,3.215,2.9,3.21,1216300
2024-11-05,2.77,2.835,2.73,2.78,718700
2024-11-04,2.8,2.81,2.73,2.75,673500
2024-11-01,2.81,2.84,2.73,2.77,807000
2024-10-31,2.9,2.96,2.79,2.8,565200
2024-10-30,3.09,3.09,2.8,2.88,1879300
2024-10-29,2.93,3.03,2.9,2.96,451500
2024-10-28,2.95,2.98,2.91,2.93,417400
2024-10-25,2.89,2.97,2.8601,2.94,462100
2024-10-24,2.83,2.9,2.83,2.9,287400
2024-10-23,2.82,2.88,2.82,2.83,432100
2024-10-22,2.84,2.865,2.81,2.82,373900
2024-10-21,2.8,2.86,2.785,2.83,408100
2024-10-18,2.86,2.905,2.78,2.82,246400
2024-10-17,2.86,2.87,2.83,2.86,101600
2024-10-16,2.84,2.94,2.815,2.84,372600
2024-10-15,2.76,2.87,2.76,2.83,834800
2024-10-14,2.73,2.81,2.73,2.77,278700
2024-10-11,2.69,2.77,2.69,2.72,845400
2024-10-10,2.7,2.73,2.66,2.68,469500
2024-10-09,2.74,2.765,2.69,2.7,763200
2024-10-08,2.75,2.79,2.71,2.71,566900
2024-10-07,2.76,2.785,2.73,2.76,275100
2024-10-04,2.74,2.81,2.735,2.77,909600
2024-10-03,2.75,2.77,2.72,2.73,303800
2024-10-02,2.76,2.78,2.73,2.73,644700
2024-10-01,2.8,2.83,2.72,2.75,923300
2024-09-30,2.82,2.84,2.78,2.8,346100
2024-09-27,2.83,2.8374,2.785,2.79,305800
2024-09-26,2.83,2.84,2.77,2.79,128700
2024-09-25,2.83,2.85,2.77,2.8,157800
2024-09-24,2.81,2.87,2.77,2.82,1099800
2024-09-23,2.8,2.84,2.75,2.82,799800
2024-09-20,2.82,2.84,2.76,2.83,3155100
2024-09-19,2.76,2.85,2.76,2.83,966100
2024-09-18,2.7142,2.8,2.67,2.76,806200
2024-09-17,2.74,2.78,2.71,2.71,168700
2024-09-16,2.7,2.775,2.7,2.71,157100
2024-09-13,2.71,2.74,2.67,2.7,237200
2024-09-12,2.73,2.7385,2.67,2.69,151000
2024-09-11,2.71,2.725,2.66,2.66,165000
