datetime,open,high,low,close,volume
2025-04-01,531.88,536.40997,527.5,532.98999,4125300
2025-03-31,521.40002,536.52002,519.0,532.58002,7139300
2025-03-28,535.34998,536.0,524.67999,526.31,5321400
2025-03-27,533.25,537.38,529.34998,534.52002,5154600
2025-03-26,531.0,537.63,530.97998,533.21002,5004400
2025-03-25,527.17999,533.28998,525.88,528.87,3964800
2025-03-24,523.09998,527.29999,521.47998,525.84998,4858900
2025-03-21,528.31,528.96002,520.72998,521.90997,8546300
2025-03-20,524.0,530.60999,522.66998,528.72998,4065400
2025-03-19,525.69,526.71002,520.65997,525.27002,3798000
2025-03-18,525.45001,528.38,521.41998,523.14001,4857800
2025-03-17,514.62,524.71002,513.21002,523.01001,5343400
2025-03-14,506.95001,515.84003,502.92001,514.59998,5775600
2025-03-13,496.45999,507.39999,494.75,504.25,5104200
2025-03-12,497.60001,498.32001,488.75,495.94,3871100
2025-03-11,496.0,499.14999,491.31,496.25,5358300
2025-03-10,490.0,500.45001,490.0,497.10001,6262000
2025-03-07,496.29001,498.26999,490.10999,495.62,3842200
2025-03-06,496.84,499.10001,491.63,497.84,3989700
2025-03-05,496.0,500.92999,492.32001,498.5,4715800
2025-03-04,507.26999,508.73001,493.60999,495.85999,6126600
2025-03-03,516.21997,518.77002,506.48001,510.07999,5112300
2025-02-28,507.45999,515.37,504.32999,513.83002,6850300
2025-02-27,496.45001,504.95001,495.60999,502.41,4507700
2025-02-26,499.12,499.89999,493.04999,494.10001,3543500
2025-02-25,503.14999,507.0,491.89999,499.82001,6757500
2025-02-24,483.5,503.95999,483.23999,498.42001,9862400
2025-02-21,480.95001,483.64001,477.73999,478.73999,4085100
2025-02-20,484.13,484.20001,478.14001,481.79999,2651000
2025-02-19,482.82001,484.72,480.67999,483.76999,2436500
2025-02-18,480.39999,484.06,477.63,482.82001,3351000
2025-02-14,481.47,484.54999,479.45001,479.59,2825800
2025-02-13,471.54999,481.19,471.20001,480.48999,3274700
2025-02-12,470.44,472.14999,468.09,471.73001,3297600
2025-02-11,470.04999,473.04999,466.72,472.60999,2322600
2025-02-10,473.95999,474.20001,469.37,470.17001,2907300
2025-02-07,477.41,478.25,472.34,472.73999,3205100
2025-02-06,475.45999,478.0,473.28,477.22,3832700
2025-02-05,469.81,474.23999,468.89001,473.73001,3782800
2025-02-04,464.94,467.91,462.70001,467.48999,3238400
2025-02-03,461.29999,466.73999,454.60001,464.60999,4232000
2025-01-31,471.84,472.54999,467.01001,468.67001,5442600
2025-01-30,472.20001,474.06,469.14999,472.35001,2552200
2025-01-29,469.88,473.92001,468.0,469.26001,2524200
2025-01-28,473.92999,473.92999,469.29999,469.97,3261300
2025-01-27,464.29999,474.92999,464.29999,474.70001,4535600
2025-01-24,459.20001,463.81,457.07999,463.19,3070300
2025-01-23,461.67999,464.76001,458.0,459.82999,4424500
2025-01-22,468.59,468.89001,455.28,460.51001,5838500
2025-01-21,471.0,473.17001,467.72,468.57001,4910200
2025-01-17,464.70999,470.17999,462.45001,467.95001,6467000
2025-01-16,458.92999,462.95999,458.29999,462.81,3475700
2025-01-15,455.54999,459.09,453.26999,458.51001,4719400
2025-01-14,445.5,450.29999,443.92001,450.03,4055600
2025-01-13,442.04001,445.0,441.14999,443.91,3639200
2025-01-10,452.66,453.0,440.10001,442.66,5471900
2025-01-08,453.63,454.0,449.63,451.84,3933300
2025-01-07,452.79999,456.51999,451.10001,452.92001,3507200
2025-01-06,453.85001,456.23999,450.57001,451.41,4072900
2025-01-03,452.53,454.53,450.12,453.56,2884600
