datetime,open,high,low,close,volume
2025-04-01,4.63,4.635,4.49,4.57,112821
2025-03-31,4.47,4.78,4.35,4.69,303666
2025-03-28,4.86,4.93,4.535,4.59,276411
2025-03-27,4.94,5.0,4.75,4.94,294018
2025-03-26,4.82,4.92,4.72,4.89,301182
2025-03-25,5.05,5.24,4.79,4.81,336622
2025-03-24,5.37,5.4094,4.95,5.13,249872
2025-03-21,5.23,5.38,5.02,5.1,393069
2025-03-20,5.58,6.13,5.29,5.33,335422
2025-03-19,5.12,5.66,5.12,5.66,433853
2025-03-18,5.23,5.33,5.05,5.16,188521
2025-03-17,5.26,5.4,5.2377,5.3,114682
2025-03-14,5.06,5.37,4.98,5.29,189349
2025-03-13,4.92,5.165,4.77,4.9,394716
2025-03-12,5.01,5.075,4.8,4.94,169792
2025-03-11,4.64,4.98,4.64,4.91,433332
2025-03-10,4.68,4.92,4.45,4.61,390891
2025-03-07,5.02,5.0359,4.71,4.8,404384
2025-03-06,4.87,5.625,4.79,5.05,351430
2025-03-05,4.77,5.12,4.7301,5.1,282420
2025-03-04,5.04,5.06,4.65,4.76,424232
2025-03-03,5.6,5.71,5.03,5.2,333682
2025-03-02,5.6,5.71,5.03,5.2,333682
2025-02-28,5.4,5.68,5.32,5.48,401462
2025-02-27,5.4,5.68,5.32,5.48,401462
2025-02-26,5.71,5.745,5.34,5.42,167865
2025-02-25,5.4,5.85,5.4,5.7,287281
2025-02-24,5.91,5.91,5.395,5.4,332235
2025-02-23,6.52,6.52,5.87,5.87,329593
2025-02-21,6.89,6.89,6.4,6.46,227321
2025-02-20,7.03,7.03,6.4,6.45,245028
2025-02-19,7.15,7.26,6.87,6.88,103700
2025-02-18,7.27,7.41,7.13,7.21,108737
2025-02-17,7.37,7.47,7.23,7.41,114296
2025-02-16,7.47,7.47,7.37,7.37,106839
2025-02-14,7.4101,7.585,7.37,7.37,75177
2025-02-13,7.47,7.585,7.37,7.37,106839
2025-02-12,7.69,7.7,7.45,7.45,79752
2025-02-11,7.24,7.59,7.21,7.57,67794
2025-02-10,7.29,7.5,7.24,7.4,87722
2025-02-09,7.5,7.555,7.355,7.36,88222
2025-02-07,7.4,7.53,7.245,7.43,82988
2025-02-06,7.46,7.53,7.24,7.43,100435
2025-02-05,7.38,7.58,7.333,7.46,82565
2025-02-04,7.41,7.67,7.2421,7.37,96861
2025-02-03,6.86,7.375,6.85,7.3,158459
2025-02-02,7.06,7.26,6.82,6.88,145285
2025-01-31,7.41,7.465,7.29,7.31,99479
2025-01-30,7.4,7.47,7.29,7.3,123809
2025-01-29,7.17,7.54,7.17,7.42,136547
2025-01-28,6.87,7.04,6.81,7.02,113578
2025-01-27,7.07,7.1,6.935,6.95,104147
2025-01-26,7.17,7.46,7.04,7.1,132612
2025-01-24,7.385,7.46,7.1928,7.21,67184
2025-01-23,7.29,7.46,7.19,7.2,86479
2025-01-22,7.27,7.49,7.22,7.33,91389
2025-01-21,7.61,7.64,7.26,7.28,141535
2025-01-20,7.47,7.7,7.411,7.65,113223
2025-01-17,7.305,7.45,7.23,7.3,126397
2025-01-16,7.33,7.45,7.22,7.29,153002
2025-01-15,7.26,7.32,7.155,7.21,110754
2025-01-14,7.2,7.26,7.07,7.22,92909
2025-01-13,6.71,6.93,6.6,6.86,185417
2025-01-12,6.23,6.445,6.16,6.42,102240
2025-01-10,6.315,6.495,6.2,6.32,233374
2025-01-09,6.34,6.5,6.19,6.32,236463
2025-01-07,6.46,6.54,6.39,6.49,168825
2025-01-06,6.89,6.99,6.53,6.55,143703
2025-01-05,6.9,7.03,6.8,6.85,169202
2025-01-02,7.04,7.04,6.6,6.8,142917
2025-01-01,6.68,6.795,6.47,6.55,134587
2024-12-31,6.61,6.745,6.47,6.54,218132
2024-12-30,6.61,6.745,6.46,6.54,242027
2024-12-29,6.6,6.6,6.335,6.52,214353
2024-12-27,7.06,7.22,6.72,6.74,248242
2024-12-26,7.0,7.22,6.71,6.74,249208
2024-12-25,6.65,7.02,6.565,7.01,176415
2024-12-23,6.67,6.76,6.585,6.7,146942
2024-12-22,6.61,6.72,6.38,6.72,238189
2024-12-20,6.47,6.82,6.47,6.65,171775
2024-12-19,6.47,6.825,6.45,6.65,257224
2024-12-18,6.77,6.785,6.32,6.6,301061
2024-12-17,7.11,7.12,6.56,6.6,257221
2024-12-16,7.25,7.2699,6.97,7.04,158519
2024-12-15,7.38,7.62,7.25,7.34,154297
2024-12-12,7.4,7.49,7.31,7.38,191076
2024-12-11,7.67,7.67,7.45,7.47,156390
2024-12-10,7.83,7.83,7.5,7.68,212766
2024-12-09,7.89,7.91,7.61,7.64,217444
2024-12-08,8.22,8.46,7.96,8.02,256110
2024-12-06,8.06,8.16,7.96,8.06,140770
2024-12-05,8.01,8.16,7.96,8.06,142239
2024-12-04,8.06,8.2302,7.87,7.88,136852
2024-12-03,7.73,8.07,7.6967,8.06,181911
2024-12-02,8.0,8.16,7.71,7.79,296131
2024-12-01,7.9,8.1,7.79,8.03,235713
2024-11-29,7.68,7.99,7.68,7.91,92147
2024-11-28,7.75,7.99,7.66,7.91,92147
2024-11-26,8.14,8.375,7.73,7.74,135256
2024-11-25,8.04,8.16,7.95,8.05,248740
2024-11-24,8.06,8.42,8.04,8.12,354876
2024-11-21,7.59,7.965,7.58,7.91,335527
2024-11-20,7.56,7.69,7.38,7.51,293347
2024-11-19,7.09,7.5,7.09,7.45,445224
2024-11-18,6.79,7.4498,6.75,7.12,578391
2024-11-17,7.03,7.29,6.89,6.89,401939
2024-11-15,7.16,7.275,6.74,6.99,377999
2024-11-14,7.21,7.275,6.74,6.99,397520
2024-11-13,7.78,7.85,6.995,7.2,617698
2024-11-12,6.89,8.03,6.4001,7.97,641318
2024-11-11,8.3,8.51,7.845,7.99,545339
2024-11-10,8.12,8.595,7.91,8.46,535580
2024-11-08,8.0,8.26,7.82,7.9,482564
2024-11-07,8.04,8.27,7.82,7.91,516357
2024-11-06,7.57,8.1,7.55,8.0,557084
2024-11-05,6.96,7.54,6.83,7.54,863425
2024-11-04,6.61,6.72,6.4,6.51,494655
2024-11-03,6.5,6.77,6.4602,6.67,164445
2024-11-01,6.6,6.778,6.56,6.6,248703
2024-10-31,6.6,6.78,6.5303,6.6,283873
2024-10-30,6.63,6.68,6.44,6.5,178240
2024-10-29,6.4,6.715,6.4,6.53,146427
2024-10-28,6.62,6.76,6.4,6.44,249269
2024-10-27,6.25,6.8,6.25,6.7,331886
2024-10-25,6.23,6.45,6.19,6.195,158773
2024-10-24,6.16,6.45,6.16,6.2,173237
2024-10-23,6.31,6.41,6.06,6.12,143155
2024-10-22,5.98,6.33,5.98,6.28,291791
2024-10-21,5.88,6.05,5.83,5.96,146235
2024-10-20,6.21,6.25,5.86,5.91,232157
2024-10-18,6.145,6.48,6.145,6.25,210780
2024-10-17,6.19,6.48,6.145,6.25,212254
2024-10-16,6.2,6.33,6.12,6.14,198858
2024-10-15,6.19,6.575,6.15,6.18,428282
2024-10-14,6.25,6.315,6.12,6.13,186575
2024-10-13,6.15,6.54,6.15,6.28,268624
2024-10-11,5.84,6.2,5.815,6.14,210830
2024-10-10,5.77,6.2,5.77,6.14,228170
2024-10-09,5.76,5.78,5.57,5.76,198641
2024-10-08,5.86,5.94,5.78298,5.84,144807
2024-10-07,6.23,6.23,5.9,5.92,201649
2024-10-06,6.39,6.39,6.16,6.22,151790
2024-10-04,6.33,6.51,6.242,6.38,148094
2024-10-03,6.37,6.51,6.242,6.38,148094
2024-10-02,6.12,6.21,6.04,6.2,225217
2024-10-01,6.73,6.8,6.19,6.21,328938
2024-09-30,6.7,6.925,6.595,6.77,285405
2024-09-29,6.47,6.81,6.4,6.74,220474
2024-09-27,6.535,6.69,6.51,6.51,106965
2024-09-26,6.55,6.69,6.505,6.51,202756
2024-09-25,6.36,6.615,6.34,6.43,198750
2024-09-24,6.48,6.52,6.28,6.28,131471
2024-09-23,6.49,6.58,6.38,6.45,213616
2024-09-22,6.65,6.65,6.18,6.4,222558
2024-09-20,6.645,6.8,6.54,6.66,550764
2024-09-19,6.66,6.8,6.535,6.66,550764
2024-09-18,6.83,6.87,6.64,6.73,212865
2024-09-17,6.74,6.97,6.55,6.56,246183
2024-09-16,6.68,6.87,6.6,6.69,256754
2024-09-15,6.52,6.5884,6.4,6.58,303746
2024-09-13,6.34,6.485,6.31,6.47,249078
2024-09-12,6.32,6.4925,6.31,6.47,249078
2024-09-11,6.04,6.235,5.99,6.19,286879
2024-09-10,5.73,5.99,5.54,5.97,233613
2024-09-09,5.93,5.93,5.63,5.78,354509
2024-09-08,6.05,6.19,5.87,5.95,364361
2024-09-06,6.72,6.72,6.04,6.09,403289
2024-09-05,6.62,6.72,6.03,6.09,403639
2024-09-04,6.76,6.77,6.51,6.64,280508
