datetime,open,high,low,close,volume
2025-04-01,17.0,17.15,16.4,16.6,85400
2025-03-31,17.19,17.6,16.95,17.0,41100
2025-03-28,17.61,17.7,17.33,17.41,31600
2025-03-27,17.88,17.88,17.56,17.56,25700
2025-03-26,18.19,18.19,17.9,18.0,32600
2025-03-25,18.27,18.27,17.98,18.05,21000
2025-03-24,18.36,18.37,17.8,18.28,25700
2025-03-21,18.03,18.31,17.75,18.15,75000
2025-03-20,17.86,18.2,17.76,18.19,15400
2025-03-19,18.21,18.21,17.81,18.09,13900
2025-03-18,17.7,18.37,17.49,18.21,62300
2025-03-17,18.16,18.5,17.3,17.77,39800
2025-03-14,17.84,17.84,17.41,17.69,49800
2025-03-13,18.84,18.84,17.75,17.89,16900
2025-03-12,18.75,19.01,17.82,18.87,40400
2025-03-11,17.6,18.11,17.36,18.11,30800
2025-03-10,17.82,17.88,17.48,17.58,26600
2025-03-07,17.4,17.87,17.4,17.77,8000
2025-03-06,17.81,17.81,17.42,17.53,7400
2025-03-05,18.02,18.02,17.65,17.86,22200
2025-03-04,17.83,18.04,17.68,17.87,15100
2025-03-03,17.86,18.24,17.52,18.09,23200
2025-02-28,17.68,18.04,17.65,18.04,27400
2025-02-27,17.58,18.0,17.58,17.92,11500
2025-02-26,17.93,17.99,17.58,17.64,15300
2025-02-25,17.59,17.99,17.59,17.82,25300
2025-02-24,17.69,17.81,17.41,17.48,10300
2025-02-21,18.03,18.03,17.42,17.5,16300
2025-02-20,17.72,17.85,17.58,17.85,12400
2025-02-19,17.71,17.86,17.55,17.83,12600
2025-02-18,17.54,17.97,17.54,17.77,17100
2025-02-14,18.09,18.26,17.58,17.67,11000
2025-02-13,17.84,18.0,17.72,17.91,10100
2025-02-12,17.5,17.97,17.35,17.77,25200
2025-02-11,17.47,17.88,17.33,17.74,12800
2025-02-10,17.42,17.78,17.28,17.64,26500
2025-02-07,17.6,17.66,17.34,17.47,11500
2025-02-06,17.61,17.77,17.53,17.66,15500
2025-02-05,17.46,17.82,17.46,17.73,15500
2025-02-04,17.31,17.68,17.16,17.54,18800
2025-02-03,16.84,17.52,16.84,17.38,25000
2025-01-31,17.43,17.47,17.01,17.14,23000
2025-01-30,17.22,17.65,17.18,17.43,18400
2025-01-29,17.0,17.36,16.98,17.14,19700
2025-01-28,17.31,17.42,17.13,17.13,13900
2025-01-27,17.03,17.49,17.03,17.44,19500
2025-01-24,16.9,17.19,16.87,16.98,21400
2025-01-23,17.09,17.23,16.92,17.13,38700
2025-01-22,17.4,17.56,17.11,17.15,19700
2025-01-21,17.64,17.84,17.34,17.5,14200
2025-01-17,17.78,17.8,17.39,17.56,31200
2025-01-16,17.46,17.84,17.46,17.74,23600
2025-01-15,17.54,17.7,17.29,17.47,45600
2025-01-14,17.01,17.37,17.01,17.37,52300
2025-01-13,16.85,17.25,16.85,17.02,30000
2025-01-10,17.04,17.05,16.66,16.94,35900
2025-01-08,17.05,17.41,16.86,17.22,34300
2025-01-07,17.56,17.6,17.07,17.16,24900
