datetime,open,high,low,close,volume
2025-04-01,10.19,10.19,10.19,10.19,0
2025-03-31,10.19,10.19,10.19,10.19,0
2025-03-28,10.06,10.19,10.06,10.19,3700
2025-03-27,10.06,10.06,10.06,10.06,0
2025-03-26,10.12,10.12,9.92,10.06,500
2025-03-25,10.2,10.2,10.17,10.17,800
2025-03-24,10.07,10.07,10.07,10.07,0
2025-03-21,10.07,10.07,10.07,10.07,0
2025-03-20,10.07,10.07,10.07,10.07,0
2025-03-19,10.07,10.07,10.07,10.07,0
2025-03-18,10.07,10.07,10.07,10.07,0
2025-03-17,10.07,10.07,10.07,10.07,0
2025-03-14,10.07,10.07,10.07,10.07,0
2025-03-13,10.07,10.07,10.07,10.07,0
2025-03-12,10.07,10.07,10.07,10.07,0
2025-03-11,10.07,10.07,10.07,10.07,0
2025-03-10,10.07,10.07,10.07,10.07,0
2025-03-07,10.07,10.07,10.07,10.07,0
2025-03-06,10.07,10.07,10.07,10.07,0
2025-03-05,10.8,11.05,10.04,10.07,4100
2025-03-04,10.19,10.19,10.19,10.19,0
2025-03-03,10.19,10.19,10.19,10.19,0
2025-02-28,10.19,10.19,10.19,10.19,0
2025-02-27,10.06,10.44,10.06,10.19,1000
2025-02-26,10.12,10.12,10.12,10.12,0
2025-02-25,10.12,10.12,10.12,10.12,0
2025-02-24,10.08,10.12,10.01,10.12,9300
2025-02-21,10.09,10.09,10.09,10.09,0
2025-02-20,10.09,10.09,10.09,10.09,0
2025-02-19,10.09,10.09,10.09,10.09,0
2025-02-18,10.09,10.09,10.09,10.09,0
2025-02-14,10.09,10.09,10.09,10.09,0
2025-02-13,10.09,10.09,10.09,10.09,0
2025-02-12,10.09,10.09,10.09,10.09,0
2025-02-11,10.09,10.09,10.09,10.09,0
2025-02-10,10.09,10.09,10.09,10.09,0
2025-02-07,10.09,10.09,10.09,10.09,0
2025-02-06,10.09,10.09,10.09,10.09,0
2025-02-05,10.09,10.09,10.09,10.09,0
2025-02-04,10.09,10.09,10.09,10.09,0
2025-02-03,10.09,10.09,10.09,10.09,0
2025-01-31,10.09,10.09,10.09,10.09,0
2025-01-30,10.09,10.09,10.09,10.09,0
2025-01-29,10.09,10.09,10.09,10.09,0
2025-01-28,10.09,10.09,10.09,10.09,200
2025-01-27,10.09,10.22,10.09,10.11,17000
2025-01-24,10.09,10.25,10.09,10.13,12100
2025-01-23,10.08,10.3,10.05,10.18,53000
2025-01-22,10.05,10.05,10.05,10.05,0
2025-01-21,10.05,10.05,10.05,10.05,0
2025-01-17,10.05,10.05,10.05,10.05,0
2025-01-16,10.05,10.05,10.05,10.05,0
2025-01-15,10.05,10.05,10.05,10.05,0
2025-01-14,10.05,10.05,10.05,10.05,0
2025-01-13,10.05,10.05,10.05,10.05,1000
2025-01-10,10.061,10.061,10.061,10.061,0
2025-01-08,10.061,10.061,10.061,10.061,0
2025-01-07,10.061,10.061,10.061,10.061,0
2025-01-06,10.061,10.061,10.061,10.061,0
2025-01-03,10.061,10.061,10.061,10.061,0
2025-01-02,10.061,10.061,10.061,10.061,0
2024-12-31,10.061,10.061,10.061,10.061,0
2024-12-30,10.061,10.061,10.061,10.061,0
2024-12-27,10.061,10.061,10.061,10.061,0
2024-12-26,10.061,10.061,10.061,10.061,0
2024-12-24,10.061,10.061,10.061,10.061,0
2024-12-23,10.061,10.061,10.061,10.061,0
2024-12-20,10.061,10.061,10.061,10.061,0
2024-12-19,10.061,10.061,10.061,10.061,0
2024-12-18,10.061,10.061,10.061,10.061,0
2024-12-17,10.05,10.061,10.05,10.061,4900
2024-12-16,10.06,10.06,10.06,10.06,0
2024-12-13,10.06,10.06,10.06,10.06,0
2024-12-12,10.06,10.06,10.06,10.06,0
2024-12-11,10.06,10.06,10.06,10.06,0
2024-12-10,10.02,10.06,10.02,10.06,1100
2024-12-09,10.16,10.16,10.16,10.16,0
2024-12-06,10.16,10.16,10.16,10.16,300
2024-12-05,10.01,10.17,10.0,10.16,3400
2024-12-04,10.05,10.05,10.05,10.05,0
2024-12-03,10.1,10.3,10.02,10.05,66800
2024-12-02,10.0,10.1,10.0,10.1,17000
2024-11-29,9.996,9.996,9.996,9.996,100
2024-11-27,9.98,9.985,9.98,9.985,1300
2024-11-26,10.0,10.02,10.0,10.02,389800
2024-11-25,10.02,10.02,10.02,10.02,100
2024-11-22,10.02,10.02,10.01,10.01,400
2024-11-21,10.02,10.02,10.02,10.02,2300
2024-11-20,9.992,10.03,9.992,10.03,32200
2024-11-19,9.946,10.01,9.946,10.01,26700
2024-11-18,10.05,10.087,9.98,10.01,2300
2024-11-15,9.98,10.0,9.858,9.97,1200
2024-11-14,9.98,9.98,9.98,9.98,1600
2024-11-13,9.99,10.01,9.99,10.01,3200
2024-11-12,10.0,10.0,10.0,10.0,26100
2024-11-11,10.0,10.0,10.0,10.0,2200
2024-11-08,9.981,9.99,9.981,9.99,800
2024-11-07,10.0,10.0,9.98,9.98,2200
2024-11-06,10.0,10.0,10.0,10.0,0
2024-11-05,10.0,10.0,10.0,10.0,400
2024-11-04,9.99,10.0,9.99,9.99,3000
2024-11-01,9.98,9.99,9.98,9.99,600
2024-10-31,9.99,9.99,9.99,9.99,900
2024-10-30,9.965,9.97,9.965,9.97,31700
2024-10-29,9.96,9.96,9.96,9.96,0
2024-10-28,9.97,9.97,9.96,9.96,55000
2024-10-25,9.95,9.95,9.95,9.95,0
2024-10-24,9.97,9.98,9.95,9.95,151000
2024-10-23,9.98,9.98,9.96,9.96,2800
2024-10-22,9.96,9.96,9.96,9.96,0
2024-10-21,9.96,9.96,9.96,9.96,0
2024-10-18,9.98,9.99,9.96,9.96,4200
2024-10-17,9.96,9.96,9.96,9.96,0
2024-10-16,9.96,9.96,9.96,9.96,1000
2024-10-15,9.96,9.96,9.96,9.96,0
2024-10-14,9.96,9.96,9.96,9.96,0
2024-10-11,9.98,9.98,9.96,9.96,12100
2024-10-10,9.96,9.96,9.96,9.96,10000
2024-10-09,9.975,9.975,9.975,9.975,2200
2024-10-08,9.99,9.99,9.975,9.99,2600
2024-10-07,9.98,9.98,9.97,9.98,56100
2024-10-04,9.97,9.97,9.97,9.97,0
2024-10-03,9.97,9.97,9.97,9.97,0
2024-10-02,9.97,9.97,9.97,9.97,500
2024-10-01,9.96,9.96,9.96,9.96,100
2024-09-30,9.96,9.96,9.96,9.96,0
2024-09-27,9.98,9.98,9.96,9.96,31800
2024-09-26,9.98,9.98,9.98,9.98,1300
2024-09-25,9.98,9.98,9.98,9.98,4000
2024-09-24,9.98,9.98,9.97,9.98,2100
2024-09-23,9.97,9.97,9.97,9.97,100
2024-09-20,9.98,9.98,9.97,9.97,15400
2024-09-19,9.98,9.98,9.97,9.97,16100
2024-09-18,9.97,9.978,9.965,9.97,163400
2024-09-17,9.96,9.97,9.96,9.97,91500
2024-09-16,9.97,9.97,9.945,9.97,33600
2024-09-13,9.96,9.97,9.96,9.96,132300
2024-09-12,9.975,9.98,9.96,9.96,417200
2024-09-11,9.97,9.97,9.96,9.97,80000
2024-09-10,9.96,9.98,9.96,9.97,103000
2024-09-09,9.97,9.97,9.965,9.97,100300
2024-09-06,9.965,9.965,9.96,9.96,25600
2024-09-05,9.96,9.97,9.95,9.96,54900
2024-09-04,9.95,9.96,9.95,9.96,27900
2024-09-03,9.98,9.98,9.95,9.95,77200
2024-08-30,9.94,9.98,9.94,9.968,227700
2024-08-29,9.94,9.95,9.93,9.941,312100
2024-08-28,9.93,9.94,9.92,9.925,13055000
