datetime,open,high,low,close,volume
2025-04-01,34.68,34.8,34.68,34.8,166516
2025-03-31,34.77,34.77,34.67,34.75,27515
2025-03-28,34.71,34.73,34.685,34.685,7759
2025-03-27,34.68,34.74,34.68,34.72,17490
2025-03-26,34.73,34.73,34.71,34.71,35020
2025-03-25,34.76,34.76,34.72,34.72,37898
2025-03-24,34.72,34.74,34.71,34.71,50879
2025-03-21,34.67,34.67,34.63,34.63,7620
2025-03-20,34.65,34.65,34.6045,34.6045,20270
2025-03-19,34.65,34.65,34.5888,34.5888,25132
2025-03-18,34.54,34.54,34.475,34.475,409
2025-03-17,34.54,34.61,34.54,34.56,9175
2025-03-14,34.25,34.49,34.25,34.49,36461
2025-03-13,34.29,34.29,34.2,34.2,60473
2025-03-12,34.36,34.38,34.33,34.33,60942
2025-03-11,34.29,34.33,34.18,34.2,56188
2025-03-10,34.19,34.27,34.18,34.27,47595
2025-03-07,34.52,34.54,34.43,34.54,21996
2025-03-06,34.53,34.53,34.5,34.5,38403
2025-03-05,34.7,35.03,34.675,34.675,29336
2025-03-04,34.78,34.78,34.53,34.67,51264
2025-03-03,34.9,34.95,34.69,34.71,41431
2025-02-28,34.86,34.98,34.86,34.98,60254
2025-02-27,34.94,34.94,34.76,34.76,38067
2025-02-26,35.03,35.03,34.97,34.99,131407
2025-02-25,35.0,35.0,34.9342,34.9342,7882
2025-02-24,35.1,35.12,35.0,35.015,135291
2025-02-21,35.15,35.15,35.085,35.085,174576
2025-02-20,35.45,35.45,35.435,35.435,29826
2025-02-19,35.56,35.56,35.52,35.52,10435
2025-02-18,35.37,35.47,35.37,35.448,31869
2025-02-14,35.47,35.55,35.45,35.55,18078
2025-02-13,35.35,35.44,35.35,35.44,83122
2025-02-12,35.26,35.26,35.25,35.25,459070
2025-02-11,35.32,35.32,35.2724,35.2724,31317
2025-02-10,35.25,35.3,35.25,35.3,10555
2025-02-07,35.18,35.18,35.16,35.18,18506
2025-02-06,35.25,35.29,35.25,35.29,23000
2025-02-05,35.25,35.28,35.24,35.28,10965
2025-02-04,35.08,35.2,35.08,35.1517,129117
2025-02-03,34.879,35.13,34.879,35.0398,1969
2025-01-31,35.23,35.24,35.16,35.16,10856
2025-01-30,35.22,35.28,35.17,35.2325,90229
2025-01-29,35.21,35.21,35.1469,35.1469,7327
2025-01-28,35.13,35.27,35.13,35.26,41579
2025-01-27,35.04,35.18,35.0,35.18,668067
2025-01-24,35.33,35.35,35.33,35.35,24560
2025-01-23,35.33,35.34,35.33,35.3303,145461
2025-01-22,35.27,35.33,35.25,35.25,6965
2025-01-21,35.16,35.17,35.16,35.17,11834
2025-01-17,35.06,35.06,34.9952,34.9952,11047
2025-01-16,34.87,34.89,34.8103,34.8103,5308
2025-01-15,34.83,34.89,34.83,34.86,23380
2025-01-14,34.64,34.64,34.53,34.55,14108
2025-01-13,34.38,34.55,34.38,34.55,3011
2025-01-10,34.62,34.62,34.47,34.47,4328
2025-01-08,34.72,34.73,34.7,34.7,5303
2025-01-07,34.75,34.75,34.685,34.685,10250
2025-01-06,34.91,34.91,34.86,34.86,32728
2025-01-03,34.79,34.85,34.781,34.781,37283
2025-01-02,34.64,34.64,34.5664,34.5664,6275
2024-12-31,34.65,34.65,34.5916,34.5916,230
2024-12-30,34.79,34.79,34.6816,34.6816,5768
2024-12-27,34.9,34.9,34.8401,34.8401,6223
2024-12-26,35.08,35.08,35.068,35.068,2888
2024-12-24,35.02,35.0261,35.02,35.0261,104
2024-12-23,34.73,34.8546,34.73,34.8546,200
2024-12-20,34.6945,34.6945,34.6945,34.6945,20
2024-12-19,34.4643,34.4643,34.4643,34.4643,20
2024-12-18,34.5363,34.5363,34.5363,34.5363,216
2024-12-17,35.05,35.05,35.05,35.05,217
2024-12-16,35.16,35.16,35.1,35.1,126
2024-12-13,35.0476,35.0476,35.0476,35.0476,1
2024-12-12,35.11,35.11,35.0248,35.0248,100
2024-12-11,35.1689,35.169,35.115,35.13,380
2024-12-10,34.975,34.975,34.975,34.975,1
