datetime,open,high,low,close,volume
2025-04-01,73.89,75.48,73.62,74.53,76700
2025-03-31,74.04,76.31,74.04,74.98,83300
2025-03-28,79.83,79.83,75.77,76.61,69100
2025-03-27,80.13,81.12,78.8,80.44,52400
2025-03-26,81.09,81.98,79.54,80.02,74500
2025-03-25,83.27,83.58,81.15,81.26,109400
2025-03-24,81.98,84.33,81.12,84.22,84800
2025-03-21,80.86,81.81,79.74,80.41,269100
2025-03-20,80.16,83.43,80.16,82.42,76400
2025-03-19,80.09,82.33,79.51,81.63,76700
2025-03-18,81.12,82.11,79.92,80.07,85600
2025-03-17,80.01,82.37,80.01,81.14,58800
2025-03-14,79.45,81.38,79.33,80.89,96000
2025-03-13,78.29,80.8,76.83,78.37,91700
2025-03-12,77.79,79.45,77.17,78.54,75500
2025-03-11,77.29,79.24,77.05,77.07,83700
2025-03-10,77.94,80.07,75.69,77.06,100400
2025-03-07,77.06,79.28,75.99,78.49,78400
2025-03-06,75.63,77.58,75.12,77.08,70600
2025-03-05,75.31,77.34,74.3,76.74,79300
2025-03-04,75.88,76.75,73.01,74.77,67500
2025-03-03,79.66,81.99,76.97,77.71,75300
2025-02-28,81.57,82.12,79.24,79.37,102800
2025-02-27,82.87,84.25,79.42,81.15,121300
2025-02-26,84.41,85.71,83.97,84.0,81500
2025-02-25,81.88,85.22,81.88,83.99,123800
2025-02-24,82.62,83.15,80.3,82.0,104500
2025-02-21,91.99,91.99,82.23,82.53,158800
2025-02-20,91.3,91.34,88.39,90.24,155700
2025-02-19,95.95,95.95,86.21,92.01,198700
2025-02-18,101.68,101.68,97.61,99.7,64900
2025-02-14,102.3,103.1,101.21,101.82,39700
2025-02-13,100.42,101.96,100.11,101.55,40500
2025-02-12,100.63,101.41,99.76,99.78,44900
2025-02-11,102.35,106.01,102.35,103.14,37200
2025-02-10,103.94,105.11,103.27,104.24,40300
2025-02-07,105.81,106.02,102.12,102.89,38500
2025-02-06,106.12,107.64,105.82,106.07,27700
2025-02-05,106.9,106.9,104.87,105.77,62800
2025-02-04,103.22,105.98,101.92,105.79,39000
2025-02-03,105.2,105.92,103.25,103.61,46900
2025-01-31,111.27,111.6,107.45,107.78,55700
2025-01-30,109.63,114.19,107.72,112.26,90900
2025-01-29,107.45,108.94,106.1,107.52,56800
2025-01-28,109.57,109.57,106.59,107.92,63300
2025-01-27,109.51,111.36,108.12,109.96,74100
2025-01-24,108.29,109.73,106.74,109.45,68700
2025-01-23,107.51,109.3,107.38,108.12,45100
2025-01-22,109.52,111.13,107.27,107.63,75700
2025-01-21,108.18,111.37,108.18,110.42,60400
2025-01-17,108.93,109.33,105.85,106.72,64000
2025-01-16,108.24,109.25,105.68,106.96,73900
2025-01-15,108.48,109.36,106.56,108.87,77400
2025-01-14,101.49,104.48,100.58,103.94,85900
2025-01-13,94.4,102.49,93.86,102.18,86600
2025-01-10,95.21,97.07,94.62,96.08,48900
2025-01-08,96.46,99.54,96.46,97.65,46000
2025-01-07,100.44,101.67,98.14,98.44,88900
2025-01-06,101.42,104.11,99.79,100.65,44500
2025-01-03,100.56,101.5,97.06,101.04,41400
2025-01-02,103.32,104.55,98.77,99.86,47200
2024-12-31,102.53,104.48,101.58,102.16,32500
2024-12-30,102.93,103.98,100.18,102.45,31000
2024-12-27,105.32,105.91,102.07,103.72,48700
2024-12-26,106.56,107.1,105.22,106.57,41000
2024-12-24,105.57,107.32,105.0,107.26,22500
2024-12-23,106.04,107.13,105.47,105.71,32000
2024-12-20,104.42,108.99,104.42,106.77,160400
2024-12-19,111.56,112.65,105.75,106.21,68600
2024-12-18,116.41,118.16,109.34,110.42,59100
2024-12-17,117.03,118.93,115.04,116.36,40700
2024-12-16,119.0,120.41,115.67,117.52,44200
2024-12-13,121.11,126.45,117.92,118.79,42000
2024-12-12,123.2,123.68,121.67,121.88,33700
2024-12-11,125.31,126.16,123.47,124.34,41800
2024-12-10,128.14,128.16,123.42,124.03,98200
2024-12-09,128.27,130.06,127.93,128.28999,31500
2024-12-06,128.0,128.0,125.91,127.27,41300
2024-12-05,128.28999,128.89999,125.5,126.64,30400
2024-12-04,127.35,128.91,125.86,128.63,38000
2024-12-03,127.55,128.10001,125.0,126.85,44600
2024-12-02,125.07,128.74001,124.58,126.72,39200
2024-11-29,127.0,128.17999,124.77,125.7,30500
2024-11-27,126.2,129.0,124.81,125.13,31800
2024-11-26,129.91,129.91,125.78,125.9,67200
2024-11-25,130.02,134.78999,129.71001,131.66,58100
2024-11-22,124.72,127.54,124.72,127.53,58900
2024-11-21,122.67,126.0,122.67,123.36,53000
2024-11-20,120.54,122.01,119.03,121.3,32800
2024-11-19,120.85,121.61,119.88,121.05,50300
2024-11-18,120.3,123.54,120.2,122.76,53600
2024-11-15,123.45,123.45,118.58,120.39,38900
2024-11-14,125.18,126.37,119.64,121.34,57200
2024-11-13,123.65,127.46,123.39,123.73,48100
2024-11-12,123.15,124.84,121.64,121.77,49300
2024-11-11,123.55,125.83,123.55,125.3,40500
2024-11-08,122.32,124.08,121.28,122.26,49700
2024-11-07,121.49,124.55,120.17,122.41,53700
