datetime,open,high,low,close,volume
2025-04-01,0.2137,0.227,0.1915,0.2025,20259
2025-03-31,0.2801,0.2829,0.1616,0.19,581023
2025-03-28,0.3251,0.3251,0.26,0.27,118917
2025-03-27,0.37,0.3905,0.3489,0.3551,27125
2025-03-26,0.4315,0.4315,0.35,0.37,38168
2025-03-24,0.405,0.4249,0.385,0.4099,63513
2025-03-21,0.4316,0.4316,0.4316,0.4316,150
2025-03-20,0.3935,0.4217,0.3935,0.4217,13665
2025-03-19,0.4299,0.4299,0.4,0.4199,20780
2025-03-18,0.4199,0.4431,0.415,0.438,32475
2025-03-17,0.4206,0.4574,0.33,0.4399,121996
2025-03-14,0.4198,0.47,0.4198,0.4206,97725
2025-03-13,0.3998,0.45,0.3998,0.4098,58711
2025-03-12,0.3914,0.43,0.3877,0.42,48488
2025-03-11,0.396,0.4498,0.36,0.4,50715
2025-03-10,0.3799,0.4,0.36,0.3999,54660
2025-03-07,0.3746,0.4,0.3535,0.39,42655
2025-03-06,0.4,0.41,0.37,0.3725,54990
2025-03-05,0.4437,0.4437,0.35,0.3564,162636
2025-03-04,0.2728,0.4,0.25,0.37,265948
2025-03-03,0.35,0.3567,0.32,0.32,170030
2025-02-28,0.4,0.4,0.1865,0.3575,582073
2025-02-27,0.45,0.45,0.4,0.4,1823
2025-02-26,0.4194,0.42,0.4194,0.4199,11529
2025-02-25,0.4301,0.48,0.37,0.42,90576
2025-02-24,0.4838,0.4999,0.4158,0.45,208965
2025-02-21,0.4999,0.4999,0.4799,0.485,18428
2025-02-20,0.4933,0.5148,0.4885,0.49,68192
2025-02-19,0.5235,0.54,0.4933,0.51,29250
2025-02-18,0.52,0.6345,0.4999,0.52,398590
2025-02-14,0.4231,0.5705,0.4231,0.5,1294559
2025-02-13,0.4475,0.45,0.37,0.385,551641
2025-02-12,0.3738,0.3738,0.34,0.3557,162821
2025-02-11,0.35,0.36,0.345,0.345,901752
2025-02-10,0.45,0.4902,0.3,0.3499,720746
2025-02-07,0.43,0.4336,0.3801,0.43,96262
2025-02-06,0.525,0.525,0.425,0.4874,85565
2025-02-05,0.5249,0.525,0.51,0.525,395737
2025-02-04,0.5249,0.5249,0.5,0.5,6413
2025-02-03,0.49,0.5249,0.43,0.5124,43614
2025-01-31,0.495,0.55,0.495,0.51,45082
2025-01-30,0.48,0.52,0.475,0.48,386320
2025-01-29,0.4559,0.47,0.4,0.47,72810
2025-01-28,0.4,0.45,0.386,0.44,87225
2025-01-27,0.49,0.49,0.3507,0.386,132353
2025-01-24,0.49,0.49,0.45,0.466,109641
2025-01-23,0.455,0.5,0.455,0.4925,238449
2025-01-22,0.4343,0.4894,0.422,0.45,125968
2025-01-21,0.49,0.4994,0.45,0.4874,273966
2025-01-17,0.497,0.499,0.45,0.4913,514374
2025-01-16,0.5501,0.57,0.4,0.4199,533913
2025-01-15,0.7899,0.7899,0.3162,0.4899,491993
2025-01-14,0.66,0.78,0.6,0.7499,744711
