datetime,open,high,low,close,volume
2025-04-01,267.54001,272.79999,261.78,269.41,132600
2025-03-31,264.48001,272.92999,262.63,265.76999,145600
2025-03-28,275.04001,275.39001,265.72,267.76999,83300
2025-03-27,273.32999,277.965,271.42999,274.01999,86600
2025-03-26,263.25,276.79501,263.25,273.42001,131200
2025-03-25,255.60001,266.25,253.57001,264.45999,93800
2025-03-24,259.10999,264.78,253.71001,254.62,310800
2025-03-21,253.10001,258.98001,251.39999,256.04999,257200
2025-03-20,246.25999,256.89001,246.25999,254.67999,121100
2025-03-19,245.24001,258.35001,244.24001,250.67999,118900
2025-03-18,236.75999,248.285,233.02901,246.84,199000
2025-03-17,228.0,239.965,227.36501,238.07001,188700
2025-03-14,238.10001,238.10001,225.94,226.48,196700
2025-03-13,275.04001,275.04001,233.67999,236.35001,242600
2025-03-12,275.76999,275.84,264.215,274.73001,284500
2025-03-11,286.84,288.01999,276.01001,278.69,175200
2025-03-10,277.64999,290.48001,277.64999,286.45001,222100
2025-03-07,274.17999,283.54999,274.17999,277.64999,197200
2025-03-06,256.85999,277.38,256.10999,274.76999,270600
2025-03-05,255.7,257.23001,241.905,253.92999,268100
2025-03-04,244.02,259.72,239.28999,254.44,254400
2025-03-03,259.32001,260.785,240.55,242.25,199000
2025-02-28,257.0,266.29999,250.08,260.17999,240600
2025-02-27,259.32999,267.90601,257.59,266.64999,215400
2025-02-26,267.81,272.436,261.09,261.09,227500
2025-02-25,284.17001,284.17001,269.59,269.88,197900
2025-02-24,279.28,284.73999,275.34,282.0,145100
2025-02-21,283.45999,285.98001,276.91,277.14001,148100
2025-02-20,284.42001,284.42001,277.97,280.76001,120800
2025-02-19,284.42999,290.20999,283.32999,287.23001,135000
2025-02-18,293.04999,293.88,288.42999,289.63,86400
2025-02-14,288.89001,295.0,285.39999,295.0,90200
2025-02-13,282.56,286.63,279.59,285.06,106300
2025-02-12,279.91,281.38,276.38501,279.45001,140300
2025-02-11,278.72,283.935,278.72,282.60999,73900
2025-02-10,281.73999,287.285,280.16,281.62,103800
2025-02-07,283.89999,283.89999,271.185,281.20999,237300
2025-02-06,288.10001,288.23499,279.48999,281.98999,179800
2025-02-05,286.39001,292.54001,280.85501,288.91,190800
2025-02-04,287.06,290.34,276.12,284.51001,135300
2025-02-03,295.70001,298.14999,282.47501,288.01001,175100
2025-01-31,306.10999,311.01999,299.57999,304.01001,130400
2025-01-30,317.32999,319.06,297.52499,302.91,165400
2025-01-29,331.29001,334.987,321.79999,322.88,102600
2025-01-28,342.23999,342.82999,333.92001,334.31,55100
2025-01-27,337.22,345.39001,337.22,342.45999,73900
2025-01-24,338.60999,340.82199,331.79001,334.69,62700
2025-01-23,324.63,338.39999,324.63,338.39999,72000
2025-01-22,322.42999,327.34299,320.67999,325.01001,126200
2025-01-21,330.39999,333.82999,323.82999,325.26001,88200
2025-01-17,330.42001,334.48999,327.12,332.32001,62200
2025-01-16,330.10999,332.185,325.73001,330.45001,61800
2025-01-15,343.10001,343.10001,327.0,331.04999,150700
2025-01-14,325.94,337.63,320.332,337.60999,98200
2025-01-13,352.59,355.26501,324.32001,324.32001,164400
2025-01-10,357.84,360.29999,350.995,351.17999,96700
2025-01-08,352.29001,366.89899,352.29001,360.95001,176700
2025-01-07,361.89999,366.89999,353.76999,357.79001,112200
2025-01-06,375.20001,384.10501,363.54001,363.57999,71800
2025-01-03,365.0,374.62,362.20499,373.32001,44100
2025-01-02,364.29001,366.69,360.0,365.66,106400
2024-12-31,359.51999,362.17001,358.72501,362.12,79900
2024-12-30,367.29999,372.48999,361.06,362.60999,74800
2024-12-27,370.17001,372.45999,365.32001,370.57001,64700
2024-12-26,366.76999,373.98999,363.45999,373.42001,96100
2024-12-24,371.59,371.59,362.28,368.79999,22400
2024-12-23,368.41,368.73999,360.0,367.48999,54800
2024-12-20,352.45999,373.01501,352.45999,369.06,158500
2024-12-19,358.92999,358.92999,346.85001,355.67001,72600
2024-12-18,366.10999,370.91501,357.59,359.0,82200
2024-12-17,364.0,366.31,356.99701,364.92999,78300
2024-12-16,370.76999,373.41501,363.0,366.01001,91600
2024-12-13,374.92999,376.51999,361.715,374.34,73100
2024-12-12,381.76001,390.25,374.595,378.48001,85900
2024-12-11,395.35001,400.616,381.04001,382.13,82500
2024-12-10,398.57999,403.39001,392.57999,395.62,46300
2024-12-09,420.45999,428.14001,398.44,400.85001,77200
2024-12-06,418.42999,424.48499,413.41,421.73001,59300
2024-12-05,407.32999,418.39001,403.82001,416.35001,58400
2024-12-04,408.95999,415.47,406.79501,409.31,78700
2024-12-03,416.92001,421.76001,410.66,410.67001,46500
2024-12-02,420.85001,426.45999,414.70001,422.92999,90800
2024-11-29,423.82001,426.95001,419.14499,420.22,31300
2024-11-27,418.54999,432.36499,418.54999,419.57001,110400
2024-11-26,419.87,423.78,416.495,419.47,58600
