datetime,open,high,low,close,volume
2025-04-01,24.76,25.0,24.71,24.71,2600
2025-03-31,25.0,25.0,25.0,25.0,200
2025-03-28,24.87,24.87,24.87,24.87,0
2025-03-27,24.71,24.87,24.71,24.87,400
2025-03-26,24.71,24.71,24.71,24.71,200
2025-03-25,24.951,24.951,24.73,24.73,300
2025-03-24,24.806,25.075,24.55,24.806,3200
2025-03-21,24.704,24.704,24.704,24.704,0
2025-03-20,24.75,24.8,24.704,24.704,800
2025-03-19,24.675,24.8,24.675,24.8,1000
2025-03-18,24.777,24.777,24.777,24.777,0
2025-03-17,24.777,24.777,24.777,24.777,0
2025-03-14,24.777,24.777,24.777,24.777,200
2025-03-13,24.74,24.74,24.74,24.74,0
2025-03-12,24.875,24.875,24.74,24.74,1000
2025-03-11,25.1,25.1,25.1,25.1,300
2025-03-10,24.787,24.898,24.787,24.898,600
2025-03-07,24.92,24.92,24.92,24.92,400
2025-03-06,25.0,25.0,24.99,24.99,1400
2025-03-05,24.561,24.561,24.561,24.561,500
2025-03-04,24.51,24.51,24.51,24.51,300
2025-03-03,24.7,24.925,24.5,24.7,2200
2025-02-28,24.55,24.55,24.4,24.45,6000
2025-02-27,24.55,24.63,24.55,24.55,1100
2025-02-26,24.97,24.97,24.55,24.55,2900
2025-02-25,24.918,24.918,24.918,24.918,0
2025-02-24,24.774,24.92,24.49,24.918,3400
2025-02-21,24.78,24.817,24.78,24.817,700
2025-02-20,24.43,24.671,24.43,24.55,1800
2025-02-19,24.5,24.652,24.5,24.65,1500
2025-02-18,24.6,24.78,24.5,24.62,900
2025-02-14,24.41,24.95,24.4,24.57,2100
2025-02-13,25.04,25.04,24.82,24.82,800
2025-02-12,24.7,24.9,24.7,24.793,800
2025-02-11,24.59,25.28,24.59,24.62,3400
2025-02-10,24.8,24.8,24.6,24.7,700
2025-02-07,24.63,24.95,24.51,24.591,2300
2025-02-06,25.0,25.0,25.0,25.0,0
2025-02-05,24.56,25.0,24.56,25.0,800
2025-02-04,24.75,24.82,24.75,24.82,1200
2025-02-03,24.52,25.2,24.42,25.2,1500
2025-01-31,24.4,25.108,24.4,25.108,1800
2025-01-30,25.15,25.15,24.638,24.64,500
2025-01-29,24.76,24.76,24.76,24.76,0
2025-01-28,24.76,24.76,24.76,24.76,4600
2025-01-27,25.091,25.091,25.091,25.091,200
2025-01-24,25.1,25.69,24.468,24.702,2700
2025-01-23,25.22,25.72,24.204,25.72,4400
2025-01-22,24.75,25.3,24.749,25.19,6000
2025-01-21,24.1,25.01,24.07,24.82,2700
2025-01-17,24.78,24.99,24.4,24.98,8300
2025-01-16,24.52,24.55,24.12,24.45,4600
2025-01-15,24.98,25.3,24.98,25.3,1100
2025-01-14,25.05,25.114,24.92,24.95,2300
2025-01-13,25.182,25.182,25.05,25.05,1800
2025-01-10,25.25,25.25,25.25,25.25,0
2025-01-08,25.225,25.3,25.1,25.25,2600
2025-01-07,25.1,25.1,25.1,25.1,700
2025-01-06,25.07,25.1,25.06,25.1,2100
2025-01-03,25.036,25.75,25.036,25.575,1400
2025-01-02,24.92,25.087,24.92,25.043,1400
2024-12-31,24.205,25.0,24.205,25.0,1000
2024-12-30,24.9,24.9,24.9,24.9,100
2024-12-27,24.6,24.6,24.6,24.6,0
2024-12-26,24.6,24.6,24.6,24.6,0
2024-12-24,24.6,24.6,24.6,24.6,0
2024-12-23,24.6,24.6,24.6,24.6,0
2024-12-20,24.1,24.6,24.1,24.6,1000
2024-12-19,24.052,24.54,24.052,24.54,300
2024-12-18,24.875,24.875,24.875,24.875,0
2024-12-17,24.54,24.875,24.54,24.875,2600
2024-12-16,24.85,24.88,24.83,24.88,900
2024-12-13,24.82,25.18,24.82,25.18,500
2024-12-12,24.83,24.83,24.83,24.83,400
2024-12-11,24.83,25.038,24.83,25.038,400
2024-12-10,25.033,25.033,25.033,25.033,0
2024-12-09,25.033,25.033,25.033,25.033,100
2024-12-06,25.31,25.31,25.31,25.31,0
2024-12-05,25.31,25.31,25.31,25.31,0
2024-12-04,25.31,25.35,25.31,25.31,300
2024-12-03,24.821,25.44,24.821,25.25,7300
2024-12-02,24.9,25.1,24.8,24.9,1400
2024-11-29,24.89,24.945,24.85,24.945,400
2024-11-27,24.7,25.05,24.46,24.95,4400
2024-11-26,24.7,24.7,24.7,24.7,2300
2024-11-25,24.95,24.95,24.95,24.95,500
2024-11-22,24.92,25.026,24.92,25.026,1500
2024-11-21,25.02,25.048,24.92,24.92,1500
2024-11-20,25.14,25.14,24.95,24.95,6500
2024-11-19,25.0,25.01,24.9,24.9,1900
2024-11-18,24.7,25.2,24.7,25.2,2200
2024-11-15,24.85,25.17,24.81,25.17,1200
2024-11-14,25.03,25.38,25.03,25.3,9300
2024-11-13,25.11,25.11,25.08,25.08,1500
2024-11-12,25.098,25.098,25.098,25.098,600
2024-11-11,24.79,25.07,24.79,25.07,2400
2024-11-08,25.0,25.0,24.981,25.0,700
2024-11-07,24.921,25.21,24.921,25.18,900
2024-11-06,24.914,25.5,24.668,24.9,4800
2024-11-05,24.888,24.888,24.49,24.49,1700
2024-11-04,24.19,24.88,24.19,24.7,2300
2024-11-01,24.675,24.675,24.45,24.454,1100
2024-10-31,24.53,24.53,24.2,24.2,2700
2024-10-30,24.7,24.896,24.4,24.4,3200
2024-10-29,24.634,24.83,24.48,24.48,2700
2024-10-28,24.86,24.86,24.86,24.86,200
2024-10-25,24.65,25.0,24.52,25.0,2600
2024-10-24,24.49,25.26,24.49,24.55,9200
2024-10-23,24.5,24.5,24.5,24.5,1200
2024-10-22,24.75,24.798,24.35,24.385,3900
2024-10-21,24.75,24.75,24.55,24.55,800
2024-10-18,24.95,24.95,24.95,24.95,0
2024-10-17,24.95,24.95,24.95,24.95,200
2024-10-16,24.8,25.04,24.8,24.92,7800
2024-10-15,24.523,24.523,24.523,24.523,500
2024-10-14,24.63,24.63,24.23,24.5,2400
2024-10-11,24.9,24.9,24.63,24.63,2300
2024-10-10,24.88,25.0,24.88,25.0,1000
2024-10-09,24.85,25.14,24.65,25.01,6700
2024-10-08,24.85,24.85,24.675,24.85,1800
2024-10-07,24.79,25.01,24.79,25.01,1000
2024-10-04,25.28,25.28,25.28,25.28,300
2024-10-03,24.75,25.28,24.75,25.178,1200
2024-10-02,25.0,25.0,25.0,25.0,400
2024-10-01,25.069,25.069,25.06,25.06,2800
2024-09-30,25.0,25.34,25.0,25.34,2600
2024-09-27,24.22,24.22,24.22,24.22,0
2024-09-26,25.1,25.1,24.2,24.22,1400
2024-09-25,25.38,25.38,24.9,25.1,2200
2024-09-24,24.76,25.6,24.76,25.23,6700
2024-09-23,24.74,24.74,24.142,24.74,2600
2024-09-20,24.45,24.74,24.0,24.74,2000
2024-09-19,24.25,24.71,24.25,24.59,2300
2024-09-18,23.6,24.75,23.6,24.38,4900
2024-09-17,23.73,24.4,23.5,23.75,2200
2024-09-16,23.7,23.96,23.7,23.96,400
2024-09-13,23.7,23.7,23.7,23.7,0
2024-09-12,23.7,23.7,23.7,23.7,1000
