datetime,open,high,low,close,volume
2025-04-01,67.5,67.85,66.22,67.15,270500
2025-03-31,66.41,67.643,65.22,67.1,334800
2025-03-28,69.47,69.47,66.79,66.87,273600
2025-03-27,69.27,70.14,68.54,69.12,238800
2025-03-26,69.61,70.78,68.84,69.5,237600
2025-03-25,69.08,71.1,68.2,69.64,305000
2025-03-24,69.74,70.514,69.34,70.41,306700
2025-03-21,68.2,69.35,67.18,68.96,3359100
2025-03-20,69.57,71.93,69.359,70.31,378400
2025-03-19,68.6,70.61,68.35,70.15,374300
2025-03-18,68.97,69.18,67.38,68.71,374900
2025-03-17,67.17,69.315,66.065,69.21,726000
2025-03-14,68.11,68.44,66.84,68.07,364000
2025-03-13,68.26,68.825,66.62,67.41,398300
2025-03-12,70.27,70.5,67.72,68.33,379300
2025-03-11,71.9,72.415,69.55,70.33,538000
2025-03-10,70.92,73.37,70.92,71.53,415600
2025-03-07,72.19,72.31,71.0,71.77,262500
2025-03-06,70.8,72.8,70.29,72.34,356300
2025-03-05,69.01,70.445,68.69,70.19,324700
2025-03-04,67.3,69.86,66.715,68.79,704700
2025-03-03,69.47,70.2,67.535,67.94,568500
2025-02-28,69.78,70.61,68.56,69.43,397500
2025-02-27,71.03,71.955,69.56,69.85,384100
2025-02-26,73.38,73.645,71.24,71.52,329700
2025-02-25,71.37,74.859,71.37,74.21,416000
2025-02-24,71.43,71.98,70.335,70.68,369900
2025-02-21,74.4,74.4,70.71,71.16,364500
2025-02-20,72.17,73.61,71.89,73.27,315400
2025-02-19,71.88,72.81,71.15,72.25,589300
2025-02-18,74.09,75.01,71.915,73.74,500500
2025-02-14,72.42,74.78,72.06,74.68,500100
2025-02-13,72.4,72.4,71.05,71.74,234500
2025-02-12,71.32,71.515,70.28,71.35,355400
2025-02-11,73.36,74.67,73.27,73.69,257500
2025-02-10,74.72,74.72,73.2,73.84,363500
2025-02-07,76.47,76.62,72.23,73.89,601700
2025-02-06,78.05,78.05,76.65,77.06,667300
2025-02-05,78.04,78.04,76.17,76.83,617000
2025-02-04,74.72,76.94,74.675,76.35,653200
2025-02-03,74.75,75.21,72.62,74.64,794900
2025-01-31,77.8,77.83,76.303,76.38,817500
2025-01-30,75.95,80.53,72.29,78.2,876400
2025-01-29,76.74,77.11,73.385,74.59,657700
2025-01-28,78.35,78.98,76.55,76.55,561100
2025-01-27,77.01,81.1,77.0,78.81,367900
2025-01-24,77.32,77.41,76.43,76.72,176200
2025-01-23,77.06,78.16,76.27,77.6,267100
2025-01-22,75.02,77.29,74.92,77.26,373500
2025-01-21,77.53,78.31,75.56,75.83,422300
2025-01-17,79.07,79.07,75.52,76.05,412100
2025-01-16,76.0,77.735,75.14,77.37,355200
2025-01-15,76.6,76.95,74.835,76.0,384300
2025-01-14,72.1,73.3,71.16,72.64,351200
2025-01-13,68.78,70.041,68.485,69.99,268500
2025-01-10,71.2,71.29,68.9,69.11,294800
2025-01-08,70.42,72.3,69.82,72.24,293900
2025-01-07,71.4,72.155,70.38,71.26,388200
2025-01-06,72.86,74.18,71.51,71.6,417400
2025-01-03,73.34,73.355,71.86,72.53,1002800
2025-01-02,74.39,74.58,71.98,72.68,334800
2024-12-31,73.55,73.97,73.08,73.36,208200
2024-12-30,73.51,73.51,71.95,72.88,211400
2024-12-27,74.34,75.32,73.275,73.59,195600
2024-12-26,75.05,75.32,74.15,75.03,196800
2024-12-24,75.01,75.54,74.01,75.54,135000
2024-12-23,75.57,75.85,74.485,75.5,319300
2024-12-20,74.48,76.91,74.48,75.75,1575500
2024-12-19,75.17,76.82,73.6,74.96,890400
2024-12-18,81.5,81.635,76.875,76.94,377400
2024-12-17,82.01,83.23,80.81,81.31,246400
2024-12-16,82.8,84.0,81.83,82.32,323100
2024-12-13,83.87,84.48,81.6,82.74,401300
2024-12-12,84.14,85.98,83.83,84.78,414000
2024-12-11,87.29,87.475,84.634,84.84,277300
2024-12-10,86.75,87.585,85.02,86.15,211000
2024-12-09,87.63,88.41,87.03,88.19,142500
2024-12-06,88.53,88.84,85.62,86.55,185300
2024-12-05,88.56,89.0,86.62,86.81,277700
2024-12-04,89.36,89.855,87.87,88.12,414700
2024-12-03,91.15,91.5,89.34,90.24,676200
2024-12-02,90.16,91.71,89.44,90.65,272100
2024-11-29,91.56,92.04,90.19,90.36,115800
2024-11-27,91.93,92.881,90.66,90.8,156600
2024-11-26,93.23,93.73,90.698,91.11,329800
2024-11-25,90.33,95.76,90.14,94.59,447700
2024-11-22,88.33,89.37,87.715,88.69,310000
2024-11-21,87.01,88.9,87.0,87.24,275400
2024-11-20,85.15,86.81,84.84,86.45,538600
2024-11-19,84.52,85.87,83.46,85.8,748700
2024-11-18,85.58,86.29,84.61,85.04,312600
2024-11-15,88.12,88.14,85.971,86.23,214300
2024-11-14,86.2,87.82,85.91,87.68,474300
2024-11-13,88.04,88.04,85.17,85.64,216500
2024-11-12,89.17,89.5,85.98,86.11,234900
2024-11-11,91.45,91.45,89.16,89.74,245600
2024-11-08,89.8,90.92,89.5,90.32,280200
2024-11-07,89.82,91.67,89.28,89.5,239300
2024-11-06,91.59,92.29,87.689,89.51,556200
2024-11-05,89.12,92.57,88.87,92.5,185700
2024-11-04,88.78,92.56,88.78,89.98,234200
2024-11-01,90.23,91.1,88.06,88.6,222000
2024-10-31,89.35,90.12,88.45,88.66,196100
2024-10-30,89.37,91.515,89.37,90.27,240500
2024-10-29,87.66,89.87,84.965,89.85,435900
2024-10-28,91.36,92.5,90.77,91.32,246500
2024-10-25,94.33,94.405,90.18,90.35,263700
2024-10-24,91.5,95.4,91.44,93.88,716000
2024-10-23,91.28,93.21,90.81,91.49,353400
2024-10-22,95.3,95.4,92.26,92.52,329300
2024-10-21,102.56,102.77,96.39,96.43,262300
2024-10-18,102.39,104.21,101.96,102.9,224700
2024-10-17,103.15,103.54,101.25,101.5,179200
2024-10-16,101.69,104.06,101.685,103.57,242700
2024-10-15,99.2,101.4,99.2,100.15,392300
2024-10-14,97.08,98.97,96.82,98.83,135600
2024-10-11,95.97,97.155,95.97,96.94,154100
2024-10-10,96.0,96.585,95.13,95.99,250700
2024-10-09,97.97,98.67,97.47,97.55,135100
2024-10-08,97.98,99.445,96.95,98.15,221200
2024-10-07,97.24,97.875,96.16,97.69,198100
2024-10-04,102.73,102.73,97.03,98.44,227400
2024-10-03,100.51,101.53,99.41,101.45,133000
2024-10-02,101.82,102.47,100.41,101.11,167100
2024-10-01,103.22,103.445,101.11,102.53,228200
2024-09-30,102.09,103.76,101.27,102.98,272500
2024-09-27,102.51,104.63,101.598,103.17,207800
2024-09-26,101.57,102.04,100.41,101.08,204700
2024-09-25,100.89,101.29,99.58,99.97,196100
2024-09-24,102.97,103.14,101.35,101.92,191000
2024-09-23,104.51,105.377,102.445,102.97,231500
2024-09-20,103.35,105.39,102.25,103.27,1240800
2024-09-19,107.82,107.82,105.0,106.75,244800
2024-09-18,105.51,108.42,103.47,104.33,253200
2024-09-17,105.36,106.25,103.6,105.01,215200
2024-09-16,104.11,104.11,101.66,103.59,329700
2024-09-13,101.74,104.19,100.96,103.41,208500
2024-09-12,96.37,100.295,96.325,99.06,229000
2024-09-11,94.04,96.11,92.06,95.48,310300
2024-09-10,96.02,96.02,93.52,95.16,195100
2024-09-09,95.86,97.11,94.24,95.32,264600
2024-09-06,95.97,98.96,95.92,96.32,254400
2024-09-05,95.79,97.18,95.0,96.37,182700
2024-09-04,95.37,96.395,93.8,95.85,443000
2024-09-03,99.44,100.47,95.64,96.21,420600
2024-08-30,100.57,100.57,97.94,100.07,141600
2024-08-29,100.26,100.26,98.125,99.43,300300
2024-08-28,100.15,101.295,98.78,99.71,148400
2024-08-27,101.02,102.19,100.345,101.74,184800
2024-08-26,105.03,105.03,101.99,102.1,214800
2024-08-23,98.58,104.05,98.19,103.89,314400
2024-08-22,97.17,97.93,96.79,97.31,135200
2024-08-21,94.38,97.39,94.38,96.93,478100
2024-08-20,93.83,94.64,92.6,92.72,137000
2024-08-19,92.28,93.76,91.46,93.58,177600
2024-08-16,93.37,95.72,91.88,92.3,640500
2024-08-15,93.59,94.58,91.305,93.76,362600
2024-08-14,92.91,93.62,90.755,91.76,277800
2024-08-13,91.05,92.6,90.277,91.94,155600
2024-08-12,90.98,90.98,88.883,89.79,152400
2024-08-09,90.74,91.49,90.28,91.41,133300
2024-08-08,89.89,92.02,89.58,90.72,116700
2024-08-07,94.41,94.86,88.41,88.55,244900
2024-08-06,92.12,94.98,90.25,92.68,268700
2024-08-05,88.77,94.06,84.29,92.53,354700
2024-08-02,97.52,99.69,95.54,97.42,284600
2024-08-01,105.0,106.05,100.06,101.11,319800
2024-07-31,105.31,107.9,102.56,104.71,294600
2024-07-30,102.88,105.326,102.425,104.74,361500
2024-07-29,102.24,103.67,101.125,102.88,322500
2024-07-26,102.68,105.17,100.44,101.51,428700
2024-07-25,96.62,103.42,96.1,99.8,644900
2024-07-24,98.74,100.3,96.51,96.62,337500
2024-07-23,97.26,100.09,97.05,99.38,319300
2024-07-22,96.25,98.495,93.895,98.23,381200
2024-07-19,95.1,97.035,94.605,95.67,361000
2024-07-18,96.55,101.5,94.94,95.48,479900
2024-07-17,96.19,98.39,96.0,96.38,574200
2024-07-16,92.48,97.52,92.35,97.17,653600
2024-07-15,90.92,92.505,90.56,90.84,308200
2024-07-12,89.46,91.28,89.46,90.5,470000
2024-07-11,84.46,88.79,84.3,88.26,658200
2024-07-10,79.5,81.595,79.315,81.25,252900
2024-07-09,79.22,80.45,78.76,78.82,243000
2024-07-08,78.63,79.66,78.03,79.63,212000
2024-07-05,78.55,78.885,77.26,77.77,180200
2024-07-03,78.24,80.1,77.97,78.73,165800
2024-07-02,78.49,78.77,77.28,78.14,240400
2024-07-01,81.84,81.84,78.85,79.18,235300
2024-06-28,80.71,82.07,80.09,81.66,728400
2024-06-27,79.23,80.11,78.78,79.91,382500
2024-06-26,78.91,79.87,78.62,79.03,327900
2024-06-25,81.07,81.38,78.42,79.4,308500
2024-06-24,80.07,82.59,80.07,81.42,288600
2024-06-21,80.51,80.61,79.44,80.02,794300
2024-06-20,80.0,81.47,80.0,80.24,218100
2024-06-18,81.66,82.23,80.29,80.32,160400
2024-06-17,81.81,83.01,81.322,82.48,214500
2024-06-14,81.04,82.01,80.46,81.77,264500
2024-06-13,82.57,82.98,81.12,82.59,185100
2024-06-12,83.52,86.22,82.03,82.76,279400
2024-06-11,80.16,80.22,78.48,79.83,317100
2024-06-10,80.2,81.35,79.99,81.32,221800
2024-06-07,81.88,81.88,80.9,81.26,124700
2024-06-06,84.3,84.5,83.61,83.66,112300
2024-06-05,82.84,84.395,82.25,84.31,275500
2024-06-04,84.24,84.91,82.03,82.25,251500
2024-06-03,85.44,85.44,84.42,85.01,177600
2024-05-31,84.88,85.285,83.56,84.41,289600
2024-05-30,81.63,83.25,81.63,83.09,222700
2024-05-29,81.56,82.015,80.128,80.69,403400
2024-05-28,84.7,84.7,82.52,83.06,162000
2024-05-24,83.74,84.28,83.23,83.89,157800
2024-05-23,85.21,85.21,82.33,82.7,215200
2024-05-22,86.11,86.29,83.735,84.68,318300
2024-05-21,88.33,88.33,86.39,86.91,149700
2024-05-20,88.37,89.23,87.975,88.42,158900
2024-05-17,87.59,88.87,87.005,88.39,208100
2024-05-16,90.19,90.57,87.19,87.26,372600
2024-05-15,87.6,91.058,87.45,90.59,364800
2024-05-14,85.87,86.13,85.25,85.87,178800
2024-05-13,85.62,85.7,84.32,84.44,173300
2024-05-10,84.71,85.12,84.33,84.59,181100
2024-05-09,82.97,85.29,82.97,84.86,241800
2024-05-08,83.67,84.84,82.51,82.84,285600
2024-05-07,85.08,85.76,84.26,84.37,211300
2024-05-06,84.31,85.16,84.0,84.7,158000
2024-05-03,84.46,86.135,83.14,83.27,230000
2024-05-02,80.76,81.95,79.17,81.91,336100
2024-05-01,79.23,81.81,78.1,79.99,400100
2024-04-30,79.58,80.62,78.485,79.32,492800
2024-04-29,79.58,80.76,79.145,80.54,277300
2024-04-26,78.65,80.41,78.33,78.82,330300
2024-04-25,74.76,81.76,74.76,78.32,568800
2024-04-24,83.38,84.78,82.04,82.14,451900
2024-04-23,80.5,84.21,80.49,83.8,239400
2024-04-22,79.77,80.68,78.68,79.73,235800
2024-04-19,78.63,80.18,78.22,79.03,235400
2024-04-18,81.17,81.64,78.62,78.78,244600
2024-04-17,81.74,81.74,78.97,79.3,214500
2024-04-16,81.33,81.48,79.825,80.59,208100
2024-04-15,83.34,84.01,81.83,82.33,282600
2024-04-12,83.05,83.51,82.51,83.27,264900
2024-04-11,84.34,85.0,83.575,83.81,309800
2024-04-10,85.29,85.72,83.02,83.7,397000
2024-04-09,88.51,88.97,87.25,88.74,225200
2024-04-08,88.3,89.045,87.22,87.87,373800
2024-04-05,87.3,88.73,87.285,87.75,512300
2024-04-04,91.15,91.15,87.235,87.64,176200
