datetime,open,high,low,close,volume
2025-04-01,3.3,3.33,3.24,3.26,316100
2025-03-31,3.32,3.44,3.25,3.3,394500
2025-03-28,3.57,3.58,3.43,3.44,565800
2025-03-27,3.6,3.6,3.52,3.56,545500
2025-03-26,3.61,3.62,3.52,3.56,400200
2025-03-25,3.66,3.66,3.6,3.6,317400
2025-03-24,3.62,3.67,3.56,3.66,295400
2025-03-21,3.6,3.6,3.54,3.6,211200
2025-03-20,3.64,3.65,3.56,3.59,246500
2025-03-19,3.64,3.66,3.58,3.62,341200
2025-03-18,3.59,3.67,3.58,3.61,591500
2025-03-17,3.6,3.64,3.55,3.62,367200
2025-03-14,3.53,3.6,3.5,3.6,306700
2025-03-13,3.51,3.51,3.43,3.5,379800
2025-03-12,3.47,3.48,3.37,3.47,265400
2025-03-11,3.48,3.53,3.34,3.43,523900
2025-03-10,3.52,3.59,3.48,3.48,241800
2025-03-07,3.43,3.6,3.38,3.58,401700
2025-03-06,3.44,3.44,3.35,3.35,133000
2025-03-05,3.42,3.48,3.4,3.43,240500
2025-03-04,3.36,3.43,3.33,3.38,177400
2025-03-03,3.54,3.56,3.4,3.4,231700
2025-02-28,3.54,3.55,3.39,3.53,403900
2025-02-27,3.59,3.6,3.53,3.53,156800
2025-02-26,3.62,3.63,3.55,3.58,185100
2025-02-25,3.64,3.68,3.62,3.62,414000
2025-02-24,3.65,3.68,3.61,3.64,229900
2025-02-21,3.65,3.68,3.61,3.68,151100
2025-02-20,3.64,3.66,3.61,3.63,242400
2025-02-19,3.55,3.64,3.53,3.63,301200
2025-02-18,3.54,3.59,3.54,3.56,266400
2025-02-14,3.53,3.58,3.51,3.56,173500
2025-02-13,3.44,3.5,3.42,3.49,294400
2025-02-12,3.38,3.44,3.36,3.44,307200
2025-02-11,3.4,3.43,3.37,3.41,231400
2025-02-10,3.41,3.43,3.31,3.43,237400
2025-02-07,3.49,3.49,3.38,3.39,272800
2025-02-06,3.45,3.52,3.44,3.49,289200
2025-02-05,3.32,3.44,3.31,3.44,355000
