datetime,open,high,low,close,volume
2025-04-01,101.84,102.96,100.79,102.76,1244900
2025-03-31,100.83,102.85,100.63,102.4,1662600
2025-03-28,101.98,102.53,100.78,101.13,1218400
2025-03-27,101.88,102.93,101.05,101.68,1082900
2025-03-26,100.26,102.2,100.26,101.88,1075600
2025-03-25,100.21,101.03,99.31,100.0,1400400
2025-03-24,100.3,100.96,99.93,100.48,1331300
2025-03-21,98.45,100.28,98.11,99.95,7028800
2025-03-20,98.65,99.36,97.16,99.3,1558000
2025-03-19,99.89,100.07,98.38,99.31,1130600
2025-03-18,100.77,100.99,99.67,100.06,988400
2025-03-17,98.57,101.32,98.13,101.0,1122800
2025-03-14,96.5,98.52,95.95,98.38,1231200
2025-03-13,96.97,97.56,96.03,96.32,1164800
2025-03-12,98.33,98.36,95.08,96.18,1325600
2025-03-11,101.71,102.44,97.45,98.05,1665800
2025-03-10,101.8,105.27,101.42,101.56,2159500
2025-03-07,97.8,103.21,97.68,102.45,1709000
2025-03-06,97.73,98.82,96.96,98.12,1063600
2025-03-05,98.09,99.3,97.6,97.91,1346600
2025-03-04,100.54,100.54,98.06,98.35,1469200
2025-03-03,101.92,102.33,100.01,100.37,929500
2025-02-28,99.33,101.75,99.33,101.62,1835500
2025-02-27,98.96,101.29,98.63,99.24,1573800
2025-02-26,98.83,99.91,98.03,98.18,1541200
2025-02-25,100.88,101.6,98.53,98.77,1281700
2025-02-24,101.06,102.28,100.35,100.68,1158800
2025-02-21,100.41,101.17,98.39,100.88,1616100
2025-02-20,99.02,100.58,98.09,100.42,1087000
2025-02-19,99.5,100.44,98.73,99.02,1158100
2025-02-18,99.6,100.0,98.63,99.92,933200
2025-02-14,98.8,99.64,98.46,99.49,854000
2025-02-13,97.63,99.07,97.52,98.62,979800
2025-02-12,99.01,99.67,97.43,97.55,953800
2025-02-11,99.16,99.81,98.32,99.74,1094700
2025-02-10,97.02,99.7,96.78,99.34,1300600
2025-02-07,96.67,97.16,95.68,96.59,1087400
2025-02-06,98.13,98.55,96.15,96.64,1139100
2025-02-05,98.94,98.94,97.11,97.25,1513300
2025-02-04,99.18,99.43,98.1,98.83,951700
2025-02-03,99.08,99.24,96.73,98.1,1343200
2025-01-31,102.95,103.47,98.9,99.49,2419300
2025-01-30,99.6,105.29,98.0,100.44,3351500
2025-01-29,109.27,110.25,107.7,107.93,1507800
2025-01-28,108.33,110.09,107.53,109.82,1017600
2025-01-27,108.49,109.72,108.46,109.05,1137200
2025-01-24,107.57,109.1,106.85,108.16,1083700
2025-01-23,106.22,107.06,104.88,107.0,1016000
2025-01-22,105.59,106.9,104.48,105.25,976100
2025-01-21,103.91,105.49,103.66,105.39,840500
2025-01-17,102.2,103.91,101.67,103.58,1119300
2025-01-16,103.25,104.14,102.21,102.69,748300
2025-01-15,104.49,105.18,102.59,103.03,1074700
2025-01-14,103.81,104.57,102.51,102.84,838000
2025-01-13,101.39,103.71,100.92,103.57,818100
2025-01-10,103.0,104.15,101.69,101.76,849800
2025-01-08,104.34,105.04,103.06,103.61,931500
2025-01-07,103.78,105.61,103.6,104.05,720500
2025-01-06,104.44,105.36,101.73,103.52,929200
2025-01-03,103.95,104.54,102.85,104.44,810800
2025-01-02,104.09,104.74,102.25,102.78,614000
2024-12-31,103.81,104.28,103.05,103.32,573300
2024-12-30,103.04,104.58,102.17,103.48,881700
2024-12-27,104.15,104.74,103.19,103.89,517600
2024-12-26,104.3,104.64,103.42,104.32,526100
2024-12-24,103.87,104.38,102.85,104.28,271800
2024-12-23,104.13,104.68,102.85,104.01,864000
2024-12-20,105.04,105.4,102.96,104.34,2001800
2024-12-19,107.0,107.6,104.88,105.0,1352100
2024-12-18,109.2,109.54,106.35,106.45,947400
2024-12-17,109.72,110.5,108.76,108.88,792200
2024-12-16,111.28,112.23,109.59,110.11,1064900
2024-12-13,114.82,114.82,110.3,111.38,1632100
2024-12-12,108.66,114.68,106.54,114.06,2392200
2024-12-11,110.0,110.66,108.66,109.13,1236700
2024-12-10,108.39,109.83,106.34,109.21,1211200
2024-12-09,106.0,108.76,105.91,108.14,1225600
2024-12-06,106.53,106.53,104.56,105.43,1013100
2024-12-05,107.94,108.27,105.48,106.17,943800
2024-12-04,107.16,107.68,105.66,107.62,978200
2024-12-03,105.85,108.07,105.49,107.6,1362900
2024-12-02,105.97,107.48,104.74,106.18,1200100
2024-11-29,105.43,105.77,104.93,105.58,499000
2024-11-27,106.74,107.1,104.4,105.25,1315800
2024-11-26,107.71,108.11,105.8,106.36,1513800
2024-11-25,108.8,109.65,105.85,107.54,2658500
2024-11-22,108.4,108.85,106.78,107.61,1265700
2024-11-21,109.37,109.55,108.24,108.54,774000
2024-11-20,109.58,109.6,108.17,109.03,645400
2024-11-19,109.03,110.19,108.78,109.08,773700
2024-11-18,110.19,111.07,109.59,109.99,629400
2024-11-15,111.26,111.51,110.03,110.19,992100
2024-11-14,111.33,112.24,110.59,111.48,1137000
2024-11-13,109.32,111.76,109.27,111.68,1462900
2024-11-12,110.52,110.52,108.68,109.09,958000
2024-11-11,109.01,110.48,108.94,109.03,917600
2024-11-08,107.85,109.34,107.72,108.56,933100
2024-11-07,106.66,109.4,106.47,107.91,1734200
2024-11-06,106.83,107.36,103.5,106.42,2331900
2024-11-05,102.99,105.02,102.51,104.93,1148000
2024-11-04,102.27,104.15,101.97,102.65,1027500
2024-11-01,102.9,103.47,101.57,101.82,1570100
2024-10-31,103.26,108.53,100.44,103.04,4086800
2024-10-30,107.91,109.98,107.28,109.64,2247100
2024-10-29,109.0,110.3,107.9,108.0,1091500
2024-10-28,108.87,109.12,107.85,108.94,1123500
2024-10-25,107.34,108.37,106.73,108.12,954500
2024-10-24,107.9,108.09,106.34,106.73,1089700
2024-10-23,107.97,108.79,107.72,107.86,832400
2024-10-22,108.85,108.88,107.56,108.09,924100
2024-10-21,109.9,109.9,108.46,108.88,1056900
2024-10-18,111.05,111.05,109.27,110.13,1684000
2024-10-17,110.42,111.01,109.67,110.89,725800
2024-10-16,111.01,113.1,110.52,110.64,1077000
2024-10-15,110.35,111.31,108.37,109.1,1181200
2024-10-14,110.59,110.59,108.63,110.16,687300
2024-10-11,108.58,110.36,108.47,110.17,620900
2024-10-10,108.36,108.36,106.55,108.04,859900
