datetime,open,high,low,close,volume
2025-04-01,29.7,30.3,29.51,30.02,6795500
2025-03-31,29.65,30.07,29.48,29.8,4269100
2025-03-28,30.11,30.6,29.575,29.87,5514200
2025-03-27,30.08,30.315,29.67,30.15,22127600
2025-03-26,30.64,31.07,30.34,30.37,3049900
2025-03-25,30.11,30.435,30.09,30.33,2060000
2025-03-24,29.57,30.015,29.47,29.93,2371600
2025-03-21,29.32,29.8,29.185,29.54,7197900
2025-03-20,29.26,29.955,29.14,29.6,4237300
2025-03-19,29.52,29.87,29.38,29.49,5795600
2025-03-18,29.7,29.79,29.12,29.49,5617800
2025-03-17,29.21,29.815,29.07,29.65,3462400
2025-03-14,28.77,29.59,28.67,29.37,5545400
2025-03-13,28.65,29.09,28.29,28.49,3357900
2025-03-12,28.54,29.01,28.32,28.63,2016300
2025-03-11,29.73,29.73,28.48,28.54,4336400
2025-03-10,29.47,30.19,29.25,29.45,2456800
2025-03-07,28.47,30.02,28.47,29.66,2870400
2025-03-06,27.98,28.67,27.94,28.52,2632900
2025-03-05,27.65,28.365,27.41,28.26,4421000
2025-03-04,28.08,28.47,27.28,27.98,2524600
2025-03-03,29.77,30.18,28.225,28.44,5013300
2025-02-28,29.19,29.83,28.81,29.8,3554400
2025-02-27,29.07,29.7,28.82,29.28,4210100
2025-02-26,29.4,29.4,28.635,28.88,3881800
2025-02-25,29.63,29.9,28.76,29.12,5611700
2025-02-24,29.84,29.905,29.53,29.54,1704400
2025-02-21,30.31,30.31,29.58,29.69,2524500
2025-02-20,29.9,30.44,29.83,30.21,1619100
2025-02-19,30.18,30.43,29.88,29.96,2939800
2025-02-18,29.52,30.56,29.31,30.34,3313500
2025-02-14,29.9,30.13,29.37,29.44,2609800
2025-02-13,29.17,29.87,29.17,29.74,1955900
2025-02-12,29.44,29.57,29.005,29.16,4549400
2025-02-11,29.45,30.04,29.31,29.7,3178900
2025-02-10,28.86,29.475,28.86,29.4,2578600
2025-02-07,28.58,28.97,28.485,28.54,3000600
2025-02-06,29.44,29.45,28.33,28.55,2771800
2025-02-05,29.51,29.51,28.7,29.12,3560200
2025-02-04,28.35,29.5,28.22,29.3,2339500
2025-02-03,28.52,29.08,28.08,28.53,3427100
2025-01-31,29.27,29.39,28.34,28.64,2762600
2025-01-30,29.15,29.5,29.03,29.21,2918500
2025-01-29,29.19,29.79,28.97,29.09,2778700
2025-01-28,30.25,30.42,29.135,29.35,3572000
2025-01-27,29.89,30.38,29.81,30.24,2248800
2025-01-24,30.0,30.37,29.78,30.05,4081100
2025-01-23,29.89,30.07,29.655,29.94,3338300
2025-01-22,31.08,31.08,29.59,29.69,4570000
2025-01-21,31.39,31.98,30.96,31.27,3722700
2025-01-17,29.52,31.81,29.44,31.21,5654000
2025-01-16,28.68,29.205,28.6,29.15,1628700
2025-01-15,28.53,29.01,28.38,28.87,1757700
2025-01-14,28.06,28.49,27.825,28.2,3179600
2025-01-13,27.026,28.4,27.002,28.16,2877900
2025-01-10,27.85,28.27,27.3,27.38,6435400
2025-01-08,27.73,27.81,27.28,27.57,2723200
2025-01-07,27.53,28.13,27.45,27.94,2173300
2025-01-06,27.45,27.96,27.33,27.42,1815100
2025-01-03,27.28,27.505,26.93,27.35,1283600
2025-01-02,27.56,27.925,27.1,27.3,1842400
2024-12-31,26.82,27.39,26.72,27.19,1308500
2024-12-30,26.7,26.8,26.31,26.7,904400
2024-12-27,26.53,27.0,26.44,26.64,1056000
2024-12-26,26.7,26.735,26.2,26.68,1119000
2024-12-24,26.39,26.65,26.01,26.62,368000
2024-12-23,25.69,26.37,25.64,26.29,1453800
2024-12-20,25.6,26.26,25.57,25.79,4858100
2024-12-19,26.82,26.84,25.79,25.93,1968100
2024-12-18,27.55,27.73,26.3,26.31,2392300
2024-12-17,28.02,28.05,27.39,27.54,2362400
2024-12-16,28.33,29.06,28.245,28.34,1904900
2024-12-13,29.01,29.12,28.42,28.49,1277300
2024-12-12,29.41,29.46,29.08,29.13,1220500
2024-12-11,29.35,29.69,29.0,29.53,2202000
2024-12-10,29.12,29.5,28.66,28.97,2077500
2024-12-09,29.27,29.57,28.975,29.0,1235900
2024-12-06,29.71,29.79,28.87,28.88,1520900
2024-12-05,30.17,30.32,29.695,29.73,1041900
2024-12-04,30.69,30.69,29.755,30.07,2322400
2024-12-03,30.98,31.16,30.34,30.74,2340100
2024-12-02,30.97,30.97,30.31,30.77,1444800
2024-11-29,30.89,31.015,30.74,30.95,827200
2024-11-27,30.66,31.19,30.635,30.7,1327400
2024-11-26,30.98,30.98,30.44,30.54,1603200
2024-11-25,31.41,31.75,30.84,30.92,2032100
2024-11-22,31.44,31.69,31.165,31.24,1850100
2024-11-21,31.11,31.57,30.83,31.28,1223400
2024-11-20,30.52,30.88,30.36,30.7,1459600
2024-11-19,30.48,30.85,30.28,30.53,1862900
2024-11-18,30.96,31.15,30.62,30.87,895000
2024-11-15,30.9,31.2,30.455,30.64,950800
2024-11-14,31.19,31.3,30.68,30.88,1513300
2024-11-13,31.74,31.74,30.77,31.04,1346900
2024-11-12,31.75,32.08,31.48,31.55,1240500
2024-11-11,30.86,31.74,30.83,31.67,1669900
2024-11-08,30.59,31.07,30.31,30.79,1258500
2024-11-07,31.37,31.42,30.58,30.86,1340400
2024-11-06,30.2,31.75,29.67,31.43,4704300
2024-11-05,28.43,28.76,28.38,28.76,1561500
2024-11-04,28.19,28.62,28.13,28.43,1765500
2024-11-01,28.22,28.35,27.82,27.95,2273400
2024-10-31,28.36,28.505,28.165,28.22,1652900
2024-10-30,28.48,28.79,28.22,28.24,1172100
2024-10-29,29.08,29.09,28.32,28.42,1533300
2024-10-28,28.54,29.205,28.42,29.08,1990700
2024-10-25,29.29,29.67,29.125,29.32,1713400
2024-10-24,29.78,29.78,29.01,29.03,923500
2024-10-23,29.33,29.79,29.27,29.65,1264600
2024-10-22,30.07,30.07,29.48,29.57,1693300
2024-10-21,29.95,30.38,29.86,29.88,2902000
2024-10-18,31.32,31.32,29.74,29.76,2421700
2024-10-17,31.15,31.3,30.765,31.18,2961100
2024-10-16,30.91,31.16,30.76,31.15,968600
2024-10-15,31.11,31.3,30.585,30.63,1344800
2024-10-14,31.49,31.915,31.44,31.9,829400
2024-10-11,31.69,32.09,31.57,31.96,2272000
2024-10-10,31.6,32.14,31.48,31.74,2736400
2024-10-09,31.21,31.65,31.07,31.5,1737100
2024-10-08,31.96,32.11,31.32,31.43,2072900
2024-10-07,32.52,32.94,32.34,32.51,1443000
2024-10-04,32.54,32.62,32.0,32.47,2879300
2024-10-03,31.59,32.09,31.25,32.05,2723000
2024-10-02,31.23,31.705,31.01,31.56,1923300
2024-10-01,29.88,31.32,29.88,31.03,1466000
2024-09-30,30.07,30.49,29.88,30.15,1428700
2024-09-27,29.88,30.34,29.88,30.3,2362200
2024-09-26,29.66,29.85,29.16,29.6,1972000
2024-09-25,30.75,30.93,29.975,30.07,1331600
2024-09-24,31.55,31.66,30.92,31.0,1135700
2024-09-23,30.63,31.11,30.51,30.98,1135800
2024-09-20,30.83,30.83,30.205,30.54,2798700
2024-09-19,30.66,31.09,30.27,30.77,1954900
2024-09-18,29.85,30.28,29.57,29.83,1902900
2024-09-17,29.33,29.965,29.1,29.89,1080000
2024-09-16,29.17,29.44,28.68,29.06,1748200
2024-09-13,28.72,28.93,28.23,28.6,1210900
2024-09-12,28.48,28.665,28.05,28.41,1526300
2024-09-11,28.11,28.325,27.49,28.19,1210900
2024-09-10,28.79,28.79,27.89,28.2,799300
2024-09-09,28.87,29.32,28.77,28.81,1625400
2024-09-06,29.33,29.64,28.705,28.86,1379400
2024-09-05,29.79,29.79,29.2,29.37,1112000
2024-09-04,29.84,30.19,29.42,29.45,949300
2024-09-03,30.4,30.56,29.68,29.93,1333200
2024-08-30,31.05,31.16,30.66,31.13,1631500
2024-08-29,31.33,31.4,30.705,31.19,1962100
2024-08-28,31.34,31.46,30.76,30.9,1255700
2024-08-27,32.12,32.22,31.67,31.87,1066300
