datetime,open,high,low,close,volume
2025-04-01,34.65,34.81,33.75,34.28,1539900
2025-03-31,34.56,35.35,34.26,34.89,1628600
2025-03-28,35.0,35.37,34.46,35.02,1167100
2025-03-27,36.2,36.33,34.99,35.14,1584800
2025-03-26,36.95,37.14,36.13,36.21,1044500
2025-03-25,37.0,37.42,35.9,36.34,2076500
2025-03-24,34.74,36.62,34.66,36.44,2085600
2025-03-21,35.43,35.53,34.6,34.79,4357300
2025-03-20,35.71,36.14,35.44,35.76,1502100
2025-03-19,34.45,36.55,34.45,36.19,2498000
2025-03-18,35.54,35.95,34.32,34.67,1341800
2025-03-17,34.09,35.2,33.76,35.04,1778400
2025-03-14,32.32,33.68,32.27,33.62,1937200
2025-03-13,34.73,34.9,32.36,32.63,2012700
2025-03-12,33.33,35.6,32.93,34.94,2905100
2025-03-11,32.41,33.66,32.25,33.0,4176300
2025-03-10,33.79,34.02,31.69,32.05,2837500
2025-03-07,33.23,34.07,32.77,33.52,1642000
2025-03-06,32.75,33.23,31.96,32.68,2167600
2025-03-05,33.5,34.01,31.89,33.08,3291700
2025-03-04,34.62,35.08,33.47,34.54,2723900
2025-03-03,38.75,39.14,34.83,35.2,2999000
2025-02-28,38.01,38.51,37.49,38.34,2554500
2025-02-27,39.86,40.36,38.28,38.34,4064300
2025-02-26,40.22,40.76,38.6,39.79,5566200
2025-02-25,45.36,45.36,40.26,40.35,7288400
2025-02-24,49.34,49.82,48.92,49.3,1290800
2025-02-21,50.55,50.64,48.88,49.06,1599900
2025-02-20,50.99,51.58,50.38,50.99,1276200
2025-02-19,50.97,51.99,50.9,51.1,1075400
2025-02-18,50.86,51.55,49.51,50.87,1286400
2025-02-14,49.5,50.35,49.31,50.24,875300
2025-02-13,48.86,49.29,48.01,49.03,1274700
2025-02-12,50.71,51.52,48.68,48.75,1050600
2025-02-11,50.92,52.22,50.75,51.58,1076100
2025-02-10,48.52,50.7,48.51,50.54,1127600
2025-02-07,48.22,48.55,47.65,47.88,1263500
