datetime,open,high,low,close,volume
2025-04-01,0.431,0.506,0.42,0.476,2821400
2025-03-31,0.478,0.49,0.44,0.442,160900
2025-03-28,0.494,0.505,0.457,0.473,508800
2025-03-27,0.47,0.54,0.47,0.508,1013900
2025-03-26,0.48,0.548,0.461,0.48,954100
2025-03-25,0.476,0.52,0.451,0.488,522300
2025-03-24,0.45,0.5,0.435,0.486,364700
2025-03-21,0.44,0.47,0.43,0.451,264800
2025-03-20,0.434,0.499,0.415,0.443,551700
2025-03-19,0.475,0.527,0.43,0.447,833900
2025-03-18,0.478,0.554,0.43,0.46,390000
2025-03-17,0.471,0.495,0.44,0.45,29400
2025-03-14,0.44,0.58,0.42,0.461,136300
2025-03-13,0.41,0.567,0.41,0.42,67400
2025-03-12,0.452,0.48,0.412,0.412,40700
2025-03-11,0.47,0.478,0.43,0.43,59900
2025-03-10,0.535,0.551,0.449,0.473,108500
2025-03-07,0.55,0.56,0.521,0.521,31600
2025-03-06,0.52,0.54,0.52,0.53,70000
2025-03-05,0.637,0.637,0.52,0.522,37200
2025-03-04,0.552,0.58,0.5,0.524,110600
2025-03-03,0.698,0.799,0.54,0.57,100300
2025-02-28,0.87,0.875,0.72,0.72,74100
2025-02-27,0.886,0.92,0.82,0.9,8800
2025-02-26,0.85,1.0,0.85,0.903,101000
2025-02-25,0.92,0.92,0.84,0.871,14600
2025-02-24,0.9,0.903,0.881,0.881,5100
2025-02-21,0.92,0.92,0.87,0.88,13800
2025-02-20,0.91,0.946,0.9,0.946,9500
2025-02-19,0.94,0.966,0.906,0.927,45300
2025-02-18,0.912,0.95,0.89,0.929,30900
2025-02-14,0.9,0.924,0.855,0.855,40000
2025-02-13,0.884,0.9,0.82,0.9,30300
2025-02-12,0.879,0.939,0.85,0.887,4900
2025-02-11,0.872,0.9,0.8,0.861,19500
2025-02-10,0.842,0.95,0.842,0.895,18600
2025-02-09,0.842,0.95,0.842,0.895,18614
2025-02-07,0.94,0.95,0.85,0.86,60100
2025-02-06,0.94,0.941,0.89,0.92,31500
2025-02-05,0.888,0.94,0.873,0.91,30400
2025-02-04,0.886,0.886,0.836,0.836,4200
2025-02-03,0.8855,0.8855,0.8356,0.836,4230
2025-01-31,0.87,0.922,0.87,0.91,13100
2025-01-30,0.92,0.929,0.86,0.87,23100
2025-01-29,0.9,0.93,0.823,0.91,32700
2025-01-28,0.896,0.9,0.86,0.9,32500
2025-01-27,0.87,0.9,0.85,0.88,33600
2025-01-24,0.888,0.89,0.805,0.877,57100
2025-01-23,0.769,0.895,0.761,0.879,40700
2025-01-22,0.823,0.823,0.753,0.753,14600
2025-01-21,0.82,0.899,0.781,0.816,22000
2025-01-17,0.84,0.87,0.8,0.84,4600
2025-01-16,0.85,0.87,0.778,0.87,12400
2025-01-15,0.81,0.85,0.801,0.832,9400
2025-01-14,0.81,0.826,0.801,0.801,24500
2025-01-13,0.8,0.8,0.761,0.786,38300
2025-01-10,0.9,0.9,0.768,0.768,82200
2025-01-08,0.845,0.91,0.845,0.893,50300
