datetime,open,high,low,close,volume
2025-04-01,22.98,23.01,22.76,22.82,57100
2025-03-31,22.64,23.17,22.64,22.81,359400
2025-03-28,22.65,22.82,22.62,22.71,90100
2025-03-27,22.76,22.799,22.52,22.7,45300
2025-03-26,22.98,23.05,22.66,22.66,47800
2025-03-25,23.13,23.16,22.91,22.96,50900
2025-03-24,23.16,23.28,23.05,23.077,32600
2025-03-21,23.13,23.32,23.11,23.16,23200
2025-03-20,23.38,23.52,23.13,23.16,71100
2025-03-19,23.45,23.45,23.3,23.39,38300
2025-03-18,23.53,23.55,23.34,23.39,30200
2025-03-17,23.39,23.57,23.286,23.54,24800
2025-03-14,23.18,23.38,23.18,23.35,28000
2025-03-13,23.239,23.25,23.13,23.2,29300
2025-03-12,23.08,23.26,23.0,23.21,38200
2025-03-11,23.23,23.26,22.991,23.055,22700
2025-03-10,23.33,23.36,23.144,23.215,34700
2025-03-07,23.367,23.53,23.22,23.33,27900
2025-03-06,23.45,23.54,23.368,23.37,36000
2025-03-05,23.459,23.56,23.45,23.505,30300
2025-03-04,23.62,23.62,23.4,23.48,38000
2025-03-03,23.7,23.765,23.55,23.6,31000
2025-02-28,23.77,23.85,23.56,23.56,33500
2025-02-27,23.66,23.81,23.622,23.622,38200
2025-02-26,23.67,23.76,23.65,23.65,34100
2025-02-25,23.55,23.77,23.483,23.67,26500
2025-02-24,23.5,23.52,23.4,23.46,14000
2025-02-21,23.48,23.55,23.4,23.42,29000
2025-02-20,23.55,23.616,23.42,23.47,17500
2025-02-19,23.63,23.731,23.48,23.55,22500
2025-02-18,23.7,23.79,23.65,23.7,28300
2025-02-14,23.7,23.83,23.61,23.69,19700
2025-02-13,23.76,24.06,23.76,23.87,32300
2025-02-12,23.71,23.85,23.71,23.71,26000
2025-02-11,23.88,23.97,23.745,23.89,31500
2025-02-10,23.88,23.93,23.74,23.82,19100
2025-02-07,23.75,23.875,23.7,23.75,19800
2025-02-06,23.96,23.98,23.736,23.83,24900
2025-02-05,23.75,23.92,23.66,23.82,24100
2025-02-04,23.637,23.79,23.6,23.68,40300
2025-02-03,23.77,23.92,23.702,23.75,26500
2025-01-31,24.195,24.31,23.84,23.84,83600
2025-01-30,24.19,24.29,24.01,24.22,34900
2025-01-29,24.22,24.263,23.98,24.06,20100
2025-01-28,24.23,24.39,24.09,24.17,37700
2025-01-27,23.85,24.39,23.85,24.37,89300
2025-01-24,23.87,24.03,23.812,23.96,28800
2025-01-23,23.91,23.99,23.686,23.87,53100
2025-01-22,23.99,24.01,23.85,23.96,26800
2025-01-21,23.64,24.05,23.64,24.0,69100
2025-01-17,23.59,23.69,23.511,23.59,42200
2025-01-16,23.53,23.73,23.383,23.5,68300
2025-01-15,23.41,23.65,23.279,23.53,36000
2025-01-14,23.13,23.27,23.113,23.2,31100
2025-01-13,23.2,23.24,23.07,23.11,95100
2025-01-10,23.32,23.433,23.21,23.25,85800
2025-01-08,23.46,23.51,23.33,23.4,40100
2025-01-07,23.75,23.782,23.36,23.46,34900
2025-01-06,23.65,23.8,23.57,23.73,56700
2025-01-03,23.6,23.77,23.44,23.7,39500
2025-01-02,23.29,23.55,23.19,23.46,66800
2024-12-31,23.26,23.54,23.06,23.13,489800
2024-12-30,23.32,23.372,23.2,23.2,181300
2024-12-27,23.39,23.56,23.28,23.32,95800
2024-12-26,23.64,23.64,23.46,23.476,42200
2024-12-24,23.41,23.65,23.28,23.65,55300
2024-12-23,23.56,23.612,23.52,23.55,81300
