datetime,open,high,low,close,volume
2025-04-01,10.15,10.2,10.15,10.2,2200
2025-03-31,10.15,10.15,10.15,10.15,0
2025-03-28,10.15,10.15,10.15,10.15,0
2025-03-27,10.13,10.15,10.13,10.15,400
2025-03-26,10.15,10.15,10.15,10.15,0
2025-03-25,10.15,10.15,10.15,10.15,0
2025-03-24,10.15,10.15,10.15,10.15,200
2025-03-21,10.15,10.15,10.15,10.15,0
2025-03-20,10.15,10.15,10.15,10.15,0
2025-03-19,10.15,10.15,10.15,10.15,0
2025-03-18,10.15,10.15,10.15,10.15,0
2025-03-17,10.15,10.15,10.15,10.15,44300
2025-03-14,10.2,10.2,10.2,10.2,0
2025-03-13,10.2,10.2,10.2,10.2,0
2025-03-12,10.15,10.2,10.15,10.2,400
2025-03-11,10.12,10.12,10.1,10.102,800
2025-03-10,10.12,10.12,10.09,10.1,39700
2025-03-07,10.125,10.13,10.12,10.13,808
2025-03-06,10.14,10.14,10.14,10.14,0
2025-03-05,10.12,10.14,10.12,10.14,482
2025-03-04,10.15,10.15,10.15,10.15,0
2025-03-03,10.13,10.15,10.13,10.15,223
2025-02-28,10.12,10.12,10.12,10.12,51336
2025-02-27,10.1034,10.1293,10.1034,10.12,1564
2025-02-26,10.12,10.12,10.1,10.12,50805
2025-02-25,10.12,10.12,10.09,10.09,66708
2025-02-24,10.105,10.105,10.1,10.1,2939
2025-02-21,10.105,10.105,10.105,10.105,0
2025-02-20,10.105,10.105,10.105,10.105,133
2025-02-19,10.09,10.105,10.09,10.105,464
2025-02-18,10.12,10.12,10.12,10.12,204
2025-02-14,10.09,10.09,10.09,10.09,2528
2025-02-13,10.0744,10.0744,10.0744,10.0744,278
2025-02-12,10.12,10.12,10.08,10.08,601
2025-02-11,10.08,10.08,10.0701,10.0701,1065
2025-02-10,10.07,10.09,10.07,10.07,915
2025-02-07,10.09,10.09,10.08,10.09,1400
2025-02-06,10.06,10.12,10.06,10.1,56279
2025-02-05,10.06,10.06,10.06,10.06,396
2025-02-04,10.05,10.06,10.04,10.05,60497
2025-02-03,10.06,10.06,10.04,10.06,1404
2025-01-31,10.06,10.06,10.04,10.05,1054
2025-01-30,10.03,10.05,10.03,10.04,106939
2025-01-29,10.0106,10.03,10.01,10.03,22041
2025-01-28,10.01,10.03,10.01,10.02,79400
2025-01-27,10.02,10.03,10.01,10.01,79526
2025-01-24,10.02,10.02,10.01,10.01,145140
2025-01-23,10.02,10.02,10.01,10.01,2939464
