datetime,open,high,low,close,volume
2025-04-01,30.76,31.11,30.38,31.07,803700
2025-03-31,30.38,30.85,29.965,30.79,679000
2025-03-28,31.52,31.52,30.73,30.87,576700
2025-03-27,32.0,32.06,31.45,31.48,806000
2025-03-26,32.74,32.74,31.94,32.09,1129400
2025-03-25,32.74,32.87,32.61,32.72,761400
2025-03-24,32.29,32.67,32.25,32.64,649100
2025-03-21,31.4,31.79,31.3,31.79,374200
2025-03-20,31.7,32.12,31.63,31.81,502000
2025-03-19,31.51,32.135,31.4,31.89,480300
2025-03-18,31.69,31.69,31.207,31.39,549800
2025-03-17,31.42,32.01,31.34,31.8,785000
2025-03-14,30.8,31.37,30.77,31.34,555600
2025-03-13,31.01,31.01,30.21,30.38,831300
2025-03-12,31.4,31.58,30.78,31.16,632000
2025-03-11,30.75,31.19,30.44,30.75,637300
2025-03-10,31.36,31.37,30.401,30.72,818300
2025-03-07,31.45,31.92,30.91,31.88,986700
2025-03-06,32.2,32.4,31.35,31.47,1099700
2025-03-05,32.37,32.72,32.012,32.71,519600
2025-03-04,32.205,32.908,31.62,32.36,1217200
2025-03-03,33.4,33.47,32.223,32.46,830400
2025-02-28,32.53,33.05,32.33,33.05,1008700
2025-02-27,33.69,33.735,32.76,32.79,637200
2025-02-26,33.36,33.78,33.22,33.42,594300
2025-02-25,33.55,33.55,32.8,33.27,626300
2025-02-24,34.0,34.01,33.25,33.64,753300
2025-02-21,35.16,35.16,33.92,33.97,515000
2025-02-20,35.47,35.47,34.57,35.05,1197100
2025-02-19,35.82,35.82,35.42,35.52,714900
2025-02-18,35.755,35.87,35.552,35.87,1060100
2025-02-14,35.65,35.65,35.41,35.57,1018900
2025-02-13,35.38,35.63,35.15,35.62,977100
2025-02-12,34.49,34.92,34.34,34.89,834000
2025-02-11,35.11,35.12,34.65,34.8,860600
2025-02-10,35.29,35.408,34.957,35.32,649000
2025-02-07,35.37,35.65,34.93,34.97,853500
2025-02-06,34.94,34.94,34.54,34.87,619300
2025-02-05,34.56,34.85,34.43,34.85,668000
2025-02-04,34.26,34.54,34.185,34.52,754100
2025-02-03,33.31,34.04,33.195,33.88,1274400
2025-01-31,34.16,34.37,33.785,33.88,368400
2025-01-30,33.81,33.95,33.64,33.83,1186400
2025-01-29,33.77,33.77,33.38,33.6,377100
2025-01-28,33.18,33.84,32.985,33.76,423800
2025-01-27,33.14,33.429,32.77,33.04,479000
2025-01-24,34.05,34.15,33.8,33.88,385700
2025-01-23,33.71,33.97,33.565,33.97,919100
2025-01-22,33.81,33.96,33.74,33.85,405000
2025-01-21,33.53,33.67,33.245,33.59,379000
2025-01-17,33.42,33.42,33.11,33.25,755000
2025-01-16,33.0,33.309,32.904,33.06,343200
2025-01-15,32.85,33.035,32.75,32.87,428000
2025-01-14,32.2,32.47,32.07,32.32,469000
2025-01-13,31.75,31.932,31.61,31.93,311200
2025-01-10,32.31,32.31,31.876,31.98,384700
2025-01-08,32.37,32.523,32.07,32.49,401700
2025-01-07,33.08,33.08,32.265,32.41,791800
2025-01-06,33.15,33.16,32.79,32.92,411900
2025-01-03,32.44,32.83,32.42,32.8,229600
2025-01-02,32.35,32.52,31.976,32.29,274100
2024-12-31,32.33,32.38,31.93,32.04,576100
2024-12-30,32.34,32.449,32.0,32.23,270100
2024-12-27,32.97,33.02,32.41,32.69,205100
2024-12-26,33.11,33.24,33.03,33.19,126500
2024-12-24,33.01,33.2,32.91,33.2,96700
2024-12-23,32.88,32.94,32.5,32.93,258100
2024-12-20,32.02,33.0,32.0,32.88,188800
2024-12-19,32.35,32.55,32.1,32.19,537500
2024-12-18,33.45,33.45,31.91,32.0,246300
2024-12-17,33.53,33.53,33.103,33.33,360600
2024-12-16,33.37,33.76,33.335,33.68,267000
2024-12-13,33.48,33.5,33.105,33.28,324200
2024-12-12,33.35,33.44,33.165,33.26,454200
2024-12-11,33.44,33.51,33.236,33.47,186400
2024-12-10,33.59,33.66,33.06,33.13,276100
2024-12-09,34.36,34.36,33.535,33.61,256400
2024-12-06,34.43,34.58,34.19,34.47,321500
2024-12-05,34.15,34.32,34.01,34.08,319600
2024-12-04,34.32,34.32,33.92,34.1,387600
2024-12-03,33.56,33.98,33.56,33.97,417800
2024-12-02,33.7,33.7,33.482,33.61,203200
2024-11-29,33.67,33.9,33.59,33.61,73600
2024-11-27,33.65,33.65,33.175,33.5,305600
2024-11-26,33.65,33.71,33.51,33.66,225500
2024-11-25,33.97,34.019,33.42,33.52,300900
2024-11-22,33.17,33.69,33.095,33.66,402000
2024-11-21,32.9,33.15,32.61,33.05,422800
2024-11-20,32.63,32.63,32.264,32.63,604300
2024-11-19,32.0,32.505,31.946,32.5,243200
2024-11-18,32.01,32.263,31.84,32.14,525200
2024-11-15,32.11,32.11,31.775,31.91,294100
2024-11-14,32.54,32.59,32.24,32.28,606600
2024-11-13,32.88,32.88,32.445,32.49,515000
2024-11-12,32.77,32.91,32.678,32.84,215500
2024-11-11,32.79,32.91,32.505,32.88,252300
2024-11-08,32.11,32.76,32.025,32.74,296500
2024-11-07,31.49,31.87,31.49,31.85,285600
2024-11-06,31.06,31.06,30.699,30.96,551700
2024-11-05,29.86,30.25,29.86,30.25,149000
2024-11-04,29.8,30.011,29.711,29.81,68500
2024-11-01,29.83,30.0,29.72,29.77,95700
2024-10-31,29.94,29.94,29.615,29.69,88300
2024-10-30,29.99,30.18,29.93,30.06,87700
