datetime,open,high,low,close,volume
2025-04-01,3.64,3.69,3.62,3.65,17500
2025-03-31,3.69,3.69,3.63,3.64,28800
2025-03-28,3.76,3.79,3.69,3.69,18600
2025-03-27,3.83,3.86,3.74,3.76,29500
2025-03-26,3.79,3.86,3.78,3.82,16900
2025-03-25,3.86,3.88,3.78,3.8,11900
2025-03-24,3.9,3.93,3.83,3.84,14900
2025-03-21,3.85,3.86,3.83,3.86,14500
2025-03-20,3.87,3.95,3.86,3.86,6600
2025-03-19,3.84,3.96,3.84,3.9,52600
2025-03-18,3.86,3.87,3.84,3.84,5200
2025-03-17,3.85,3.88,3.85,3.87,3700
2025-03-14,3.85,3.89,3.83,3.83,25200
2025-03-13,3.95,3.95,3.85,3.88,13600
2025-03-12,3.95,3.97,3.87,3.89,12600
2025-03-11,3.97,3.99,3.9,3.9,15000
2025-03-10,4.04,4.04,3.96,3.96,21100
2025-03-07,4.04,4.04,3.98,4.04,8400
2025-03-06,4.02,4.02,3.93,4.02,12100
2025-03-05,4.02,4.06,3.91,4.06,15100
2025-03-04,4.09,4.09,3.89,3.89,39700
2025-03-03,4.06,4.09,4.06,4.06,15200
2025-02-28,4.07,4.09,4.07,4.08,6900
2025-02-27,4.11,4.14,4.05,4.05,16000
2025-02-26,4.19,4.19,4.06,4.1,20300
2025-02-25,4.18,4.18,4.09,4.1,14100
2025-02-24,4.19,4.19,4.08,4.09,29300
2025-02-21,4.18,4.18,4.16,4.17,8700
2025-02-20,4.27,4.27,4.16,4.18,15600
2025-02-19,4.25,4.26,4.16,4.17,42200
2025-02-18,4.26,4.27,4.24,4.25,18000
2025-02-14,4.27,4.29,4.24,4.29,6800
2025-02-13,4.27,4.31,4.25,4.26,5300
2025-02-12,4.55,4.55,4.22,4.28,54000
2025-02-11,4.51,4.51,4.46,4.47,10600
2025-02-10,4.48,4.5,4.45,4.47,6200
2025-02-07,4.5,4.53,4.46,4.49,8600
2025-02-06,4.47,4.53,4.47,4.52,6000
