datetime,open,high,low,close,volume
2025-04-01,16.7,17.98,16.7,17.72,103700
2025-03-31,16.99,17.19,16.29,16.7,250200
2025-03-28,17.15,17.535,16.9,17.04,74800
2025-03-27,18.02,18.042,17.07,17.16,55500
2025-03-26,18.91,18.91,17.7,18.03,111200
2025-03-25,18.43,19.21,18.4,19.0,177500
2025-03-24,18.38,18.5,18.38,18.445,18200
2025-03-21,18.37,18.46,18.33,18.4,17700
2025-03-20,18.39,18.54,18.36,18.37,40100
2025-03-19,18.489,18.504,18.38,18.43,9900
2025-03-18,18.55,18.68,18.441,18.5,18400
2025-03-17,18.53,18.55,18.36,18.49,62000
2025-03-14,18.41,18.48,18.27,18.47,3129700
2025-03-13,18.65,18.8,18.65,18.7,53400
2025-03-12,18.62,18.68,18.62,18.68,13600
2025-03-11,18.53,18.65,18.5,18.62,18200
2025-03-10,18.54,18.6,18.43,18.53,32600
2025-03-07,18.6,18.68,18.58,18.607,16600
2025-03-06,18.61,18.68,18.5,18.57,17300
2025-03-05,18.7,18.74,18.61,18.61,18600
2025-03-04,18.51,18.672,18.5,18.61,43400
2025-03-03,18.55,18.75,18.431,18.63,45900
2025-02-28,18.39,18.73,18.37,18.42,62200
2025-02-27,18.3,18.5,18.282,18.45,13800
2025-02-26,18.46,18.68,18.41,18.44,16000
2025-02-25,18.31,18.45,18.31,18.4,13800
2025-02-24,18.26,18.37,18.12,18.31,57500
2025-02-21,18.18,18.38,18.131,18.26,15300
2025-02-20,18.0,18.27,17.9,18.18,29700
2025-02-19,17.78,18.18,17.78,18.0,19100
2025-02-18,17.85,17.94,17.85,17.88,11100
2025-02-14,17.85,17.99,17.798,17.91,10800
2025-02-13,17.8,17.98,17.73,17.88,13200
2025-02-12,17.75,17.879,17.58,17.8,28500
2025-02-11,17.59,17.99,17.59,17.83,32000
2025-02-10,17.52,17.65,17.52,17.62,16100
2025-02-07,17.53,17.68,17.53,17.56,32700
2025-02-06,17.66,17.66,17.47,17.57,31900
2025-02-05,17.64,17.73,17.44,17.54,39500
2025-02-04,17.26,17.45,17.26,17.44,12200
2025-02-03,17.22,17.42,17.13,17.32,47000
2025-01-31,17.35,17.4,17.25,17.25,49400
2025-01-30,17.39,17.8,17.26,17.33,13100
2025-01-29,17.28,17.424,17.201,17.25,18800
2025-01-28,17.34,17.47,17.23,17.32,16100
2025-01-27,17.52,17.95,17.24,17.35,51600
2025-01-24,17.52,18.0,17.5,17.7,164100
2025-01-23,17.72,17.84,17.47,17.52,30100
2025-01-22,17.83,17.93,17.61,17.69,17500
2025-01-21,17.51,17.78,17.51,17.75,29100
2025-01-17,17.51,17.72,17.49,17.51,24600
2025-01-16,17.62,17.75,17.46,17.47,45100
2025-01-15,17.4,17.66,17.4,17.62,34600
2025-01-14,17.24,17.4,17.084,17.26,37800
2025-01-13,17.23,17.23,16.93,17.03,47400
2025-01-10,17.3,17.3,17.08,17.21,29700
2025-01-08,17.51,17.64,17.3,17.3,28800
2025-01-07,17.62,17.79,17.3,17.55,45100
2025-01-06,17.7,17.85,17.58,17.73,22800
2025-01-03,17.63,17.85,17.6,17.71,22900
2025-01-02,17.66,17.83,17.5,17.67,23200
2024-12-31,17.54,17.756,17.4,17.5,239200
2024-12-30,17.52,17.65,17.4,17.6,44700
2024-12-27,17.75,17.85,17.41,17.52,50700
2024-12-26,17.59,17.75,17.59,17.75,27800
2024-12-24,17.67,17.67,17.5,17.59,19200
2024-12-23,17.67,17.67,17.451,17.64,28600
2024-12-20,17.33,17.74,17.33,17.56,413100
2024-12-19,16.93,17.59,16.93,17.45,72100
2024-12-18,17.4,17.695,17.25,17.25,59900
2024-12-17,17.93,18.43,17.2,17.41,39700
2024-12-16,18.06,18.29,17.89,17.99,49400
2024-12-13,18.39,18.39,17.92,18.13,38500
2024-12-12,18.49,18.6,18.3,18.51,53200
2024-12-11,18.4,18.71,18.4,18.49,32600
2024-12-10,18.68,18.78,18.543,18.56,32000
2024-12-09,18.79,18.81,18.593,18.78,32800
2024-12-06,18.76,19.1,18.62,18.81,126500
2024-12-05,18.63,18.83,18.51,18.77,42500
2024-12-04,18.79,18.881,18.51,18.71,27600
2024-12-03,18.49,18.83,18.49,18.7,41300
2024-12-02,18.0,18.58,18.0,18.5,64400
2024-11-29,18.32,18.674,17.97,17.97,249300
2024-11-27,18.22,18.48,18.22,18.32,26300
2024-11-26,18.2,18.6,18.2,18.24,32300
2024-11-25,18.14,18.66,18.14,18.28,51200
2024-11-22,18.44,18.44,17.99,18.1,26400
2024-11-21,18.5,18.79,18.33,18.44,76000
2024-11-20,18.44,18.6,18.3,18.52,106000
2024-11-19,18.5,18.7,18.3,18.59,120600
2024-11-18,18.66,18.8,18.516,18.7,43100
2024-11-15,18.62,18.809,18.62,18.74,51500
2024-11-14,18.5,18.96,18.5,18.8,58400
2024-11-13,18.59,18.88,18.58,18.7,78000
2024-11-12,18.55,18.67,18.25,18.58,62300
2024-11-11,18.67,18.98,18.21,18.55,37000
2024-11-08,18.15,18.95,18.15,18.74,62700
2024-11-07,18.3,18.3,17.97,18.155,63000
2024-11-06,17.25,18.46,17.14,18.19,117600
2024-11-05,17.34,17.5,17.1,17.49,63200
2024-11-04,16.15,17.41,16.15,17.15,39200
2024-11-01,16.2,16.61,16.12,16.15,38600
2024-10-31,16.58,16.609,16.0,16.11,92300
2024-10-30,16.9,17.207,16.5,16.67,22300
2024-10-29,17.03,17.22,16.74,16.89,36800
2024-10-28,17.62,17.65,16.85,17.22,45600
2024-10-25,17.28,17.69,17.28,17.62,29400
2024-10-24,17.6,17.6,17.25,17.27,42200
2024-10-23,17.63,17.7,17.4,17.6,107100
2024-10-22,17.78,17.94,17.55,17.72,42500
2024-10-21,17.63,17.98,17.63,17.84,105000
2024-10-18,17.36,17.6,17.21,17.21,39700
2024-10-17,17.46,17.47,17.34,17.4,17500
2024-10-16,17.23,17.67,17.205,17.52,37800
2024-10-15,17.2,17.45,17.08,17.2,48000
2024-10-14,17.1,17.2,16.89,17.175,27100
2024-10-11,16.87,17.14,16.64,17.14,34200
2024-10-10,16.98,17.01,16.82,16.94,19000
2024-10-09,15.95,17.16,15.95,17.16,52000
2024-10-08,15.6,16.09,15.55,15.97,46600
2024-10-07,16.06,16.176,15.7,15.7,37200
2024-10-04,16.44,16.44,16.02,16.34,23000
