datetime,open,high,low,close,volume
2025-04-01,20.1,20.1,19.721,19.721,1000
2025-03-31,19.67,19.69,19.67,19.68,1700
2025-03-28,19.74,19.91,19.74,19.91,12400
2025-03-27,19.89,19.89,19.89,19.89,0
2025-03-26,19.89,19.89,19.89,19.89,0
2025-03-25,19.89,19.89,19.89,19.89,300
2025-03-24,19.9,20.08,19.9,20.08,500
2025-03-21,19.73,19.79,19.72,19.72,1300
2025-03-20,19.81,19.81,19.81,19.81,0
2025-03-19,19.8,19.81,19.77,19.81,3800
2025-03-18,19.82,19.98,19.72,19.75,3000
2025-03-17,20.39,20.39,19.77,19.82,47400
2025-03-14,20.45,20.45,20.4,20.4,800
2025-03-13,20.44,21.0,20.41,20.66,12000
2025-03-12,20.48,20.48,20.054,20.45,4500
2025-03-11,20.49,20.49,20.46,20.49,2300
2025-03-10,20.48,20.63,20.48,20.51,6500
2025-03-07,20.575,20.575,20.575,20.575,0
2025-03-06,20.5,20.575,20.5,20.575,2200
2025-03-05,20.2,20.6,20.2,20.5,5300
2025-03-04,20.1,20.2,20.1,20.14,3200
2025-03-03,20.07,20.15,20.06,20.138,2600
2025-02-28,20.045,20.186,20.045,20.186,1000
2025-02-27,20.05,20.25,20.05,20.2,700
2025-02-26,20.211,20.211,20.211,20.211,0
2025-02-25,19.99,20.211,19.99,20.211,2100
2025-02-24,19.94,20.072,19.9,20.01,3700
2025-02-21,20.107,20.107,19.94,19.94,500
2025-02-20,19.8,20.4,19.8,20.4,4100
2025-02-19,19.73,20.1,19.73,19.8,4400
2025-02-18,19.72,19.92,19.72,19.9,5600
2025-02-14,19.777,19.975,19.76,19.8,4800
2025-02-13,19.79,19.8,19.73,19.78,3900
2025-02-12,19.72,19.72,19.72,19.72,100
2025-02-11,19.785,19.8,19.72,19.72,4800
2025-02-10,19.813,19.925,19.71,19.74,1400
2025-02-07,19.955,19.955,19.76,19.887,1700
2025-02-06,19.9,19.9,19.83,19.83,500
2025-02-05,19.8,19.88,19.8,19.86,2300
2025-02-04,19.84,19.84,19.84,19.84,0
2025-02-03,19.804,19.85,19.72,19.84,6100
2025-01-31,19.95,19.95,19.92,19.92,600
2025-01-30,19.9,20.01,19.81,19.87,3400
2025-01-29,19.953,20.03,19.85,20.03,1400
2025-01-28,19.83,20.0,19.81,20.0,1300
2025-01-27,19.804,20.14,19.804,20.14,700
2025-01-24,20.0,20.2,19.98,20.06,6200
2025-01-23,20.21,20.23,19.73,19.99,7500
2025-01-22,20.43,20.43,20.43,20.43,0
2025-01-21,19.8,21.163,19.731,20.43,4500
2025-01-17,19.72,19.72,19.72,19.72,0
2025-01-16,19.72,19.72,19.72,19.72,0
2025-01-15,19.72,19.72,19.72,19.72,100
2025-01-14,19.9,19.9,19.71,19.72,1300
2025-01-13,20.2,20.2,19.91,20.1,4000
2025-01-10,20.071,20.071,19.9,19.9,700
