datetime,open,high,low,close,volume
2025-04-01,0.91,0.91,0.75,0.75,371800
2025-03-31,0.94,0.944,0.86,0.911,106200
2025-03-28,1.01,1.05,0.912,0.92,138800
2025-03-27,0.98,1.03,0.98,1.0,26400
2025-03-26,0.98,1.02,0.951,0.994,86100
2025-03-25,1.01,1.031,0.98,0.996,60100
2025-03-24,1.01,1.03,0.97,1.03,91400
2025-03-21,0.95,1.01,0.94,0.985,91800
2025-03-20,1.01,1.049,0.92,0.96,120900
2025-03-19,0.98,0.999,0.96,0.969,59600
2025-03-18,0.948,0.99,0.924,0.965,115000
2025-03-17,0.98,1.03,0.942,0.95,106700
2025-03-14,1.01,1.05,0.941,0.957,205500
2025-03-13,1.03,1.12,0.974,0.974,118200
2025-03-12,1.02,1.07,0.998,1.01,174500
2025-03-11,1.0,1.05,1.0,1.04,108300
2025-03-10,1.08,1.1,0.982,1.03,184400
2025-03-07,1.08,1.13,0.99,1.1,405100
2025-03-06,1.11,1.11,1.03,1.07,151100
2025-03-05,1.16,1.17,1.08,1.12,296200
2025-03-04,1.17,1.21,1.07,1.17,327000
2025-03-03,1.26,1.26,1.18,1.2,218100
2025-02-28,1.21,1.24,1.156,1.23,107100
2025-02-27,1.31,1.31,1.105,1.24,345500
2025-02-26,1.23,1.33,1.2,1.31,83700
2025-02-25,1.27,1.3,1.12,1.25,233500
2025-02-24,1.34,1.34,1.25,1.27,93300
2025-02-21,1.35,1.4,1.32,1.32,108700
2025-02-20,1.44,1.45,1.37,1.37,58100
2025-02-19,1.37,1.48,1.37,1.43,120400
2025-02-18,1.54,1.54,1.37,1.38,102100
2025-02-14,1.45,1.5,1.397,1.49,183100
2025-02-13,1.34,1.43,1.284,1.42,172800
2025-02-12,1.26,1.38,1.25,1.33,193700
2025-02-11,1.28,1.3,1.22,1.27,147100
2025-02-10,1.25,1.34,1.25,1.33,122600
2025-02-07,1.32,1.38,1.2,1.28,380000
2025-02-06,1.41,1.45,1.32,1.35,191000
2025-02-05,1.42,1.5,1.38,1.42,213800
2025-02-04,1.42,1.49,1.41,1.41,113800
2025-02-03,1.41,1.45,1.38,1.41,66600
2025-01-31,1.36,1.45,1.322,1.45,180500
2025-01-30,1.36,1.39,1.28,1.36,159700
2025-01-29,1.32,1.43,1.27,1.34,200100
2025-01-28,1.38,1.4,1.3,1.34,277700
2025-01-27,1.42,1.495,1.34,1.38,536700
2025-01-24,1.4,1.49,1.36,1.49,387700
2025-01-23,1.24,1.41,1.21,1.39,518400
2025-01-22,1.19,1.22,1.111,1.21,461400
2025-01-21,1.33,1.33,1.17,1.21,371400
2025-01-17,1.3,1.32,1.22,1.31,201600
2025-01-16,1.31,1.36,1.21,1.28,361100
