datetime,open,high,low,close,volume
2025-04-01,17.66,17.69,17.02,17.46,1247400
2025-03-31,17.23,17.68,16.92,17.53,1243800
2025-03-28,18.56,18.58,17.75,17.91,953400
2025-03-27,18.66,18.99,18.47,18.68,826000
2025-03-26,19.0,19.2,18.68,18.86,1185800
2025-03-25,19.35,19.52,18.93,19.1,1423800
2025-03-24,19.2,19.38,18.81,19.23,1062500
2025-03-21,18.34,19.19,17.81,18.67,3056300
2025-03-20,18.56,19.28,18.56,19.05,3115600
2025-03-19,18.2,19.2,18.2,18.99,1710100
2025-03-18,18.52,18.64,17.89,18.08,1567100
2025-03-17,18.29,18.92,18.29,18.78,2360600
2025-03-14,17.63,18.07,17.56,18.02,1595900
2025-03-13,17.71,18.02,17.13,17.38,1601200
2025-03-12,17.77,18.2,17.54,17.75,1993100
2025-03-11,17.35,17.72,16.79,17.51,3418600
2025-03-10,18.4,18.41,17.2,17.53,4225200
2025-03-07,19.18,19.19,18.28,18.95,4109800
2025-03-06,19.65,19.95,18.99,19.03,2130600
2025-03-05,20.07,20.36,19.85,20.35,2281300
2025-03-04,20.54,20.55,19.56,19.84,3366000
2025-03-03,21.55,22.14,20.84,21.05,1316400
2025-02-28,21.24,21.67,21.06,21.62,1445100
2025-02-27,22.07,22.18,21.0,21.22,1467900
2025-02-26,21.8,22.23,21.54,21.78,1533100
2025-02-25,21.94,21.96,21.16,21.49,1608000
2025-02-24,21.63,21.84,21.17,21.43,1850500
2025-02-21,22.26,22.26,20.76,21.05,2386600
2025-02-20,23.11,23.17,21.21,22.17,3579900
2025-02-19,22.95,23.6,22.77,23.54,1132500
2025-02-18,23.63,23.88,23.0,23.25,2286600
2025-02-14,23.57,23.78,23.14,23.74,1601300
2025-02-13,23.52,23.87,23.04,23.47,1798900
2025-02-12,22.98,23.5,22.83,23.43,1661500
2025-02-11,23.42,23.44,23.03,23.29,1704900
2025-02-10,24.26,24.4,23.6,23.7,2160400
2025-02-07,24.99,25.23,24.18,24.24,1063200
2025-02-06,24.69,25.01,24.48,24.92,1589400
2025-02-05,24.83,25.02,24.29,24.73,979400
2025-02-04,24.73,24.87,24.17,24.61,1805800
2025-02-03,24.09,24.99,24.03,24.53,1695800
2025-01-31,26.01,26.14,25.13,25.17,2084000
2025-01-30,25.7,25.94,25.52,25.94,1498000
2025-01-29,25.27,25.57,24.9,25.41,2844700
2025-01-28,23.27,25.31,23.27,25.29,2792200
2025-01-27,22.67,23.47,22.6,23.29,1667900
2025-01-24,23.17,23.38,23.03,23.14,1164300
2025-01-23,23.03,23.33,22.7,23.31,1263100
2025-01-22,23.48,23.52,22.75,22.98,2327100
2025-01-21,23.89,24.19,23.14,23.23,1514300
2025-01-17,22.75,23.59,22.74,23.39,1939500
2025-01-16,22.49,22.69,22.26,22.65,1452900
2025-01-15,22.81,22.85,22.35,22.61,1212700
2025-01-14,21.81,22.25,21.58,22.22,1199600
2025-01-13,21.46,21.84,21.31,21.66,1428200
2025-01-10,21.35,22.13,21.16,21.92,1454700
2025-01-08,21.27,21.92,21.2,21.87,1579000
2025-01-07,21.77,21.85,21.07,21.56,1469000
2025-01-06,22.25,22.38,21.83,21.89,1341300
2025-01-03,22.51,22.57,21.59,22.0,1442300
2025-01-02,22.66,22.91,22.21,22.52,1460400
2024-12-31,22.48,22.92,22.48,22.51,579400
2024-12-30,22.3,22.91,22.03,22.61,922800
2024-12-27,22.94,23.01,22.51,22.65,816500
2024-12-26,23.04,23.32,22.92,23.21,635400
2024-12-24,23.56,23.58,23.02,23.25,558800
2024-12-23,24.02,24.03,22.93,23.33,2095400
2024-12-20,23.42,24.64,23.16,24.32,3618100
2024-12-19,22.83,23.15,22.56,22.83,1663200
2024-12-18,23.78,23.82,22.35,22.49,1417000
2024-12-17,23.58,23.64,23.13,23.39,1192500
2024-12-16,23.91,24.01,23.51,23.55,864300
2024-12-13,23.9,24.01,23.42,23.51,1449000
2024-12-12,24.1,24.27,23.81,23.81,1038500
2024-12-11,23.63,24.13,23.61,24.11,1129900
2024-12-10,23.56,23.92,23.34,23.51,1405500
2024-12-09,24.21,24.21,23.05,23.06,1555400
2024-12-06,24.11,24.21,23.58,24.19,910600
2024-12-05,24.66,24.66,24.05,24.06,1380800
2024-12-04,23.94,24.29,23.83,24.26,1372300
2024-12-03,23.72,24.12,23.54,23.71,1529600
2024-12-02,23.27,24.14,23.26,23.64,1592300
2024-11-29,22.87,23.08,22.85,22.99,768700
2024-11-27,22.83,22.98,22.68,22.68,873000
2024-11-26,22.58,23.22,22.56,22.83,959600
2024-11-25,22.73,22.94,22.6,22.73,1275400
2024-11-22,22.9,23.04,22.49,22.52,969500
2024-11-21,22.66,23.08,22.56,22.85,1522400
2024-11-20,22.8,23.01,22.49,22.67,882300
2024-11-19,21.79,22.78,21.63,22.7,1471000
2024-11-18,22.04,22.36,21.76,22.25,1492100
2024-11-15,21.8,22.13,21.73,22.1,1164600
2024-11-14,22.27,22.57,22.02,22.07,1588800
2024-11-13,22.24,22.39,22.01,22.19,1101300
2024-11-12,21.91,22.38,21.85,22.24,1591100
2024-11-11,22.1,22.3,21.69,22.23,1886600
2024-11-08,21.49,22.09,21.47,21.76,1624800
2024-11-07,21.55,21.89,21.42,21.43,1990700
2024-11-06,21.4,22.06,21.34,22.0,2437600
2024-11-05,19.98,20.61,19.98,20.48,1153800
2024-11-04,19.87,20.16,19.62,19.96,983100
2024-11-01,19.95,20.11,19.78,19.91,1088000
2024-10-31,20.47,20.88,19.92,20.0,2424700
2024-10-30,19.82,20.16,19.71,20.08,1630300
2024-10-29,19.45,20.26,19.43,20.08,2386100
2024-10-28,19.8,20.28,19.62,19.94,1988800
2024-10-25,19.16,19.24,18.92,19.01,949200
2024-10-24,19.2,19.4,18.81,19.09,1244900
2024-10-23,19.41,19.53,19.04,19.24,1119400
2024-10-22,19.32,19.7,19.02,19.6,1399800
2024-10-21,19.34,19.53,19.22,19.42,1052800
2024-10-18,19.52,19.53,19.19,19.44,1118700
2024-10-17,19.76,19.9,19.36,19.46,1337300
