datetime,open,high,low,close,volume
2025-04-01,167.28999,168.60001,166.16,168.50999,6377700
2025-03-31,166.19,168.92,166.13,167.28999,10675300
2025-03-28,166.7,167.13,165.3,166.09,4923000
2025-03-27,167.25,168.22,165.85001,166.64999,6862700
2025-03-26,167.37,168.96001,167.25,167.97,10076100
2025-03-25,166.08,167.82001,165.11,165.94,7869200
2025-03-24,164.69,166.42999,164.32001,165.02,8068000
2025-03-21,164.49001,164.89,163.11,164.75,21625500
2025-03-20,163.13,165.31,162.41,164.77,9545900
2025-03-19,160.97,164.53999,160.89999,164.05,11503900
2025-03-18,159.74001,161.09,158.82001,160.81,9289500
2025-03-17,157.22,159.45,156.75999,158.72,7615200
2025-03-14,153.99001,157.24001,153.00999,157.02,6671500
2025-03-13,152.25999,154.42999,151.92,153.61,9022800
2025-03-12,153.64,154.78999,152.22,152.67,9710200
2025-03-11,158.42999,158.84,153.78999,154.08,10466300
2025-03-10,157.19,160.37,156.17,157.57001,11750300
2025-03-07,153.95,157.45,153.71001,156.34,8562600
2025-03-06,150.50999,153.33,149.47,152.95,7314700
2025-03-05,150.14999,151.37,147.74001,150.81,9288300
2025-03-04,151.21001,154.14999,150.05,152.0,8826300
2025-03-03,159.46001,160.09,151.75999,153.09,9059800
2025-02-28,156.7,158.67,154.92,158.62,8828500
2025-02-27,155.69,158.28999,154.81,156.67,7517200
2025-02-26,156.62,156.69,154.39999,155.14,6005200
2025-02-25,157.99001,158.99001,155.46001,156.42,6810900
2025-02-24,157.09,158.33,156.75,157.89,5925000
2025-02-21,158.13,158.95,156.82001,156.92,6689800
2025-02-20,157.5,158.95,157.07001,158.78999,6256200
2025-02-19,156.52,158.36,156.0,157.23,4945800
2025-02-18,155.34,157.31,154.78,156.16,5981500
2025-02-14,155.08,157.45,154.88,155.34,5828800
2025-02-13,154.78,156.42,153.32001,155.88,7836400
2025-02-12,156.75,157.47,154.57001,154.89999,6693500
2025-02-11,156.35001,158.71001,156.12,157.44,6011800
2025-02-10,154.28999,155.8,154.06,155.77,5653800
2025-02-07,152.48,153.81,151.92,152.62,4724900
2025-02-06,154.22,155.25999,151.06,151.89999,6420500
2025-02-05,152.99001,153.8,152.28999,152.99001,6533700
2025-02-04,148.72,153.39,148.72,153.22,8458100
2025-02-03,149.0,150.86,147.8,149.34,7605000
2025-01-31,153.75999,154.37,148.64999,149.19,16731600
2025-01-30,156.56,157.45,155.52,156.32001,6931900
2025-01-29,155.72,156.58,154.81,155.69,5630600
2025-01-28,157.71001,158.92,155.17999,156.21001,6425400
2025-01-27,156.33,157.89,155.52,157.23,7141000
2025-01-24,156.46001,157.47,155.27,155.64999,8003800
