datetime,open,high,low,close,volume
2025-03-26,0.032,0.032,0.032,0.032,0
2025-03-25,0.0697,0.0697,0.032,0.032,28412
2025-03-24,0.09,0.09,0.059,0.059,12000
2025-03-21,0.092,0.092,0.092,0.092,2100
2025-03-20,0.12,0.12,0.12,0.12,0
2025-03-19,0.12,0.12,0.12,0.12,1100
2025-03-18,0.14,0.14,0.1,0.1,3400
2025-03-17,0.17,0.174,0.1,0.15,9500
2025-03-14,0.179,0.179,0.136,0.17,1000
2025-03-13,0.18,0.181,0.18,0.181,400
2025-03-12,0.185,0.185,0.185,0.185,0
2025-03-11,0.13,0.205,0.12,0.185,11200
2025-03-10,0.215,0.215,0.215,0.215,0
2025-03-07,0.15,0.215,0.112,0.215,1200
2025-03-06,0.22,0.22,0.16,0.162,4800
2025-03-05,0.225,0.225,0.225,0.225,0
2025-03-04,0.225,0.225,0.225,0.225,0
2025-03-03,0.221,0.228,0.185,0.225,5500
2025-02-28,0.258,0.258,0.19,0.24,5000
2025-02-27,0.265,0.273,0.19,0.24,55900
2025-02-26,0.275,0.31,0.223,0.243,145900
2025-02-25,0.24,0.277,0.203,0.239,5300
2025-02-24,0.22,0.276,0.18,0.24,88700
2025-02-21,0.221,0.298,0.212,0.231,57800
2025-02-20,0.25,0.285,0.2,0.24,135000
2025-02-19,0.253,0.264,0.18,0.21,5300
2025-02-18,0.28,0.3,0.2,0.264,7600
2025-02-14,0.28,0.36,0.221,0.282,14400
2025-02-13,0.235,0.298,0.23,0.28,5600
2025-02-12,0.23,0.24,0.23,0.24,400
2025-02-11,0.19,0.231,0.19,0.231,3200
2025-02-10,0.25,0.26,0.19,0.2,2500
2025-02-07,0.29,0.32,0.19,0.246,14400
2025-02-06,0.49,0.614,0.274,0.274,3300
2025-02-05,0.29,0.321,0.289,0.291,5500
2025-02-04,0.3,0.3,0.3,0.3,0
2025-02-03,0.3,0.3,0.3,0.3,0
2025-01-31,0.3,0.3,0.3,0.3,0
2025-01-30,0.3,0.3,0.3,0.3,0
2025-01-29,0.3,0.3,0.3,0.3,0
2025-01-28,0.3,0.3,0.3,0.3,0
2025-01-27,0.24,0.3,0.171,0.3,600
2025-01-24,0.28,0.3,0.23,0.3,2100
2025-01-23,0.299,0.299,0.299,0.299,600
2025-01-22,0.21,0.299,0.21,0.299,300
2025-01-21,0.23,0.29,0.22,0.29,1500
2025-01-17,0.29,0.29,0.29,0.29,0
2025-01-16,0.29,0.29,0.29,0.29,0
2025-01-15,0.29,0.29,0.29,0.29,0
2025-01-14,0.29,0.29,0.29,0.29,0
2025-01-13,0.28,0.309,0.28,0.29,900
2025-01-10,0.25,0.25,0.24,0.25,900
2025-01-08,0.257,0.28,0.25,0.25,1900
2025-01-07,0.14,0.247,0.116,0.247,34200
2025-01-06,0.125,0.209,0.1,0.15,10900
2025-01-03,0.091,0.091,0.091,0.091,0
2025-01-02,0.07,0.091,0.07,0.091,7200
2024-12-31,0.123,0.123,0.123,0.123,0
2024-12-30,0.14,0.14,0.123,0.123,5300
2024-12-27,0.115,0.14,0.115,0.14,7400
2024-12-26,0.125,0.125,0.125,0.125,0
2024-12-24,0.125,0.125,0.125,0.125,0
2024-12-23,0.125,0.125,0.125,0.125,0
2024-12-20,0.102,0.125,0.08,0.125,3700
2024-12-19,0.128,0.128,0.128,0.128,0
2024-12-18,0.128,0.128,0.128,0.128,0
2024-12-17,0.128,0.128,0.128,0.128,0
2024-12-16,0.128,0.128,0.128,0.128,0
2024-12-13,0.128,0.128,0.128,0.128,0
2024-12-12,0.128,0.128,0.128,0.128,0
2024-12-11,0.128,0.128,0.128,0.128,0
2024-12-10,0.075,0.128,0.075,0.128,1200
2024-12-09,0.13,0.13,0.13,0.13,0
2024-12-06,0.13,0.13,0.13,0.13,0
2024-12-05,0.1,0.13,0.091,0.13,8000
2024-12-04,0.135,0.135,0.117,0.134,3800
2024-12-03,0.14,0.14,0.14,0.14,0
2024-12-02,0.07,0.14,0.07,0.14,3400
2024-11-29,0.14,0.14,0.14,0.14,0
2024-11-27,0.14,0.14,0.14,0.14,0
2024-11-26,0.14,0.14,0.14,0.14,0
2024-11-25,0.14,0.14,0.14,0.14,0
2024-11-22,0.14,0.14,0.14,0.14,0
2024-11-21,0.14,0.14,0.14,0.14,0
2024-11-20,0.14,0.14,0.14,0.14,0
2024-11-19,0.11,0.14,0.11,0.14,1300
