datetime,open,high,low,close,volume
2025-04-01,56.11,56.28,55.56,56.26,4612200
2025-03-31,55.45,56.29,55.07,56.07,7010900
2025-03-28,54.81,55.4,54.53,54.99,3830200
2025-03-27,53.95,54.58,53.7,54.47,5189900
2025-03-26,53.12,54.01,52.96,53.86,3618100
2025-03-25,54.1,54.24,52.65,52.85,5105000
2025-03-24,54.39,55.23,54.2,54.33,4144600
2025-03-21,54.8,55.28,54.21,54.55,7961400
2025-03-20,55.04,55.45,54.75,54.98,3984600
2025-03-19,54.73,55.17,54.5,54.91,4313500
2025-03-18,54.45,54.8,53.88,54.77,4937100
2025-03-17,54.79,55.33,54.3,54.71,4838700
2025-03-14,53.92,54.8,53.69,54.68,5187700
2025-03-13,53.92,54.4,53.62,54.09,3448700
2025-03-12,54.52,54.8,53.52,53.72,5081200
2025-03-11,56.69,56.97,55.0,55.14,4316600
2025-03-10,55.49,57.13,55.05,56.54,6307000
2025-03-07,53.73,55.54,53.53,55.22,6524600
2025-03-06,54.08,54.35,53.27,53.69,3470900
2025-03-05,54.03,54.53,53.78,54.1,4346700
2025-03-04,56.92,57.25,53.7,54.33,8397800
2025-03-03,56.54,57.21,56.33,56.87,6791700
2025-02-28,56.4,56.79,55.8,56.62,7862300
2025-02-27,56.91,57.79,56.47,56.48,5773100
2025-02-26,57.27,57.65,56.88,57.11,4422300
2025-02-25,57.45,57.64,56.96,57.43,3867400
2025-02-24,57.6,57.7,56.76,56.87,4323600
2025-02-21,56.25,57.54,56.0,57.43,5117600
2025-02-20,55.5,56.64,55.28,56.32,4128600
2025-02-19,55.71,55.86,55.34,55.67,4744600
2025-02-18,55.54,55.85,54.97,55.61,3512300
2025-02-14,56.92,56.99,55.45,55.59,3663700
2025-02-13,56.18,57.0,55.66,56.71,4995700
2025-02-12,55.29,56.37,54.56,55.93,5075900
2025-02-11,55.1,55.76,54.5,55.71,5604100
2025-02-10,54.5,55.34,54.4,55.31,4839200
2025-02-07,54.19,54.88,53.93,54.63,3067800
2025-02-06,54.25,54.45,53.91,54.38,3247800
2025-02-05,54.6,54.76,53.83,54.1,6157400
2025-02-04,55.73,55.73,52.93,53.96,9350800
2025-02-03,55.19,56.69,54.9,56.32,3921600
2025-01-31,55.68,55.91,55.26,55.59,4289200
2025-01-30,55.63,56.0,55.38,55.81,3170900
2025-01-29,55.31,56.13,55.08,55.1,3611500
2025-01-28,55.56,56.13,54.98,55.31,4576000
2025-01-27,53.95,55.82,53.66,55.73,6517600
2025-01-24,53.0,53.72,52.9,53.48,4277100
2025-01-23,53.2,53.87,52.88,53.21,5134700
2025-01-22,55.73,55.73,52.85,52.93,5963400
2025-01-21,55.61,56.58,55.24,55.91,5751600
2025-01-17,54.9,55.71,54.65,55.28,4655500
2025-01-16,53.53,55.13,53.5,55.06,4578100
2025-01-15,54.44,54.56,53.48,53.65,4547400
2025-01-14,53.57,53.93,53.3,53.69,4735600
2025-01-13,53.44,53.55,52.95,53.46,3972500
2025-01-10,54.46,54.94,53.22,53.39,4196300
2025-01-08,53.9,54.65,53.47,54.6,4430400
2025-01-07,53.8,54.46,53.71,54.03,3865300
2025-01-06,55.12,55.12,53.26,53.66,3748700
2025-01-03,54.77,54.95,54.5,54.73,3366500
2025-01-02,54.28,54.61,53.93,54.4,3680700
2024-12-31,54.01,54.26,53.35,53.86,2714900
2024-12-30,53.75,54.03,53.35,53.87,3202200
2024-12-27,53.36,54.1,53.33,53.93,2932200
2024-12-26,53.54,53.87,53.5,53.71,1835200
2024-12-24,53.32,53.82,53.24,53.77,1329400
2024-12-23,53.56,53.68,53.05,53.68,4063300
2024-12-20,53.01,53.82,52.95,53.66,8702800
2024-12-19,52.67,53.6,52.44,52.99,4215600
2024-12-18,53.51,53.9,52.6,52.63,5895900
2024-12-17,53.19,53.82,53.1,53.59,3513200
2024-12-16,54.08,54.29,53.51,53.53,3427100
2024-12-13,53.83,54.44,53.72,54.04,2985200
2024-12-12,54.45,54.51,53.54,53.83,6079800
2024-12-11,55.06,55.21,54.0,54.27,4155100
2024-12-10,55.37,55.41,54.22,55.01,5098900
2024-12-09,56.05,56.26,55.43,55.59,6352200
2024-12-06,57.0,57.11,55.82,56.05,3453500
2024-12-05,56.4,57.38,56.2,56.91,5964000
2024-12-04,56.47,56.92,55.95,56.36,4593500
2024-12-03,57.7,57.88,56.66,56.67,8405700
2024-12-02,58.76,58.76,57.28,57.34,5658700
2024-11-29,59.18,59.39,58.51,58.75,2553300
2024-11-27,59.58,60.27,59.43,59.7,5400800
2024-11-26,58.55,59.34,58.26,59.12,4577000
2024-11-25,58.5,58.97,58.24,58.53,5578700
2024-11-22,58.65,58.92,57.93,58.14,4785100
2024-11-21,58.0,58.43,57.53,58.37,3871700
2024-11-20,57.62,57.89,57.35,57.8,2632900
2024-11-19,57.48,57.68,56.95,57.59,4564400
2024-11-18,57.29,58.24,57.02,57.71,4293400
2024-11-15,56.2,57.66,56.0,57.63,5808200
2024-11-14,56.74,57.11,55.99,56.19,4822300
2024-11-13,57.51,57.65,55.82,56.58,6499800
2024-11-12,57.96,58.1,56.8,57.03,4992700
2024-11-11,57.81,58.67,57.65,58.15,2884000
