datetime,open,high,low,close,volume
2025-04-01,2.88,2.96,2.85,2.9,29700
2025-03-31,2.88,2.949,2.88,2.89,31400
2025-03-28,2.88,2.944,2.88,2.88,8300
2025-03-27,2.88,2.95,2.88,2.89,11400
2025-03-26,2.93,2.97,2.88,2.88,11100
2025-03-25,2.89,2.93,2.88,2.882,19400
2025-03-24,2.88,2.935,2.875,2.88,26400
2025-03-21,2.9,2.99,2.88,2.895,21300
2025-03-20,2.94,2.974,2.88,2.88,38600
2025-03-19,2.923,3.019,2.88,2.96,17900
2025-03-18,2.97,2.995,2.88,2.97,11900
2025-03-17,2.88,2.994,2.88,2.88,24000
2025-03-14,2.93,3.051,2.88,2.88,15100
2025-03-13,3.005,3.02,2.92,2.92,15300
2025-03-12,2.96,3.029,2.94,3.0,17500
2025-03-11,2.95,2.965,2.92,2.95,22000
2025-03-10,2.95,3.028,2.95,2.95,13100
2025-03-07,3.03,3.03,2.95,2.95,19700
2025-03-06,3.05,3.076,3.02,3.03,19000
2025-03-05,3.05,3.06,3.05,3.05,9200
2025-03-04,3.05,3.06,3.05,3.05,16200
2025-03-03,3.14,3.14,3.05,3.05,37800
2025-02-28,3.17,3.18,3.07,3.14,42500
2025-02-27,3.15,3.19,3.08,3.1,33300
2025-02-26,3.22,3.22,3.08,3.18,37000
2025-02-25,3.09,3.23,3.08,3.13,49900
2025-02-24,3.2,3.2,3.08,3.12,55200
2025-02-21,3.14,3.25,3.13,3.17,55000
2025-02-20,3.14,3.31,3.13,3.16,35500
2025-02-19,3.09,3.29,3.05,3.16,26400
2025-02-18,3.03,3.24,3.03,3.04,25300
2025-02-14,3.12,3.133,3.03,3.04,19400
2025-02-13,3.03,3.172,3.03,3.17,12800
2025-02-12,3.1,3.133,3.03,3.03,29500
2025-02-11,3.1,3.23,3.1,3.14,10800
2025-02-10,3.03,3.188,3.03,3.1,13700
2025-02-09,3.03,3.1877,3.03,3.1,13793
2025-02-07,3.02,3.056,2.95,2.973,6800
2025-02-06,3.04,3.11,3.0,3.03,22600
2025-02-05,3.08,3.184,3.0,3.01,128200
2025-02-04,3.16,3.225,3.08,3.08,30000
2025-02-03,3.16,3.225,3.08,3.08,30023
2025-02-02,3.2,3.26,3.15,3.15,28463
2025-01-31,3.21,3.312,3.2,3.25,10000
2025-01-30,3.21,3.26,3.21,3.21,18000
2025-01-29,3.26,3.32,3.21,3.23,9000
2025-01-28,3.27,3.32,3.21,3.27,6500
2025-01-27,3.22,3.27,3.21,3.27,11400
2025-01-24,3.22,3.323,3.2,3.21,13800
2025-01-23,3.28,3.35,3.25,3.25,11200
2025-01-22,3.33,3.37,3.28,3.28,10400
2025-01-21,3.34,3.374,3.33,3.33,11900
2025-01-17,3.34,3.38,3.33,3.34,11900
2025-01-16,3.33,3.35,3.33,3.33,18100
2025-01-15,3.33,3.34,3.33,3.33,17200
2025-01-14,3.37,3.37,3.33,3.34,21100
2025-01-13,3.08,3.38,3.08,3.33,49200
2025-01-10,3.25,3.31,3.08,3.12,24800
2025-01-08,3.38,3.38,3.18,3.25,18700
2025-01-07,3.33,3.38,3.32,3.38,19400
2025-01-06,3.38,3.38,3.31,3.34,20400
2025-01-03,3.25,3.38,3.249,3.37,35900
2025-01-02,3.1,3.3,3.1,3.22,16400
2024-12-31,3.17,3.23,3.03,3.12,53100
2024-12-30,3.17,3.28,3.12,3.23,29400
2024-12-27,3.26,3.315,3.24,3.27,14800
2024-12-26,3.18,3.345,3.18,3.3,22200
2024-12-24,3.18,3.23,3.18,3.2,23700
2024-12-23,3.18,3.25,3.175,3.19,95700
2024-12-22,3.18,3.25,3.175,3.19,95750
2024-12-20,2.91,2.926,2.67,2.71,90000
2024-12-19,3.17,3.17,2.92,2.98,108100
2024-12-18,3.19,3.23,3.17,3.18,59700
2024-12-17,3.18,3.21,3.18,3.19,41400
2024-12-16,3.18,3.21,3.18,3.19,41558
2024-12-13,3.18,3.221,3.18,3.18,33400
2024-12-12,3.49,3.49,3.18,3.19,175900
2024-12-11,3.4,3.75,3.29,3.59,227400
2024-12-10,3.3,3.39,3.21,3.34,48200
2024-12-09,3.25,3.35,3.203,3.26,23100
2024-12-06,3.21,3.25,3.2,3.25,22200
2024-12-05,3.25,3.284,3.18,3.2,22900
2024-12-04,3.25,3.355,3.2,3.25,26900
2024-12-03,3.29,3.45,3.18,3.28,52300
2024-12-02,3.41,3.435,3.3,3.3,20200
2024-11-29,3.31,3.425,3.29,3.425,27000
2024-11-27,3.18,3.345,3.18,3.3,29100
2024-11-26,3.18,3.21,3.18,3.18,38900
2024-11-25,3.36,3.36,3.18,3.18,37300
2024-11-22,3.23,3.42,3.18,3.34,30200
2024-11-21,3.19,3.31,3.18,3.23,52200
2024-11-20,3.18,3.2,3.18,3.18,20600
2024-11-19,3.18,3.23,3.18,3.18,35200
2024-11-18,3.2,3.258,3.18,3.2,44500
2024-11-15,3.51,3.585,3.18,3.21,103000
2024-11-14,4.01,4.05,3.55,3.565,93700
2024-11-13,4.44,4.6,3.83,3.835,283700
2024-11-12,4.28,4.44,4.28,4.41,43000
2024-11-11,4.08,4.434,4.08,4.4,47500
2024-11-08,4.04,4.226,4.01,4.16,43000
2024-11-07,3.95,4.11,3.904,4.03,25400
2024-11-06,3.86,4.2,3.84,3.92,46300
2024-11-05,3.88,4.22,3.76,3.97,47200
2024-11-04,3.93,4.05,3.76,3.89,14600
2024-11-01,4.28,4.28,4.1,4.16,22800
2024-10-31,4.24,4.28,4.1,4.23,68900
2024-10-30,3.96,4.28,3.96,4.23,65700
2024-10-29,3.93,3.99,3.85,3.96,44500
2024-10-28,3.63,3.95,3.63,3.91,84400
2024-10-25,3.51,3.65,3.42,3.65,25200
2024-10-24,3.5,3.668,3.422,3.5,29500
2024-10-23,3.68,3.78,3.55,3.62,157000
2024-10-22,3.67,3.74,3.65,3.71,17200
2024-10-21,3.75,3.8,3.63,3.635,28200
2024-10-18,3.68,3.73,3.61,3.73,36400
2024-10-17,3.58,3.65,3.52,3.6,21100
2024-10-16,3.5,3.58,3.5,3.58,18400
2024-10-15,3.5,3.58,3.42,3.48,22600
2024-10-14,3.36,3.58,3.3,3.53,17300
2024-10-11,3.35,3.491,3.312,3.35,48500
2024-10-10,3.25,3.37,3.25,3.335,23300
2024-10-09,3.24,3.467,3.24,3.26,14100
2024-10-08,3.34,3.35,3.22,3.26,41300
2024-10-07,3.28,3.4,3.25,3.3,16200
2024-10-04,3.18,3.26,3.18,3.229,20800
2024-10-03,3.3,3.395,3.18,3.18,54400
2024-10-02,3.24,3.75,3.217,3.25,205100
2024-10-01,3.24,3.304,3.202,3.21,12500
2024-09-30,3.23,3.31,3.22,3.24,25100
2024-09-27,3.33,3.362,3.22,3.27,10500
2024-09-26,3.3,3.3,3.22,3.255,29500
2024-09-25,3.315,3.315,3.23,3.295,9900
2024-09-24,3.23,3.305,3.23,3.23,14700
2024-09-23,3.27,3.343,3.23,3.28,17100
2024-09-20,3.31,3.331,3.22,3.26,12700
2024-09-19,3.33,3.432,3.22,3.36,18300
2024-09-18,3.28,3.39,3.23,3.23,15900
2024-09-17,3.28,3.421,3.22,3.24,19900
2024-09-16,3.34,3.39,3.28,3.28,16000
2024-09-13,3.31,3.4,3.3,3.31,18300
2024-09-12,3.3,3.37,3.24,3.35,9400
2024-09-11,3.23,3.378,3.22,3.26,10300
2024-09-10,3.42,3.45,3.22,3.22,29500
2024-09-09,3.4,3.54,3.3,3.46,11200
2024-09-06,3.45,3.45,3.3,3.42,31400
2024-09-05,3.54,3.58,3.42,3.45,18100
2024-09-04,3.62,3.75,3.58,3.59,78700
2024-09-03,3.52,3.65,3.471,3.6,50500
2024-08-30,3.57,3.58,3.47,3.58,60900
2024-08-29,3.421,3.58,3.421,3.55,14600
2024-08-28,3.38,3.47,3.38,3.4,52500
2024-08-27,3.5,3.58,3.44,3.44,26400
2024-08-26,3.51,3.65,3.46,3.55,52000
2024-08-23,3.42,3.57,3.42,3.55,13500
2024-08-22,3.55,3.7,3.38,3.42,38500
2024-08-21,3.52,3.59,3.401,3.54,25600
2024-08-20,3.5,3.56,3.38,3.525,27600
2024-08-19,3.55,3.585,3.39,3.48,33800
2024-08-16,3.49,3.6,3.28,3.57,65000
2024-08-15,3.64,3.66,3.42,3.48,73400
2024-08-14,4.2,4.2,3.42,3.5,143800
2024-08-13,3.77,4.25,3.565,4.2,286700
2024-08-12,3.44,3.55,3.416,3.5,94200
2024-08-09,3.29,3.55,3.193,3.39,20400
2024-08-08,3.25,3.31,3.2,3.26,8400
2024-08-07,3.26,3.267,3.18,3.21,20000
2024-08-06,3.18,3.38,3.18,3.22,13100
2024-08-05,3.28,3.32,3.21,3.263,34600
2024-08-02,3.41,3.47,3.32,3.32,18800
2024-08-01,3.42,3.47,3.4,3.41,16300
2024-07-31,3.42,3.47,3.4,3.425,16600
2024-07-30,3.6,3.6,3.4,3.42,23000
2024-07-29,3.55,3.9,3.55,3.62,40100
2024-07-26,3.64,3.64,3.55,3.63,9100
2024-07-25,3.57,3.65,3.47,3.6,12500
2024-07-24,3.64,3.64,3.59,3.6,14700
2024-07-23,3.65,3.69,3.51,3.64,50000
2024-07-22,3.59,3.855,3.55,3.69,39400
2024-07-19,3.2,3.6,3.2,3.54,115200
2024-07-18,3.41,3.41,3.18,3.19,38700
2024-07-17,3.37,3.491,3.37,3.48,28800
2024-07-16,3.34,3.6,3.34,3.4,23300
2024-07-15,3.66,3.73,3.26,3.38,58800
2024-07-14,3.66,3.73,3.26,3.38,58803
2024-07-12,3.37,3.738,3.37,3.68,36100
2024-07-11,3.37,3.7377,3.37,3.68,36256
2024-07-10,3.15,3.63,3.08,3.32,75200
2024-07-09,3.1,3.16,3.05,3.13,52900
2024-07-08,3.17,3.195,3.05,3.09,43300
2024-07-05,3.1,3.41,3.1,3.15,34900
2024-07-03,3.36,3.44,3.05,3.09,86800
2024-07-02,3.58,3.96,3.552,3.63,47000
2024-07-01,3.43,4.08,3.25,3.79,219700
2024-06-28,4.812,4.812,3.912,4.032,137492
2024-06-27,4.644,5.028,4.08,4.428,271125
2024-06-26,5.28,5.64,5.16,5.172,12758
2024-06-25,5.58,5.58,5.172,5.196,9825
2024-06-24,5.268,5.76,5.268,5.316,13517
2024-06-21,5.04,5.28,5.04,5.22,16308
2024-06-20,5.4,5.4,5.052,5.064,23825
2024-06-18,5.28,5.28,5.1,5.16,25133
2024-06-17,5.376,5.4,5.16,5.22,14900
2024-06-14,5.28,5.46,5.052,5.4,19133
2024-06-13,5.388,5.52,5.04,5.22,29617
2024-06-12,5.76,5.76,5.292,5.292,15208
2024-06-11,5.64,5.76,5.532,5.568,11375
2024-06-10,5.76,5.82,5.52,5.76,20592
2024-06-07,5.256,6.24,5.256,6.24,67508
2024-06-06,5.16,5.316,4.92,5.256,23500
2024-06-05,5.16,5.4,5.076,5.148,20317
2024-06-04,5.04,5.16,4.98,5.1,14550
2024-06-03,5.16,5.22,4.8,4.92,21408
2024-05-31,5.1,5.16,4.908,4.92,15883
2024-05-30,5.7,5.7,5.04,5.172,33900
2024-05-29,4.8,6.0,4.8,5.64,102308
2024-05-28,5.1,5.1,4.8,4.896,29250
2024-05-24,5.64,5.64,4.812,5.232,46408
2024-05-23,5.22,5.46,4.92,5.46,35117
2024-05-22,4.932,5.04,4.536,4.8,41075
2024-05-21,7.56,7.56,4.8,5.088,173208
2024-05-20,6.12,7.44,5.76,7.32,117883
2024-05-17,5.16,5.88,5.16,5.82,77625
2024-05-16,4.8,5.4,4.44,5.22,77083
2024-05-15,3.96,4.68,3.9,4.32,182208
