datetime,open,high,low,close,volume
2025-04-01,6.39,6.8,6.01,6.46,200700
2025-03-31,6.0,7.28,5.75,6.82,653900
2025-03-28,6.03,6.78,5.3,6.2,21798400
2025-03-27,4.08,4.15,3.91,3.91,7000
2025-03-26,4.15,4.19,4.05,4.05,8000
2025-03-25,4.64,4.64,4.01,4.01,48000
2025-03-24,4.5,4.97,4.3,4.46,86500
2025-03-21,4.97,5.24,4.51,4.99,20900
2025-03-20,4.74,5.3,4.6,5.28,21200
2025-03-19,4.76,4.77,4.661,4.74,7500
2025-03-18,5.09,5.09,4.725,4.725,20400
2025-03-17,4.789,4.8,4.66,4.68,5900
2025-03-14,4.84,5.1,4.75,4.87,18400
2025-03-13,4.88,5.3,4.79,5.21,47200
2025-03-12,4.7,4.955,4.63,4.88,35900
2025-03-11,4.55,4.55,4.15,4.25,31000
2025-03-10,4.52,4.56,4.19,4.2,61600
2025-03-07,4.39,4.42,4.12,4.176,6700
2025-03-06,4.19,4.476,4.19,4.476,6800
2025-03-05,4.07,4.59,4.07,4.44,11500
2025-03-04,3.9,4.3,3.82,4.3,12300
2025-03-03,4.05,4.159,3.82,3.96,11500
2025-02-28,4.01,4.45,3.895,4.45,14800
2025-02-27,4.19,4.249,4.15,4.2,12800
2025-02-26,4.1,4.28,4.07,4.165,4000
2025-02-25,4.15,4.233,4.06,4.1,7800
2025-02-24,4.26,4.26,4.105,4.109,5200
2025-02-21,4.29,4.6,4.163,4.395,8100
2025-02-20,4.275,4.38,4.26,4.26,2800
2025-02-19,4.18,4.44,4.18,4.44,900
2025-02-18,4.47,4.47,4.19,4.28,5900
2025-02-14,4.46,4.46,4.26,4.395,6300
2025-02-13,4.37,4.37,4.05,4.35,10800
2025-02-12,4.15,4.38,4.118,4.118,6100
2025-02-11,4.06,4.53,4.06,4.19,15600
2025-02-10,4.1,4.243,4.0,4.195,10600
2025-02-07,4.3,4.45,4.1,4.12,50000
2025-02-06,4.48,4.49,4.28,4.4,17700
2025-02-05,4.4,4.63,4.39,4.58,12500
2025-02-04,4.44,4.53,4.29,4.53,293700
2025-02-03,4.01,4.06,3.81,4.06,12100
2025-01-31,4.28,4.54,3.8,4.225,34800
2025-01-30,4.23,4.26,4.161,4.26,5900
2025-01-29,4.3,4.45,4.22,4.22,5500
2025-01-28,4.35,4.5,4.192,4.48,12300
2025-01-27,4.46,4.52,4.153,4.52,18000
2025-01-24,4.56,4.58,4.1,4.34,36400
2025-01-23,4.47,4.596,4.38,4.4,18000
2025-01-22,4.6,4.74,4.54,4.74,16100
2025-01-21,4.59,4.72,4.48,4.52,36600
2025-01-17,4.75,4.75,4.465,4.465,34500
2025-01-16,4.82,5.15,4.57,4.73,53000
2025-01-15,4.37,5.13,4.36,4.86,69600
2025-01-14,4.9,4.9,4.3,4.64,105300
2025-01-13,4.8,5.42,4.63,5.41,163000
2025-01-10,4.28,5.14,4.05,4.97,799600
2025-01-08,3.66,3.9,3.4,3.83,1251600
2025-01-07,3.37,3.48,3.33,3.47,11000
2025-01-06,3.41,3.41,3.303,3.39,11700
2025-01-03,3.39,3.39,3.32,3.36,22700
2025-01-02,3.29,3.29,3.15,3.25,15000
2024-12-31,3.28,3.28,2.99,3.09,24300
2024-12-30,3.22,3.29,3.148,3.148,29000
2024-12-27,3.11,3.3,3.1,3.185,50700
2024-12-26,3.04,3.05,2.925,2.98,24100
2024-12-24,3.16,3.24,3.03,3.04,31500
2024-12-23,3.12,3.42,3.12,3.295,44600
2024-12-20,2.97,3.19,2.95,3.19,21600
2024-12-19,3.0,3.16,2.74,3.05,46100
2024-12-18,3.16,3.18,3.05,3.09,29000
2024-12-17,3.14,3.21,3.02,3.21,92300
2024-12-16,3.35,3.46,3.1,3.22,99900
2024-12-13,3.55,3.66,3.34,3.57,253600
2024-12-12,3.6,3.93,3.54,3.84,4872000
2024-12-11,3.36,3.465,3.29,3.29,1371300
2024-12-10,3.5,3.51,3.22,3.45,29700
2024-12-09,3.57,3.601,3.45,3.492,16500
2024-12-06,3.74,3.74,3.52,3.66,27100
2024-12-05,3.85,3.85,3.63,3.66,15400
2024-12-04,4.32,4.32,3.932,4.1,30000
2024-12-03,4.25,4.5,3.96,4.25,59100
2024-12-02,3.81,4.139,3.7,3.97,123000
2024-11-29,3.41,3.9,3.25,3.9,126900
2024-11-27,0.63,0.63,0.54,0.613,327500
2024-11-26,0.551,0.648,0.544,0.606,410800
2024-11-25,0.509,0.509,0.48,0.5,76900
2024-11-22,0.49,0.494,0.45,0.469,86800
2024-11-21,2.539,2.539,2.3765,2.4405,7651
2024-11-20,2.54,2.606,2.35,2.54,13658
2024-11-19,0.544,0.59,0.441,0.491,105300
2024-11-18,0.59,0.6,0.508,0.51,103800
2024-11-15,0.609,0.609,0.572,0.59,62300
2024-11-14,0.63,0.63,0.56,0.56,34500
2024-11-13,0.639,0.659,0.6,0.62,72300
2024-11-12,0.673,0.673,0.634,0.634,88700
2024-11-11,0.71,0.71,0.67,0.675,129300
2024-11-08,0.713,0.73,0.67,0.675,112500
2024-11-07,0.74,0.779,0.72,0.739,61100
2024-11-06,0.778,0.788,0.76,0.77,71200
2024-11-05,0.782,0.81,0.75,0.761,60500
2024-11-04,0.792,0.8,0.756,0.78,109800
2024-11-01,0.77,0.796,0.75,0.761,59700
2024-10-31,0.8,0.803,0.76,0.778,200700
2024-10-30,0.79,0.827,0.787,0.803,185300
2024-10-29,0.84,0.846,0.782,0.82,583200
