datetime,open,high,low,close,volume
2025-04-01,51.65,51.7,51.65,51.67,42400
2025-03-31,51.834,51.875,51.79,51.87,163300
2025-03-28,51.792,51.845,51.78,51.83,56400
2025-03-27,51.76,51.81,51.73,51.74,14900
2025-03-26,51.72,51.76,51.72,51.72,32600
2025-03-25,51.73,51.77,51.705,51.743,13700
2025-03-24,51.72,51.74,51.7,51.715,12000
2025-03-21,51.76,51.85,51.75,51.85,9900
2025-03-20,51.742,51.81,51.73,51.75,20500
2025-03-19,51.62,51.736,51.62,51.7,24300
2025-03-18,51.69,51.74,51.675,51.68,22300
2025-03-17,51.66,51.76,51.642,51.7,43200
2025-03-14,51.72,51.79,51.68,51.79,46900
2025-03-13,51.68,51.81,51.668,51.73,14500
2025-03-12,51.719,51.73,51.694,51.71,90600
2025-03-11,51.75,51.8,51.72,51.75,16400
2025-03-10,51.72,51.755,51.7,51.745,8000
2025-03-07,51.73,51.735,51.67,51.68,33800
2025-03-06,51.65,51.884,51.65,51.76,17300
2025-03-05,51.71,51.77,51.675,51.69,13700
2025-03-04,51.71,51.77,51.71,51.737,11100
2025-03-03,51.64,51.76,51.634,51.73,21400
2025-02-28,51.85,51.93,51.85,51.87,10100
2025-02-27,51.75,51.9,51.75,51.81,29800
2025-02-26,51.77,51.85,51.75,51.79,18000
2025-02-25,51.75,51.84,51.742,51.77,18900
2025-02-24,51.75,51.76,51.64,51.717,21500
2025-02-21,51.78,51.83,51.654,51.83,18600
2025-02-20,51.628,51.73,51.61,51.698,19400
2025-02-19,51.603,51.725,51.58,51.67,48700
2025-02-18,51.55,51.67,51.55,51.58,24000
2025-02-14,51.57,51.67,51.57,51.64,14700
2025-02-13,51.55,51.63,51.502,51.56,27500
2025-02-12,51.49,51.555,51.46,51.54,19100
2025-02-11,51.516,51.615,51.5,51.56,38800
2025-02-10,51.53,51.58,51.516,51.58,53700
2025-02-07,51.56,51.6,51.53,51.578,15600
2025-02-06,51.56,51.59,51.54,51.57,13800
2025-02-05,51.558,51.64,51.54,51.589,40100
2025-02-04,51.47,51.69,51.47,51.59,71300
2025-02-03,51.493,51.58,51.49,51.52,15100
2025-01-31,51.71,51.815,51.7,51.73,40000
2025-01-30,51.68,51.8,51.68,51.74,118000
2025-01-29,51.7,51.81,51.679,51.74,45500
2025-01-28,51.642,51.73,51.64,51.71,23700
2025-01-27,51.6,51.67,51.58,51.655,19900
2025-01-24,51.65,51.65,51.46,51.571,11000
2025-01-23,51.89,51.89,51.519,51.59,21100
2025-01-22,51.495,51.63,51.49,51.61,30500
2025-01-21,51.43,51.48,51.43,51.48,22100
2025-01-17,51.45,51.49,51.41,51.41,23200
2025-01-16,51.41,51.47,51.32,51.38,16500
2025-01-15,51.42,51.428,51.4,51.42,26700
2025-01-14,51.33,51.375,51.3,51.37,19100
2025-01-13,51.354,51.38,51.3,51.35,13800
2025-01-10,51.43,51.43,51.35,51.4,27200
2025-01-08,51.45,51.476,51.38,51.41,10500
2025-01-07,51.43,51.433,51.26,51.4,27800
2025-01-06,51.4,51.44,51.1,51.3,121600
2025-01-03,51.458,51.48,51.42,51.42,11400
2025-01-02,51.45,51.46,51.32,51.46,14300
2024-12-31,51.43,51.47,51.34,51.46,20900
2024-12-30,51.4,51.46,51.36,51.43,25000
2024-12-27,51.33,51.43,51.28,51.36,16000
2024-12-26,51.28,51.35,51.28,51.35,13000
2024-12-24,51.314,51.319,51.28,51.305,7600
2024-12-23,51.26,51.294,51.19,51.29,15100
2024-12-20,51.56,51.69,51.53,51.53,21800
2024-12-19,51.52,51.6,51.51,51.58,22200
2024-12-18,51.62,51.7,51.514,51.54,15500
2024-12-17,51.58,51.61,51.56,51.585,35600
2024-12-16,51.58,51.63,51.545,51.55,29600
2024-12-13,51.59,51.64,51.55,51.58,16600
2024-12-12,51.63,51.65,51.568,51.592,23800
2024-12-11,51.6,51.72,51.574,51.62,24500
2024-12-10,51.6,51.61,51.563,51.61,11200
2024-12-09,51.583,51.67,51.56,51.62,21200
2024-12-06,51.6,51.79,51.573,51.59,21800
2024-12-05,51.519,51.59,51.519,51.545,18900
2024-12-04,51.495,51.62,51.495,51.565,16200
2024-12-03,51.54,51.54,51.48,51.51,26200
2024-12-02,51.68,51.7,51.42,51.539,21500
2024-11-29,51.69,51.79,51.681,51.719,2200
2024-11-27,51.633,51.78,51.633,51.702,19300
2024-11-26,51.52,51.72,51.22,51.655,51700
2024-11-25,51.44,51.65,51.44,51.575,12700
2024-11-22,51.43,51.509,51.404,51.437,62400
2024-11-21,51.39,51.49,51.39,51.405,93000
2024-11-20,51.37,51.43,51.37,51.39,182500
2024-11-19,51.37,51.45,51.265,51.37,43900
2024-11-18,51.356,51.44,51.33,51.338,20000
2024-11-15,51.27,51.34,51.27,51.3,10000
2024-11-14,51.316,51.65,51.31,51.32,250400
2024-11-13,51.31,51.33,51.31,51.31,10900
2024-11-12,51.26,51.3,51.24,51.265,9800
2024-11-11,51.28,51.318,51.27,51.291,25700
2024-11-08,51.34,51.357,51.33,51.34,16800
2024-11-07,51.308,51.345,51.29,51.32,45300
2024-11-06,51.21,51.32,51.2,51.29,23500
2024-11-05,51.284,51.36,51.254,51.335,32900
2024-11-04,51.32,51.32,51.24,51.26,11400
2024-11-01,51.32,51.33,51.24,51.26,6300
2024-10-31,51.5,51.5,51.438,51.45,5600
2024-10-30,51.55,51.81,51.34,51.44,40400
2024-10-29,51.55,51.6,51.31,51.502,158200
2024-10-28,51.6,51.63,51.54,51.59,7600
2024-10-25,51.65,51.65,51.59,51.6,5300
2024-10-24,51.58,51.68,51.57,51.64,13500
2024-10-23,51.69,51.69,51.57,51.615,8000
2024-10-22,51.64,51.64,51.47,51.565,33900
2024-10-21,51.67,51.75,51.25,51.515,299200
