datetime,open,high,low,close,volume
2025-04-01,24.01,24.09,24.01,24.068,3000
2025-03-31,23.81,24.025,23.81,24.025,3300
2025-03-28,23.99,23.99,23.968,23.968,600
2025-03-27,24.19,24.26,24.17,24.196,7000
2025-03-26,24.32,24.32,24.21,24.23,300
2025-03-25,24.42,24.42,24.31,24.36,30200
2025-03-24,24.315,24.369,24.28,24.358,10200
2025-03-21,24.06,24.138,24.06,24.138,200
2025-03-20,24.167,24.18,24.123,24.123,1300
2025-03-19,24.085,24.2,24.04,24.149,3000
2025-03-18,24.0,24.06,24.0,24.029,400
2025-03-17,24.14,24.17,24.05,24.154,600
2025-03-14,24.05,24.079,24.02,24.074,5000
2025-03-13,23.85,23.95,23.811,23.811,500
2025-03-12,23.91,24.04,23.91,23.981,4300
2025-03-11,23.94,23.94,23.87,23.87,2500
2025-03-10,24.15,24.15,23.95,23.996,33600
2025-03-07,24.319,24.38,24.319,24.352,1400
2025-03-06,24.33,24.35,24.273,24.273,1000
2025-03-05,24.395,24.57,24.28,24.513,12500
2025-03-04,24.41,24.59,24.27,24.356,4400
2025-03-03,24.82,24.84,24.508,24.508,5200
2025-02-28,24.606,24.773,24.6,24.773,1300
2025-02-27,24.8,24.8,24.549,24.549,351500
2025-02-26,24.8,24.8,24.78,24.78,400
2025-02-25,24.82,24.829,24.72,24.776,4900
2025-02-24,24.859,24.98,24.85,24.87,13400
2025-02-21,25.17,25.17,24.93,24.94,4100
2025-02-20,25.28,25.29,25.18,25.222,1300
2025-02-19,25.214,25.31,25.214,25.293,3000
2025-02-18,25.191,25.237,25.18,25.237,2300
2025-02-14,25.24,25.25,25.181,25.224,8300
2025-02-13,25.15,25.208,25.15,25.208,1800
2025-02-12,24.98,25.06,24.97,25.03,14300
2025-02-11,25.09,25.09,25.07,25.07,10200
2025-02-10,25.08,25.11,25.071,25.071,4700
2025-02-07,25.175,26.08,24.95,24.972,9400
2025-02-06,25.06,25.121,25.03,25.121,7700
2025-02-05,24.97,25.058,24.97,25.058,1500
2025-02-04,24.99,25.03,24.94,25.004,8600
2025-02-03,24.785,24.97,24.72,24.892,5100
2025-01-31,25.22,25.245,24.995,25.014,6100
2025-01-30,24.997,25.319,24.966,25.319,9500
2025-01-29,25.11,25.11,24.965,25.03,9800
2025-01-28,25.05,25.12,25.032,25.12,4600
2025-01-27,24.92,24.93,24.86,24.88,4800
2025-01-24,25.26,25.27,25.165,25.176,8200
2025-01-23,25.15,25.25,25.13,25.215,25100
2025-01-22,25.112,25.19,25.027,25.169,20000
2025-01-21,24.96,25.05,24.96,25.04,3800
2025-01-17,24.855,24.93,24.855,24.89,4100
2025-01-16,24.74,24.76,24.715,24.725,5000
2025-01-15,24.715,24.744,24.71,24.744,300
2025-01-14,24.51,24.52,24.38,24.448,7000
2025-01-13,24.383,24.47,24.383,24.47,10500
2025-01-10,24.46,24.46,24.37,24.385,3000
2025-01-08,24.62,24.66,24.6,24.646,26800
2025-01-07,24.725,24.8,24.59,24.606,35600
2025-01-06,24.915,24.95,24.78,24.782,12400
2025-01-03,24.614,24.749,24.614,24.691,86100
2025-01-02,24.63,24.69,24.44,24.511,12200
2024-12-31,24.66,24.68,24.49,24.56,11300
2024-12-30,24.58,24.75,24.547,24.64,340800
2024-12-27,24.78,24.81,24.7,24.781,22800
2024-12-26,24.96,25.02,24.947,24.999,5400
2024-12-24,24.91,24.97,24.91,24.965,1700
2024-12-23,24.702,24.825,24.702,24.825,10000
2024-12-20,24.51,24.85,24.5,24.75,19000
2024-12-19,24.73,24.94,24.548,24.548,76000
2024-12-18,25.1,25.17,24.6,24.6,47000
2024-12-17,25.12,25.15,25.055,25.09,21200
2024-12-16,25.17,25.36,25.14,25.167,21300
2024-12-13,25.19,25.19,25.043,25.065,16300
2024-12-12,25.096,25.15,25.08,25.09,150000
2024-12-11,25.14,25.209,25.108,25.159,18700
2024-12-10,25.1,25.13,25.016,25.016,35300
2024-12-09,25.21,25.21,25.08,25.1,35400
2024-12-06,25.21,25.36,25.14,25.186,45300
2024-12-05,25.2,25.22,25.145,25.145,46300
2024-12-04,25.1,25.25,25.1,25.17,103200
2024-12-03,25.059,25.08,25.02,25.08,144500
2024-12-02,25.07,25.14,25.02,25.07,331300
