datetime,open,high,low,close,volume
2025-04-01,27.61,28.26,27.58,27.72,143200
2025-03-31,27.94,28.13,27.09,27.83,168700
2025-03-28,29.03,29.37,28.33,28.49,148500
2025-03-27,29.53,29.62,28.91,29.17,108700
2025-03-26,29.7,30.22,29.54,29.55,136200
2025-03-25,29.46,30.13,28.86,29.8,259300
2025-03-24,29.54,29.85,29.36,29.53,122600
2025-03-21,28.66,29.2,28.52,28.91,682700
2025-03-20,29.43,29.99,29.19,29.23,138800
2025-03-19,29.14,30.22,28.99,29.88,144000
2025-03-18,29.17,29.47,28.6,29.12,160000
2025-03-17,29.31,29.82,28.8,29.58,149100
2025-03-14,28.96,29.28,28.71,29.03,129500
2025-03-13,29.33,29.33,28.07,28.45,258600
2025-03-12,28.96,29.63,28.87,29.4,257900
2025-03-11,28.13,28.94,27.73,28.44,255700
2025-03-10,28.35,28.44,27.68,27.98,222700
2025-03-07,28.99,29.16,28.35,28.91,187600
2025-03-06,29.09,29.37,28.71,28.95,162400
2025-03-05,29.11,29.43,28.68,29.36,212700
2025-03-04,28.76,29.97,28.34,29.08,262800
2025-03-03,30.72,30.72,29.14,29.29,251200
2025-02-28,30.98,31.25,30.0,30.54,379800
2025-02-27,31.93,32.22,30.63,30.7,182800
2025-02-26,32.34,32.67,31.89,32.0,231300
2025-02-25,33.2,33.28,32.12,32.13,253900
2025-02-24,33.7,33.75,32.8,33.05,187000
2025-02-21,35.44,35.87,33.64,33.66,265700
2025-02-20,34.68,35.05,34.2,35.04,229700
2025-02-19,34.39,34.87,34.02,34.79,207300
2025-02-18,34.6,35.01,34.32,34.83,148600
2025-02-14,34.87,34.9,34.31,34.5,143600
2025-02-13,34.8,34.84,34.27,34.79,115200
2025-02-12,34.25,34.92,34.21,34.43,199300
2025-02-11,34.92,35.83,34.87,35.13,211900
2025-02-10,35.09,35.86,34.47,35.64,329900
2025-02-07,36.04,36.15,34.13,35.11,319400
2025-02-06,30.4,37.07,30.4,35.68,948700
2025-02-05,30.05,30.62,29.99,30.41,301900
2025-02-04,29.89,30.46,29.51,30.39,135700
2025-02-03,30.24,30.57,29.73,29.94,223000
2025-01-31,31.09,31.78,30.9,31.25,240100
2025-01-30,31.29,31.62,30.82,30.99,132700
2025-01-29,30.65,31.3,30.6,30.72,177600
2025-01-28,30.89,31.17,30.52,30.67,149800
2025-01-27,31.56,31.96,30.67,30.79,214900
2025-01-24,32.81,32.81,31.65,32.02,197700
2025-01-23,32.18,33.23,31.96,32.99,188200
2025-01-22,32.19,32.47,31.7,32.44,253900
2025-01-21,29.85,32.28,29.85,32.06,265600
2025-01-17,30.55,30.75,29.96,30.49,218600
2025-01-16,30.14,30.5,29.92,30.47,189800
2025-01-15,30.34,30.37,29.6,30.2,185100
2025-01-14,28.73,29.5,28.72,29.5,239900
2025-01-13,28.0,28.65,27.92,28.42,217700
2025-01-10,28.56,28.86,28.09,28.38,226400
2025-01-08,28.88,29.3,28.35,29.19,140300
2025-01-07,29.68,29.88,28.89,29.18,188000
2025-01-06,30.0,30.39,29.53,29.63,241300
2025-01-03,29.49,30.14,29.15,29.92,226000
2025-01-02,30.48,30.51,29.17,29.31,106000
2024-12-31,30.41,30.54,30.1,30.23,127000
2024-12-30,30.24,30.41,29.59,30.22,164200
2024-12-27,30.73,31.06,30.02,30.4,144900
2024-12-26,30.54,31.1,30.22,30.79,105800
2024-12-24,30.32,30.81,30.03,30.76,87300
2024-12-23,30.82,31.35,30.38,30.39,194800
2024-12-20,31.88,32.53,30.69,30.74,1273500
2024-12-19,32.11,32.38,31.78,32.25,261300
2024-12-18,33.48,33.78,31.29,31.63,322700
2024-12-17,33.58,33.66,32.91,33.11,224300
2024-12-16,33.15,33.97,32.88,33.71,200200
2024-12-13,33.41,33.64,32.84,33.16,206300
2024-12-12,33.87,34.82,33.24,33.33,145000
2024-12-11,33.8,34.3,33.05,33.88,194600
2024-12-10,32.95,33.67,32.49,33.57,178500
2024-12-09,32.65,33.45,32.53,33.0,162500
2024-12-06,32.65,32.67,32.11,32.49,179600
2024-12-05,32.93,32.95,32.21,32.46,238000
2024-12-04,33.02,33.39,32.38,32.95,198400
2024-12-03,33.3,33.4,32.62,33.24,202100
2024-12-02,33.14,33.53,32.55,33.48,274500
2024-11-29,32.83,33.66,32.71,33.22,142900
2024-11-27,32.69,32.99,32.09,32.67,206200
2024-11-26,33.46,33.47,32.62,32.64,152300
2024-11-25,33.09,34.44,32.95,33.64,309000
2024-11-22,31.73,33.2,31.6,32.95,554400
2024-11-21,31.42,32.06,31.32,31.48,283600
2024-11-20,31.18,31.74,30.68,31.55,309500
2024-11-19,30.15,31.54,30.15,31.18,195900
2024-11-18,31.4,31.69,30.57,31.0,265000
2024-11-15,31.83,31.83,30.42,31.41,294100
2024-11-14,32.67,34.09,30.54,31.68,412400
2024-11-13,32.89,33.19,31.66,31.97,403500
2024-11-12,32.95,33.15,32.41,32.62,190600
2024-11-11,32.69,33.33,32.58,33.22,194500
2024-11-08,31.98,32.38,31.46,32.34,198100
2024-11-07,32.37,32.55,31.58,32.0,171900
2024-11-06,31.36,32.83,31.01,32.21,289600
2024-11-05,29.09,29.72,29.09,29.37,111300
2024-11-04,29.1,29.78,29.1,29.34,94700
2024-11-01,29.09,29.63,28.96,29.05,107300
2024-10-31,29.87,29.99,28.85,28.97,183400
2024-10-30,30.42,30.9,29.82,29.83,88000
2024-10-29,30.28,30.6,30.02,30.59,99900
2024-10-28,30.21,30.57,30.03,30.51,92300
2024-10-25,30.26,30.85,29.82,29.86,212500
2024-10-24,30.08,30.15,29.6,29.97,85800
2024-10-23,30.05,30.24,29.75,30.0,123100
2024-10-22,30.52,30.67,30.04,30.17,82100
2024-10-21,30.7,30.79,30.26,30.67,196500
2024-10-18,30.87,31.0,30.53,30.7,128300
2024-10-17,30.51,30.83,29.85,30.75,114300
2024-10-16,30.03,30.57,29.95,30.56,109700
